,Entrez,GeneName
0,100,ADA
1,10005,ACOT8
2,10007,GNPDA1
3,100137049,PLA2G4B
4,10020,GNE
5,10026,PIGK
6,100287639,MTHFD2P1
7,10050,SLC17A4
8,100507855,NA
9,100526794,NT5C1B-RDH14
10,10057,ABCC5
11,10060,ABCC9
12,10087,COL4A3BP
13,10090,UST
14,10135,NAMPT
15,10157,AASS
16,10164,CHST4
17,10165,SLC25A13
18,10166,SLC25A15
19,10195,ALG3
20,10201,NME6
21,10229,COQ7
22,10246,SLC17A2
23,10249,GLYAT
24,10257,ABCC4
25,102724197,NA
26,102724560,NA
27,10312,TCIRG1
28,10317,B3GALT5
29,10327,AKR1A1
30,10331,B3GNT3
31,1036,CDO1
32,10380,BPNT1
33,10390,CEPT1
34,10396,ATP8A1
35,1040,CDS1
36,10400,PEMT
37,10402,ST3GAL6
38,10423,CDIPT
39,10449,ACAA2
40,10455,ECI2
41,10476,ATP5H
42,10478,SLC25A17
43,10554,AGPAT1
44,10555,AGPAT2
45,10558,SPTLC1
46,10559,SLC35A1
47,1056,CEL
48,10560,SLC19A2
49,10568,SLC34A2
50,10587,TXNRD2
51,10588,MTHFS
52,10599,SLCO1B1
53,10606,PAICS
54,10610,ST6GALNAC2
55,10632,ATP5L
56,10654,PMVK
57,10678,B3GNT2
58,10682,EBP
59,10690,FUT9
60,107,ADCY1
61,10720,UGT2B11
62,10723,SLC12A7
63,10724,MGEA5
64,10728,PTGES3
65,10768,AHCYL1
66,10786,SLC17A3
67,10797,MTHFD2
68,108,ADCY2
69,10840,ALDH1L1
70,10841,FTCD
71,10846,PDE10A
72,10858,CYP46A1
73,10861,SLC26A1
74,10864,SLC22A7
75,10870,HCST
76,10873,ME3
77,109,ADCY3
78,10901,DHRS4
79,10905,MAN1A2
80,10919,EHMT2
81,10935,PRDX3
82,10948,NA
83,10965,ACOT2
84,10975,UQCR11
85,10991,SLC38A3
86,10993,SDS
87,10998,SLC27A5
88,10999,SLC27A4
89,11000,SLC27A3
90,11001,SLC27A2
91,1103,CHAT
92,11041,B3GNT1
93,11046,SLC35D2
94,1109,AKR1C4
95,111,ADCY5
96,11112,HIBADH
97,11136,SLC7A9
98,11164,NUDT5
99,1118,CHIT1
100,11181,TREH
101,11182,SLC2A6
102,11185,INMT
103,1119,CHKA
104,112,ADCY6
105,1120,CHKB
106,11212,PROSC
107,11226,GALNT6
108,11227,GALNT5
109,11238,CA5B
110,112483,SAT2
111,11253,MAN1B1
112,11254,SLC6A14
113,112611,RWDD2A
114,112724,RDH13
115,11282,MGAT4B
116,11283,CYP4F8
117,11285,B4GALT7
118,113,ADCY7
119,113026,PLCD3
120,11309,SLCO2B1
121,113189,CHST14
122,11320,MGAT4A
123,113235,SLC46A1
124,113278,SLC52A3
125,11332,ACOT7
126,11343,MGLL
127,113451,ADC
128,113675,SDSL
129,114,ADCY8
130,114112,TXNRD3
131,114134,SLC2A13
132,114805,GALNT13
133,114971,PTPMT1
134,115,ADCY9
135,115019,SLC26A9
136,115111,SLC26A7
137,1152,CKB
138,115286,SLC25A26
139,115584,SLC5A11
140,1158,CKM
141,1159,CKMT1B
142,1160,CKMT2
143,116255,MOGAT1
144,116285,ACSM1
145,116369,SLC26A8
146,117247,SLC16A10
147,117248,GALNT15
148,117283,IP6K3
149,1178,CLC
150,118881,COMTD1
151,12,SERPINA3
152,1200,TPP1
153,120103,SLC36A4
154,121260,SLC15A4
155,121278,TPH2
156,1215,CMA1
157,122481,AK7
158,122622,ADSSL1
159,122970,ACOT4
160,123041,SLC24A4
161,123099,DEGS2
