,P10N.EU,P10N.MCG,P10T.EU,P10T.MCG,P11N.EU,P11N.MCG,P11T.EU,P11T.MCG,P12N.EU,P12T.EU,P12T.MCG,P13N.EU,P13T.EU,P13T.MCG,P14N.EU,P14T.EU,P15N.EU,P15T.EU,P15T.MCG,P16N.EU,P16T.EU,P16T.MCG,P1N.EU,P1N.MCG,P1T.EU,P1T.MCG,P2N.EU,P2N.MCG,P2T.EU,P2T.MCG,P3N.EU,P3N.MCG,P3T.EU,P3T.MCG,P4N.EU,P4N.MCG,P4T.EU,P4T.MCG,P5N.EU,P5N.MCG,P5T.EU,P5T.MCG,P6N.EU,P6N.MCG,P6T.EU,P6T.MCG,P7N.EU,P7N.MCG,P7T.EU,P7T.MCG,P8N.EU,P8N.MCG,P8T.EU,P8T.MCG,P9N.EU,P9N.MCG,P9T.EU,P9T.MCG
,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Tumor,Tumor,Normal,Tumor,Tumor,Tumor,Tumor,Normal,Tumor,Tumor,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor,Normal,Normal,Tumor,Tumor
"1,7-dimethylxanthine",1.301340084,1.301340084,0.62630415,0.416263648,1.301340084,1.301340084,1.301340084,1.301340084,1.301340084,1.301340084,1.301340084,0.783080396,0.410347417,1.301340084,0.023936248,1.301340084,0.888263057,0.532029141,1.301340084,0.692636108,0.384530813,1.291238889,1.301340084,1.049184659,1.301340084,0.208851541,1.301340084,0.149090809,1.301340084,1.301340084,1.301340084,2.306243067,1.301340084,1.301340084,1.301340084,0.551995438,1.301340084,0.273232795,0.669892721,3.445503476,1.177435412,1.301340084,2.434200173,1.301340084,1.247795211,1.301340084,1.301340084,1.301340084,1.183120377,3.75348536,1.520998083,1.301340084,1.177435412,1.301340084,0.882872282,0.556827667,0.442772058,1.301340084
1-Methyl-L-tryptophan,1.587433654,2.089671041,1.587433654,3.930102131,1.587433654,1.227319701,0.387715064,1.227319701,0.77876271,0.77876271,0.387715064,2.089671041,0.387715064,0.387715064,0.77876271,2.870299476,1.227319701,0.387715064,0.77876271,1.587433654,0.387715064,0.387715064,2.089671041,2.089671041,1.227319701,3.930102131,0.77876271,2.089671041,0.77876271,0.77876271,0.77876271,3.930102131,1.227319701,1.587433654,0.77876271,1.227319701,2.870299476,0.77876271,0.77876271,2.089671041,1.227319701,0.77876271,1.227319701,1.227319701,0.77876271,0.387715064,0.549488884,1.227319701,0.77876271,1.587433654,1.587433654,1.227319701,0.77876271,2.089671041,1.587433654,1.587433654,0.77876271,1.587433654
2-Hydroxy caprylic acid,1.118314578,0.421822252,0.77556714,0.848244719,0.831518187,0.435841152,1.2106562,0.621064367,0.877332642,0.863106674,0.515401821,0.796124284,0.628561474,0.443565194,0.756119467,0.572703002,0.671662557,0.585568878,0.564579052,0.667144798,0.682708517,0.421822252,2.079139367,0.92918707,2.079139367,0.740500475,2.079139367,2.079139367,2.079139367,2.079139367,2.079139367,0.329923376,2.079139367,0.64214902,2.079139367,0.569011286,2.079139367,0.51356498,1.494532119,0.866735023,2.079139367,0.333248078,4.006311049,0.415865549,2.079139367,2.079139367,1.342295245,2.079139367,2.031543654,0.307577745,1.593620104,0.542634668,2.079139367,0.347653787,0.888307988,0.504587975,0.737694327,0.72088436
2-Hydroxybutyric acid sodium salt,2.639869418,2.07913317,0.850262824,2.639869418,1.697467526,1.697467526,1.1098697,0.850262824,1.697467526,1.697467526,1.697467526,0.681473569,0.850262824,2.07913317,2.07913317,1.1098697,2.639869418,1.1098697,1.1098697,2.07913317,1.697467526,2.07913317,2.07913317,1.697467526,0.681473569,1.697467526,0.681473569,1.1098697,0.365594483,1.697467526,2.639869418,1.697467526,0.850262824,1.697467526,2.07913317,1.1098697,1.697467526,1.1098697,2.07913317,1.1098697,0.365594483,1.697467526,0.681473569,1.1098697,0.365594483,2.639869418,0.522074418,1.697467526,0.365594483,1.1098697,1.697467526,1.697467526,0.850262824,1.697467526,2.07913317,1.1098697,1.697467526,1.697467526
3-Deoxyguanosine,0.485248806,0.854219083,0.507543898,1.917452985,0.791786646,0.809197277,1.183352819,0.762421162,0.91873204,0.528797891,0.286717848,1.528312159,2.000924281,3.053681698,1.304090089,3.164141922,1.627626548,3.299702462,2.21325539,2.053352718,1.869984661,1.349056858,0.456058489,1.955446188,2.21325539,4.239334497,0.610504868,0.734409669,1.285109407,1.242463766,1.078426789,0.122645496,1.782045375,0.260084605,1.423103471,1.003334682,0.305443551,0.569761436,0.655720098,0.987267432,1.826793601,2.966591409,0.959783005,0.91873204,1.078426789,2.416260814,1.395502733,0.854219083,0.973434364,2.28152112,1.369638153,0.932200773,2.000924281,1.324480912,0.762421162,1.078426789,0.684306884,1.743222283
3-Hydroxy-2-methylvalerate,1.083540234,0.485048208,1.778818428,0.799238065,0.663689771,0.874252148,1.550618273,0.313689218,0.799238065,2.587973875,0.966592307,1.34600452,1.34600452,0.430905103,1.207883055,1.550618273,1.778818428,2.129880683,0.663689771,3.297444801,1.778818428,1.083540234,0.590745568,0.663689771,0.799238065,1.083540234,0.485048208,0.249990536,1.083540234,0.485048208,0.535279493,0.285768777,0.663689771,1.083540234,0.285768777,0.535279493,0.663689771,2.587973875,0.430905103,0.204231962,0.966592307,2.129880683,0.799238065,0.346441558,1.083540234,1.207883055,0.535279493,0.663689771,1.083540234,2.587973875,0.966592307,0.249990536,1.207883055,0.966592307,1.083540234,0.663689771,1.778818428,0.874252148
3-hydroxy-3-methyl-Glutaric acid,3.682659581,0.389293975,1.77574827,0.980205989,1.636551086,0.649632658,1.504000555,0.254037401,2.282007101,1.636551086,0.733928089,2.781100423,1.1435496,0.533742313,1.77574827,1.016249736,2.060567565,1.17981938,0.494512406,2.282007101,1.053388684,1.119172244,1.565036333,1.17981938,3.260872211,1.77574827,1.119172244,1.17981938,1.77574827,0.88643874,1.17981938,0.179622633,3.460964902,0.733928089,1.394256359,0.71948405,3.682659581,0.566342695,0.33393093,0.308284739,1.213330415,0.764617,0.428160501,0.791513079,0.973076089,0.861903235,0.428160501,0.704779351,0.978228993,0.914090002,0.578426426,0.590544513,0.969589891,0.446907696,4.131483574,0.356690004,1.565036333,1.256483097
3-Hydroxykynurenine,1.565540578,1.563026444,0.252032529,0.422289679,1.565540578,1.565540578,0.269706006,1.564404839,1.565540578,1.565540578,1.565540578,1.565540578,1.565540578,0.332097976,0.356885918,0.37074591,1.565540578,0.387407452,0.384304909,1.564912004,1.565540578,0.468626132,1.565540578,0.338216553,1.565540578,1.565540578,1.565540578,1.562422649,1.565540578,1.565540578,1.565540578,1.562422649,0.46338314,1.565540578,1.565540578,1.565540578,0.628785087,1.564912004,1.565400683,1.565540578,1.565540578,0.408687562,1.564743527,1.565540578,1.565540578,1.565540578,1.565260799,1.565540578,1.565540578,0.458876248,1.565540578,1.565540578,1.565540578,0.286771258,1.565540578,1.562780713,1.565540578,0.345157811
4-Hydroxy Phenyllacticacid,0.340056325,1.797822012,1.801719366,1.801719366,0.183028142,0.650749599,1.756816775,0.637731388,0.168506929,0.527131211,1.07218884,0.682753174,1.109761406,0.650749599,0.769740128,1.801719366,1.801719366,1.805216128,0.729120972,1.800744761,1.040248232,1.280424119,1.109761406,0.67160468,0.285220213,0.98812913,1.040248232,0.425975254,0.854092572,0.716583453,0.458203267,0.377430489,0.956839822,0.755146924,1.801719366,0.659458074,1.607096951,0.4929182,0.303410994,1.801719366,1.801719366,0.956839822,1.800483559,0.258703397,1.801719366,1.801719366,1.801285553,0.854092572,1.801719366,1.801719366,1.801719366,0.867110688,0.911582999,0.827139414,1.801719366,0.12571234,1.801719366,1.696986155
5-Hydroxyindoleaceticacid,1.000735399,1.000735399,0.751490536,1.000735399,1.000735399,0.723404281,0.966911434,1.000735399,0.502646167,1.166546143,1.000735399,1.000735399,1.041533483,1.350444113,1.000735399,0.509782512,0.639424571,1.000735399,1.215962583,1.000735399,0.542407973,2.942919213,1.000735399,0.72652918,1.000735399,1.615902358,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399,0.959609912,0.823321307,1.000735399,2.777910593,1.000735399,1.000735399,0.954797384,0.025353714,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399,0.250447983,0.996143332,1.000735399,1.000735399,1.000735399,0.04420052,1.000735399,1.000735399,1.000735399,1.000735399,1.000735399
5-Hydroxytryptophan,0.803943238,0.784872866,3.357179097,0.855095928,0.527767053,0.770449233,1.565214478,0.639939042,0.734021858,1.29889063,0.621471702,0.93176751,0.83396567,0.460128436,0.916430685,3.357179097,0.867265431,0.798482088,0.5967222,0.749600548,3.357179097,0.532842107,0.592147586,0.743314688,0.549860049,0.568053137,3.357179097,0.61189724,0.515554419,0.517917723,0.402718221,0.728302523,0.886215039,0.632411819,0.63004765,0.988733962,0.80621716,3.357179097,3.357179097,1.100543005,0.713084575,3.357179097,3.357179097,0.552520618,0.749600548,3.357179097,3.357179097,0.831239985,0.83396567,0.798482088,3.357179097,0.746520342,0.814998425,0.725818152,1.317930789,0.760289352,1.527112083,3.357179097
Adenosine,0.656958266,1.667569981,0.656958266,0.545471728,1.019198607,0.773605245,0.349654561,1.667569981,1.157479856,0.444730513,0.444730513,0.656958266,0.656958266,0.545471728,0.773605245,0.444730513,0.883010394,0.349654561,0.773605245,0.773605245,0.349654561,0.656958266,0.773605245,1.019198607,0.883010394,1.667569981,0.883010394,1.388458746,0.444730513,0.545471728,1.019198607,1.667569981,0.545471728,0.349654561,0.773605245,1.019198607,1.019198607,0.773605245,0.883010394,2.010366946,0.773605245,0.656958266,0.883010394,0.656958266,0.656958266,0.349654561,1.019198607,1.388458746,0.545471728,0.773605245,1.019198607,1.157479856,0.545471728,0.656958266,1.019198607,1.388458746,0.545471728,0.656958266
Alanine,1.523870462,2.191955364,0.359942997,0.70430972,0.828428617,2.191955364,0.70430972,0.580303847,0.70430972,0.70430972,0.828428617,0.991336532,0.70430972,1.189895635,1.189895635,0.580303847,1.523870462,0.49052276,2.191955364,1.523870462,0.70430972,0.310162634,6.650921131,1.523870462,3.055870182,0.828428617,0.991336532,3.055870182,3.055870182,0.828428617,6.650921131,2.191955364,1.523870462,1.189895635,1.523870462,1.189895635,3.055870182,1.189895635,0.580303847,1.189895635,1.189895635,0.420057592,0.580303847,1.189895635,1.189895635,0.828428617,3.055870182,2.191955364,0.828428617,1.189895635,1.523870462,4.941169383,0.828428617,0.580303847,0.828428617,4.941169383,0.991336532,0.49052276
Allose,1.658963516,1.658963516,0.4070186,1.658963516,1.658963516,1.658963516,0.592881613,1.658963516,0.393893095,0.525177739,3.42879961,0.276023825,1.096836871,3.607838156,0.336434013,0.473978494,0.292740785,0.479964133,1.934651373,0.362563715,0.740955212,1.653360897,0.82379833,1.658963516,0.594816244,1.658963516,0.682490488,1.658963516,1.658963516,1.658963516,1.023449802,1.658963516,1.658963516,3.353853368,1.658963516,1.658963516,0.687203796,0.786207621,0.373205112,1.658963516,0.538568143,1.658963516,0.341738813,1.658963516,0.552268525,1.217418232,0.367965456,2.70261666,0.726847078,1.658963516,0.400416985,2.228738757,0.569554462,1.658963516,0.342951328,1.838294246,0.778252136,1.658963516
alpha-hydroxyisobutyric acid,2.333603283,0.531703275,0.735550923,0.635197199,2.333603283,0.447396852,0.805163376,0.531703275,2.333603283,1.035448946,0.962204432,2.333603283,1.615598596,2.333603283,2.333603283,1.409910885,2.333603283,0.496539117,1.128148356,1.300071146,1.290276008,2.325308,2.333603283,0.400351922,0.435110065,0.769693631,0.733136583,0.296616224,0.735550923,0.47436832,0.237622709,0.287491255,0.372332345,0.86408676,0.284916505,0.635197199,0.391332927,2.333603283,2.333603283,2.333603283,0.472668729,1.147987804,2.333603283,0.312978251,1.355230762,1.343061601,2.333603283,0.735550923,0.531703275,1.456420651,2.333603283,0.458446699,0.621924416,1.067836209,0.817426889,2.333603283,0.990780535,1.0270622
Aminobutyric acid,1.659697224,1.623986632,1.024258235,0.365807938,1.691911355,1.318119084,1.597900343,0.852106518,1.61316358,0.998138909,0.993717731,1.083866989,0.724576761,0.875602779,1.063642498,0.66970659,1.249414804,0.739161567,1.139502503,1.024258235,0.818793085,0.472556784,0.815087578,0.583815122,0.606936316,0.32840776,0.68789343,0.293101609,0.393840669,0.322087077,0.350369647,0.690415197,0.666827834,0.899354925,0.605235943,0.657261282,0.501631936,0.976789188,0.675284571,0.356051008,0.971628277,0.784434108,0.993717731,0.331389673,1.006809761,1.10669473,1.204414301,1.204414301,1.190726024,1.112740404,1.042178514,1.623986632,1.006809761,0.363176712,1.562558372,1.384984977,1.318119084,0.436250459
Arginine,0.149532525,0.710320754,0.474270466,1.407965084,0.627747788,0.911616984,1.306978812,0.562342685,0.683260663,1.341089021,0.768516623,1.226443035,1.132902537,0.145848298,1.633424538,5.740353396,0.939501878,1.281181434,1.044530034,1.341089021,1.067425901,11.43753137,0.352445922,1.374380325,1.55312742,2.363161286,0.518958763,0.989566261,1.199832617,0.834521996,1.247193945,0.186725629,1.132902537,0.659059442,3.013782764,0.989566261,1.247193945,1.440001426,1.281181434,0.911616984,1.374380325,4.723810681,2.102978222,0.911616984,1.51125919,1.199832617,0.6512193,0.699744385,1.281181434,2.26809266,0.911616984,0.668144942,1.247193945,0.478460669,0.620047043,0.736635306,1.281181434,1.55312742
Asparagine,0.599865326,0.247096366,2.0727047,1.581570815,1.324315363,0.599865326,2.0727047,0.173068451,1.447238241,2.0727047,0.831494093,0.831494093,1.581570815,1.581570815,0.831494093,1.324315363,0.831494093,1.581570815,1.581570815,1.017532639,1.581570815,3.545709352,1.324315363,0.831494093,0.831494093,2.0727047,0.599865326,0.247096366,1.324315363,0.279153608,1.447238241,0.316022672,0.599865326,1.017532639,1.017532639,1.017532639,1.017532639,1.160833367,0.373870979,0.831494093,1.017532639,1.581570815,0.478631888,0.095072976,1.017532639,1.017532639,1.017532639,0.279153608,1.017532639,1.017532639,0.599865326,0.478631888,1.017532639,0.831494093,0.831494093,0.373870979,2.0727047,2.0727047
Aspartic Acid,0.672596727,0.504064618,1.078509983,1.003282076,0.435723432,0.622282515,1.003282076,0.718790067,0.622282515,1.299226838,0.672596727,0.622282515,0.761471584,0.761471584,0.582629442,0.808484344,0.672596727,0.933074415,0.761471584,0.761471584,0.933074415,0.761471584,0.672596727,0.761471584,0.622282515,1.185403397,0.504064618,0.407763525,0.718790067,1.078509983,0.718790067,0.407763525,0.622282515,0.864554121,1.078509983,0.808484344,0.622282515,1.185403397,0.435723432,0.504064618,0.718790067,1.078509983,0.672596727,0.407763525,0.808484344,0.672596727,0.545523411,0.504064618,1.003282076,1.185403397,0.466860443,0.320974465,0.864554121,0.933074415,0.504064618,0.466860443,1.078509983,1.003282076
Benzoic acid,0.772200635,0.496253167,0.199092732,0.153941052,0.125926995,0.878786331,1.071461457,0.551840036,0.677915237,1.426903013,0.712824042,1.071461457,1.123507706,1.315821598,1.051244351,2.271105784,0.636634189,1.350150936,0.677915237,1.472246049,1.315821598,6.57485531,0.958378602,0.712824042,1.39046628,1.559699966,0.544331684,0.366933243,1.472246049,0.608828557,0.913473607,0.544331684,1.39046628,0.747236402,2.271105784,0.42447621,1.025968868,1.472246049,0.626810413,0.734016974,1.426903013,1.350150936,0.677915237,0.405202302,1.279954254,1.350150936,4.421065464,0.346058416,1.605885455,0.896617645,0.934883085,0.485720561,1.350150936,0.813744976,0.43480574,0.496253167,1.208356681,1.426903013
Betaine,0.626784784,0.647483209,0.572246178,0.654480955,2.974643205,0.682088959,0.682088959,0.582572862,0.626784784,0.611048952,0.640727348,0.592512495,0.725475026,0.592512495,0.618276211,0.668936733,0.640727348,0.654480955,0.572246178,0.634386288,0.777650397,0.864901072,0.662819963,2.974643205,2.974643205,2.974643205,0.618276211,0.55076897,2.974643205,0.611048952,0.731982917,2.970009674,2.974643205,0.534700297,0.772286311,0.725475026,2.974643205,0.582572862,0.500961611,0.738833083,0.654480955,0.592512495,2.973458903,0.713153919,0.618276211,0.675505475,0.654480955,0.675505475,0.618276211,0.662819963,0.592512495,0.700330161,0.688598969,2.974037787,0.601101878,2.970541894,0.601101878,2.974643205
b-Hydroxyisovaleric acid,0.537634642,0.289005758,0.967372951,0.578887623,1.64873667,0.438795106,1.241262849,0.680200634,1.64873667,1.443230336,0.745846557,1.64873667,1.069872285,0.826038099,1.64873667,0.980756423,1.64873667,1.040500702,0.918567084,1.64873667,0.998926503,1.641995901,1.64873667,0.61818445,0.673867536,0.544191177,0.635211571,0.204356504,1.64873667,1.64873667,1.64873667,1.64873667,1.64873667,0.546518957,1.64873667,1.64873667,0.689764921,3.11628306,1.64873667,0.745846557,0.86411192,2.246652303,1.64873667,0.200713558,0.242156424,1.949389411,1.64873667,1.069872285,0.807449985,1.318116958,1.64873667,0.343357459,0.939100368,2.078028336,1.64873667,0.583909514,1.307112811,0.885754614
Caffeine,0.977622095,1.043979469,1.459193897,0.339990064,1.459193897,1.459193897,1.459193897,2.684118655,1.459193897,1.459193897,0.951617138,0.253480358,0.673196504,1.459193897,1.459193897,1.459193897,0.30919105,0.587408465,0.963597905,1.459193897,0.477753453,1.454627194,1.459193897,0.310234824,0.270236226,1.459193897,1.459193897,3.2028733,1.459193897,2.293500607,1.459193897,3.593361772,0.280698597,1.459193897,1.459193897,0.393557282,0.410237199,0.410237199,1.459193897,0.279356769,1.459193897,0.505837394,1.459193897,3.250522943,1.459193897,0.243949771,1.459193897,1.232981317,0.406858471,1.459193897,1.459193897,1.083343887,1.459193897,1.147359996,0.564112097,1.36081367,1.459193897,1.459193897
