BIOCHEMICAL NAME,3,5,7,9,23,27,29,31,33,37,45,53,55,57,59,61,63,65,69,71,73,75,79,81,83,85,87,91,93,95,97,105,109,113,123,133,137,143,147,155,161,165,171,175,181,183,185,187,189,193,218,220,222,224,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,266,268,270,272,274,276,278,280,282,286,288,290,292,294,296,298,300,302,304,306,308,310,312,316,318,320,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,370,372,374,376,378,380,382,384,386,388,390,392,394,398,400,402,404,406,4,6,8,10,24,28,30,32,34,38,46,54,56,58,60,62,64,66,70,72,74,76,80,82,84,86,88,92,94,96,98,106,110,114,124,134,138,144,148,156,162,166,172,176,182,184,186,188,190,194,219,221,223,225,229,231,233,235,237,239,241,243,245,247,249,251,253,255,257,259,261,263,267,269,271,273,275,277,279,281,283,287,289,291,293,295,297,299,301,303,305,307,309,311,313,317,319,321,325,327,329,331,333,335,337,339,341,343,345,347,349,351,353,355,357,359,361,363,365,367,371,373,375,377,379,381,383,385,387,389,391,393,395,399,401,403,405,407
,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,TUMOR,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
"1,2-propanediol",0.71092,0.413386,0.573787,0.620129,0.545954,1.843773,0.59719,0.212497,0.850213,0.690277,1.26385,1.413316,0.778807,3.293028,1.090798,1.115181,1.681469,1.191123,1.33112,0.609051,1.434486,0.752401,0.603897,0.455883,1.914998,1.718207,0.985354,4.461676,1.122242,0.739585,0.903892,1.7166,0.418644,0.807689,0.831694,1.194631,0.540939,0.591888,0.735392,0.888002,0.901772,0.769555,1.163341,0.736887,1.133526,0.954851,0.805489,0.827215,0.453558,0.874048,1.158499,0.830828,0.855407,0.949435,0.841721,2.101979,0.967097,1.239444,0.520144,1.426561,0.743131,0.212497,1.127567,0.357134,0.9813,0.733056,0.626305,3.581526,0.682052,1.39709,1,1.205645,0.728146,0.939183,1.10333,0.676115,0.692586,0.731394,0.918831,1.369432,1.758522,0.887841,0.964432,1.677561,1.85628,0.966262,1.403452,0.701578,0.594112,1.361878,1.096677,1.367691,0.548405,0.970507,1.08727,0.661383,0.897325,1.147914,0.748343,1.388763,0.821411,1.180426,1.949914,0.212497,0.875975,2.034431,1.664505,1.069778,0.660669,1.58513,1.581705,0.372058,3.508756,4.654293,2.277682,1.513697,1.878947,0.980153,0.766156,1.379464,1.029493,1.107166,0.897795,1.272921,0.913969,1.52524,1,0.212497,0.711585,0.566866,0.346429,0.604354,0.212497,1.159106,1.739816,1.00255,0.684259,0.727335,0.33939,1.595697,0.545652,2.324229,2.666925,1.247593,0.212497,0.672095,0.700172,0.71441,1.145212,1.322479,1.385203,4.64778,1.676024,0.707986,1.405969,0.212497,0.724518,0.78527,0.662865,1.998789,0.635141,0.597556,0.994888,1,0.575039,1.805053,1.83023,0.587853,1.345808,0.888434,0.866066,0.212497,0.603778,0.675323,0.787108,0.97378,0.212497,0.6123,0.688041,0.553151,1.917585,0.968694,0.430922,0.870637,0.86784,0.835333,0.860388,0.212497,1.042372,0.75219,1.105359,0.857377,0.855781,0.726463,1.709975,1.431687,1.736567,1.153672,0.71282,1.931204,1.093062,0.836827,1.094647,1.499879,0.603106,1.172836,0.511121,2.082955,2.008541,1.01063,1.546884,0.747153,0.727221,1.878428,3.003625,2.02763,1.751752,0.933048,1.593393,1.678157,1.482615,0.893448,1.416656,0.755253,0.747597,1.191444,1.483986,1.02622,1.234529,1.86544,1.106552,0.655936,2.15344,1.350181,0.501195,0.671143,1.154719,3.174641,1.902281,1.648967,2.135916,0.577912,1.281831,1.576937,2.009204,0.7382,1.36669,1.909539,2.366163,0.708512,2.764639,7.942573,1.181792,0.98937,1.139613,1.611929,1.524756,0.569855,2.653198,1,2.057931,1.466768,0.801169,1.729218,1.023287,1.804177,0.527568,0.212497,1.003195,0.592899,0.708894,0.843926,2.510215,1.754207,1.032903,1.181662
"1,3-dihydroxyacetone",0.809182,0.276412,0.646791,0.276412,0.276412,0.276412,0.650074,0.276412,0.581232,0.276412,1.519788,1.290037,1.100268,0.276412,0.276412,0.276412,1.120223,0.276412,6.212311,0.900217,1.211892,1.243577,0.276412,0.276412,1.518742,0.276412,0.747805,1.712292,0.276412,0.787461,0.766488,0.276412,0.276412,0.276412,0.276412,0.276412,0.848445,0.276412,1.060027,0.369089,0.276412,1.127142,0.276412,0.276412,0.276412,0.276412,0.835642,1.440635,1.047469,0.276412,0.276412,0.704965,3.187464,1.253645,1.504528,2.068482,0.276412,1.176168,0.974379,0.276412,0.938267,0.276412,1.079046,1.159113,1.289965,0.489339,1.220462,1.681702,3.011657,0.276412,1.510714,0.805446,0.276412,0.636592,1.811218,0.513088,3.309564,0.276412,0.276412,1.831247,1.389903,1.597112,1.660418,0.276412,0.276412,0.276412,1,0.276412,0.916853,0.716562,0.775905,0.276412,0.276412,0.276412,0.276412,0.276412,0.276412,0.276412,0.716985,1.840901,0.790157,0.276412,0.276412,0.993382,1.679549,0.708712,0.276412,1.25409,0.276412,0.565343,1,0.276412,0.276412,0.890862,0.276412,1.634449,1.618239,1.216414,0.708685,0.276412,5.555696,0.276412,0.276412,1.079305,1.861955,0.870157,2.321503,0.563873,0.746059,1,0.276412,12.30063,0.276412,0.276412,0.276412,1.013765,1.311103,1.326059,0.718725,4.332451,0.96764,1.161802,1.003928,0.276412,0.276412,1.093342,1,0.276412,0.276412,0.276412,0.771674,0.276412,0.276412,0.276412,0.276412,0.914523,0.955468,0.906618,0.3042,0.276412,0.276412,0.276412,0.276412,0.636401,1.899201,1.134418,0.977225,0.693748,0.997448,0.652751,0.276412,0.276412,2.306554,0.276412,0.276412,0.276412,0.276412,0.954983,0.276412,0.276412,0.276412,0.977432,0.276412,0.394189,0.503677,1.19586,0.276412,0.912797,0.757745,0.276412,0.382035,0.276412,0.276412,1.048112,0.783631,0.276412,0.276412,0.276412,0.276412,0.276412,1.095341,1.518584,2.372008,0.276412,0.704791,0.276412,0.276412,1.215701,0.276412,0.509664,0.276412,0.893136,0.773276,0.276412,3.049976,0.276412,0.276412,1.466408,0.276412,1.183539,0.276412,0.276412,0.276412,0.841333,0.276412,0.276412,0.276412,2.012841,0.966858,0.909725,0.475311,0.276412,0.276412,0.276412,0.276412,0.72285,1.149288,1.312925,1.09549,0.276412,0.276412,0.276412,0.276412,1.15738,0.897569,0.885124,0.501794,1.002552,0.276412,0.994149,1.006618,0.378932,0.276412,0.276412,0.276412,0.483736,1.331522,0.276412,0.276412,0.276412,0.276412,3.877536,1,1,1,1.508,0.276412,0.94901,0.276412,0.988801,0.629933,0.276412,0.276412,0.734305,1.551848,0.276412
"1,5-anhydroglucitol (1,5-AG)",0.705814,0.680312,0.233799,1.481137,1.023468,1.466315,0.736405,0.912196,0.746388,1.072475,1.175734,1.629248,0.775058,0.904828,0.65081,2.06962,0.843393,0.270343,1.245389,0.833526,1.271989,1.33559,2.549013,1.016036,0.769098,0.69049,1,1.111083,1.623082,0.965825,1.005593,1.677344,0.952202,0.393947,1.115635,0.883728,0.08579,1.419106,1.320165,1.52,0.793894,1.088342,1.000967,0.625671,1.224903,1.2926,1.33058,0.994407,2.012912,1.123587,0.24787,1.280525,0.982706,1.252274,0.58191,0.675793,1.092262,0.663406,0.530716,0.968564,1.268245,0.057811,1.335354,0.937954,1.480607,0.82792,1.00991,1.418968,1.224786,1.202651,1.448675,0.990034,1.088227,0.551747,0.692478,0.740203,1.279897,1.010631,0.968253,1.540181,1.010003,0.989762,1.081942,1.378224,1.264121,1,1.117921,1.147022,0.057811,1.500094,1.332631,0.492866,1.568688,0.983964,0.057811,1.040396,2.106447,1.459553,0.437281,0.280441,0.941293,0.536785,0.84165,1.127406,0.579306,1.292794,0.228995,0.918163,0.753576,1.075158,0.964359,0.742315,1.49931,0.999033,0.833955,1.711,0.971031,0.772549,1.616682,1.349198,1.079005,1.710798,1.742558,1.715704,0.687678,0.874589,1.112548,0.057811,0.28552,0.198656,0.368517,0.465387,0.734163,0.74639,0.092593,0.724032,0.955478,0.474317,0.910586,1.095855,0.76434,1.542935,0.857341,1.383381,0.777249,0.67774,0.744798,0.849034,1.482264,1.130293,0.791441,0.70376,0.626577,1.798482,0.581224,0.233702,1.195199,0.460777,1.234316,1.683247,3.171966,1.175159,0.818264,0.452521,0.739317,0.848716,1.127149,1.063487,0.7374,2.243865,0.896985,0.340802,1.142302,1.001353,0.135083,1.105344,0.46287,0.737925,0.827802,1.127177,1.191689,0.666902,1.09651,1.199127,1.621722,1.232474,1.792786,1.091317,0.553673,1.521156,1.260368,1.548181,0.999754,0.448854,1.389951,0.699191,0.395713,0.951965,0.911449,0.944248,0.938504,1.201774,1.33052,1.056255,0.823521,1.38679,0.982312,0.816065,1.770981,1.009966,0.910998,0.676565,0.902897,0.54176,1.531181,1.33665,1.052817,1.580001,0.763545,1.010238,0.62606,1.651162,1.308494,1.426046,1.211688,1.227282,0.057811,1.129538,1.22369,0.502397,1.316184,1.077093,0.110728,1.190957,2.29285,1.421058,0.605578,0.488076,0.991674,0.484074,0.587707,1.102739,0.691133,1.520602,0.295411,1.000246,0.913975,1.481581,0.845466,0.30761,1.313335,0.780463,0.843491,1.475938,0.752317,1.144788,1.468188,1.738434,1.234022,2.104815,1.573514,0.488445,0.58023,0.850646,1.05207,1.857791,0.99009,0.382465,0.880016,0.384088,1.017158,0.916113,0.117174,0.746318,0.939012,0.494484
10-heptadecenoate (17:1n7),2.464085,0.913976,1.388933,0.824199,1.373435,1.467317,2.049132,0.977966,2.180001,1.473168,2.617694,0.999315,1.730091,0.793788,0.901517,1.056125,1.580319,0.76178,1.383665,1.836238,0.676841,2.493808,1.0497,3.811894,1.609254,2.539514,2.205284,2.490482,1.551063,1.028005,1.304489,2.680933,1.141619,0.790807,1.630231,2.920652,0.845203,2.42919,1.752444,0.987062,2.908275,0.972822,0.993493,1.439761,1.425235,1.917664,1.766448,2.934739,1.544327,0.538592,1.402863,1.122525,0.936848,2.18338,1.12235,1.693456,1.030187,1.577759,1.393666,1.557036,0.527908,1.231112,1.779155,1.740339,2.19278,0.988709,1.505767,1.614889,0.593797,2.083555,1.910277,0.650367,0.685363,1.429479,1.052254,0.616217,1.03841,1.517981,1.006507,1.042608,2.44809,1.805624,1.28299,0.976015,1.172628,1.86736,0.702211,0.639148,1.011872,3.440953,0.912379,0.273649,0.748381,1.196717,1.644004,1.477487,0.466083,2.49998,1.133708,0.819116,1.443522,0.824116,1.518527,1.343926,2.210337,1.485849,1.569196,2.001288,2.149355,1.03112,0.841186,1.138884,1.410854,0.483897,1.532741,3.614233,1.522024,1.407884,1.038025,1.294739,1.353691,0.588247,2.070678,1.610891,2.055341,1.859579,1.317628,0.43638,1.357474,1.907827,0.939195,1.331823,0.374645,0.761441,0.749896,1.442109,2.29444,2.681696,1.044745,0.506941,1.008906,1.199811,1.147203,1.443283,0.947194,1.204892,0.838255,0.837134,0.717856,0.750537,1.52879,1.645315,0.816347,1.218024,0.580057,0.681499,0.571656,0.96664,0.798192,0.687544,1.241052,0.893011,1.265248,1.161173,0.904509,0.553336,0.766516,0.869462,0.813831,1.250681,0.881203,0.632452,1.22781,1.742695,0.534155,0.946553,0.627955,0.714199,0.88414,0.84863,1.054801,1.076699,0.682159,0.651456,0.914216,1.188545,1.551538,0.98851,1.273131,0.824391,1.294274,0.715397,1.030495,0.631273,0.602422,0.689294,0.871113,0.606933,0.799292,0.924086,0.934988,0.925111,0.993166,0.700048,0.639353,0.741324,0.786247,0.771688,1.604679,0.687495,0.724521,0.552695,0.824253,0.554042,0.928233,0.812673,0.694284,0.660616,1.224909,1.000685,0.541837,0.838917,0.517821,1.581804,0.926076,0.957392,1.343815,1.38964,0.405145,0.464015,0.793748,0.577895,0.511341,0.899608,1.297121,0.867919,0.969505,1.075418,0.552314,0.562139,1.01149,1.027178,0.708971,0.722488,0.869478,1.424365,0.741451,0.439771,0.672638,0.493061,0.891694,1.81575,0.952707,0.988128,0.791551,0.627424,0.807659,1.023985,0.863351,0.91386,0.862974,0.747099,0.671171,0.926722,1.120717,1.225572,0.615425,0.706924,0.92928,0.592783,0.859915,0.550042,0.736546,0.58311,1.011291,0.683989
10-nonadecenoate (19:1n9),2.795865,0.764796,1.665203,1.047742,1.295451,1.678458,2.351234,0.816495,3.174966,2.045629,3.006378,1.840962,2.374232,0.956041,1.124281,1.302169,1.388058,0.716974,2.461658,3.242346,0.997341,3.261667,0.951285,6.555991,2.15795,3.189946,3.50122,3.531405,4.620663,1.246939,1.486605,3.242738,1.117441,0.774928,1.698903,1.526531,0.623145,3.65151,1.683959,1.084873,2.91944,0.814069,1.08782,1.643639,1.480819,2.774346,2.594311,3.584206,1.695168,0.543726,2.139091,1.557852,1.165416,2.214132,0.960422,1.440056,1.461304,1.838244,1.260626,2.029631,0.375598,2.06726,2.361958,2.746997,2.578653,0.874026,1.117808,2.499069,0.795248,2.08352,2.755323,0.454763,0.781915,1.557085,1.33833,0.964646,0.882559,1.472245,1.29917,1.78469,5.608537,2.246428,2.564483,1.204614,1.515304,1.578454,0.995818,0.806115,0.651698,4.05675,0.800609,0.168089,0.637083,2.025033,2.003275,1.789146,0.227535,3.843565,1.539612,1.396393,1.981107,0.924244,1.801731,1.383117,2.265082,1.766601,1.344638,3.948899,2.541762,1.428232,1.497691,0.576696,1.510701,0.55441,2.363763,4.275085,2.633192,1.755659,0.889789,1.667366,3.084112,1.056216,2.443065,2.487322,2.204581,3.101406,1.407842,0.326843,1.456922,2.795639,1.515749,2.040169,0.284694,0.30256,0.793121,1.698657,3.136018,2.560584,1.247281,0.517578,1.096487,1.10257,1.182477,1.195865,0.943784,1.004182,0.565436,0.978249,0.864511,0.725661,1.462603,1.7041,0.732388,0.909367,0.346005,0.579034,0.541936,0.989336,0.716914,0.847589,1.375262,0.877568,1.322434,0.906909,0.806288,0.597614,0.795081,0.974127,0.877577,1.110022,0.688466,0.523125,1.102234,1.316148,0.420564,1.010664,0.608321,0.608414,1.22904,0.840713,1.023972,0.998159,1.021751,0.559608,0.757191,1.35275,1.129695,1.281581,1.11286,0.682872,0.959658,0.742736,0.699215,0.561232,0.560399,0.539239,0.738158,0.575705,0.740521,1.001841,1.149586,0.804183,0.707963,0.588538,0.610881,0.811951,0.719001,0.686595,1.385113,0.939565,0.869064,0.549661,0.715376,0.620153,0.857763,0.634679,0.373719,0.641674,0.963773,0.711722,0.524294,0.578764,0.473098,1.415292,0.637952,0.911322,1.57862,0.94222,0.394975,0.477923,0.711184,0.679287,0.368319,0.942775,0.941593,0.92841,1.352347,0.796568,0.584782,0.398538,0.625333,0.772342,0.416494,0.574514,0.671292,1.21522,0.702313,0.545048,0.591976,0.429585,0.591787,1.144234,1.214432,0.972133,0.773532,0.4617,0.935142,0.707939,0.808773,0.696422,0.667514,0.44325,0.628969,0.604781,1.002659,0.998169,0.843869,0.676925,0.540393,0.411639,0.628327,0.535542,0.911181,0.574323,1.001831,0.557911
13-HODE + 9-HODE,5.638974,0.626037,0.932488,0.870949,1.822971,1.0672,1.496384,0.602706,1.435147,2.522452,4.134783,1.613348,1.338037,2.037603,0.638812,0.585461,0.567165,0.77946,1.771519,4.135141,1.173504,5.414311,2.285769,3.316503,1.235964,1.329937,14.940459,4.849037,1.489344,6.84123,1.728152,2.613943,0.678661,0.264909,2.394247,1.145168,0.86636,1.045734,0.888139,0.609923,0.888025,0.54606,1.138039,0.726533,0.931002,0.978292,1.884353,4.330434,0.90331,0.582137,0.736168,0.71618,1.112576,2.065164,3.125968,1.74534,0.761669,1.390721,2.070767,0.490414,0.923713,0.752058,1.084311,0.821936,1.15034,0.396482,1.300162,1.867472,1.417798,2.024505,0.529356,0.450466,0.309171,0.962304,1.703049,1.48206,0.44926,1.260475,0.414462,0.567393,1.760517,1.434185,2.091635,0.467811,0.773326,2.640979,0.790865,0.473358,0.214955,1.585342,0.991452,0.286907,0.168363,0.423616,1.002939,5.378581,0.102858,0.530555,1.344305,1.267158,2.777353,0.951535,0.872386,0.857314,1.66427,1.158229,0.600719,0.294235,0.810555,0.402242,1.190939,0.414987,1.850682,0.465197,1.510537,1.03063,1.031831,1.15035,0.740486,0.718317,1.654675,1.608045,1.512193,0.615869,6.637794,0.851447,1.113023,0.340282,0.615807,2.245872,0.301586,0.25174,0.24684,0.750724,0.446327,1.008547,0.947525,1.843659,1.102375,1.935946,3.352204,2.679314,1.042791,2.626449,0.874701,1.494209,1.911679,1.207119,0.364609,0.770748,2.235931,3.957764,1.34587,0.584235,0.97801,1.022678,1.404388,1.033735,2.205265,1.840327,2.760247,2.426609,1.587618,2.076089,0.877611,0.867053,0.58318,3.06058,0.966071,1.157672,2.753549,0.997061,1.579774,1.312676,0.60469,0.592637,0.469666,0.636628,0.807332,0.452545,0.96413,0.977322,1.17635,1.021708,0.763714,3.049867,3.644601,3.676141,1.286026,0.868692,1.14435,1.455101,0.609964,0.651418,0.901027,1.034821,1.101028,0.249112,0.860691,1.25872,0.828986,0.690715,1.477604,0.976497,0.623395,1.873301,2.137236,1.320372,1.151169,0.803605,0.632012,0.46442,0.982894,0.439804,1.058423,0.822013,0.636934,1.878347,2.008042,0.685692,2.451244,0.742736,0.970913,4.003358,1.02199,0.702795,1.005262,1.697484,0.827043,1.008594,0.810005,0.60066,0.390675,0.428467,1.093947,0.994737,4.166049,3.581133,0.991406,0.728935,0.515995,0.656554,2.838012,1.228896,0.602924,1.087185,0.808532,1.997433,0.703929,0.418355,1.949073,2.847408,0.935359,0.50573,1.133012,0.714538,0.711291,0.965179,0.610984,1.489313,1.197912,0.70938,0.423907,0.682767,0.480968,1.44148,0.625717,1.029087,2.896403,0.268695,0.736123,0.455832,0.33356,0.754382,1.148311,0.44237
15-methylpalmitate (isobar with 2-methylpalmitate),1.141094,0.959834,1.297963,0.966778,1.027164,1.522997,1.455359,0.997289,1.834322,1.199825,1.455868,1.618958,1.418043,0.742734,1.195566,1.052845,1.006222,1.019166,0.924354,1.194755,0.921824,2.195693,0.632066,2.778607,1.149014,1.564293,1.309664,1.371292,1.152867,1.018727,1.334677,1.366028,1.302915,0.915857,1.681558,1.182468,0.881821,1.583623,1.676822,1.300144,2.272117,0.821336,1.049278,1.220654,1.026368,1.505105,1.351995,2.065942,1.421075,0.518031,1.741969,1.703343,0.972505,1.070925,0.878684,1.810868,1.199154,1.545812,1.244298,0.965482,0.762242,0.980833,1.361079,1.414765,2.260565,1.000061,0.833964,1.947131,0.779399,1.020999,1.284729,0.954692,0.776376,2.117019,0.874778,1.025653,0.49841,1.217995,1.002712,1.098785,0.973307,1.272005,1.365092,1.262862,1.018408,1.152771,0.878746,0.747592,1.003075,1.914064,0.805154,0.752338,0.734899,0.8716,1.428351,1.45869,0.712432,1.14906,1.386503,1.004254,1.453925,0.822897,1.414105,1.227362,1.488226,0.888086,1.177866,1.13161,1.987237,1.195337,0.719889,0.870081,1.119133,0.646377,1.2533,1.567961,1.33093,1.320181,0.819364,1.301649,2.128649,0.688625,1.605469,1.449983,1.015167,1.809139,1.452745,0.852525,1.629869,2.034322,1.007939,1.009807,0.662485,0.96256,0.897977,1.694792,2.282583,1.554,1.015605,0.540683,1.250251,1.067934,1.234942,1.069937,1.046626,0.908873,0.693562,0.815999,0.736315,0.895009,1.076811,1.151413,0.888768,1.07342,0.748399,0.622513,0.635318,0.925794,0.789138,1.069539,1.442753,0.784302,1.004983,1.183402,0.694719,0.594778,0.770916,0.711627,0.796128,0.940852,1,0.735983,0.958522,1.044067,0.717796,1.011844,0.805089,0.94774,0.868183,0.841935,1.052531,1.037009,0.686269,0.723868,1.070979,0.745174,0.71822,0.812579,0.969436,0.898108,1.098817,1.062858,0.909477,0.73994,1.03783,1.011662,0.910164,0.754712,0.945019,0.846773,1.130299,1.040198,0.887871,0.999939,0.931687,0.787218,0.93018,1.045225,1.213876,0.996925,0.715151,0.855025,0.584445,0.994297,0.76342,0.847129,0.728431,0.73113,1.26902,0.771759,0.976763,0.889759,0.49841,1.222511,0.971676,1.021544,0.87642,1.12161,0.578651,0.867259,0.81919,0.683307,0.713985,0.986042,1.042175,0.917674,1.54537,0.684711,0.73292,0.735764,1.020948,0.949533,0.738107,0.7627,0.948771,0.988156,0.911634,0.83813,0.935631,0.697078,0.880759,1.332482,0.919212,1.087775,0.834408,0.771933,0.998226,1.005321,1.007136,1.036698,0.92172,0.688808,0.757985,0.820142,0.995746,0.999426,0.994679,0.718769,0.995017,0.893447,0.78563,0.685576,1.126808,0.768742,1.328441,1.102068
16-hydroxypalmitate,0.888181,1.160308,0.596799,1.233634,0.942612,1.333829,0.779657,1.530492,0.944279,0.482925,1.43161,1.208002,1.294824,0.97874,1.019577,1.36056,0.639556,1.076402,0.25322,0.959822,0.846772,1.24982,0.518025,0.457806,0.931646,1.232278,1.123807,1.204189,1.036705,1.01341,1.181108,0.863728,0.974992,0.577433,0.96058,0.540578,0.394417,1.34494,0.98659,0.72601,0.669531,0.958339,1.699851,0.873759,1.439162,0.892091,1.032805,1.098512,1.656213,0.25322,0.91429,0.887799,0.976124,1.205661,0.922399,1.054156,0.961666,1.602373,1.275982,0.314567,0.890854,0.839877,0.488153,1.45704,1.22815,0.899809,1.170629,1.108752,0.932126,0.912062,0.621207,0.534598,1.53609,0.787156,1.076721,1.039178,0.729645,0.702299,1.293089,0.761278,0.328524,1.231526,0.400045,0.785312,0.710879,1.128667,0.72722,0.781772,1.591471,1.105035,0.474655,0.936162,0.958138,0.862893,1.113788,1.245816,1.57366,1.381345,0.752897,0.836066,0.904713,0.28316,0.945954,1.243564,0.327643,0.979951,0.534894,0.337716,1.346841,0.25322,1.412388,0.25322,0.277811,0.375427,1.193122,1.683008,0.25322,0.735971,2.038017,1.02198,1.284386,0.553926,0.925729,0.25322,1.054737,1.323132,0.889592,0.622311,1.001073,0.924205,0.916596,0.674112,0.874977,1.064999,0.577507,0.730045,0.885392,1.490444,1.695923,0.844784,1.709304,1.280909,0.920391,1.191276,1.181907,0.963712,1.366778,0.446143,1.043637,0.87721,1.152188,0.981294,0.485394,1.293284,1.17675,1.97704,0.554185,0.982518,0.47053,0.95721,0.934115,1.291455,1.178903,2.270909,1.0446,1.040094,1.017482,1.420659,1.348368,1.494617,1.042078,0.873808,1,1.487533,0.310024,1.210972,2.134685,0.971664,1.088376,1.057678,2.519176,0.96684,1.148654,1.1995,1.34991,1.427057,1.635753,1.242558,1.483606,1.654661,1.584898,1.93645,1.194629,0.868692,0.751508,0.905705,1,1.041661,1.385335,2.757779,1.059072,0.66498,0.895108,1.361957,0.625315,0.25322,0.853171,0.25322,1.786337,0.5017,0.806121,1.138662,1.225299,0.818593,0.532299,1.441445,1.095182,1,0.713717,0.61542,1.116479,1.264923,0.25322,1.345385,0.804912,0.72486,1.529452,3.591676,0.908087,0.817352,1.088599,0.466551,0.724296,0.500486,1.052148,1.430634,0.813313,2.768673,0.755821,0.998927,0.988293,0.802712,1.190622,0.969621,0.852796,0.69401,1.453915,0.710868,0.65082,1.28594,1.326123,20.508305,1.039535,0.492479,0.417007,0.488585,0.919597,1.35702,1.911639,1.324011,0.897854,1.34112,0.25322,0.911232,1.327537,2.032027,0.656841,0.25322,1.664422,1.156548,0.779869,0.959906,1.058836,1.082476,1,3.175575
