BIOCHEMICAL,LOUI-00001,LOUI-00002,LOUI-00003,LOUI-00004,LOUI-00005,LOUI-00006,LOUI-00007,LOUI-00008,LOUI-00009,LOUI-00010,LOUI-00011,LOUI-00012,LOUI-00013,LOUI-00014,LOUI-00015,LOUI-00016,LOUI-00017,LOUI-00018,LOUI-00019,LOUI-00020,LOUI-00021,LOUI-00022,LOUI-00023,LOUI-00024,LOUI-00025,LOUI-00026,LOUI-00027,LOUI-00028,LOUI-00029,LOUI-00030
,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
"1,2-dipalmitoylglycerol",1.333117,3.337409,3.283063,0.270763,0.47478,0.858148,0.894958,0.608281,1.017834,0.613777,1.289124,0.966041,0.292465,1.866182,1.102597,1.283219,1.934295,0.603866,1,2.298486,1.09128,0.392231,0.808159,0.270763,0.964382,1.526451,0.594331,2.019807,0.732859,1.59442
"1,2-propanediol",1.037847,0.32341,0.051389,0.04139,1.836492,0.04139,0.04139,0.04139,0.197482,0.04139,3.255304,0.04139,1.156422,0.04139,0.04139,0.04139,4.215155,0.04139,21.292946,2.05242,0.79906,3.114612,0.04139,0.04139,0.244124,0.373408,0.218279,1.729077,0.04139,0.962153
"1,5-anhydroglucitol (1,5-AG)",0.644958,0.786479,1.344674,0.860834,0.151403,0.514098,0.260394,1.278576,0.933325,0.664825,0.530444,0.59092,1.544337,1.462167,0.854443,1.213206,1.351858,1.724616,0.433659,1.132707,0.954134,1.325509,1.272713,1.045865,1.477012,0.773595,0.789555,1.767567,1.347561,1.997217
1-arachidonoylglycerophosphoethanolamine*,1.955145,1.111565,1.478022,1.563213,2.007935,1.614448,1.242599,1.378603,0.88405,1.041619,0.929596,0.958381,1.436309,0.941792,1.21822,1.188952,1.065182,1.045721,0.431091,0.918596,0.823528,0.804433,0.34589,0.202387,0.700225,0.441385,0.378799,0.282045,0.59567,1.737199
1-arachidonoylglycerophosphoinositol*,2.864005,1.577894,4.071333,0.361574,0.80879,0.930467,0.50777,1.264303,0.714035,0.392158,0.538299,0.636122,1.887023,3.501233,1.105938,1.037817,1.21814,0.962183,14.075419,1.285639,0.727121,0.423686,0.945896,0.426773,1.094506,3.008821,2.508304,0.907285,0.698118,2.158404
1-linoleoylglycerophosphocholine,1.29505,1.233918,4.427833,0.113781,0.106671,1.023888,0.613022,0.679827,1.299588,0.106671,1.048168,1,0.106671,7.060102,1.374929,0.106671,4.158074,0.678544,0.50662,2.131178,1.546758,0.106671,0.106671,0.106671,0.115218,0.39962,0.428536,0.178406,0.106671,0.223672
1-methylimidazoleacetate,0.807912,1.849854,0.964136,2.577089,0.382338,2.347147,1,0.579726,2.007368,2.370716,2.049351,0.276721,0.609296,0.276721,0.276721,0.276721,0.276721,1.236765,0.276721,0.276721,0.276721,0.276721,0.276721,0.276721,0.276721,0.276721,0.276721,0.493577,0.276721,0.276721
1-myristoylglycerophosphocholine,1.21105,1.047651,3.504413,0.32013,0.32013,0.925227,0.359934,0.32013,1,0.32013,0.852387,0.959833,0.351253,2.576504,0.609349,0.729123,0.898079,1.746865,1.267817,1.94601,1.492756,0.32013,0.32013,1.371425,1.540419,0.32013,1.152429,0.344432,0.32013,0.591989
1-octadecanol,0.939407,1.343218,1.424921,0.503086,0.53317,0.997792,0.615311,0.53909,0.940354,0.503065,0.934125,0.794957,0.684631,1.770677,0.923541,1.020748,1.217209,0.705797,1.227871,1.244148,1.322894,0.657853,1.002208,1.191263,1.244998,1.349031,1.003769,1.695649,0.770932,1.424906
1-oleoylglycerol (1-monoolein),4.000873,2.663472,4.842386,0.223804,0.288466,0.338885,0.532803,0.26923,0.463653,0.223804,1.096438,0.223804,0.433348,2.925995,0.903562,1.256083,1.44547,0.341916,3.423507,3.514956,1.883591,0.3935,0.614187,0.803984,2.359969,22.966494,0.600369,31.871727,0.348531,2.011144
1-oleoylglycerophosphocholine,1.77736,2.015174,3.822256,0.304647,0.031756,1.106812,1.624757,0.575918,1.699215,0.28049,2.056727,1.639979,0.089858,3.134041,1.024979,0.389553,2.121297,1.179556,0.975021,3.145969,2.789731,0.06603,0.031756,0.576576,0.304823,0.295201,0.487598,0.279131,0.031756,0.734909
1-oleoylglycerophosphoethanolamine,4.515917,2.135001,0.986025,0.41855,2.416584,1.081277,6.280689,0.908349,0.363247,0.099023,5.411398,0.560814,1.710383,3.164381,1.013975,1.16089,3.399886,0.765221,2.43433,2.605059,1.712357,0.671353,0.851025,0.178323,0.630189,0.67346,0.417228,0.681297,0.489113,2.460454
1-palmitoleoylglycerophosphocholine*,1.699107,1.399906,2.753788,0.221522,0.221522,0.661935,0.989139,0.349635,0.97001,0.221522,0.72796,1.407933,0.221522,2.453234,1.010861,0.516686,0.509608,0.788553,1.215995,3.210576,2.709166,0.221522,0.221522,1.037187,0.221522,0.221522,0.221522,0.221522,0.221522,0.765674
1-palmitoylglycerol (1-monopalmitin),6.188117,6.723995,5.627697,0.410347,0.970022,0.716883,1.028926,0.377437,0.855581,0.307686,1.066702,0.478256,0.310641,2.881814,0.971074,2.075619,1.858538,0.421974,2.149613,2.626475,1.08481,0.469244,0.665599,0.685444,1.223611,5.106554,0.477043,8.721761,0.392571,1.065525
1-palmitoylglycerophosphocholine,2.088135,1.40357,3.392064,0.29399,0.010223,1.31672,1.494983,0.566441,1.607983,0.385009,1.485064,1.471112,0.010223,2.256074,1.188671,0.686513,2.905006,1.014543,1,1.766616,0.010223,0.068886,0.016479,0.679909,0.311266,0.139732,0.373874,0.206635,0.010223,0.87082
1-palmitoylglycerophosphoethanolamine,3.346008,1.560564,1.436823,0.519417,2.332443,0.997636,5.820884,0.266061,0.628504,0.476665,4.674117,0.714934,0.793465,2.304107,0.946539,1.501574,4.302694,0.756195,3.448071,1.972683,1.582073,1.098441,0.664377,0.266061,0.683923,0.362601,0.57255,1,0.467295,2.068984
1-palmitoylglycerophosphoinositol*,1.64699,1.349042,1.960248,0.496551,0.819399,1.458707,0.20274,0.20274,0.504593,0.20274,0.867225,0.696411,0.666478,4.460592,1.033891,3.045953,10.412486,0.20274,5.84895,0.20274,0.739612,0.849078,0.20274,0.410495,1.09539,0.966109,0.715485,2.25013,0.20274,4.549189
1-stearoylglycerol (1-monostearin),1.184161,1.974229,2.708466,0.370972,0.632071,0.780808,0.582912,0.485017,1.056954,0.523626,0.960559,0.590858,0.497174,3.775339,1.16476,2.52563,2.330374,0.698522,1.875363,2.52718,1.333856,0.791981,1.039441,0.64966,0.767211,2.266348,0.604458,4.533025,0.578881,1.189741
1-stearoylglycerophosphocholine,2.321436,1.280378,2.251424,0.285327,0.023488,0.842753,2.424481,0.419324,2.995364,0.439509,1.869713,1.633227,0.023488,3.306328,1.07542,1.177772,4.126148,0.92458,1.244639,2.447754,2.537528,0.051347,0.025816,0.711434,0.148497,0.057644,0.220211,0.290614,0.023488,0.689713
1-stearoylglycerophosphoethanolamine,1.869946,1.123128,1.538349,0.452115,1.444963,0.831928,3.617572,0.411777,0.861532,0.322414,2.224377,0.444212,0.837744,4.819581,1.286918,1.885774,3.247896,1.019942,1.523205,1.929641,1.987076,0.980058,0.607304,0.307636,0.678612,0.436738,0.394617,0.572098,0.353923,1.20325
1-stearoylglycerophosphoinositol,2.891094,1.742851,3.335356,0.616185,1.048087,1.110289,0.826737,0.462151,0.869291,0.339779,0.992822,0.51217,1.014171,13.056898,1.516776,4.649746,4.176072,0.717467,3.078289,0.188052,1.258185,0.83799,0.476156,0.377717,0.76673,1.007178,0.843445,1.642934,0.357567,2.730589
