,NCIA-04165,NCIA-04166,NCIA-04167,NCIA-04168,NCIA-04169,NCIA-04170,NCIA-04171,NCIA-04172,NCIA-04173,NCIA-04174,NCIA-04175,NCIA-04176,NCIA-04177,NCIA-04178,NCIA-04179,NCIA-04180,NCIA-04181,NCIA-04182,NCIA-04183,NCIA-04184,NCIA-04185,NCIA-04186,NCIA-04187,NCIA-04188,NCIA-04189,NCIA-04190,NCIA-04191,NCIA-04192,NCIA-04193,NCIA-04194,NCIA-04195,NCIA-04196,NCIA-04197,NCIA-04198,NCIA-04199,NCIA-04200,NCIA-04201,NCIA-04202,NCIA-04203,NCIA-04204,NCIA-04205,NCIA-04206,NCIA-04207,NCIA-04208,NCIA-04209,NCIA-04210,NCIA-04211,NCIA-04212,NCIA-04213,NCIA-04214
BIOCHEMICAL,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Normal,Normal,Normal,Normal
"1,2-propanediol",3.171128,0.668054,1.709284,0.641490,3.561091,1.387766,1.645092,0.647028,1.373591,0.997722,0.745153,0.924393,2.059646,0.998381,1.225745,0.511986,0.701756,0.914932,0.259237,0.695180,1.083754,0.492147,2.885569,2.151530,2.308105,0.400519,1.000000,0.870002,1.327909,1.014849,3.005653,0.942871,0.982256,2.276546,0.907787,1.769910,0.941291,1.090808,1.001619,0.546575,0.733378,1.842888,2.924144,1.187919,2.255492,3.940768,0.824903,0.259237,0.737137,0.448140
"1,3-dihydroxyacetone",0.997093,1.013895,0.324527,0.684994,0.868162,1.097071,1.409629,0.973917,1.101832,1.195504,1.584329,7.736363,0.831257,0.550884,3.517288,0.324527,2.096025,0.324527,1.434965,0.616170,0.745368,1.002907,0.829471,0.681011,1.717678,0.324527,0.746276,0.810646,1.080372,0.665012,5.540143,1.232595,0.553036,1.151311,0.944044,0.324527,0.730036,0.733969,2.165008,1.026083,0.868981,2.644200,0.741970,0.798906,0.776169,1.252076,1.114128,1.860649,3.435943,0.437280
"1,5-anhydroglucitol (1,5-AG)",1.336098,1.158405,0.929566,0.674800,0.153576,0.174372,1.006099,1.034551,1.134755,2.247292,0.736049,0.551245,0.871787,0.678059,1.061691,0.424997,1.225402,1.436136,2.255681,1.523160,1.398990,2.010239,1.723920,1.805652,0.332600,0.150020,1.215453,0.997981,0.193292,0.172285,0.276290,1.009369,1.780718,0.730395,0.763438,0.153685,1.862985,0.732636,1.325334,0.874940,0.846137,1.530942,0.222864,1.097330,1.128213,0.674825,1.142923,1.002019,0.548690,0.769327
1-arachidonoylglycerophosphoethanolamine*,1.591499,1.020281,0.521863,0.185270,2.666839,0.409133,2.530676,3.970191,0.391123,0.185270,0.185270,0.185270,0.185270,2.231264,0.348056,0.185270,2.392600,0.948171,0.686025,1.000000,0.947128,10.596346,0.377596,0.737783,1.046855,17.835638,0.932676,2.846111,0.185270,0.185270,1.204947,2.750424,0.519693,2.537819,0.569221,0.378023,0.353261,0.963692,1.151193,1.567615,0.511219,3.160429,0.770900,1.373189,1.253596,1.339987,0.185270,0.185270,0.979719,0.358436
1-arachidonoylglycerophosphoinositol*,0.986023,10.690334,0.238952,5.401916,1.948798,1.986500,1.792977,8.332784,0.393709,19.476118,0.523131,0.432998,1.624570,23.618284,0.101489,0.088537,0.872219,0.700999,1.587007,6.567399,0.889938,4.579882,0.846881,1.147614,3.114472,16.254164,0.752037,0.919696,0.176175,0.869987,1.153039,1.220468,0.231613,1.635649,0.487081,0.331339,0.162408,0.610926,0.321937,0.088537,0.445902,2.555804,0.324824,1.080304,1.357350,2.761834,1.013977,0.088537,1.365628,0.347275
1-docosahexaenoylglycerol (1-monodocosahexaenoin),0.024698,1.643298,0.145942,0.764292,0.521132,6.869139,0.024698,5.215702,0.103275,1.850095,1.000000,9.954879,0.811840,6.089671,0.598227,4.584139,0.808032,1.000000,0.024698,4.119371,0.024698,9.663019,0.024698,3.278420,0.024698,7.166639,0.024698,0.024698,6.102536,2.427770,0.156963,0.024698,0.024698,0.024698,0.205162,0.024698,0.179846,0.073469,0.024698,0.595990,0.024698,0.024698,0.879965,0.039214,0.024698,0.024698,2.117132,1.812601,0.897737,1.440389
1-heptadecanoylglycerophosphocholine,0.285323,8.482183,0.285323,28.562403,0.285323,0.784853,0.285323,0.285323,0.285323,4.383084,1.989071,0.285323,10.001239,0.285323,0.285323,0.407504,0.285323,0.285323,1.985384,0.367572,0.535648,0.285323,0.338700,0.285323,0.285323,0.285323,0.285323,0.285323,0.285323,1.215147,0.285323,0.369419,0.285323,0.285323,0.285323,0.285323,0.285323,0.285323,0.285323,0.735987,0.285323,1.000000,0.285323,0.285323,0.285323,3.523608,0.499899,0.285323,0.285323,1.690361
1-heptadecanoylglycerophosphoethanolamine*,0.883959,2.636206,0.840015,2.917231,1.715174,0.790557,0.781756,3.204624,0.465381,2.186608,0.867691,4.541140,1.187348,2.845801,0.310803,0.051411,0.618184,0.051411,2.871566,1.000000,1.783474,1.570237,1.313129,1.050428,0.437329,1.614769,0.157163,0.059764,0.886182,1.454899,0.051411,0.051411,0.205634,1.038857,0.051411,0.051411,0.051411,0.300611,0.051411,1.165298,0.051411,0.391757,0.051411,0.051411,0.051411,2.461213,1.000000,0.250753,0.571869,0.051411
1-linoleoylglycerophosphocholine,0.107399,25.351122,0.107399,2.618921,0.107399,0.876668,0.107399,0.424516,0.535651,11.346631,1.422025,0.107399,8.427567,0.107399,0.107399,0.107399,0.107399,0.107399,0.925373,0.338318,0.845990,3.125034,0.107399,0.107399,0.107399,0.107399,0.107399,0.107399,0.107399,1.117917,0.406631,0.107399,0.107399,0.107399,0.107399,0.107399,0.202507,0.107399,0.107399,1.000000,0.107399,0.107399,0.107399,0.107399,0.107399,1.204570,0.107399,0.107399,1.000000,3.573313
