Metabolite,Super Pathway,Sub Pathway,Pubchem,KEGG,HMDB,CHEBI
1-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,HMDB11517,
1-arachidonoylglycerophosphoinositol*,Lipid,Lysolipid,,,,
1-arachidonylglycerol,Lipid,Monoacylglycerol,,C13857,HMDB11572,
1-eicosadienoylglycerophosphocholine*,Lipid,Lysolipid,,,,
1-heptadecanoylglycerophosphoethanolamine*,No Super Pathway,No Pathway,,,,
1-linoleoylglycerol (1-monolinolein),Lipid,Monoacylglycerol,,,,
1-linoleoylglycerophosphocholine,Lipid,Lysolipid,,C04100,,
1-linoleoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,HMDB11507,
1-myristoylglycerophosphocholine,Lipid,Lysolipid,,,HMDB10379,
1-oleoylglycerophosphocholine,Lipid,Lysolipid,,C03916,HMDB02815,
1-oleoylglycerophosphoethanolamine,Lipid,Lysolipid,,,HMDB11506,
1-oleoylglycerophosphoinositol*,Lipid,Lysolipid,,,,
1-oleoylglycerophosphoserine,Lipid,Lysolipid,,,,
1-palmitoylglycerol (1-monopalmitin),Lipid,Monoacylglycerol,,,,
1-palmitoylglycerophosphocholine,Lipid,Lysolipid,,C04102,,
1-palmitoylglycerophosphoethanolamine,Lipid,Lysolipid,,,HMDB11503,
1-palmitoylglycerophosphoinositol*,Lipid,Lysolipid,,,,
1-stearoylglycerol (1-monostearin),Lipid,Monoacylglycerol,,D01947,,
1-stearoylglycerophosphocholine,Lipid,Lysolipid,,,,
1-stearoylglycerophosphoethanolamine,Lipid,Lysolipid,,,HMDB11130,
1-stearoylglycerophosphoinositol,Lipid,Lysolipid,,,,
"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C07326,HMDB02712,
"1,7-dimethylurate",Xenobiotics,Xanthine metabolism,,C16356,HMDB11103,
10-heptadecenoate (17:1n7),Lipid,Long chain fatty acid,,,,
10-nonadecenoate (19:1n9),Lipid,Long chain fatty acid,,,,
13-HODE + 9-HODE,Lipid,"Fatty acid, monohydroxy",,,,
2'-deoxyinosine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,C05512,HMDB00071,
2-aminoadipate,Amino acid,Lysine metabolism,,C00956,HMDB00510,
2-aminobutyrate,Amino acid,Butanoate metabolism,,C02261,HMDB00650,
2-arachidonoylglycerophosphocholine*,Lipid,Lysolipid,,,,
2-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,,
2-docosahexaenoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,,
2-docosapentaenoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,,
2-ethylhexanoate,Xenobiotics,Chemical,,,,
2-hydroxyacetaminophen sulfate*,Xenobiotics,Drug,,,,
2-hydroxybutyrate (AHB),Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C05984,HMDB00008,
2-hydroxyglutarate,Lipid,"Fatty acid, dicarboxylate",,C02630,HMDB00606,
2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate metabolism,,C07588,HMDB00840,
2-hydroxypalmitate,Lipid,"Fatty acid, monohydroxy",,,,
2-hydroxystearate,Lipid,"Fatty acid, monohydroxy",,C03045,,
2-linoleoylglycerophosphocholine*,Lipid,Lysolipid,,,,
2-methoxyacetaminophen sulfate*,Xenobiotics,Drug,,,,
2-methylbutyroylcarnitine,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB00378,
2-oleoylglycerophosphocholine*,Lipid,Lysolipid,,,,
2-oleoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,,
2-palmitoylglycerol (2-monopalmitin),Lipid,Monoacylglycerol,,,,
2-palmitoylglycerophosphocholine*,Lipid,Lysolipid,,,,
2-palmitoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,,
3'-dephosphocoenzyme A,Cofactors and vitamins,Pantothenate and CoA metabolism,,C00882,HMDB01373,
3-(4-hydroxyphenyl)lactate,Amino acid,Phenylalanine & tyrosine metabolism,,C03672,HMDB00755,
3-(cystein-S-yl)acetaminophen*,Xenobiotics,Drug,,,,
