,RCC1,RCC2,RCC3,RCC4,RCC5,RCC6,RCC7,RCC8,RCC9,RCC10,RCC11,RCC12,RCC13,RCC14,RCC15,RCC16,RCC17,RCC18,RCC19,RCC20,RCC21,RCC22
BIOCHEMICAL,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal,Tumor,Normal
"1,2-propanediol",0.4909,0.3059,16.294,3.8416,2.4179,1.2417,0.5196,0.5777,0.2024,0.5429,3.5323,29.5389,1.0284,0.8545,1.8356,3.053,0.738,0.6819,0.5089,0.9716,55.0242,9.6471
"1,5-anhydroglucitol (1,5-AG)",1.0948,1.3088,1.5959,1.9023,0.2118,0.2645,0.3511,0.4459,1.0286,0.957,0.8336,0.5301,1.9414,1.968,1.1974,0.7769,0.6526,0.4981,1.6783,0.9714,1.2543,1.1347
"1,7-dimethylurate",0.3813,0.3813,0.6298,2.0325,0.3813,0.3813,0.3813,1.3713,0.3813,2.3276,0.3813,0.3813,0.3813,1.0334,0.3813,0.3813,0.3813,0.9666,0.3813,0.9356,0.3813,0.3813
1-arachidonoylglycerophosphocholine (20:4n6)*,1.5096,0.7575,2.1998,2.3307,0.735,1,0.4528,0.5584,0.4528,0.4882,2.8471,0.7905,0.8577,0.7501,1.0605,0.6163,5.3863,1.7372,0.4528,0.4528,9.1135,1.5402
1-arachidonoylglycerophosphoethanolamine*,0.9186,0.9422,1.3325,1.3454,1.3987,0.9017,0.9431,0.6694,1.5638,0.8506,2.1134,1.0856,1.0744,0.6972,1.6338,0.494,1.126,0.9665,1.2478,0.8951,0.4559,1.0335
1-arachidonoylglycerophosphoinositol*,1.457,1.1668,1.0793,1.0222,0.8091,2.0887,0.9957,0.7641,1.0329,0.7921,4.5234,0.468,0.671,0.7107,2.1046,0.7405,1.3002,1.0043,0.4087,0.8518,1.5593,0.5272
1-arachidoylglycerophosphocholine (20:0),11.5063,0.4989,3.2786,0.3967,1,0.3967,0.3967,0.3967,0.8592,0.3967,16.0805,0.3967,3.1817,0.4405,1.7436,0.3967,7.8713,0.5351,0.3967,0.3967,0.3967,0.5219
1-dihomo-linoleoylglycerophosphocholine (20:2n6)*,7.5668,0.3446,1.2129,0.2024,0.2024,0.7038,0.2024,0.2024,0.5113,0.2024,7.7781,0.2024,1.3066,0.2024,0.7871,0.2024,4.1386,0.2024,0.3477,0.2024,7.1132,0.2024
1-eicosatrienoylglycerophosphocholine (20:3)*,1.3941,0.5418,1.1343,1.4877,1,0.8251,0.341,0.3623,0.341,0.4483,1.8628,0.9669,1.3184,0.463,0.5456,0.341,2.5534,1.0937,0.341,0.5674,12.825,1.3348
1-eicosenoylglycerophosphocholine (20:1n9)*,35.0208,0.729,3.1102,0.3697,1,0.988,0.4111,0.3697,1.3273,0.3697,39.8366,0.5561,3.3764,0.3697,4.7067,0.3697,8.3074,0.3697,0.5132,0.4633,3.1337,0.3983
1-eicosenoylglycerophosphoethanolamine (20:1n9)*,17.5696,1.716,0.7312,0.4074,2.1498,0.8921,4.7753,0.1583,7.6312,0.4077,21.7344,0.5686,4.9664,0.1698,5.6905,0.1583,1.2033,0.3445,1,0.897,0.1583,0.1583
1-linoleoylglycerophosphocholine (18:2n6),2.2335,0.6046,1.2828,1.6001,1.0554,0.9475,0.0512,0.3905,0.1564,0.3866,7.0552,1.0304,1.9265,0.9263,0.9696,0.3677,4.0748,1.2106,0.1028,0.5543,15.3403,1.6203
1-linoleoylglycerophosphoethanolamine*,1.1258,1.0782,0.4006,1.0116,2.6328,2.9722,0.436,0.3516,1.1178,0.9006,7.7155,0.976,1.2605,1.2885,0.9884,0.3038,0.8507,1.5412,0.6656,2.3809,0.3831,0.484
1-margaroylglycerophosphocholine (17:0),6.193,0.8556,1.1839,0.2863,0.7994,1.1444,0.2863,0.2863,0.4508,0.2863,4.4735,0.4208,2.6678,0.2863,1.2298,0.2863,6.1945,0.5921,0.3688,0.2863,2.9634,0.3379
1-margaroylglycerophosphoethanolamine*,2.1274,0.9306,0.572,0.3693,2.3613,2.4079,1.7839,0.1479,1.4726,0.5721,2.8607,0.4697,1.9639,0.4863,1.6378,0.1759,1.7514,1.0694,0.5203,1.4616,0.0879,0.1302
1-myristoylglycerophosphocholine (14:0),1.6343,0.7659,0.982,1.0894,1,0.8454,0.3602,0.3602,0.4022,0.3602,3.8175,0.3602,1.6295,0.3602,0.6452,0.3602,1.2249,1.008,0.3602,0.3602,22.6738,0.5022
1-nonadecanoylglycerophosphocholine(19:0)*,3.9925,1.434,0.8419,0.4735,0.8121,0.4735,0.4735,0.8752,0.4735,1.1248,6.7632,0.4735,0.7185,0.4735,1.3436,0.4735,1.8575,0.4735,0.4735,0.4735,0.4735,0.6908
1-oleoylglycerophosphocholine (18:1),3.9081,0.7841,1.2376,0.8414,1.6215,1.6897,0.0821,0.2222,0.3611,0.352,6.7323,0.9549,1.4705,0.6241,1.3484,0.3164,4.5556,1.0451,0.1305,0.6158,10.1946,1.186
1-oleoylglycerophosphoethanolamine,1.2806,1.076,0.2766,0.544,2.7352,3.2093,1.3999,0.358,1.2477,0.5808,3.2035,0.9544,1.1329,0.7157,1.0456,0.5525,0.8621,1.4858,0.5247,1.9152,0.1111,0.3739
1-oleoylglycerophosphoglycerol*,1.2968,0.9706,0.7748,0.4869,1.5718,1.1207,0.7581,0.5764,1.2168,0.5753,2.8325,1.0294,2.8925,0.4115,2.3219,0.532,1.8859,0.5471,1.6254,0.7371,1.5683,0.8373
1-oleoylglycerophosphoinositol*,1.7,0.6701,0.6394,0.8007,0.7798,1.6274,2.7203,0.471,1.3329,0.9841,6.4233,0.677,2.0808,0.8604,3.4017,0.7212,2.1539,1.1264,1.0159,0.5582,1.4235,0.7321
1-oleoylglycerophosphoserine,1.2482,0.4926,0.7341,0.7255,1.9599,2.5619,1.0112,0.4052,0.9192,0.5553,2.7616,1.1126,1.1585,0.8768,1.6753,0.7288,1.4768,0.9888,0.9501,1.3858,1.3968,0.8605
1-oleoylplasmenylethanolamine*,2.0667,0.8035,1.205,0.3976,2.4722,2.3263,2.5139,0.2431,2.8743,0.3569,4.1725,0.5517,2.1381,0.3918,2.5984,0.2549,2.3833,0.8934,0.9336,1.0664,0.1262,0.3047
1-palmitoleoylglycerophosphocholine (16:1)*,3.3594,0.6839,1,1.3971,1.4212,1.2991,0.2376,0.4248,0.2376,0.4429,5.3809,1.9919,1.5285,0.7429,0.544,0.6316,1.3877,1.4083,0.3111,0.4261,8.4427,0.9744
1-palmitoylglycerol (1-monopalmitin),1.0035,1.3368,1.2995,0.951,1.0631,1.9331,0.7439,0.5954,0.8982,0.6002,2.4439,1.0429,1,1.0993,0.9426,0.6139,1.4821,0.7052,1.1285,0.5954,0.6305,0.9032
