,DIAG-19432,DIAG-19433,DIAG-19434,DIAG-19435,DIAG-19436,DIAG-19437,DIAG-19440,DIAG-19441,DIAG-19442,DIAG-19461,DIAG-19449,DIAG-19444,DIAG-19446,DIAG-19448,DIAG-19450,DIAG-19452,DIAG-19454,DIAG-19456,DIAG-19458,DIAG-19460,DIAG-19462
,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
"1,2-propanediol",1.19,0.69,0.89,0.88,2.3,0.6,1.93,0.88,0.93,1.32,4.44,1,1.07,1.06,2.12,1.07,1.35,1.48,0.79,1.22,0.92
"1,3-dihydroxyacetone",1.93,0.93,0.87,0.51,0.93,2.34,0.64,5.59,0.53,0.55,1.85,0.98,1.69,1.19,0.81,0.51,0.8,1.02,1.05,1.58,0.82
"1,5-anhydroglucitol (1,5-AG)",2.13,1.14,1.41,0.31,2.84,1.25,2.54,0.35,0.99,0.22,0.81,0.7,2.13,0.91,0.96,1.23,1.18,0.44,0.91,1.16,0.32
1-arachidonoylglycerophosphocholine (20:4n6)*,0.56,0.32,0.25,0.05,0.27,0.18,0.38,1,0.14,2.21,2.99,2.97,1.27,2.15,1.21,2.82,1.86,0.99,1.49,2.98,2.34
1-arachidonoylglycerophosphoethanolamine*,0.49,0.33,0.15,0.11,0.19,0.17,0.2,0.36,0.1,1.03,1.42,4.88,1.64,2.65,1.22,2.12,1.84,1,1.31,2.63,2.07
1-arachidonoylglycerophosphoinositol*,0.26,0.26,0.17,0.11,0.16,0.11,0.15,1.11,0.11,1.32,2.35,3.11,1.66,2.18,1.44,1.51,2.12,1.72,2.47,2.28,1.07
1-arachidonylglycerol,0.45,1,0.19,0.08,0.33,0.26,0.29,0.73,0.21,2.18,1.34,4.6,1.28,2.2,1.63,1.1,4.84,0.66,1.46,1.76,5.81
1-dihomo-linoleoylglycerophosphocholine (20:2n6)*,0.46,0.59,0.67,0.16,1.17,0.16,0.16,0.16,0.16,0.16,0.16,1.4,0.37,2.29,1,0.61,3.13,1.43,0.16,2.79,2.21
1-eicosatrienoylglycerophosphocholine (20:3)*,0.27,0.12,0.16,0.12,0.13,0.12,0.12,0.32,0.12,3.03,4.2,6.84,1.45,2.78,1.11,2.43,2.19,0.83,0.98,2.53,1.17
1-eicosenoylglycerophosphoethanolamine (20:1n9)*,0.2,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.29,1.09,3.98,0.91,8.29,3.85,3.84,9.65,8.72,0.72,7.79,9.02
1-linoleoylglycerol (1-monolinolein),0.1,0.54,0.1,0.1,0.1,0.1,0.31,0.78,0.1,6.92,1.47,2.77,0.1,1.11,0.94,0.42,2.08,1.56,0.71,0.55,1.82
1-linoleoylglycerophosphocholine (18:2n6),1,1.24,0.59,0.17,1.21,0.51,1.53,0.36,0.34,5.42,0.28,14.67,4.41,8.88,5.82,3.65,14.14,3.53,0.67,6.17,9.9
1-linoleoylglycerophosphoethanolamine*,0.22,0.12,0.07,0.39,0.08,0.09,0.12,0.12,0.07,1.22,1.37,6.85,1.59,6.38,4.83,3.53,6.7,7.14,1.01,8.29,8.68
1-linoleoylglycerophosphoserine*,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,3.93,3.9,1.9,0.66,1.07,0.76,0.86,1.08,0.66,0.26,1,1.12
1-margaroylglycerophosphocholine (17:0),0.57,0.97,0.14,0.14,0.14,0.14,0.42,0.14,0.14,0.14,0.14,1.37,0.55,3.79,1.03,1,5.95,2.11,0.14,3.35,3.61
1-margaroylglycerophosphoethanolamine*,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.24,0.49,7.11,1.36,11.18,10.04,6.39,23.47,15.57,1,17.8,16.98
1-myristoylglycerophosphocholine (14:0),0.22,0.22,0.22,0.22,0.54,0.22,0.22,0.22,0.22,0.22,0.22,1,0.61,1.44,1.26,0.69,4.29,1.17,0.22,1.36,2.1
1-myristoylglycerophosphoethanolamine,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.61,1.07,0.47,1.26,1.24,0.23,0.93,1.82
1-oleoylglycerol (1-monoolein),0.21,0.72,0.18,0.12,0.16,0.13,0.18,0.61,0.12,4.12,1.47,3.51,1.05,1.27,1,0.61,1.71,1.3,0.66,0.45,1.91
1-oleoylglycerophosphocholine (18:1),0.65,0.72,0.26,0.05,0.5,0.36,0.42,0.64,0.15,1.48,2.39,5.41,3.22,5.55,3.82,3.14,10.24,3.65,2.06,4.29,5.95
1-oleoylglycerophosphoethanolamine,0.62,0.32,0.11,0.05,0.27,0.09,0.15,0.21,0.13,0.68,2.14,21.02,7.98,28.34,25.92,17.52,37.51,24.46,2.87,30.24,28.77
1-oleoylglycerophosphoinositol*,0.12,0.93,0.07,0.07,0.19,0.07,0.09,0.53,0.11,0.91,2.76,3.75,2.08,3.1,2.31,2.09,5.71,1.89,2.24,2.68,2.02
1-oleoylglycerophosphoserine,0.12,0.18,0.05,0.03,0.1,0.03,0.07,0.25,0.04,1.29,3.6,3.53,1.83,2.31,1.57,1.21,6.43,0.95,1.1,2.1,2.06
1-oleoylplasmenylethanolamine*,0.42,1,0.08,0.03,0.33,0.16,0.18,0.46,0.12,1.98,2.76,4.23,3.27,11.06,7.79,5.83,18.46,6.39,1.43,9.58,9.95
1-palmitoleoylglycerophosphocholine (16:1)*,0.26,0.72,0.92,0.26,0.79,0.53,0.71,0.26,0.72,1,0.74,2.4,3.11,5.48,5.62,2.99,12.94,4.16,0.26,5.29,6.86
1-palmitoylglycerol (1-monopalmitin),0.25,0.62,0.16,0.06,0.26,0.11,0.16,0.37,0.15,3.05,1.47,4.57,1.27,2.02,1.99,1.11,3.14,2.15,0.64,1,2.52
