hsa00010,ALDOA|ALDOB|ALDOC|ALDH2|ALDH1B1|ALDH9A1|ALDH3A2|ALDH7A1|ALDH3A1|ALDH1A3|ALDH3B1|ALDH3B2|AKR1A1|ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7|PDHA1|PDHA2|PDHB|PDHA1|PDHA2|PDHB|DLAT|LDHAL6A|LDHA|LDHB|LDHC|LDHAL6B|PKLR|PKM|ENO1|ENO2|ENO3|PGAM4|PGAM1|PGAM2|BPGM|GAPDH|GAPDHS|TPI1|PFKL|PFKM|PFKP|FBP1|FBP2|GPI|PGM1|PGM2|GPI|HK1|HK2|HK3|HKDC1|GCK|GPI|GALM|GCK|HK1|HK2|HK3|HKDC1|G6PC|G6PC2|G6PC3|DLD|PGK1|PGK2|PCK1|PCK2|BPGM|BPGM|ACSS2|ACSS1|ADPGK|ADPGK,C00033|C00031|C00103|C00631|C00267|C00221|C00111|C01172|C00668|C05345|C00074|C00197|C00236|C00186|C15972|C00469|C00022|C05125|C00024|C00084|C16255|C15973|C05378|C06186|C06187|C06188|C01451|C00036|C01159|C00118|C00068
hsa00020,DLD|OGDH|OGDHL|OGDH|OGDHL|DLST|SUCLG2|SUCLG1|SUCLA2|SUCLG2|SUCLG1|SUCLA2|IDH1|IDH2|IDH3A|IDH3B|IDH3G|IDH1|IDH2|ACLY|FH|ACO1|ACO2|ACO1|ACO2|CS|MDH1|MDH2|PC|PDHA1|PDHA2|PDHB|PDHA1|PDHA2|PDHB|DLD|DLAT|PCK1|PCK2|SDHA|SDHB|SDHC|SDHD,C00022|C00122|C00036|C05379|C00024|C00149|C00311|C00417|C00042|C00158|C15972|C00068|C16254|C15973|C00091|C00026|C05381|C05125|C00068|C15972|C16255|C15973|C00074
hsa00030,GPI|RBKS|PGM2|DERA|PRPS1L1|PRPS1|PRPS2|PGM2|RBKS|TKT|TKTL1|TKTL2|RPIA|RPE|RPEL1|TKT|TKTL1|TKTL2|ALDOA|ALDOB|ALDOC|PFKL|PFKM|PFKP|FBP1|FBP2|GPI|PGD|PGLS|G6PD|RGN|TALDO1|PGM1|PGM2|H6PD,C01151|C00668|C00118|C00022|C00257|C00198|C00031|C00221|C00345|C00204|C03752|C04442|C00117|C00119|C00620|C00121|C00279|C01218|C05382|C01801|C00673|C00118|C05378|C01172|C01236|C06473|C05345|C00672|C00577|C00258|C00631|C00231|C00231|C00199|C06019|C20589|C03752|C00197
hsa00040,GUSB|KL|RPE|RPEL1|XYLB|AKR1B1|AKR1B10|DCXR|AKR1B1|AKR1B10|CRYL1|UGP2|UGT2B11|UGT2A1|UGT2B28|UGT1A10|UGT1A8|UGT1A7|UGT1A6|UGT1A5|UGT1A9|UGT1A4|UGT1A1|UGT1A3|UGT2A2|UGT2B4|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2A3|UGDH|DHDH|ALDH2|ALDH1B1|ALDH3A2|SORD|AKR1A1,C14899|C03033|C00817|C00103|C00905|C00514|C00558|C00800|C05385|C00167|C00029|C00312|C02266|C00379|C00181|C01068|C00789|C00022|C03826|C00502|C00309|C00474|C00231|C00310|C00199|C00476|C00508|C00532|C03291|C01508|C01101|C00259|C01904|C00618|C00714|C00470|C02273|C06118|C04053|C04349|C05411|C04575|C05412|C06441|C00266|C00111|C00433|C00026|C00204|C00116|C00116|C00333|C15930|C20680|C02426|C00191
hsa00051,AKR1B1|AKR1B10|SORD|KHK|PHPT1|HK1|HK2|HK3|HKDC1|HK1|HK2|HK3|HKDC1|PFKFB1|PFKFB2|PFKFB3|PFKFB4|C12orf5|MPI|PMM1|PMM2|FPGT|TSTA3|GMDS|GMPPB|GMPPA|PFKL|PFKM|PFKP|TPI1|ALDOA|ALDOB|ALDOC|ALDOA|ALDOB|ALDOC|FBP1|FBP2|FUK,C00247|C00267|C01094|C00159|C00275|C00392|C00644|C03267|C00665|C00794|C00464|C02492|C01096|C00325|C01768|C00577|C00507|C00861|C01131|C02431|C01934|C03979|C00118|C00096|C05345|C00976|C01222|C02985|C05392|C02977|C03117|C00095|C00794|C00636|C05378|C02991|C01355|C01019|C00111|C01099|C01721|C06192|C02888|C00247|C11516|C11544|C18096|C02962|C01487|C18028|C01720|C03827|C20781|C00424|C00186
hsa00052,GLA|PFKL|PFKM|PFKP|GLA|GAA|GANC|MGAM|GLA|AKR1B1|AKR1B10|GLA|GLA|GLA|GLA|GCK|HK1|HK2|HK3|HKDC1|LCT|GLB1|PGM1|PGM2|B4GALT1|LALBA|B4GALT2|GALE|UGP2|GALT|G6PC|G6PC2|G6PC3|GLA|SI|GALK1|GALK2|GALM,C06311|C01216|C00137|C00095|C03383|C00124|C00052|C00103|C00029|C00880|C01286|C00446|C01235|C00089|C00492|C01235|C05399|C05400|C05401|C00116|C00159|C00794|C05396|C01113|C00031|C00124|C05404|C01613|C00118|C00111|C03785|C01097|C01697|C05796|C00795|C00243|C01132|C06376|C06377|C02262|C05402|C00668|C00267|C00577|C02669|C00984|C03733
hsa00053,MIOX|UGDH|RGN|ALDH2|ALDH1B1|ALDH9A1|ALDH3A2|ALDH7A1|UGT2B11|UGT2A1|UGT2B28|UGT1A10|UGT1A8|UGT1A7|UGT1A6|UGT1A5|UGT1A9|UGT1A4|UGT1A1|UGT1A3|UGT2A2|UGT2B4|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2A3,C00137|C05385|C00167|C00029|C16186|C01825|C15930|C15926|C15923|C15925|C02280|C00096|C00231|C01101|C03291|C14899|C02670|C00191|C03921|C00818|C01040|C00800|C01146|C00333|C03289|C00022|C00679|C00879|C00072|C00433|C00026|C05422|C01041|C05406|C04575|C00259|C00684|C05411|C05412|C03826|C00545|C01620|C03064|C01114|C01115|C00618|C15924
hsa00061,FASN|OXSM|OLAH|OLAH|OLAH|OLAH|OXSM|OXSM|OXSM|OXSM|OXSM|OXSM|OLAH|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|FASN|MCAT|FASN|FASN|ACACA|ACACB|ACACA|ACACB|OXSM,C04088|C16221|C16220|C16219|C00712|C01530|C08362|C01203|C16520|C06424|C02679|C01571|C06423|C00024|C04419|C06250|C00083|C01209|C03939|C05744|C04618|C04246|C05745|C00229|C05746|C05747|C05748|C05749|C05752|C05751|C04620|C05750|C05753|C04619|C05754|C05755|C05223|C05758|C05757|C05756|C05759|C04688|C05760|C05761|C00249|C05764|C05763|C04633|C05762
hsa00062,PPT1|PPT2|MECR|ECHS1|HADHA|HADHA|ACAA2|HADHB|MECR|ECHS1|HADHA|HADHA|ACAA2|HADHB|MECR|ECHS1|HADHA|HADHA|ACAA2|HADHB|MECR|ECHS1|HADHA|HADHA|HADH|ACAA2|HADHB|MECR|ECHS1|HADHA|HADHA|HADH|ACAA2|HADHB|MECR|ECHS1|HADHA|HADHA|HADH|ACAA2|HADHB|HSD17B12|TECR|PTPLB|PTPLA|ECHS1|HADHA|HADH|ACAA2|HADHB|MECR|HADHA|PPT1|PPT2|ACOT2|ACOT7|ACOT4|ACOT1|ELOVL2|ELOVL5|ELOVL1|ELOVL4|ELOVL6|ELOVL7|ELOVL3,C00024|C00136|C05270|C05271|C05268|C05269|C01944|C05276|C05266|C05267|C05265|C05264|C05275|C05274|C01832|C03221|C05262|C05263|C02593|C05273|C05260|C05261|C05259|C05258|C05272|C00154|C00249|C00040|C00083|C02843|C00658|C00640|C00264|C00024|C00040|C00040...|C00658...|C00640|C00264|C00249...|C00638
hsa00071,ACADSB|ACADSB|ACADS|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADM|ECI2|ECI1|EHHADH|ACAT1|ACAT2|ACAA2|ACAA1|HADHB|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADS|ACADM|HADHA|ACADL|ACAA2|ACAA1|HADHB|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADM|HADHA|ACADL|ACAA2|ACAA1|HADHB|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADM|ACADL|HADHA|ACAA2|ACAA1|HADHB|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADM|ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7|GCDH|HADHA|ACADL|ACAA2|ACAA1|HADHB|ECHS1|EHHADH|HADHA|ACADM|EHHADH|HADH|HADHA|ACADL|CYP4A11|CYP4A22|ACAA2|ACAA1|HADHB|EHHADH|HADH|ECHS1|EHHADH|HADHA|ACADM|ACSL1|ACSL3|ACSL4|ACSBG1|ACSL6|ACSL5|ACSBG2|HADHA|ACADL|ACOX1|ACOX3|ACOX1|ACOX3|ACOX1|ACOX3|ACOX1|ACOX3|ACOX1|ACOX3|ACOX1|ACOX3|ACOX1|ACOX3|ACAT1|ACAT2|ACADVL|ACADVL|CPT1C|CPT1A|CPT1B|CPT2|ALDH2|ALDH1B1|ALDH9A1|ALDH3A2|ALDH7A1,C02990|C00638|C05280|C03561|C01144|C00877|C00332|C00136|C00229|C05269|C05271|C00010|C05268|C05270|C20683|C05279|C01144|C00010|C05267|C05266|C05276|C01944|C01371|C00340|C05275|C05274|C05264|C00010|C05265|C00435|C00226|C05262|C01832|C00010|C05263|C03221|C00071|C00010|C05260|C02593|C05261|C05273|C00162|C00527|C00010|C05259|C05258|C05272|C00154|C00249|C05102|C03547|C00517|C00823|C00024|C00489|C00154
