ChemicalName,PubChem CID,KEGG,Human Metabolome Database,ChEBI
"1,7-dimethylxanthine",,,,
1-Methyl-L-tryptophan,,,,
2-Hydroxy caprylic acid,,,,
2-Hydroxybutyric acid sodium salt,440864|11266,C05984,HMDB00008,CHEBI:50613|CHEBI:1148
3-Deoxyguanosine,,,,
3-Hydroxy-2-methylvalerate,,,,
3-hydroxy-3-methyl-Glutaric acid,,,,
3-Hydroxykynurenine,,,,
4-Hydroxy Phenyllacticacid,,,,
5-Hydroxyindoleaceticacid,,,,
5-Hydroxytryptophan,,,,
Adenosine,60961|32326,C00212|D00045|C07195|D00406,HMDB00050,CHEBI:16335
Alanine,7311724|5950,C00041|D00012,HMDB00161,CHEBI:16977|CHEBI:57972
Allose,,,,
alpha-hydroxyisobutyric acid,,,,
Aminobutyric acid,,,,
Arginine,6322|28782,C00062|D02982,HMDB00517,CHEBI:16467
Asparagine,6992089|6267,C00152,HMDB00168,CHEBI:17196|CHEBI:58048
Aspartic Acid,5960|44367445,C00049|D00013,HMDB00191,CHEBI:17053
Benzoic acid,20144841|243,C00180|C00539|D00038,HMDB01870,CHEBI:30746
Betaine,247,C00719|D07523,HMDB00043,CHEBI:17750
b-Hydroxyisovaleric acid,,,,
Caffeine,,,,
Carnitine,10917,C00318|D02176,NA,CHEBI:16347
Cinnamic acid,,,,
Citramalic acid,,,,
Citrulline,9750|6992098,C00327|D07706,HMDB00904,CHEBI:16349|CHEBI:57743
Cortisol,5754|657311,C00735|D00088,HMDB00063,CHEBI:17650
Coumarin,,,,
Creatine,59098743|586,C00300,HMDB00064,CHEBI:16919|CHEBI:57947
Cytidine monophosphate (CMP),7058165|6131,C00055,HMDB00095,CHEBI:60377|CHEBI:17361
Dimethylglycine,6971056|673,C01026,HMDB00092,CHEBI:17724|CHEBI:58251
DL-3-Phenyllactic acid,,,,
DL-Indole-3-lactic acid (3-Indolelactic acid),,,,
Glutamine or lysine or glutamic acid,,,,
glyceraldehyde-3-phosphate,729,C00661,,CHEBI:17138
Guanine,764,C00242,HMDB00132,CHEBI:16235
Hippuric acid,464,C01586,HMDB00714,CHEBI:18089
Histamine,774|156615,C00388|D08040,HMDB00870,CHEBI:18295|CHEBI:73337
Histidine,6274|6971009,C00135|D00032,HMDB00177,CHEBI:15971|CHEBI:57595
Homocysteine,6971015|91552|49791978|778,C00155|C05330,HMDB00742,CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
Homoserine,6971022|12647,C00263,HMDB00719,CHEBI:15699|CHEBI:57476
Hypoxanthine,790,C00262,HMDB00157,CHEBI:17368
Isobutyryl carnitine,,,,
Ketoleucine,,,,
Kynurenic acid,,,,
Kynurenine,161166|6971029,C00328,HMDB00684,CHEBI:16946|CHEBI:57959
Lauric acid,3893,C02679,HMDB00638,CHEBI:30805
Leucine,6106|7045798,C00123|D00030,HMDB00687,CHEBI:15603|CHEBI:57427
Lysine,5962,C00047|D02304,HMDB00182,CHEBI:18019
Methionine,6137|6992087,C00073|D00019,HMDB00696,CHEBI:16643|CHEBI:57844
N12-Acetylthermospermidine,,,,
N1-Acetylspermine,,,,
N-Acetyl Valine,66789|227752,NA,HMDB11757,NA
Nonanedioic acid,,,,
Norepinephrine (noradrenaline),,,,
Oleic acid,445639,C00712|D02315,HMDB00207|HMDB00573,CHEBI:16196
O-Succinyl-L-homoserine,,,,
Palmitic acid,985,C00249|D05341,HMDB00220,CHEBI:15756
Pantothenic acid,6613|988,C00864|D07413,HMDB00210,CHEBI:46905|CHEBI:7916
Phenylalanine,6925665|6140,C00079|D00021,HMDB00159,CHEBI:17295|CHEBI:58095
Phthalic acid Mono-2-ethylhexyl Ester,,,,
pipecolic acid,439227|6931663|25200477|849,C00408,HMDB00070|HMDB00716,CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
Proline,145742|6971047,C00148|D00035,HMDB00162,CHEBI:17203|CHEBI:60039
Pyroglutamic acid,,,,
S-Adenosylmethionine,34755,C00019,NA,CHEBI:67040
Sarcosine,7311726|1088,C00213,HMDB00271,CHEBI:15611|CHEBI:57433
Serine,5951|6857581|6857549|71077,C00065|D00016|C00740,HMDB03406|HMDB00187,CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
Spermidine,1102,C00315,HMDB01257,CHEBI:16610
Spermine,1103,C00750,HMDB01256,CHEBI:15746
Suberic acid,,,,
Taurine,1123|4068592,C00245|D00047,HMDB00251,CHEBI:15891|CHEBI:507393
Theophylline,,,,
Threonine,6971019|6288,C00188|D00041,HMDB00167,CHEBI:16857|CHEBI:57926
Thymine,1135,C00178,HMDB00262,CHEBI:17821
Trans-4 Hydroxytamoxifen,,,,
Tryptophan,6923516|6305,C00078|D00020,HMDB00929,CHEBI:16828|CHEBI:57912
Tyrosine,6057|6942100,C00082|D00022,HMDB00158,CHEBI:17895|CHEBI:58315
Uracil,1174,C00106|D00027,HMDB00300,CHEBI:17568
Urocanic acid,,,,
Valine,6971018|6287,C00183|D00039,HMDB00883,CHEBI:16414|CHEBI:57762
Vidarabine,,,,
Xanthine,1188,C00385,HMDB00292,CHEBI:17712|CHEBI:48517
