Name	Super Pathway	SubPathway	Pubchem	KEGG	Human Metabolome Database	ChEBI
1-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
1-arachidonoylglycerophosphoinositol*	Lipid	Lysolipid	NA	C03819	NA	NA
1-linoleoylglycerophosphocholine	Lipid	Lysolipid	5280646	C04100	NA	NA
1-methylimidazoleacetate	Amino acid	Histidine metabolism	75810	C05828	HMDB02820	CHEBI:1606
1-methylnicotinamide	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	457	C02918	HMDB00699	CHEBI:16797
1-myristoylglycerophosphocholine	Lipid	Lysolipid	NA	NA	NA	NA
1-oleoylglycerol (1-monoolein)	Lipid	Monoacylglycerol	NA	C01885	NA	NA
1-oleoylglycerophosphocholine	Lipid	Lysolipid	5280634|16081932	C03916	HMDB02815	CHEBI:74342
1-oleoylglycerophosphoethanolamine	Lipid	Lysolipid	NA	NA	NA	NA
1-palmitoylglycerol (1-monopalmitin)	Lipid	Monoacylglycerol	NA	C01885	NA	NA
1-palmitoylglycerophosphocholine	Lipid	Lysolipid	86555	C04102	NA	NA
1-stearoylglycerol (1-monostearin)	Lipid	Monoacylglycerol	NA	C01885	NA	NA
1-stearoylglycerophosphocholine	Lipid	Lysolipid	NA	NA	NA	NA
1-stearoylglycerophosphoethanolamine	Lipid	Lysolipid	NA	NA	NA	NA
1-stearoylglycerophosphoinositol	Lipid	Lysolipid	NA	C03819	NA	NA
"1,3-dihydroxyacetone"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	670	C00184|D07841	HMDB01882	CHEBI:16016|CHEBI:17567
"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	64960	C07326	HMDB02712	CHEBI:16070
10-heptadecenoate (17:1n7)	Lipid	Long chain fatty acid	NA	NA	NA	NA
10-nonadecenoate (19:1n9)	Lipid	Long chain fatty acid	NA	NA	NA	NA
2'-deoxyguanosine	Nucleotide	"Purine metabolism, guanine containing"	187790	C00330	HMDB00085	CHEBI:17172
2'-deoxyinosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	65058	C05512	HMDB00071	CHEBI:28997
2'-O-methylguanosine	Nucleotide	"Purine metabolism, guanine containing"	NA	C04545	NA	NA
2-aminoadipate	Amino acid	Lysine metabolism	92136|59066632|59366488|469	C00956	HMDB00510	CHEBI:37023|CHEBI:37024
2-aminobutyrate	Amino acid	Butanoate metabolism	6971251|439691	C02261	HMDB00650	CHEBI:28797
