	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
						
1,2-PROPANEDIOL	Lipid	Ketone bodies	1030	C00583|D00078	HMDB01881	CHEBI:16997
1,5-ANHYDROGLUCITOL (1,5-AG)	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	64960	C07326	HMDB02712	CHEBI:16070
1-ARACHIDONOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid		C05208		
1-ARACHIDONOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid	42607465		HMDB11517	CHEBI:64395
1-ARACHIDONOYLGLYCEROPHOSPHOINOSITOL*	Lipid	Lysolipid				
1-EICOSATRIENOYLGLYCEROPHOSPHOCHOLINE*						
1-HEPTADECANOYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	24779463		HMDB12108	CHEBI:74340
1-LINOLEOYLGLYCEROL (1-MONOLINOLEIN)	Lipid	Monoacylglycerol	5283469			CHEBI:75565|CHEBI:75568
1-LINOLEOYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	11988421|5280646	C04100		
1-LINOLEOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid	52925130		HMDB11507	
1-MYRISTOYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	460604		HMDB10379	
1-OCTADECANOL						
1-OLEOYLGLYCEROL (1-MONOOLEIN)	Lipid	Monoacylglycerol	5283468|12178130		HMDB11567	CHEBI:75342|CHEBI:75757
1-OLEOYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	16081932		HMDB02815	CHEBI:74342
1-OLEOYLGLYCEROPHOSPHOETHANOLAMINE	Lipid	Lysolipid	9547071|58177709		HMDB11506	CHEBI:74971|CHEBI:75168
1-PALMITOLEOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
1-PALMITOYLGLYCEROL (1-MONOPALMITIN)	Lipid	Monoacylglycerol	14900			CHEBI:69081|CHEBI:75811
1-PALMITOYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	86554			
1-PALMITOYLGLYCEROPHOSPHOETHANOLAMINE	Lipid	Lysolipid	9547069|58177710		HMDB11503	CHEBI:73004|CHEBI:73134
1-PALMITOYLGLYCEROPHOSPHOINOSITOL*	Lipid	Lysolipid				
1-PALMITOYLPLASMENYLETHANOLAMINE*	Lipid	Lysolipid				
1-STEAROYLGLYCEROL (1-MONOSTEARIN)	Lipid	Monoacylglycerol	24699	D01947		CHEBI:75555|CHEBI:75557
