BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PubChem CID	KEGG	Human Metabolome Database	ChEBI	
"1,2-propanediol"	Lipid	Ketone bodies	"1,2-propanediol"	259994|1030|439846	C00717|C02912|C00583|C01506|C02917	HMDB01881|HMDB06213	CHEBI:28972|CHEBI:16997|CHEBI:29002
dihydroxyacetone	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	dihydroxyacetone	670	C00184	HMDB01882	CHEBI:16016|CHEBI:17567
"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	"1,5-anhydroglucitol (1,5-AG)"	64960	C07326	HMDB02712	CHEBI:16070
10-heptadecenoate (17:1n7)	Lipid	Long chain fatty acid	10-heptadecenoate (17:1n7)	5312435	NA	NA	NA
10-nonadecenoate (19:1n9)	Lipid	Long chain fatty acid	10-nonadecenoate (19:1n9)	5312513	NA	NA	NA
13-HODE + 9-HODE	Lipid	"Fatty acid, monohydroxy"	13-HODE + 9-HODE	NA	NA	NA	NA
13-methylmyristic acid	Lipid	"Fatty acid, branched"	13-methylmyristic acid	151014	NA	NA	NA
1-arachidonoyl-GPC* (20:4)*	Lipid	Lysolipid	1-arachidonoyl-GPC* (20:4)*	NA	C05208	NA	NA
1-arachidonoyl-GPE* (20:4)*	Lipid	Lysolipid	1-arachidonoyl-GPE* (20:4)*	42607465	NA	HMDB11517	CHEBI:64395
1-arachidonoyl-GPI* (20:4)*	Lipid	Lysolipid	1-arachidonoyl-GPI* (20:4)*	NA	NA	NA	NA
1-myristoyl-GPC (14:0)	Lipid	Lysolipid	1-myristoyl-GPC (14:0)	460604	NA	HMDB10379	NA
1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	1-oleoylglycerol (18:1)	5283468|12178130	NA	HMDB11567	CHEBI:75757
1-oleoyl-GPC (18:1)	Lipid	Lysolipid	1-oleoyl-GPC (18:1)	16081932	NA	NA	NA
1-oleoyl-GPE (18:1)	Lipid	Lysolipid	1-oleoyl-GPE (18:1)	9547071|58177709	NA	HMDB11506	CHEBI:74971|CHEBI:75168
1-palmitoleoyl-GPC* (16:1)*	Lipid	Lysolipid	1-palmitoleoyl-GPC* (16:1)*	NA	NA	NA	NA
1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	1-palmitoylglycerol (16:0)	14900	NA	NA	NA
1-palmitoyl-GPC (16:0)	Lipid	Lysolipid	1-palmitoyl-GPC (16:0)	86554	NA	NA	NA
1-palmitoyl-GPE (16:0)	Lipid	Lysolipid	1-palmitoyl-GPE (16:0)	9547069|58177710	NA	HMDB11503	CHEBI:73004|CHEBI:73134
1-palmitoyl-GPI* (16:0)*	Lipid	Lysolipid	1-palmitoyl-GPI* (16:0)*	NA	NA	NA	NA
1-palmitoylplasmenylethanolamine*	Lipid	Lysolipid	1-palmitoylplasmenylethanolamine*	NA	NA	NA	NA
1-stearoylglycerol (18:0)	Lipid	Monoacylglycerol	1-stearoylglycerol (18:0)	24699	D01947	NA	NA
1-stearoyl-GPC (18:0)	Lipid	Lysolipid	1-stearoyl-GPC (18:0)	497299	NA	NA	NA
1-stearoyl-GPE (18:0)	Lipid	Lysolipid	1-stearoyl-GPE (18:0)	9547068|46891690	NA	HMDB11130	CHEBI:75036
1-stearoyl-GPI (18:0)	Lipid	Lysolipid	1-stearoyl-GPI (18:0)	NA	NA	NA	NA
2-aminoadipate	Amino acid	Lysine metabolism	2-aminoadipate	469|59066632|92136|59366488	C00956	HMDB00510	CHEBI:37023|CHEBI:37024
2-aminobutyrate	Amino acid	Butanoate metabolism	2-aminobutyrate	4|396|916|971|251|439691|6971251	C02261	HMDB00650	CHEBI:28797
2-arachidonoyl-GPC* (20:4)*	Lipid	Lysolipid	2-arachidonoyl-GPC* (20:4)*	NA	NA	NA	NA
2-arachidonoyl-GPE* (20:4)*	Lipid	Lysolipid	2-arachidonoyl-GPE* (20:4)*	NA	NA	NA	NA
2'-deoxyguanosine	Nucleotide	"Purine metabolism, guanine containing"	2'-deoxyguanosine	187790	C00330	HMDB00085	CHEBI:17172
2'-deoxyinosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	2'-deoxyinosine	65058	C05512	HMDB00071	CHEBI:28997
2-docosahexaenoyl-GPC* (22:6)*	Lipid	Lysolipid	2-docosahexaenoyl-GPC* (22:6)*	NA	NA	NA	NA
2-docosahexaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	2-docosahexaenoylglycerophosphoethanolamine*	NA	NA	NA	NA
2-docosapentaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	2-docosapentaenoylglycerophosphoethanolamine*	NA	NA	NA	NA
2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	2-hydroxyacetaminophen sulfate*	NA	NA	NA	NA
2-hydroxybutyrate (AHB)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	2-hydroxybutyrate (AHB)	440864|11266	C05984	HMDB00008	CHEBI:50613|CHEBI:1148
2-hydroxyglutarate	Lipid	"Fatty acid, dicarboxylate"	2-hydroxyglutarate	43|439391	C02630|C01087	HMDB00606	CHEBI:17084|CHEBI:32796
2-hydroxypalmitate	Lipid	"Fatty acid, monohydroxy"	2-hydroxypalmitate	92836	NA	NA	NA
2-linoleoyl-GPC* (18:2)*	Lipid	Lysolipid	2-linoleoyl-GPC* (18:2)*	NA	NA	NA	NA
2-methylbutyroylcarnitine (C5)	Amino acid	"Valine, leucine and isoleucine metabolism"	2-methylbutyroylcarnitine (C5)	6426901	NA	HMDB00378	CHEBI:73026
2-myristoyl-GPC* (14:0)*	Lipid	Lysolipid	2-myristoyl-GPC* (14:0)*	NA	NA	NA	NA
2-myristoylglycerophosphoethanolamine*	Lipid	Lysolipid	2-myristoylglycerophosphoethanolamine*	NA	NA	NA	NA
2-oleoyl-GPC* (18:1)*	Lipid	Lysolipid	2-oleoyl-GPC* (18:1)*	NA	NA	NA	NA
2-oleoyl-GPE* (18:1)*	Lipid	Lysolipid	2-oleoyl-GPE* (18:1)*	NA	NA	NA	NA
2-palmitoleoyl-GPC* (16:1)*	Lipid	Lysolipid	2-palmitoleoyl-GPC* (16:1)*	NA	NA	NA	NA
2-palmitoleoyl-GPE* (16:1)*	Lipid	Lysolipid	2-palmitoleoyl-GPE* (16:1)*	NA	NA	NA	NA
2-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	2-palmitoylglycerol (16:0)	123409	NA	NA	NA
