BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PUBCHEM,KEGG,                                      Group HMDB
"1,2-propanediol",Lipid,Ketone bodies,,"C00717,C02912,C00583,C01506,C02917",HMDB01881
dihydroxyacetone,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",670,C00184,HMDB01882
"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C07326,HMDB02712
10-heptadecenoate (17:1n7),Lipid,Long chain fatty acid,5312435,,
10-nonadecenoate (19:1n9),Lipid,Long chain fatty acid,5312513,,
13-HODE + 9-HODE,Lipid,"Fatty acid, monohydroxy",,,
13-methylmyristic acid,Lipid,"Fatty acid, branched",151014,,
1-arachidonoyl-GPC* (20:4)*,Lipid,Lysolipid,,C05208,
1-arachidonoyl-GPE* (20:4)*,Lipid,Lysolipid,,,HMDB11517
1-arachidonoyl-GPI* (20:4)*,Lipid,Lysolipid,,,
1-myristoyl-GPC (14:0),Lipid,Lysolipid,460604,,HMDB10379
1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,5283468,,HMDB11567
1-oleoyl-GPC (18:1),Lipid,Lysolipid,16081932,,
1-oleoyl-GPE (18:1),Lipid,Lysolipid,9547071,,HMDB11506
1-palmitoleoyl-GPC* (16:1)*,Lipid,Lysolipid,,,
1-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,14900,,
1-palmitoyl-GPC (16:0),Lipid,Lysolipid,86554,,
1-palmitoyl-GPE (16:0),Lipid,Lysolipid,9547069,,HMDB11503
1-palmitoyl-GPI* (16:0)*,Lipid,Lysolipid,,,
1-palmitoylplasmenylethanolamine*,Lipid,Lysolipid,,,
1-stearoylglycerol (18:0),Lipid,Monoacylglycerol,24699,D01947,
1-stearoyl-GPC (18:0),Lipid,Lysolipid,497299,,
1-stearoyl-GPE (18:0),Lipid,Lysolipid,9547068,,HMDB11130
1-stearoyl-GPI (18:0),Lipid,Lysolipid,,,
2-aminoadipate,Amino acid,Lysine metabolism,469,C00956,HMDB00510
2-aminobutyrate,Amino acid,Butanoate metabolism,"4,396,916,971,251",C02261,HMDB00650
2-arachidonoyl-GPC* (20:4)*,Lipid,Lysolipid,,,
2-arachidonoyl-GPE* (20:4)*,Lipid,Lysolipid,,,
2'-deoxyguanosine,Nucleotide,"Purine metabolism, guanine containing",187790,C00330,HMDB00085
2'-deoxyinosine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",65058,C05512,HMDB00071
2-docosahexaenoyl-GPC* (22:6)*,Lipid,Lysolipid,,,
2-docosahexaenoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,
2-docosapentaenoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,
2-hydroxyacetaminophen sulfate*,Xenobiotics,Drug,,,
2-hydroxybutyrate (AHB),Amino acid,"Cysteine, methionine, SAM, taurine metabolism",440864,C05984,HMDB00008
2-hydroxyglutarate,Lipid,"Fatty acid, dicarboxylate",43,C02630,HMDB00606
2-hydroxypalmitate,Lipid,"Fatty acid, monohydroxy",92836,,
2-linoleoyl-GPC* (18:2)*,Lipid,Lysolipid,,,
2-methylbutyroylcarnitine (C5),Amino acid,"Valine, leucine and isoleucine metabolism",6426901,,HMDB00378
2-myristoyl-GPC* (14:0)*,Lipid,Lysolipid,,,
2-myristoylglycerophosphoethanolamine*,Lipid,Lysolipid,,,
2-oleoyl-GPC* (18:1)*,Lipid,Lysolipid,,,
2-oleoyl-GPE* (18:1)*,Lipid,Lysolipid,,,
2-palmitoleoyl-GPC* (16:1)*,Lipid,Lysolipid,,,
2-palmitoleoyl-GPE* (16:1)*,Lipid,Lysolipid,,,
2-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,123409,,
2-palmitoyl-GPC* (16:0)*,Lipid,Lysolipid,,,
2-palmitoyl-GPE* (16:0)*,Lipid,Lysolipid,,,
2-stearoyl-GPC* (18:0)*,Lipid,Lysolipid,10208382,,
3-(4-hydroxyphenyl)lactate (HPLA),Amino acid,Phenylalanine & tyrosine metabolism,9378,C03672,HMDB00755
3-aminoisobutyrate,Nucleotide,"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/",64956,C05145,HMDB03911
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty acid, dicarboxylate",123979,,
3-dehydrocarnitine*,Lipid,Carnitine metabolism,6991982,C02636,HMDB12154
3-hydroxybutyrate (BHBA),Lipid,Ketone bodies,441,C01089,HMDB00357
3-phosphoglycerate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00597,HMDB00807
3-phosphoserine,Amino acid,"Glycine, serine and threonine metabolism",,C01005,HMDB00272
4-acetamidobutanoate,Amino acid,Guanidino and acetamido metabolism,18189,C02946,HMDB03681
4-acetaminophen sulfate,Xenobiotics,Drug,83939,C06804,HMDB01859
"4-androsten-3beta,17beta-diol disulfate 1*",Lipid,Sterol/Steroid,,,HMDB03818
4-guanidinobutanoate,Amino acid,Guanidino and acetamido metabolism,500,C01035,HMDB03464
4-methyl-2-oxopentanoate,Amino acid,"Valine, leucine and isoleucine metabolism",70,C00233,HMDB00695
"5,6-dihydrouracil",Nucleotide,"Pyrimidine metabolism, uracil containing",649,C00429,HMDB00076
5-methylthioadenosine (MTA),Amino acid,Polyamine metabolism,439176,C00170,HMDB01173
5-oxoproline,Amino acid,Glutathione metabolism,7405,C01879,HMDB00267
6-phosphogluconate,Carbohydrate,"Nucleotide sugars, pentose metabolism",91493,C00345,HMDB01316
7-HOCA,Lipid,Sterol/Steroid,3081085,C17337,HMDB12458
7-alpha-hydroxycholesterol,Lipid,Sterol/Steroid,107722,C03594,HMDB01496
7-beta-hydroxycholesterol,Lipid,Sterol/Steroid,473141,C03594,HMDB06119
acetylcarnitine (C2),Lipid,Carnitine metabolism,7045767,C02571,HMDB00201
acetylphosphate,Energy,Oxidative phosphorylation,186,C00227,HMDB01494
adenine,Nucleotide,"Purine metabolism, adenine containing",190,C00147,HMDB00034
adenosine,Nucleotide,"Purine metabolism, adenine containing",60961,C00212,HMDB00050
2'-AMP,Nucleotide,"Purine metabolism, adenine containing",,C00946,HMDB11617
3'-AMP,Nucleotide,"Purine metabolism, adenine containing",15938966,C01367,HMDB03540
AMP,Nucleotide,"Purine metabolism, adenine containing",15938965,C00020,HMDB00045
adrenate (22:4n6),Lipid,Long chain fatty acid,5282844,C16527,HMDB02226
alanine,Amino acid,Alanine and aspartate metabolism,"59,507,311,724",C00041,HMDB00161
allo-threonine,Amino acid,"Glycine, serine and threonine metabolism","992,896,995,276",C05519,HMDB04041
alpha-hydroxyisovalerate,Amino acid,"Valine, leucine and isoleucine metabolism",99823,,HMDB00407
alpha-tocopherol,Cofactors and vitamins,Tocopherol metabolism,14985,C02477,HMDB01893
anserine,Peptide,Dipeptide derivative,"6,992,114,112,072",C01262,HMDB00194
arabinose,Carbohydrate,"Nucleotide sugars, pentose metabolism",66308,C00181,HMDB00646
arabitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",94154,C00474,HMDB01851
arabonate,Cofactors and vitamins,Ascorbate and aldarate metabolism,122045,,HMDB00539
arachidonate (20:4n6),Lipid,Long chain fatty acid,444899,C00219,HMDB01043
arginine,Amino acid,"Urea cycle; arginine-, proline-, metabolism","5,246,487,232",C00062,HMDB00517
ascorbate (Vitamin C),Cofactors and vitamins,Ascorbate and aldarate metabolism,,C00072,HMDB00044
asparagine,Amino acid,Alanine and aspartate metabolism,"62,676,992,089",C00152,HMDB00168
aspartate,Amino acid,Alanine and aspartate metabolism,5960,C00049,HMDB00191
aspartylleucine,Peptide,Dipeptide,332962,,
benzoate,Xenobiotics,Benzoate metabolism,243,C00180,HMDB01870
beta-alanine,Amino acid,Alanine and aspartate metabolism,"2,394,755,801",C00099,HMDB00056
beta-hydroxyisovalerate,Amino acid,"Valine, leucine and isoleucine metabolism",69362,,HMDB00754
betaine aldehyde,Amino acid,"Glycine, serine and threonine metabolism",249,C00576,HMDB01252
butyrylcarnitine (C4),Lipid,Fatty acid metabolism (also BCAA metabolism),213144,,
caprate (10:0),Lipid,Medium chain fatty acid,2969,C01571,HMDB00511
caproate (6:0),Lipid,Medium chain fatty acid,8892,C01585,HMDB00535
caprylate (8:0),Lipid,Medium chain fatty acid,379,C06423,HMDB00482
"carbamazepine 10,11-epoxide*",Xenobiotics,Drug,2555,C07496,
carbamazepine*,Xenobiotics,Drug,2554,"C06868,D00252",
carnitine,Lipid,Carnitine metabolism,10917,,
C-glycosyltryptophan*,Amino acid,Tryptophan metabolism,,,
chiro-inositol,Lipid,Inositol metabolism,,,
cholesterol,Lipid,Sterol/Steroid,6432564,C00187,HMDB00067
phosphocholine,Lipid,Glycerolipid metabolism,135437,,
vaccenate (18:1n7),Lipid,Long chain fatty acid,5282761,C08367,
citalopram,Xenobiotics,Drug,2771,C07572,HMDB05038
citrate,Energy,Krebs cycle,311,C00158,HMDB00094
citrulline,Amino acid,"Urea cycle; arginine-, proline-, metabolism",833,C00327,HMDB00904
creatine,Amino acid,Creatine metabolism,586,C00300,HMDB00064
creatinine,Amino acid,Creatine metabolism,588,C00791,HMDB00562
cystathionine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","4,083,111,834",C02291,HMDB00099
cysteine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","58,626,419,722",C00097,HMDB00574
cysteine sulfinic acid,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","1,093,924,855",C00606,HMDB00996
cysteine-glutathione disulfide,Amino acid,Glutathione metabolism,4247235,,HMDB00656
cystine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",595,C00491,HMDB00192
cytidine,Nucleotide,"Pyrimidine metabolism, cytidine containing",6175,C00475,HMDB00089
CDP-choline,Lipid,Glycerolipid metabolism,,,
dehydroascorbate,Cofactors and vitamins,Ascorbate and aldarate metabolism,835,C05422,HMDB01264
deoxycarnitine,Lipid,Carnitine metabolism,725,C01181,HMDB01161
dihomolinoleate (20:2n6),Lipid,Long chain fatty acid,6439848,C16525,
dihomolinolenate (20:3n3 or 3n6),Lipid,Essential fatty acid,5312529,C03242,HMDB02925
dihydrocholesterol,Lipid,Sterol/Steroid,6665,,HMDB00908
dihydroxyacetone phosphate (DHAP),Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",4643300,C00111,HMDB01473
dimethylallyl pyrophosphate (DMAPP),Lipid,Mevalonate metabolism,647,C00235,HMDB01120
dimethylarginine (ADMA + SDMA),Amino acid,"Urea cycle; arginine-, proline-, metabolism",123831,C03626,"HMDB01539,HMDB03334"
diphenhydramine,Xenobiotics,Drug,3100,"D00300,D00520,D03360",
docosadienoate (22:2n6),Lipid,Long chain fatty acid,5282807,C16533,
docosahexaenoate (DHA; 22:6n3),Lipid,Essential fatty acid,445580,C06429,HMDB02183
docosapentaenoate (DPA; 22:5n3),Lipid,Essential fatty acid,,C16513,HMDB01976
docosapentaenoate (n6 DPA; 22:5n6),Lipid,Essential fatty acid,6441454,C06429,HMDB13123
docosatrienoate (22:3n3),Lipid,Long chain fatty acid,5312556,C16534,HMDB02823
eicosenoate (20:1n9 or 1n11),Lipid,Long chain fatty acid,,,HMDB02231
ergothioneine,Xenobiotics,Food component/Plant,3032311,C05570,HMDB03045
erythritol,Xenobiotics,"Sugar, sugar substitute, starch",,C00503,HMDB02994
erythronate*,Carbohydrate,Aminosugars metabolism,2781043,,HMDB00613
ethanolamine,Lipid,Glycerolipid metabolism,,C00189,HMDB00149
fructose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",5984,C00095,HMDB00660
fructose 1-phosphate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",65246,C01094,HMDB01076
fructose 6-phosphate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C05345,HMDB00124
fumarate,Energy,Krebs cycle,,C00122,HMDB00134
galactosylsphingosine,Lipid,Sphingolipid,,,HMDB00648
gamma-aminobutyrate (GABA),Amino acid,Glutamate metabolism,"6,992,099,119",C00334,HMDB00112
gamma-glutamylalanine,Peptide,gamma-glutamyl,440103,,
gamma-glutamylglutamate,Peptide,gamma-glutamyl,92865,,
gamma-glutamylglutamine,Peptide,gamma-glutamyl,150914,,HMDB11738
gamma-tocopherol,Cofactors and vitamins,Tocopherol metabolism,14986,C02483,HMDB01492
gluconate,Carbohydrate,"Nucleotide sugars, pentose metabolism",10690,C00257,HMDB00625
glucose,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",79025,C00293,HMDB00122
glucose 6-phosphate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00668,HMDB01401
glutamate,Amino acid,Glutamate metabolism,611,C00025,HMDB03339
glutamine,Amino acid,Glutamate metabolism,"69,920,865,961",C00064,HMDB00641
glutarate (pentanedioate),Amino acid,Lysine metabolism,4418048,C00489,HMDB00661
glutaroylcarnitine (C5),Amino acid,Lysine metabolism,,,HMDB13130
"glutathione, oxidized (GSSG)",Amino acid,Glutathione metabolism,"6,535,911,215,652",C00127,HMDB03337
"glutathione, reduced (GSH)",Amino acid,Glutathione metabolism,124886,C00051,HMDB00125
glycerate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",752,C00258,HMDB00139
glycerol,Lipid,Glycerolipid metabolism,753,C00116,HMDB00131
glycerol 2-phosphate,Xenobiotics,Chemical,2526,"C02979,D01488",HMDB02520
glycerol 3-phosphate (G3P),Lipid,Glycerolipid metabolism,754,C00093,HMDB00126
glycerophosphoethanolamine,Lipid,Glycerolipid metabolism,123874,C01233,HMDB00114
glycerophosphorylcholine (GPC),Lipid,Glycerolipid metabolism,657272,C00670,HMDB00086
glycine,Amino acid,"Glycine, serine and threonine metabolism","5,257,127,750",C00037,HMDB00123
glycolate (hydroxyacetate),Xenobiotics,Chemical,"3,698,251,757",C00160,HMDB00115
glycylglycine,Peptide,Dipeptide,"154,889,711,163",C02037,HMDB11733
guanine,Nucleotide,"Purine metabolism, guanine containing",764,C00242,HMDB00132
