	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
"1,2-dipalmitoylglycerol"						
"1,2-propanediol"	Lipid	Ketone bodies	1030	C00583|D00078	HMDB01881	CHEBI:16997
"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	64960	C07326	HMDB02712	CHEBI:16070
1-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	42607465	nan	HMDB11517	CHEBI:64395
1-arachidonoylglycerophosphoinositol*	Lipid	Lysolipid	nan	nan	nan	nan
1-linoleoylglycerophosphocholine	Lipid	Lysolipid	11988421|5280646	C04100	nan	nan
1-methylimidazoleacetate	Amino acid	Histidine metabolism	75810	C05828	HMDB02820	CHEBI:1606
1-myristoylglycerophosphocholine	Lipid	Lysolipid	460604	nan	HMDB10379	nan
1-octadecanol						
1-oleoylglycerol (1-monoolein)	Lipid	Monoacylglycerol	5283468|12178130	nan	HMDB11567	CHEBI:75342|CHEBI:75757
1-oleoylglycerophosphocholine	Lipid	Lysolipid	16081932	nan	HMDB02815	CHEBI:74342
1-oleoylglycerophosphoethanolamine	Lipid	Lysolipid	9547071|58177709	nan	HMDB11506	CHEBI:74971|CHEBI:75168
1-palmitoleoylglycerophosphocholine*	Lipid	Lysolipid	nan	nan	nan	nan
1-palmitoylglycerol (1-monopalmitin)	Lipid	Monoacylglycerol	14900	nan	nan	CHEBI:69081|CHEBI:75811
1-palmitoylglycerophosphocholine	Lipid	Lysolipid	86554	nan	nan	nan
1-palmitoylglycerophosphoethanolamine	Lipid	Lysolipid	9547069|58177710	nan	HMDB11503	CHEBI:73004|CHEBI:73134
1-palmitoylglycerophosphoinositol*	Lipid	Lysolipid	nan	nan	nan	nan
1-stearoylglycerol (1-monostearin)	Lipid	Monoacylglycerol	24699	D01947	nan	CHEBI:75555|CHEBI:75557
1-stearoylglycerophosphocholine	Lipid	Lysolipid	497299	nan	HMDB10384	CHEBI:73858
1-stearoylglycerophosphoethanolamine	Lipid	Lysolipid	9547068|46891690	nan	HMDB11130	CHEBI:75036
1-stearoylglycerophosphoinositol	Lipid	Lysolipid	nan	nan	nan	nan
10-heptadecenoate (17:1n7)	Lipid	Long chain fatty acid	5312435	nan	nan	CHEBI:75094
10-nonadecenoate (19:1n9)	Lipid	Long chain fatty acid	5312513	nan	HMDB13622	nan
13-HODE + 9-HODE	Lipid	"Fatty acid, monohydroxy"	nan	nan	nan	nan
2'-deoxyguanosine	Nucleotide	"Purine metabolism, guanine containing"	187790	C00330	HMDB00085	CHEBI:17172
2'-deoxyinosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	65058	C05512	HMDB00071	CHEBI:28997
2-aminoadipate	Amino acid	Lysine metabolism	92136|59066632|59366488|469	C00956	HMDB00510	CHEBI:37023|CHEBI:37024
2-aminobutyrate	Amino acid	Butanoate metabolism	6971251|439691	C02261	HMDB00650	CHEBI:28797
2-arachidonoylglycerophosphocholine*	Lipid	Lysolipid	nan	nan	nan	nan
