	PubChem CID	KEGG	Human Metabolome Database	ChEBI
1-METHYLADENOSINE		C02494 		
2-AMINOOCTANOIC ACID			HMDB00991	
2-DEHYDRO-D-GLUCONATE		C01218		
3-PHOSPHOGLYCERATE	724	C00597	HMDB00807	CHEBI:17050
4-AMINOBUTYRATE	119|6992099|6992099|119	C00334|D00058|C00334|D00058	HMDB00112	CHEBI:16865|CHEBI:59888
6-PHOSPHO-D-GLUCONATE		C00345		
A-KETOGLUTARATE	51	C00026	HMDB00208	CHEBI:30915
ACETYL-COA		C00024		
ACETYLCARNITINE DL		C02571		
ACETYLLYSINE		C02727		
ACONITATE		C00417		
ADENOSINE	60961|32326	C00212|D00045|C07195|D00406	HMDB00050	CHEBI:16335
ADENOSINE 5'-PHOSPHOSULFATE				
ADP	6022	C00008	HMDB01341	CHEBI:16761
ADP-D-GLUCOSE		C00498		
ALANINE	7311724|5950	C00041|D00012	HMDB00161	CHEBI:16977|CHEBI:57972
ALLANTOIN		C02350		
AMINOADIPIC ACID		C00956		
ANTHRANILATE		C00108		
ARGININE	6322|28782	C00062|D02982	HMDB00517	CHEBI:16467
ASCORBIC ACID		C00072		
ASPARAGINE	6992089|6267	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
ASPARTATE	44367445|5960	C00049|D00013	HMDB00191	CHEBI:17053
ATP	5957	C00002|D08646	HMDB00538	CHEBI:15422
CARNITINE	10917	C00318|D02176		CHEBI:16347
CDP	6132	C00112	HMDB01546	CHEBI:17239
CDP-CHOLINE		C00307		
CDP-ETHANOLAMINE		C00570		
CHOLESTERYL SULFATE		C18043		
CHOLINE	305	C00114|D07690	HMDB00097	CHEBI:15354
CITRATE	311|19782904	C00158|D00037	HMDB00094	CHEBI:30769
CITRULLINE	9750|6992098	C00327|D07706	HMDB00904	CHEBI:16349|CHEBI:57743
CMP	7058165|6131|6131	C00055	HMDB00095	CHEBI:17361
CREATINE	59098743|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
CREATINE PHOSPHATE		C02305		
CYCLIC-AMP		C00575		
CYSTATHIONINE	25243997|439258	C02291	HMDB00099	CHEBI:17482|CHEBI:58161
CYSTEINE	5862|6419722	C00097|D00026	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
CYTIDINE	6175	C00475|D07769	HMDB00089	CHEBI:17562
CYTIDINE_ACT				
D-GLUCONATE		C00257		
D-GLUCONO-DELTA-LACTONE-6-PHOSPHATE		C01236	HMDB01127	
D-GLUCURONIC ACID-POTENTIAL				
D-GLYCERALDEHDYE-3-PHOSPHATE		C00118  		
D-MANNOSE/L-SORBOSE-POTENTIAL-1				
D-SEDOHEPTULOSE-1/7-PHOSPHATE		C00447 		
DGDP		C00361 		
DGTP		C00286		
DIHYDROXYACETONE PHOSPHATE		C00111		
DIMETHYLGLYCINE	6971056|673	C01026	HMDB00092	CHEBI:17724|CHEBI:58251
DTMP		C00364		
FAD	643975	C00016|D00005|C00016|D00005	HMDB01248	CHEBI:16238
"FRUCTOSE-1,6-BISPHOSPHATE"		C00354		
FRUCTOSE-6-PHOSPHATE	440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
FUMARATE	444972|21883788	C00122|D02308	HMDB00134	CHEBI:18012|CHEBI:22958
GDP	8977	C00035	HMDB01201	CHEBI:17552
GLUCOSE-1-PHOSPHATE		C00103		
GLUCOSE-6-PHOSPHATE		C00092		
GLUTAMATE	44272391|33032|23327	C00025|D00007|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
GLUTAMINE	6992086|5961	C00064|D00015	HMDB00641	CHEBI:18050|CHEBI:58359
GLUTATHIONE		C00051		
GLUTATHIONE DISULFIDE		C00127		
GLYCERATE	439194	C00258	HMDB00139	CHEBI:32398
GLYCEROPHOSPHOCHOLINE		C00670		
GLYCINE	750|5257127	C00037|D00011	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
GLYCINE BETAINE		C00719		
GMP	6804	C00144	HMDB01397	CHEBI:17345
GUANIDOACETIC ACID		C00581		
GUANINE	764	C00242	HMDB00132	CHEBI:16235
GUANOSINE	6802	C00387	HMDB00133	CHEBI:16750
HIPPURIC ACID	464	C01586	HMDB00714	CHEBI:18089
HISTIDINE	6274|6971009	C00135|D00032	HMDB00177	CHEBI:15971|CHEBI:57595
HOMOCYSTEINE	6971015|91552|49791978|778	C00155|C05330	HMDB00742	CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
HYDROXYPROLINE	6971053|5810	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
HYPOXANTHINE	790	C00262	HMDB00157	CHEBI:17368
IDP		C00104		
IMP		C00130		
INDOLE		C00463		
INOSINE	6021	C00294|D00054	HMDB00195	CHEBI:17596
ISOCITRATE	1198|5318532	C00311|C00451	HMDB00193|HMDB01874	CHEBI:30887|CHEBI:151
KYNURENINE	161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
LACTATE	107689	C00186	HMDB00190	CHEBI:422
LEUCINE/ISOLEUCINE				
LYSINE	5962	C00047|D02304	HMDB00182	CHEBI:18019
MALATE	222656	C00149	HMDB00156	CHEBI:30797
METHIONINE	6137|6992087	C00073|D00019	HMDB00696	CHEBI:16643|CHEBI:57844
METHYLCYSTEINE			HMDB02108	
METHYLNICOTINAMIDE		C02918		
N-ACETYL-GLUCOSAMINE-1-PHOSPHATE		C04501		
N-ACETYL-GLUTAMATE		C00624		
N-ACETYL-L-ALANINE			HMDB00766	
N-ACETYL-L-ORNITHINE		C00437		
NAD+	5893	C00003|D00002|C00003|D00002	HMDB00902	CHEBI:15846
NADH	439153|928|439153|928	C00004	HMDB01487	CHEBI:16908
NADP+	5886	C00006	HMDB00217	CHEBI:18009
NICOTINAMIDE	936	C00153|D00036	HMDB01406	CHEBI:17154
ORNITHINE	6262|71082	C00077|D08302|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
PANTOTHENATE	6613|988	C00864|D07413	HMDB00210	CHEBI:46905|CHEBI:7916
PHENYLALANINE	6925665|6140	C00079|D00021	HMDB00159	CHEBI:17295|CHEBI:58095
PHOSPHOENOLPYRUVATE		C00074		
PROLINE	145742|6971047	C00148|D00035	HMDB00162	CHEBI:17203|CHEBI:60039
PYRUVATE	1060	C00022	HMDB00243	CHEBI:32816
S-ADENOSYL-L-HOMOCYSTEINE		C00021		
S-ADENOSYL-L-METHIONINE		C00019		
SERINE	5951|6857581|6857549|71077	C00065|D00016|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
SHIKIMATE-3-PHOSPHATE		C03175		
SN-GLYCEROL-3-PHOSPHATE		C00093		
SUCCINATE	1110|21952380	C00042	HMDB00254	CHEBI:15741
TAURINE	1123|4068592	C00245|D00047	HMDB00251	CHEBI:15891|CHEBI:507393
THREONINE	6971019|6288	C00188|D00041	HMDB00167	CHEBI:16857|CHEBI:57926
THYMINE	1135	C00178	HMDB00262	CHEBI:17821
TREHALOSE/SUCROSE				
TRYPTOPHAN	6923516|6305	C00078|D00020	HMDB00929	CHEBI:16828|CHEBI:57912
TYROSINE	6057|6942100	C00082|D00022	HMDB00158	CHEBI:17895|CHEBI:58315
UDP		C00015		
UDP-D-GLUCOSE		C00029		
UDP-D-GLUCURONATE		C00167		
UDP-N-ACETYL-GLUCOSAMINE		C00043		
UMP		C00105		
URACIL	1174	C00106|D00027	HMDB00300	CHEBI:17568
UREA	1176	C00086|D00023	HMDB00294	CHEBI:16199|CHEBI:48376
URIC ACID		C00366		
URIDINE	6029	C00299	HMDB00296	CHEBI:16704
UTP	6133	C00075	HMDB00285	CHEBI:15713
VALINE	6971018|6287	C00183|D00039	HMDB00883	CHEBI:16414|CHEBI:57762
XANTHINE	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
XANTHOSINE	64959	C01762	HMDB00299	CHEBI:18107
