PubChem CID	KEGG	Human Metabolome Database	ChEBI	
1-METHYLADENOSINE	NA	NA	NA	NA
2-AMINOOCTANOIC ACID	25200752|69522	NA	HMDB00991	NA
2-DEHYDRO-D-GLUCONATE	6602434	C01218	NA	CHEBI:2229
3-PHOSPHOGLYCERATE	724	C00597	HMDB00807	CHEBI:17050
4-AMINOBUTYRATE	119|6992099|6992099|119|119|6992099	C00334|D00058|C00334|D00058|C00334	HMDB00112	CHEBI:16865|CHEBI:59888
6-PHOSPHO-D-GLUCONATE	91493	C00345	HMDB01316	CHEBI:48928
A-KETOGLUTARATE	51	C00026	HMDB00208	CHEBI:30915
ACETYL-COA	6302	C00024	NA	NA
ACETYLCARNITINE DL	439756	C02571	NA	CHEBI:15960
ACETYLLYSINE	6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
ACONITATE	643757	C00417	HMDB00072	CHEBI:32805
ADENOSINE	60961|32326|60961	C00212|D00045|C07195|D00406|C00212	HMDB00050	CHEBI:16335
ADENOSINE 5'-PHOSPHOSULFATE	NA	NA	NA	NA
ADP	6022	C00008	HMDB01341	CHEBI:16761
ADP-D-GLUCOSE	16500	C00498	HMDB06557	CHEBI:15751
ALANINE	7311724|5950|5950|7311724	C00041|D00012|C00041	HMDB00161	CHEBI:16977|CHEBI:57972
ALLANTOIN	439714	C02350	NA	CHEBI:15678
AMINOADIPIC ACID	59066632|92136	C00956	NA	CHEBI:37023
ANTHRANILATE	227|3734162	C00108	HMDB01123	CHEBI:30754
ARGININE	6322|28782|28782|6322	C00062|D02982|C00062	HMDB00517	CHEBI:16467
ASCORBIC ACID	NA	C00072	NA	CHEBI:29073
ASPARAGINE	6992089|6267|6267|6992089	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
ASPARTATE	44367445|5960|44367445|5960	C00049|D00013|C00049	HMDB00191	CHEBI:17053
ATP	5957	C00002|D08646|C00002	HMDB00538	CHEBI:15422
CARNITINE	10917	C00318|D02176	NA	NA
CDP	6132	C00112	HMDB01546	CHEBI:17239
CDP-CHOLINE	11583971|13804	C00307	HMDB01413	CHEBI:16436
CDP-ETHANOLAMINE	123727	C00570	HMDB01564	CHEBI:16732
CHOLESTERYL SULFATE	65076	C18043	HMDB00653	CHEBI:41321
CHOLINE	305	C00114|D07690|C00114	HMDB00097	CHEBI:15354
CITRATE	311|19782904|19782904|311	C00158|D00037|C00158	HMDB00094	CHEBI:30769
CITRULLINE	9750|6992098|6992098|9750	C00327|D07706|C00327	HMDB00904	CHEBI:16349|CHEBI:57743
CMP	7058165|6131|6131|6131	C00055	HMDB00095	CHEBI:17361
CREATINE	59098743|586|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
CREATINE PHOSPHATE	5359254|587|9548602	C02305	HMDB01511	CHEBI:17287
CYCLIC-AMP	6076	C00575	HMDB00058	CHEBI:17489
CYSTATHIONINE	25243997|439258|25243997|439258	C02291	HMDB00099	CHEBI:17482|CHEBI:58161
CYSTEINE	5862|6419722|5862|6419722	C00097|D00026|C00097	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:61894
CYTIDINE	6175	C00475|D07769|C00475	HMDB00089	CHEBI:17562
CYTIDINE_ACT	NA	NA	NA	NA
D-GLUCONATE	10690	C00257	HMDB00625	CHEBI:33198
D-GLUCONO-DELTA-LACTONE-6-PHOSPHATE	439452	C01236	HMDB01127	CHEBI:16938
D-GLUCURONIC ACID-POTENTIAL	NA	NA	NA	NA
D-GLYCERALDEHDYE-3-PHOSPHATE	NA	NA	NA	NA
D-MANNOSE/L-SORBOSE-POTENTIAL-1	NA	NA	NA	NA
D-SEDOHEPTULOSE-1/7-PHOSPHATE	NA	NA	NA	NA
DGDP	NA	NA	NA	NA
DGTP	65103	C00286	HMDB01440	CHEBI:16497
DIHYDROXYACETONE PHOSPHATE	668	C00111	HMDB01473	CHEBI:16108|CHEBI:17197
DIMETHYLGLYCINE	6971056|673|673|6971056	C01026	HMDB00092	CHEBI:17724|CHEBI:58251
DTMP	9700	C00364	HMDB01227	CHEBI:17013
FAD	643975	C00016|D00005|C00016|D00005|C00016	HMDB01248	CHEBI:16238
"FRUCTOSE-1,6-BISPHOSPHATE"	172313	C00354	NA	CHEBI:37736
FRUCTOSE-6-PHOSPHATE	440641|69507|440641	C05345	HMDB00124|HMDB03971|HMDB03971	CHEBI:16084
FUMARATE	444972|21883788|21883788|444972	C00122|D02308|C00122	HMDB00134	CHEBI:18012|CHEBI:22958
GDP	8977	C00035	HMDB01201	CHEBI:17552
GLUCOSE-1-PHOSPHATE	65533	C00103	NA	CHEBI:29042
GLUCOSE-6-PHOSPHATE	5958	C00092	HMDB01401	CHEBI:4170
GLUTAMATE	44272391|33032|23327	C00025|D00007|C00217	HMDB03339|HMDB00148	NA
GLUTAMINE	6992086|5961|5961|6992086	C00064|D00015|C00064	HMDB00641	CHEBI:18050|CHEBI:58359
GLUTATHIONE	124886|25246407	C00051|C02471	HMDB00125	CHEBI:16856|CHEBI:60836
GLUTATHIONE DISULFIDE	11215652|65359	C00127	NA	CHEBI:17858
GLYCERATE	439194	C00258	HMDB00139	CHEBI:32398
GLYCEROPHOSPHOCHOLINE	439285|58381695	C00670	NA	CHEBI:16870
GLYCINE	750|5257127|5257127|750	C00037|D00011|C00037	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
GLYCINE BETAINE	247	C00719	HMDB00043	CHEBI:17750
GMP	6804	C00144	HMDB01397	CHEBI:17345
GUANIDOACETIC ACID	3946848|4546993|763	C00581	HMDB00128	CHEBI:16344|CHEBI:57742
GUANINE	764	C00242	HMDB00132	CHEBI:16235
GUANOSINE	6802	C00387	HMDB00133	CHEBI:16750
HIPPURIC ACID	464	C01586	HMDB00714	CHEBI:18089
HISTIDINE	6274|6971009|6274|6971009	C00135|D00032|C00135	HMDB00177	CHEBI:15971|CHEBI:57595
HOMOCYSTEINE	6971015|91552|49791978|778|49791978|778	C00155|C05330|C05330	HMDB00742	CHEBI:17230|CHEBI:58065
HYDROXYPROLINE	6971053|5810|5810|6971053	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
HYPOXANTHINE	790	C00262	HMDB00157	CHEBI:17368
IDP	6831	C00104	NA	CHEBI:17808
IMP	8582	C00130	HMDB00175	CHEBI:17202
INDOLE	798	C00463	HMDB00738	CHEBI:16881
INOSINE	6021	C00294|D00054|C00294	HMDB00195	CHEBI:17596
ISOCITRATE	1198|5318532	C00311|C00451	HMDB00193|HMDB01874	NA
KYNURENINE	161166|6971029|161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
LACTATE	107689	C00186	HMDB00190	CHEBI:422
LEUCINE/ISOLEUCINE	NA	NA	NA	NA
LYSINE	5962	C00047|D02304|C00047	HMDB00182	CHEBI:18019
MALATE	222656	C00149	HMDB00156	CHEBI:30797
METHIONINE	6137|6992087|6137|6992087	C00073|D00019|C00073	HMDB00696	CHEBI:16643|CHEBI:57844
METHYLCYSTEINE	24417|7058174	NA	HMDB02108	NA
METHYLNICOTINAMIDE	457	C02918	HMDB00699	CHEBI:16797
N-ACETYL-GLUCOSAMINE-1-PHOSPHATE	440364	C04501	NA	CHEBI:16446
N-ACETYL-GLUTAMATE	70914	C00624	NA	CHEBI:17533
N-ACETYL-L-ALANINE	88064	NA	HMDB00766	CHEBI:40992
N-ACETYL-L-ORNITHINE	439232|6992102	C00437	HMDB03357	CHEBI:16543|CHEBI:57805
