Metabolite,22210-0003Normal,22210-0003Tumor,22210-0002Normal,22210-0002Tumor,22210-0007Normal,22210-0007Tumor,22210-0008Normal,22210-0008Tumor,22210-0012Normal,22210-0012Tumor,22210-0011Normal,22210-0011Tumor,22210-0013Normal,22210-0013Tumor,22210-0014Normal,22210-0014Tumor,22210-0015Normal,22210-0015Tumor,22210-0016Normal,22210-0016Tumor,22210-0021Normal,22210-0021Tumor,22210-0020Normal,22210-0020Tumor,22210-0022Normal,22210-0022Tumor,22210-0023Normal,22210-0023Tumor,22210-0024Normal,22210-0024Tumor,22210-0028Normal,22210-0028Tumor,22210-0029Normal,22210-0029Tumor,22210-0030Normal,22210-0030Tumor,22210-0034Normal,22210-0034Tumor,22210-0035Normal,22210-0035Tumor,22210-0038Normal,22210-0038Tumor,22210-0039Normal,22210-0039Tumor,22210-0040Normal,22210-0040Tumor,22210-0042Normal,22210-0042Tumor,22210-0044Normal,22210-0044Tumor,22210-0047Normal,22210-0047Tumor,22210-0054Normal,22210-0054Tumor,22210-0056Normal,22210-0056Tumor,22210-0057Normal,22210-0057Tumor,22210-0061Normal,22210-0061Tumor,22210-0062Normal,22210-0062Tumor,22210-0063Normal,22210-0063Tumor,22210-0064Normal,22210-0064Tumor,22210-0065Normal,22210-0065Tumor,22210-0066Normal,22210-0066Tumor,22210-0067Normal,22210-0067Tumor,22210-0068Normal,22210-0068Tumor,22210-0072Normal,22210-0072Tumor,22210-0074Normal,22210-0074Tumor,22210-0075Normal,22210-0075Tumor,22210-0077Normal,22210-0077Tumor,22210-0078Normal,22210-0078Tumor,22210-0080Normal,22210-0080Tumor,22210-0081Normal,22210-0081Tumor,22210-0082Normal,22210-0082Tumor,22210-0085Normal,22210-0085Tumor,22210-0086Normal,22210-0086Tumor,22210-0090Normal,22210-0090Tumor,22210-0091Normal,22210-0091Tumor
1-Methyladenosine,-0.920397237,-1.299612414,-1.39319166,-0.761903888,-1.377012754,-0.482484644,NA,-0.489018198,-0.052671203,0.886680305,-0.586379596,0.923908207,0.471475779,0.750379096,2.042176001,2.139744405,2.680576277,2.300970672,-1.57460146,-1.580575362,-2.816420814,-3.030902896,NA,NA,NA,NA,NA,NA,NA,NA,-4.661136606,-4.774245742,-3.122449195,-3.99829573,0.643479271,0.660474881,0.665950583,0.979935575,-0.934966416,1.260453564,0.018290278,0.131986626,1.44718739,0.713962242,2.482357377,3.004158208,1.88444553,2.308705966,1.126416177,1.117768793,0.001428027,0.582011423,0.455367352,-0.307302305,0.759539281,0.525321358,0.226824573,0.52485018,-3.585036054,0.999262661,1.023637224,0.896640208,0.954856811,0.725853585,1.065996228,0.860329037,0.790161435,1.067810896,-0.908383054,1.132318948,-0.432697386,0.2617424,0.67039019,-0.694588546,0.406312465,0.314416226,-0.355748994,-1.15380266,1.082645219,-0.584709875,0.019552917,-0.336860709,0.316001228,0.852790621,-0.388830345,0.083718545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Aminooctanoic acid,-0.283508684,-0.922914212,0.323700656,0.734911998,0.109258742,-0.929948118,NA,NA,NA,NA,-1.208292033,0.841138333,0.347154319,0.62692358,0.093271711,0.459795102,NA,NA,0.386992172,1.045822943,-0.296087172,-0.239422603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192997933,0.088317001,0.258273106,1.210679592,-1.4693941,-0.062333205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.302953714,1.256063091,1.413813244,2.673783089,0.664748009,0.827104716,1.425307425,1.516749018,-1.127059802,-0.396465521,-1.444711042,-1.537163235,-1.62767062,-3.414056437,-0.677585664,0.21190877,-2.230828307,-1.600071561,-1.315463416,-1.406764293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.242576333,-0.862442042,1.19011988,1.602284943,0.700754174,0.44237269,-0.564738563,1.192990975,0.69828067,-0.804701306,0.119565567,-0.068142057
2-dehydro-D-gluconate,-0.178210997,0.696479339,0.193488286,0.211200811,0.284073865,-0.174442892,0.290636785,-0.462505315,0.459361244,-0.481871482,0.136081659,0.365098774,1.294410889,0.653924939,-0.738014456,0.833222831,0.971836463,0.660939182,-1.176388319,0.096933706,0.357731994,0.577384099,-0.148656966,0.398913103,0.464518204,0.132767242,-1.79750377,-0.058277321,0.334581508,-0.818274522,0.013133739,1.384725786,-2.394885095,-0.644181301,NA,NA,-0.313673328,0.326131246,0.73097942,1.458425025,1.885402164,1.666364878,-1.164949274,-0.034856196,-1.467810182,-0.18494002,0.386237753,-0.782175875,-0.822572568,-0.020486667,-0.011272287,-0.433628995,0.034898877,-1.108181836,0.672654839,2.324722919,0.327044248,0.714878132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.300287473,-0.742734118,-0.822251004,-0.786988633,-1.196023327,-0.475610676,-1.570640798,1.721735519,-0.681124766,2.386973519,-1.494700211,-0.82551276,0.349907705,2.260567793,3.882801935,1.483541982,1.172790402,-0.949044307,-1.301488064,-4.217803669,0.151449755,-0.168572179,-0.049967935,-0.285617633,-1.580079403,-0.197345655,0.440304572,0.346417088
3-phosphoglycerate,0.981320993,1.505025679,0.77884504,0.951798103,0.726443564,0.993112225,-1.928457724,-1.939868776,0.338582842,0.420835236,0.764512895,1.753273897,-0.489710452,1.595522655,0.989659002,1.318863878,1.930145535,0.96610886,-1.834052328,-0.117008222,-0.794649852,-0.428725623,1.107821736,0.833986426,-1.53182549,1.054056205,-0.573867077,0.951135584,0.933480637,0.676227087,1.169780297,2.038462697,NA,NA,-0.579079846,-2.779310551,NA,NA,NA,NA,0.078485622,-0.120604332,-0.391446646,0.586698815,-3.462401164,-0.506339922,NA,-1.015722357,-2.553471971,-1.518686591,0.882300027,0.042067077,1.175454681,0.945448267,1.193134692,1.923821861,1.483263603,1.748146441,-0.901976858,0.384093092,0.279170217,0.50193166,0.010442154,-0.211402687,-0.201253725,-0.222295264,-0.818926406,0.695092132,-0.881848121,0.929905223,-0.788654915,-0.101255534,-0.727311302,-1.400878008,1.074964321,0.467115139,-0.872009695,-0.504269281,-2.235034304,-1.698090716,0.856795691,-1.318413722,-2.701440603,-1.140308481,-0.158198198,-1.038820717,0.395779123,-0.213680248,-0.066091055,-1.263426178,1.597607923,1.505597328,-0.801382726,1.185570619,-1.288884603,1.029911697,-2.41379938,-1.402651316
4-aminobutyrate,-1.06416472,-0.882463235,-1.03490137,0.20576954,0.086310922,0.170743746,-0.046934173,0.112232101,-0.161182229,0.746627565,0.503003599,1.130198246,-0.223729315,-1.214205754,-0.151689441,0.015255622,1.480783824,0.869840252,0.02043668,1.442426395,-0.885384648,1.058301112,-0.240864283,0.163600319,-0.260467208,0.511141395,0.180880933,-0.203763363,0.43926828,0.289201002,-0.752328215,-0.313725918,0.470082172,0.630360959,0.089497063,0.46767918,0.931453212,0.518028893,-0.244242013,1.330954462,0.232864057,0.216323174,0.654009937,0.481440731,0.29072827,0.352071765,-0.00691444,0.872773399,0.701587097,0.767965318,-0.274940952,0.682638932,0.66034691,1.270643079,0.672641502,0.434473829,0.775459263,0.560754813,-3.134385009,-2.032200331,-3.030500993,-3.179380027,-2.435221921,-3.318484294,-2.73069926,-3.069398996,-2.146093644,-1.936756221,-2.338345391,-3.108294105,0.444400371,0.489848258,1.349198078,1.440684865,0.83052062,0.479611897,0.577343616,-0.196540733,0.39990167,0.841586295,1.335041141,0.890210741,0.691432225,0.455940009,0.112894118,0.374234267,1.161672635,0.282545937,-0.340084107,0.289712399,1.276345165,0.168718126,0.32567053,0.823294912,0.732465233,0.639131152,0.026222135,1.037572441
6-phospho-D-gluconate,2.640428104,1.892663045,-0.168281972,-0.020405113,1.38196152,1.899897459,-2.564355942,-1.228711129,0.614923586,0.292631825,NA,0.508203206,-1.428952861,0.827799336,0.846832876,0.074286788,1.750588468,2.280366131,-0.990872482,-1.464269284,-1.88804912,-0.295395626,0.786242076,0.827067876,0.087296692,0.595161921,1.375141529,0.941494395,1.1761762,0.085646388,1.289928853,1.657476895,NA,NA,NA,NA,NA,NA,NA,NA,-0.880631593,-0.568094684,0.492583319,0.483763299,0.157958509,-3.569206397,NA,1.731554603,-1.302192382,-0.218162978,0.895233764,0.826985757,2.687888105,1.891694592,1.69943278,3.193713715,1.295753639,1.634139062,-1.197622906,-2.168628006,-0.089301456,-0.613730432,-0.246502933,-1.782605376,0.464385102,-1.427233264,-1.49383359,-1.923763131,NA,-0.534415189,-1.218812166,-1.678429562,-1.460186775,-2.053938901,-0.18086994,-1.582686702,-0.53318766,-1.413052828,-1.453024116,-0.951046864,-0.344065797,-1.541213188,0.736782279,0.624796771,-3.102894993,-1.524497967,-0.569491216,0.442550516,-0.482350543,-1.211763447,0.762881928,3.154146322,NA,0.63529988,1.810005825,-0.356150724,-0.880451861,0.639906228
a-ketoglutarate,-1.395377245,-1.031393656,-0.777966211,-0.252027794,-0.414249995,-0.55598916,-0.066574126,0.01324936,0.647417035,-0.919828079,2.091989101,0.667815695,0.371117244,-0.531251524,-0.260965361,1.021830942,-0.457447707,-2.185829287,-1.516670912,-0.766496973,-1.277368529,-3.343616546,-0.147646559,0.116789312,0.418383697,0.578742105,-0.162783782,-1.881954605,-0.000836478,-0.11111032,2.806721929,3.751513536,NA,NA,-0.301610679,0.365125603,-0.257836329,-3.263550174,0.163881278,0.234764092,1.136835443,-0.320136519,0.175046878,0.33709264,-0.819408792,-1.294608431,0.381991479,-0.322997838,-0.323528521,0.240015186,1.453524681,0.875029654,NA,NA,NA,NA,NA,NA,2.782397389,1.907892666,1.423489151,1.847802944,1.104620689,1.599467746,1.055621723,1.412688525,1.293881869,1.289384705,2.967222902,1.938638274,-1.437262627,-0.508706192,0.457171658,0.928756289,-0.224925998,-0.863037861,-1.087349234,3.427863902,-0.544020619,-1.171032134,0.385530919,0.709457817,-0.879456901,-0.721815931,-0.475436953,-0.746444365,-0.939618354,-1.934218728,-1.502331839,-2.551675166,-1.40670888,-2.121490035,-0.438387036,-0.952857259,-2.080225038,-0.858221015,-0.847874094,-1.196947597
acetyl-CoA,0.009422225,-1.683286115,NA,NA,NA,NA,NA,NA,NA,-0.555585336,NA,-1.502987223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868001568,-1.997910663,0.521813473,-0.117762809,1.519044294,1.566930778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316664572,-2.404339051,NA,-1.596321541,0.445689959,-2.253237575,-2.605928416,NA,-2.729458331,-0.737294685,NA,NA,-2.976277241,1.478006052,-1.315066588,-2.794567568,2.301291886,3.51640673,3.268673618,3.822402996,1.867004597,1.380437712,NA,-0.603472525,1.885191362,0.664096066,0.061896993,0.380520787
Acetylcarnitine DL,1.051691334,0.923145327,0.877122628,2.249508766,2.905206272,1.388860101,0.225507265,0.228822549,1.725318432,2.299250544,1.803922379,2.118267261,2.357558096,2.372450536,2.415532405,2.736775028,2.516595796,2.673238629,1.768208999,1.916870166,1.049993447,0.990589679,-1.743881768,-1.66899641,-2.360886225,-1.743205389,-1.873634774,-2.305636918,-1.408481136,-1.925989082,-0.576085402,-0.736527698,0.010492034,0.023953302,-0.326843973,-0.13107148,1.442944299,0.280426026,1.558183916,2.051136583,-2.305673768,-1.229895149,-0.486450765,-0.943136673,0.002677512,-0.895377313,-0.239792876,0.995248151,0.206843593,0.180968115,-0.209663124,-1.257896145,2.161682892,0.998380914,0.422755983,0.55557944,0.771671171,0.791627844,-2.713437892,-1.297655855,-0.574850766,-0.272095049,-0.396744091,-1.522928963,-0.54546532,0.341050124,-0.708253173,-0.920562444,-1.137504558,-0.301339345,-0.818922041,-0.897325319,-1.082387633,-1.623526891,-0.118236839,-1.355421516,-1.311385782,-3.594245647,-1.096765687,-1.092527581,-2.910666781,0.187550931,-0.311986354,-0.432131904,-0.960624153,-0.836313654,0.024374666,-0.389660011,0.346876094,0.170303965,-0.028968436,0.552317844,0.40460232,1.412406134,0.438082174,-0.378731703,0.415724207,-0.172936488
Acetyllysine,-0.410710593,-0.105194694,1.863239456,0.671069308,0.350721002,1.483210447,1.094181399,-0.477187574,-2.066958081,-0.985298303,NA,-1.145972708,-0.720215191,-1.468346952,-1.214215226,-0.463227431,NA,NA,1.346270499,0.683877383,1.582137381,1.491720954,-0.665296872,-0.410132285,-0.069633902,-0.378048844,-1.427979053,-0.805703902,-0.430468462,-0.649336325,NA,NA,NA,NA,NA,NA,0.705924775,1.370811749,0.153706935,1.198808155,0.467687,0.648045959,0.203092986,1.384321335,1.440605887,0.647792016,-1.318376127,-0.198587937,-0.707258577,-0.919830486,-0.021923739,-0.225190638,-0.373769908,-0.180823851,-1.429308224,0.536653427,-0.460810629,-0.605706595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483979196,0.698077367,0.503984932,0.107149844,1.321319351,1.16962113,-1.878410593,1.377832874,-0.992950136,0.308186869,-0.861081782,0.223033114,0.547588615,0.165584375,0.010338056,0.640552367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
