Metabolite,22210-0003Normal,22210-0003Tumor,22210-0002Normal,22210-0002Tumor,22210-0007Normal,22210-0007Tumor,22210-0008Normal,22210-0008Tumor,22210-0012Normal,22210-0012Tumor,22210-0011Normal,22210-0011Tumor,22210-0013Normal,22210-0013Tumor,22210-0014Normal,22210-0014Tumor,22210-0015Normal,22210-0015Tumor,22210-0016Normal,22210-0016Tumor,22210-0021Normal,22210-0021Tumor,22210-0020Normal,22210-0020Tumor,22210-0022Normal,22210-0022Tumor,22210-0023Normal,22210-0023Tumor,22210-0024Normal,22210-0024Tumor,22210-0028Normal,22210-0028Tumor,22210-0029Normal,22210-0029Tumor,22210-0030Normal,22210-0030Tumor,22210-0034Normal,22210-0034Tumor,22210-0035Normal,22210-0035Tumor,22210-0038Normal,22210-0038Tumor,22210-0039Normal,22210-0039Tumor,22210-0040Normal,22210-0040Tumor,22210-0042Normal,22210-0042Tumor,22210-0044Normal,22210-0044Tumor,22210-0047Normal,22210-0047Tumor,22210-0054Normal,22210-0054Tumor,22210-0056Normal,22210-0056Tumor,22210-0057Normal,22210-0057Tumor,22210-0061Normal,22210-0061Tumor,22210-0062Normal,22210-0062Tumor,22210-0063Normal,22210-0063Tumor,22210-0064Normal,22210-0064Tumor,22210-0065Normal,22210-0065Tumor,22210-0066Normal,22210-0066Tumor,22210-0067Normal,22210-0067Tumor,22210-0068Normal,22210-0068Tumor,22210-0072Normal,22210-0072Tumor,22210-0074Normal,22210-0074Tumor,22210-0075Normal,22210-0075Tumor,22210-0077Normal,22210-0077Tumor,22210-0078Normal,22210-0078Tumor,22210-0080Normal,22210-0080Tumor,22210-0081Normal,22210-0081Tumor,22210-0082Normal,22210-0082Tumor,22210-0085Normal,22210-0085Tumor,22210-0086Normal,22210-0086Tumor,22210-0090Normal,22210-0090Tumor,22210-0091Normal,22210-0091Tumor
1-Methyladenosine,0.38534842807522923,0.29627734803755645,0.27766957058008462,0.43009544578542014,0.28080098354372174,0.52200951316584654,0.02665198701398605,0.5196508260381949,0.70317780777811922,1.3484602113593775,0.48573894001686768,1.3837092734877341,1.0112280777207519,1.2268949645313711,3.0038414147368688,3.2140158706795821,4.6757860728004292,3.5940321640312973,0.24486036770015854,0.24384854783743926,0.10353653404161133,0.089233531793191614,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.028825631851372241,0.02665198701398605,0.083747123753058303,0.045636656788719192,1.1392717543262543,1.1527722636599413,1.1571558868967828,1.4385029931969808,0.38147653730075143,1.7472502002005894,0.73862957046743283,0.79919489566453361,1.9886922520980415,1.1963129903524654,4.0755366075260548,5.8514365527675523,2.6927460514396584,3.6133540290251607,1.5922300823468587,1.5827149437196131,0.73004670804079697,1.0917511652960881,1.0,0.58940464816250959,1.2347097410809378,1.0496832185468192,0.85349654661493757,1.0493404524949328,0.060773938244879019,1.4579035803509219,1.4827443475264743,1.3578017557840263,1.413713188941581,1.206214290840081,1.5269246559092844,1.324053745796161,1.2611973842875759,1.5288464790269984,0.38857085342436748,1.598758019721088,0.54033845388865642,0.87440590445398636,1.1607222885827433,0.45063900675840329,0.96656932345853319,0.90692105206412854,0.56994067168380824,0.32778687377831578,1.5446477409035402,0.48630144145016208,0.7392762980903782,0.5774516016050788,0.90791797903868543,1.3171533019731239,0.55702048992493014,0.77289867226621467,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605,0.02665198701398605
2-Aminooctanoic acid,0.75895126943369162,0.48722958189230492,1.1561178769578369,1.5374077471733965,0.9964342989196957,0.48485985994168035,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.39978487930436901,1.6548795085321921,1.1750663042119278,1.4265313233148729,0.98545340033639217,1.270488174869963,0.086661283164866237,0.086661283164866237,1.2079661415566443,1.9071400463995882,0.75236293074456506,0.78250140225893439,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,1.0559823918909748,0.98207482000909341,1.1048579922662314,2.1380082758718251,0.33360059001804615,0.88469657345588348,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,2.2792221693031611,2.2063335878337216,2.4612668611763748,5.8945060978970165,1.4644265697929857,1.638859936795996,2.4809544890694823,2.6432939377877811,0.4229409167556224,0.70179536494153971,0.33935726489368884,0.31829239908038032,0.29893779717239166,0.086661283164866237,0.57754376558039144,1.0699153189223949,0.19679419069540591,0.30471159084870209,0.37116290331897916,0.34840169611461236,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.086661283164866237,0.39039636159837188,0.50808641778461006,2.1077557946684706,2.8047511778205161,1.5014350002992847,1.255237654154876,0.62453281484372991,2.1119545979733672,1.498862991989532,0.5288338901246471,1.0035784608018512,0.8811416022145564
2-dehydro-D-gluconate,0.86920760058476776,1.5937916357387241,1.1246467920466694,1.1385396250177147,1.1975264795503799,0.8714808089846463,1.2029865203637462,0.71374388086762863,1.3522341019472013,0.70422688471643369,1.0807743576976061,1.2667066579686217,2.412275329000233,1.5474669860048198,0.58966572197656175,1.7522474478670276,1.9289558923617061,1.5550089392791366,0.43515321882100283,1.0518415539303976,1.2602550068306109,1.4675074129837669,0.8871972052488345,1.2967467869244003,1.3570763556406653,1.0782942595552636,0.28292271616253939,0.9445547779803638,1.2401934713890792,0.55775721267079736,0.99248515667917925,2.5681144131354463,0.18699849925353013,0.62929238533609155,0.052854862908108681,0.052854862908108681,0.79130751522486442,1.2329505494275177,1.6323643541489683,2.7027137422260368,3.6335653561560934,3.1217360732145352,0.43861723821885668,0.96001409708924812,0.35556211280798428,0.86516287964112404,1.285403624042653,0.57188929952223477,0.55609802712519718,0.96962380593016106,0.97583653607062681,0.72817377927889004,1.007571743789061,0.45622008135459091,1.5676880727844331,4.9269902305001025,1.2337310626705169,1.6142475349415029,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.052854862908108681,0.099835465493589209,0.5877398294192111,0.55622199028527608,0.56998468423691684,0.4292709247446248,0.70728963080969209,0.33110091299134947,3.2438772111947975,0.61338250605807876,5.1442373581396748,0.34899625998424066,0.55496586130601877,1.2534386607050423,4.7126922891480314,14.50808931616019,2.7501792899203226,2.2172540688392557,0.50942419434192288,0.39900967340167615,0.052854862908108681,1.0923486844914652,0.87503432329382191,0.95001075875984786,0.80684645663318666,0.32894180793850375,0.85775529808671702,1.3344897866159544,1.2504096175413504
3-phosphoglycerate,1.9175363359070026,2.7567312006709335,1.6664499207384595,1.8786952045279746,1.6070073048764655,1.9332726934228466,0.25516019636401227,0.2531499574729803,1.2281746791839956,1.3002311826915125,1.6499768901653704,3.274346092169095,0.69170197028543345,2.9351934250328124,1.9286507614990425,2.4230040244287818,3.7014190007309828,1.8974235822279619,0.27241548058788773,0.89559892461696755,0.55991629465080051,0.72156801766530665,2.093264558504051,1.7313763391794177,0.33590086898906435,2.0166897121676945,0.65250725422839728,1.8778326622125607,1.8549927650828311,1.5520338358224446,2.1851210750251138,3.9900190099352577,0.088115019284391347,0.088115019284391347,0.65015385871273224,0.14147532649785921,0.088115019284391347,0.088115019284391347,0.088115019284391347,0.088115019284391347,1.0255647246870605,0.89336930469529074,0.74045618623911813,1.458647962576096,0.088115019284391347,0.68377472490839497,0.088115019284391347,0.48036753805390198,0.16544928384461877,0.33897395464032837,1.7903392021466626,1.0,2.1937324806994276,1.870444540522114,2.2207817465220212,3.6852303100918222,2.7154598384238127,3.262729454210163,0.51977388845336869,1.2675353783100951,1.1786236660202576,1.3754127104632883,0.97831778693323534,0.83887644138137829,0.84479851159233643,0.83256664080991027,0.55057328611513223,1.5724618926788332,0.52707669244365007,1.8504012504237226,0.56224779686073512,0.90543149059062511,0.58667020159649508,0.36781568679903748,2.0461291986617214,1.3426172300390635,0.53068336378224412,0.68475682333072707,0.20631185368159718,0.29933693475426865,1.7589672406190326,0.38945247752653089,0.14932134563298735,0.44062536176425032,0.87039050585926814,0.47273782425873767,1.2778442870523188,0.83755316453198403,0.92777177899297769,0.40458275846186459,2.9394390142104947,2.757823735712726,0.5573093245503995,2.2091686230716823,0.39750593886697011,1.9832198547980371,0.18226804320425827,0.36736385894602069
4-aminobutyrate,0.38625777540298584,0.43810159280918093,0.3941725537280566,0.9314628527781299,0.8574423153579267,0.90912107393880892,0.78179725649361032,0.87298737857041575,0.72227411408226427,1.3551270942775193,1.1445688104243141,1.7678536480350582,0.69162948776359146,0.34810509761362529,0.72704227478036365,0.8162348543019754,2.2541514104272649,1.4759469341382074,0.81917141587345277,2.1950092128120815,0.43721534819604568,1.6819114034127216,0.68346355606731779,0.90463073578316866,0.67423965772385341,1.151043211551501,0.91553156554985504,0.70126772531361148,1.0951047542025258,0.98691764178008112,0.47945668316688428,0.64980316781949365,1.1187461922134301,1.2502022976072587,0.85933803895044791,1.1168843292196282,1.5403453161582248,1.1565514871173492,0.68186525917787977,2.031795302389158,0.94912147956121795,0.93830169332690261,1.2708647810829903,1.1275890170956209,0.98796296722682908,1.0308771132267076,0.80378756307213139,1.4789507381340667,1.3134740493042749,1.3753186500756491,0.66750921012721232,1.2963358474323032,1.2764592751914803,1.9486077097241998,1.2873836949791806,1.0914714766728741,1.3824812011871781,1.1913153972147041,0.091976913196777615,0.19745561088280972,0.098844164584559233,0.089152593221242873,0.14933028420120939,0.080957935235779738,0.12167471833197546,0.096214730892642333,0.18246693440516296,0.21096043832444225,0.15970210224936615,0.093655432765972921,1.0990073013589989,1.1341793999130541,2.0576515302767056,2.1923611354505361,1.4362642631949651,1.1261605332039091,1.2050927735590256,0.70478731671358641,1.0656267992152393,1.4473229699266399,2.0375588673275442,1.4969347541238589,1.3042612025466529,1.1078331458338531,0.87338806276821734,1.0468355815521897,1.8068456073248982,0.98237553465356331,0.6380389897265577,0.98726753983203785,1.9563245972929577,0.90784551564192606,1.0121836882276656,1.4290887478200427,1.3418894605267637,1.2578254678517422,0.82246302955943074,1.6579184453712952
6-phospho-D-gluconate,6.1198117130153635,3.6445033019060014,0.87343799193123306,0.96771494623731047,2.5580078339346688,3.6628246113602496,0.16593650617696884,0.41880426325565545,1.5031435036257397,1.2022117182165544,0.082689775643807042,1.3959646111438577,0.36452920316863474,1.7421375046787788,1.765273886528129,1.0333621526547887,3.3027038958592096,4.7681356945808622,0.49386433118193157,0.35571405351777741,0.26517378119190721,0.7997735844040772,1.6926705903530723,1.7412544484017403,1.0427229266845646,1.4826942055024395,2.5459440090014471,1.8849856720793861,2.2179630980846436,1.0415308341612031,2.3999228284509662,3.0962802481447826,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.082689775643807042,0.53308133318975459,0.66202815478635735,1.3809321928709326,1.3725155186757161,1.0950658841191256,0.082689775643807042,0.082689775643807042,3.2594166104018405,0.39800729541192142,0.84375507781844705,1.8255015914534563,1.7411553380558,6.3244817600472265,3.642057638984213,3.1876471510462867,8.9803574937202431,2.4096319452299109,3.0465960491493238,0.4279268940761779,0.21830713019370263,0.922587535626331,0.64141443653928398,0.8273422878768093,0.28528064726877689,1.3542032291220338,0.36496395689880778,0.34849879492123914,0.25868997140878675,0.082689775643807042,0.67766490945426638,0.42168774396500563,0.30664250638932583,0.35672207145254942,0.23637023193364728,0.86585012214536605,0.32768293793142372,0.67824175161430988,0.36856892260983426,0.35849752065713519,0.50768737828393584,0.77324278154718362,0.33723962717079969,1.6356243449618566,1.5134656518204417,0.11424193054256877,0.34116964485943174,0.66138762013340524,1.3338622440957977,0.70256743852803982,0.42375306708765675,1.6654835337603797,8.7374087552256583,0.082689775643807042,1.5245241903951534,3.4415655473798528,0.76679266333917862,0.5331477489878681,1.5293995879459159
a-ketoglutarate,0.45361957917857826,0.58379687990171236,0.69590672317028135,1.0020151124448409,0.89544831418374304,0.81165745683523915,1.1394660459404875,1.2042888131972413,1.8691069166730356,0.63073416305363994,5.0873740147843884,1.8957224496201037,1.5433329190545761,0.8256948073484206,0.99582676769892364,2.4229472622462134,0.86903389602268832,0.26226601449656245,0.41704100577460623,0.70146114033339646,0.49228426509729961,0.11754747998137074,1.0771995277745017,1.293895741336522,1.5947339497049275,1.7822184312845135,1.0659562889108529,0.32375569067948612,1.1925878827552694,1.1048279645112644,8.3492927223514606,16.071643887983267,0.11754747998137074,0.11754747998137074,0.96816267599364414,1.5369366113945395,0.99798894006705741,0.12425552327685591,1.3368275211937968,1.4041491162645638,2.6239996081247412,0.95580985144506159,1.3472139100581915,1.5073607180286164,0.67620063188930168,0.48643658065773454,1.555009657666369,0.95391605785631794,0.95356523254205239,1.4092692239231408,3.2681104510335293,2.1885293252006996,0.11754747998137074,0.11754747998137074,0.11754747998137074,0.11754747998137074,0.11754747998137074,0.11754747998137074,8.2096996966758535,4.4779075022024264,3.2007748823822668,4.2952288655625246,2.5660561694262527,3.616012857324133,2.4803673164924076,3.1769019989685279,2.9257650707681275,2.916659085937598,9.331797256272278,4.5743613502610385,0.44063910350811403,0.83869948163042407,1.6381911657654404,2.2715677748330028,1.0210164169259599,0.65605751379997135,0.56158753829181485,12.841981883876779,0.81841894272676297,0.52993963117644094,1.5588293286367751,1.9512381606222837,0.64863337354669381,0.72352568117347205,0.85826502191079312,0.71127910932699612,0.62214109370409254,0.31223698311216314,0.4212066802500517,0.20352203347529499,0.45007058436323272,0.2742269044996577,0.88059162317921724,0.61645812472812511,0.28218379067363902,0.65825160838596664,0.66298951853910715,0.52050519380998206
acetyl-CoA,0.96428080288360463,0.2982960733807577,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.65180741569250011,0.12173583066745415,0.33800483386583879,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,1.7484839766033571,0.23984800488368044,1.3754621880557616,0.88291116863057095,2.7456491824753777,2.8383131791766569,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,0.12173583066745415,1.1931435097885554,0.18096266123911822,0.12173583066745415,0.31683013464051674,1.304767693521909,0.20094400367331644,0.15736368925824745,0.12173583066745415,0.14445025701986811,0.57467106753483344,0.12173583066745415,0.12173583066745415,0.12173583066745415,2.6686480653481799,0.38502830654488063,0.13807609167612325,4.7219896946238595,10.96253646923005,9.2328536905521261,13.552677556610547,3.4945522165540526,2.4941370105820724,0.12173583066745415,0.63052718657649343,3.5388837451927273,1.518028706580937,1.0,1.2471403175562856
Acetylcarnitine DL,2.1814599263544405,1.9954967988521741,1.9328440847910187,5.0041027174517509,7.8833504463101027,2.7557838573634088,1.230385070203128,1.2332157213320503,3.4795990351855455,5.1796448525616308,3.6744415855817487,4.5689729411752849,5.3932717685222649,5.4492329775763197,5.6144124128627277,7.0146818180088939,6.0218151949530139,6.712458513422618,3.5845987495021632,3.9736720297673327,2.1788941077422068,2.090998919599472,0.31419254824040516,0.3309318899603495,0.20486087888346607,0.31433988573007571,0.28716819191339021,0.21285836905749966,0.39642545322548411,0.27693389670925989,0.70589095259949464,0.63159643778133623,1.0600223411413796,1.0699593150266198,0.83900927503842637,0.9609485915873599,2.8610544143165466,1.2781247567644014,3.0989651985138686,4.3612425274226139,0.21285293219766238,0.44866404789526032,0.75113903171088237,0.54732359774474748,1.0542961317359569,0.56574558438945655,0.89119297252024421,2.0977616818149225,1.2145704971029343,1.1929807406409749,0.91000067055026523,0.44003997422766267,4.7085587462086878,2.1023218489808979,1.410648571397249,1.5466878646641804,1.7966056904699734,1.8216306632852255,0.16044655800364782,0.42807835121608345,0.70649530166827834,0.87146074732856016,0.79932745397629978,0.36619237964408535,0.72103306128351574,1.3329778075323535,0.64409681564613741,0.5559550674572018,0.47833659695044434,0.85397355073145564,0.59653578766840953,0.56498219915916348,0.49696460365988609,0.34152799512371734,0.96953561365938057,0.41127666437401433,0.42402371370915359,0.087132635456256435,0.49203639924846987,0.49348394587674638,0.13994538884745347,1.1984365828186407,0.84769447164448353,0.77995929214142312,0.54072931756465825,0.58938775122211073,1.0702718607612294,0.80326205177184085,1.3383715948147625,1.1841949467064405,1.0314216269226415,1.5431951148492846,1.3930093654814633,2.8011296724243619,1.4257142046745677,0.80936980596269359,1.4037897204640655,0.93346390933992596
Acetyllysine,0.76377158144160817,0.94391512420297885,3.6939470717593377,1.6166339463020933,1.2947241379543282,2.8385107118426398,2.1676098949070788,0.7293767740610857,0.2423166860440647,0.5128559036395457,0.2423166860440647,0.45880436782122574,0.61630164543138588,0.36693000470673898,0.43760724026334857,0.73646879751201177,0.2423166860440647,0.2423166860440647,2.5814725154075777,1.6310501281061238,3.0399784992373546,2.8553046682074101,0.64021432672197454,0.76407780260571989,0.96747067465903813,0.78126012934235423,0.37734202427915675,0.58084286770554627,0.75338294385301596,0.64733634587771649,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,1.6561674124927992,2.6257607846396955,1.1294580393766784,2.3306492353509052,1.404065986329958,1.591039549368529,1.1687907981418821,2.6504642364449436,2.7559116264071624,1.5907595194329076,0.40712609838944663,0.8847463451114751,0.62186148081459069,0.53666483104598162,1.0,0.86858148246048539,0.78358073376850956,0.89570768413356228,0.37699453496940855,1.4728159605274844,0.7377035636186956,0.66721200119577462,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.72595123394948191,1.6471832972996092,1.4398401673557468,1.0935912334243496,2.5372102753320025,2.2839718491066447,0.27614791619052154,2.6385706491777907,0.51014299544932296,1.2571097504441782,0.5589696886428942,1.1850573286396955,1.4840218709435333,1.1387950395454409,1.0226140798471353,1.5827968574061093,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647,0.2423166860440647
