BIOCHEMICAL	PUBCHEM	KEGG	HMDB
"1,2-dipalmitoylglycerol"	99931		HMDB07098
"1,3-dihydroxyacetone"	670	C00184	HMDB01882
"1,5-anhydroglucitol (1,5-AG)"		C07326	HMDB02712
1-arachidonoylglycerophosphocholine*		C05208	
1-arachidonoylglycerophosphoethanolamine*			HMDB11517
1-heptadecanoylglycerol (1-monoheptadecanoin)	107036		
1-heptadecanoylglycerophosphocholine			HMDB12108
1-linoleoylglycerophosphocholine	11988421	C04100	
1-methylimidazoleacetate	75810	C05828	HMDB02820
1-myristoylglycerol (1-monomyristin)	79050		HMDB11561
1-myristoylglycerophosphocholine	460604		HMDB10379
1-oleoylglycerol (1-monoolein)	5283468		HMDB11567
1-oleoylglycerophosphocholine	16081932		
1-oleoylglycerophosphoethanolamine	9547071		HMDB11506
1-oleoylglycerophosphoinositol*			
1-palmitoleoylglycerophosphocholine*			
1-palmitoylglycerophosphocholine	86554		
1-palmitoylglycerophosphoethanolamine	9547069		HMDB11503
1-palmitoylglycerophosphoinositol*			
1-palmitoylplasmenylethanolamine*			
1-pentadecanoylglycerol (1-monopentadecanoin)	190750		
1-pentadecanoylglycerophosphocholine*			
1-stearoylglycerol (1-monostearin)	24699	D01947	
1-stearoylglycerophosphocholine	497299		
1-stearoylglycerophosphoethanolamine	9547068		HMDB11130
1-stearoylglycerophosphoinositol			
10-heptadecenoate (17:1n7)	5312435		
10-nonadecenoate (19:1n9)	5312513		
13-HODE + 9-HODE			
17-methylstearate	3083779		
2'-deoxycytidine	13711	C00881	HMDB00014
2'-deoxycytidine 5'-monophosphate	7058169	C00239	HMDB01202
2'-deoxyguanosine	187790	C00330	HMDB00085
2'-deoxyinosine	65058	C05512	HMDB00071
2'-O-methylguanosine		C04545	
2-aminoadipate	469	C00956	HMDB00510
2-aminobutyrate	"4,396,916,971,251"	C02261	HMDB00650
2-arachidonoylglycerophosphocholine*			
2-arachidonoylglycerophosphoethanolamine*			
2-hydroxyacetaminophen sulfate*			
2-hydroxybutyrate (AHB)	440864	C05984	HMDB00008
2-hydroxypalmitate	92836		
2-linoleoylglycerol (2-monolinolein)	5365676		HMDB11538
2-linoleoylglycerophosphocholine*			
2-methoxyacetaminophen sulfate*			
2-methylbutyroylcarnitine	6426901		HMDB00378
2-myristoylglycerol (2-monomyristin)	137938		
2-oleoylglycerol (2-monoolein)	5319879		
2-oleoylglycerophosphocholine*			
2-oleoylglycerophosphoethanolamine*			
2-palmitoylglycerol (2-monopalmitin)	123409		
2-palmitoylglycerophosphocholine*			
2-palmitoylglycerophosphoethanolamine*			
2-phosphoglycerate		C00631	HMDB03391
2-stearoylglycerol (2-monostearin)	79075		
2-stearoylglycerophosphocholine*	10208382		
2-stearoylglycerophosphoinositol*			
3-(4-hydroxyphenyl)lactate	9378	C03672	HMDB00755
3-(cystein-S-yl)acetaminophen*	5233914		
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	123979		
3-dehydrocarnitine*	6991982	C02636	HMDB12154
3-hydroxybutyrate (BHBA)	441	C01089	HMDB00357
3-methyl-2-oxobutyrate	49	C00141	HMDB00019
3-methyl-2-oxovalerate	47	C00671	HMDB03736
3-phosphoglycerate		C00597	HMDB00807
3-ureidopropionate	111	C02642	HMDB00026
4-acetamidobutanoate	18189	C02946	HMDB03681
4-acetamidophenol	1983	C06804	HMDB01859
4-acetaminophen sulfate	83939	C06804	HMDB01859
"4-androsten-3beta,17beta-diol disulfate 1*"			HMDB03818
4-guanidinobutanoate	500	C01035	HMDB03464
4-hydroxybutyrate (GHB)	10413	C00989	HMDB00710
4-hydroxyhippurate	151012		
4-hydroxyphenylacetate	4693933	C00642	HMDB00020
4-hydroxyphenylpyruvate	979	C01179	HMDB00707
4-methyl-2-oxopentanoate	70	C00233	HMDB00695
"5,6-dihydrouracil"	649	C00429	HMDB00076
5-aminovalerate	"6,992,101,138"	C00431	HMDB03355
5-dodecenoate (12:1n7)	5312378		HMDB00529
5-hydroxyindoleacetate	1826	C05635	HMDB00763
5-oxoproline	7405	C01879	HMDB00267
6-keto prostaglandin F1alpha	5280888	C05961	HMDB02886
6-phosphogluconate	91493	C00345	HMDB01316
"9,10-hydroxyoctadec-12(Z)-enoic acid"	9966640	C14828	HMDB04704
acetylcarnitine	7045767	C02571	HMDB00201
adenosine	60961	C00212	HMDB00050
adenosine 2'-monophosphate (2'-AMP)		C00946	HMDB11617
adenosine 3'-monophosphate (3'-AMP)	15938966	C01367	HMDB03540
adenosine 5'-monophosphate (AMP)	15938965	C00020	HMDB00045
"adenosine-2',3'-cyclic monophosphate"	2024	C02353	
adenylosuccinate	195	C03794	HMDB00536
adrenate (22:4n6)	5282844	C16527	HMDB02226
alanine	"59,507,311,724"	C00041	HMDB00161
alanylglycine	"524,252,679,094"		HMDB06899
alanylisoleucine	"4,173,585,246,008"		
alanylleucine	259583		
alanylphenylalanine	2080		
alanyltyrosine	"5,723,194,099,800"		
alanylvaline	137276		
allo-threonine	"992,896,995,276"	C05519	HMDB04041
alpha-glutamylglutamate	439500	C01425	
alpha-hydroxyisovalerate	99823		HMDB00407
alpha-ketoglutarate	51	C00026	HMDB00208
alpha-tocopherol	14985	C02477	HMDB01893
arachidonate (20:4n6)	444899	C00219	HMDB01043
arginine	"5,246,487,232"	C00062	HMDB00517
argininosuccinate	828	C03406	HMDB00052
ascorbate (Vitamin C)		C00072	HMDB00044
asparagine	"62,676,992,089"	C00152	HMDB00168
aspartate	5960	C00049	HMDB00191
aspartate-glutamate	4130574		
aspartylphenylalanine	93078		HMDB00706
atenolol	2249	D00235	HMDB01924
azelate (nonanedioate)	2266	C08261	HMDB00784
butyrylcarnitine	213145	C02862	HMDB02013
C-glycosyltryptophan*			
caprate (10:0)	2969	C01571	HMDB00511
caproate (6:0)	8892	C01585	HMDB00535
caprylate (8:0)	379	C06423	HMDB00482
carnitine	288	C00487	HMDB00062
chenodeoxycholate		C02528	HMDB00518
cholate		C00695	HMDB00619
cholesterol	6432564	C00187	HMDB00067
choline phosphate	1014	C00588	HMDB01565
citrate	311	C00158	HMDB00094
citrulline	833	C00327	HMDB00904
cortisol		C00735	HMDB00063
creatine	586	C00300	HMDB00064
creatinine	588	C00791	HMDB00562
cysteine	"58,626,419,722"	C00097	HMDB00574
cysteine-glutathione disulfide	4247235		HMDB00656
cystine	595	C00491	HMDB00192
cytidine	6175	C00475	HMDB00089
cytidine 5'-diphosphocholine	13805	C00307	HMDB01413
cytidine 5'-monophosphate (5'-CMP)	7058165	C00055	HMDB00095
cytidine-3'-monophosphate (3'-CMP)	256622	C05822	
decanoylcarnitine		C03299	HMDB00651
deoxycarnitine	725	C01181	HMDB01161
dexpanthenol	4678	C03726	HMDB04231
dihomo-linoleate (20:2n6)	6439848	C16525	
dihomo-linolenate (20:3n3 or n6)	5312529	C03242	HMDB02925
dimethylarginine (SDMA + ADMA)	123831	C03626	"HMDB01539,HMDB03334"
diphenhydramine	3100	"D00300,D00520,D03360"	
docosadienoate (22:2n6)	5282807	C16533	
docosahexaenoate (DHA; 22:6n3)	445580	C06429	HMDB02183
docosapentaenoate (n3 DPA; 22:5n3)		C16513	HMDB01976
docosatrienoate (22:3n3)	5312556	C16534	HMDB02823
eicosapentaenoate (EPA; 20:5n3)	446284	C06428	HMDB01999
eicosenoate (20:1n9 or 11)			HMDB02231
ergothioneine	3032311	C05570	HMDB03045
erythritol		C00503	HMDB02994
erythronate*	2781043		HMDB00613
ethanolamine		C00189	HMDB00149
flavin adenine dinucleotide (FAD)	643975	C00016	HMDB01248
fructose	5984	C00095	HMDB00660
fructose-6-phosphate		C05345	HMDB00124
fumarate		C00122	HMDB00134
galactose	3037556	C01582	HMDB00143
gamma-aminobutyrate (GABA)	"6,992,099,119"	C00334	HMDB00112
gamma-glutamylglutamate	92865		
gamma-glutamylglutamine	150914		HMDB11738
gamma-glutamylleucine	151023		HMDB11171
gamma-glutamylphenylalanine	111299		HMDB00594
gamma-glutamylthreonine*			
gamma-glutamyltyrosine	94340		
gluconate	10690	C00257	HMDB00625
glucose	79025	C00293	HMDB00122
glucose-6-phosphate (G6P)		C00668	HMDB01401
glutamate	611	C00025	HMDB03339
glutamine	"69,920,865,961"	C00064	HMDB00641
"glutathione, oxidized (GSSG)"	"6,535,911,215,652"	C00127	HMDB03337
"glutathione, reduced (GSH)"	124886	C00051	HMDB00125
glycerate	752	C00258	HMDB00139
glycerol	753	C00116	HMDB00131
glycerol 2-phosphate	2526	"C02979,D01488"	HMDB02520
glycerol 3-phosphate (G3P)	754	C00093	HMDB00126
glycerophosphorylcholine (GPC)	657272	C00670	HMDB00086
glycine	"5,257,127,750"	C00037	HMDB00123
glycochenodeoxycholate		C05466	HMDB00637
glycocholate	10140	C01921	HMDB00138
glycocholenate sulfate*			
glycodeoxycholate		C05464	HMDB00631
glycolate (hydroxyacetate)	"3,698,251,757"	C00160	HMDB00115
glycoursodeoxycholate			HMDB00708
glycylglycine	"154,889,711,163"	C02037	HMDB11733
glycylisoleucine			
glycylleucine	"928,431,548,899"	C02155	HMDB00759
glycylproline	"30,136,256,993,386"		HMDB00721
glycyltryptophan	"155,134,092,181"		
glycylvaline	"27,248,076,994,979"		
guanidinoacetate	"76,339,468,484,546,900"	C00581	HMDB00128
guanosine	6802	C00387	HMDB00133
heme*		C00032	HMDB03178
heptanoate (7:0)	8094	C17714	HMDB00666
hexadecanedioate	10459		HMDB00672
hexanoylcarnitine	6426853	C01585	HMDB00705
hippurate	464	C01586	HMDB00714
histamine	774	C00388	HMDB00870
histidine	"7,733,651,426"	C00135	HMDB00177
homocysteine	778	C00155	HMDB00742
homovanillate sulfate			
hypoxanthine	790	C00262	HMDB00157
inosine			
inositol 1-phosphate (I1P)			HMDB00213
"Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid"			
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"			
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate"			
isobutyrylcarnitine			HMDB00736
isoleucine	791	C00407	HMDB00172
isoleucylisoleucine			
isoleucylleucine	11644431		
isovalerylcarnitine	6426851		HMDB00688
ketamine	3821	C07525	
kynurenate	3845	C01717	HMDB00715
kynurenine	"1,611,666,971,029"	C00328	HMDB00684
lactate	612	C00186	HMDB00190
lactobionate	7314	"D02009,D03880"	
laurate (12:0)	3893	C02679	HMDB00638
leucine	"70,457,986,106"	C00123	HMDB00687
leucylisoleucine			
leucylleucine	"768,076,992,072"	C11332	
lidocaine	3676	D00358	
linoleate (18:2n6)	5280450	C01595	HMDB00673
linolenate [alpha or gamma; (18:3n3 or 6)]		C06427	HMDB01388
lysine	5962	C00047	HMDB00182
malate	525	C00149	HMDB00156
maltose	439341	C00208	HMDB00163
maltotetraose	446495	C02052	HMDB01296
maltotriose	439586	C01835	HMDB01262
mannitol	6251	C00392	HMDB00765
mannose	161658	C00159	HMDB00169
mannose-6-phosphate		C00275	HMDB01078
margarate (17:0)	10465		HMDB02259
methionine	"69,920,876,137"	C00073	HMDB00696
methionine sulfoxide	"1,589,801,548,907"	C02989	HMDB02005
methyl palmitate (15 or 2)			
methylglutaroylcarnitine	128145		HMDB00552
methylphosphate	13130		
metoprolol	4171	"C07202,D02358"	HMDB01932
metoprolol acid metabolite*	62936		
myo-inositol		C00137	HMDB00211
myristate (14:0)	11005	C06424	HMDB00806
myristoleate (14:1n5)	5281119	C08322	HMDB02000
N(1)-acetylspermine	916	C02567	HMDB01186
N-acetyl-aspartyl-glutamate (NAAG)	5255	C12270	HMDB01067
