,PubChem CID,KEGG,Human Metabolome Database,ChEBI
"1,2-propanediol",259994|1030|439846,C00717|C02912|C00583|C01506|C02917,HMDB01881|HMDB06213,CHEBI:28972|CHEBI:16997|CHEBI:29002
"1,3-dihydroxyacetone",670,C00184,HMDB01882,CHEBI:16016|CHEBI:17567
"1,5-anhydroglucitol (1,5-AG)",64960,C07326,HMDB02712,CHEBI:16070
1-arachidonoylglycerophosphoethanolamine*,42607465,NA,HMDB11517,CHEBI:64395
1-arachidonoylglycerophosphoinositol*,NA,NA,NA,NA
1-docosahexaenoylglycerol (1-monodocosahexaenoin),NA,NA,NA,NA
1-heptadecanoylglycerophosphocholine,24779463,NA,HMDB12108,NA
1-heptadecanoylglycerophosphoethanolamine*,NA,NA,NA,NA
1-linoleoylglycerophosphocholine,11988421|5280646,C04100,NA,NA
1-methylhistamine,3614,C05127,HMDB00898,CHEBI:29009
1-myristoylglycerol (1-monomyristin),79050|10957631,NA,HMDB11561,NA
1-myristoylglycerophosphocholine,460604,NA,HMDB10379,NA
1-oleoylglycerophosphocholine,16081932,NA,NA,NA
1-oleoylglycerophosphoethanolamine,9547071|58177709,NA,HMDB11506,NA
1-oleoylglycerophosphoinositol*,NA,NA,NA,NA
1-palmitoleoylglycerophosphocholine*,NA,NA,NA,NA
1-palmitoylglycerol (1-monopalmitin),14900,NA,NA,NA
1-palmitoylglycerophosphocholine,86554,NA,NA,NA
1-palmitoylglycerophosphoethanolamine,9547069|58177710,NA,HMDB11503,NA
1-palmitoylglycerophosphoinositol*,NA,NA,NA,NA
1-palmitoylplasmenylethanolamine*,NA,NA,NA,NA
1-pentadecanoylglycerol (1-monopentadecanoin),190750,NA,NA,NA
1-pentadecanoylglycerophosphocholine*,NA,NA,NA,NA
1-stearoylglycerol (1-monostearin),24699,D01947,NA,NA
1-stearoylglycerophosphocholine,497299,NA,NA,NA
1-stearoylglycerophosphoethanolamine,9547068|46891690,NA,HMDB11130,NA
1-stearoylglycerophosphoglycerol,NA,NA,NA,NA
1-stearoylglycerophosphoinositol,NA,NA,NA,NA
10-heptadecenoate (17:1n7),5312435,NA,NA,NA
10-nonadecenoate (19:1n9),5312513,NA,NA,NA
13-HODE + 9-HODE,NA,NA,NA,NA
15-methylpalmitate (isobar with 2-methylpalmitate),NA,NA,NA,NA
17-methylstearate,3083779,NA,NA,NA
2'-deoxyguanosine,187790,C00330,HMDB00085,CHEBI:17172
2'-deoxyinosine,65058,C05512,HMDB00071,CHEBI:28997
2-aminoadipate,469|59066632|92136|59366488,C00956,HMDB00510,CHEBI:37023|CHEBI:37024
2-aminobutyrate,4|396|916|971|251|439691|6971251,C02261,HMDB00650,CHEBI:28797
2-arachidonoylglycerophosphocholine*,NA,NA,NA,NA
2-arachidonoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-docosapentaenoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-ethylhexanoate (isobar with 2-propylpentanoate),NA,NA,NA,NA
2-hydroxybutyrate (AHB),440864|11266,C05984,HMDB00008,CHEBI:50613|CHEBI:1148
2-hydroxypalmitate,92836,NA,NA,NA
2-linoleoylglycerol (2-monolinolein),5365676,NA,HMDB11538,NA
2-linoleoylglycerophosphocholine*,NA,NA,NA,NA
2-linoleoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-methylbutyroylcarnitine,6426901,NA,HMDB00378,NA
2-myristoylglycerol (2-monomyristin),137938,NA,NA,NA
2-oleoylglycerol (2-monoolein),5319879,NA,NA,NA
2-oleoylglycerophosphocholine*,NA,NA,NA,NA
2-oleoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-palmitoleoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-palmitoylglycerol (2-monopalmitin),123409,NA,NA,NA
2-palmitoylglycerophosphocholine*,NA,NA,NA,NA
2-palmitoylglycerophosphoethanolamine*,NA,NA,NA,NA
2-stearoylglycerophosphocholine*,10208382,NA,NA,NA
3'-dephosphocoenzyme A,444485|439335,C00882,HMDB01373,CHEBI:15468
3-(4-hydroxyphenyl)lactate,9378,C03672,HMDB00755,CHEBI:17385
3-aminoisobutyrate,64956|25201103,C05145,HMDB03911,CHEBI:27389
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),123979,NA,NA,NA
3-dehydrocarnitine*,6991982|439773,C02636,HMDB12154,CHEBI:16758|CHEBI:57885
3-hydroxybutyrate (BHBA),441|92135,C01089,HMDB00357|HMDB00011,CHEBI:17066|CHEBI:20067
3-indoxyl sulfate,10258,NA,HMDB00682,CHEBI:43355
3-methyl-2-oxovalerate,47|439286,C00671,HMDB03736,CHEBI:15614
3-methylhistidine,649|696|971|061|64969|6971061,C01152,HMDB00479,CHEBI:27596
3-phosphoglycerate,724,C00597,HMDB00807,CHEBI:17050
"4-androsten-3beta,17beta-diol disulfate 1*",10634,C04295,HMDB03818,CHEBI:2710
4-hydroxybutyrate (GHB),10413|3037032,C00989|C01991,HMDB00710,CHEBI:30830|CHEBI:16724
4-hydroxyphenylpyruvate,979,C01179,HMDB00707,CHEBI:15999
4-methyl-2-oxopentanoate,70,C00233,HMDB00695,CHEBI:48430
"5,6-dihydrouracil",649,C00429,HMDB00076,CHEBI:15901
5-methylthioadenosine (MTA),439176,C00170,HMDB01173,CHEBI:17509
5-oxoproline,7405,C01879,HMDB00267,CHEBI:18183
6-keto prostaglandin F1alpha,5280888,C05961,HMDB02886,CHEBI:28158
6-phosphogluconate,91493,C00345,HMDB01316,CHEBI:48928
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),3081085|53481411,C17337,HMDB12458,NA
8-hydroxyoctanoate,69820|94180,NA,HMDB00711,NA
"9,10-hydroxyoctadec-12(Z)-enoic acid",9966640,C14828,HMDB04704,NA
Ac-Ser-Asp-Lys-Pro-OH,4409396,NA,NA,NA
acetylcarnitine,7045767|439756|1,C02571,HMDB00201,CHEBI:15960
adenine,190,C00147,HMDB00034,CHEBI:16708
adenosine,60961|32326,C00212|C07195,HMDB00050,CHEBI:16335
adenosine 2'-monophosphate (2'-AMP),94136|53481006,C00946,HMDB11617,CHEBI:28223
adenosine 3'-monophosphate (3'-AMP),15938966|41211,C01367,HMDB03540,CHEBI:28931
adenosine 5'-monophosphate (AMP),15938965|6083,C00020,HMDB00045,CHEBI:16027
adenosine 5'diphosphoribose,4475880|445794|192,C00301,HMDB01178,NA
adenylosuccinate,195|447145|440122,C03794,HMDB00536,CHEBI:15919
adrenate (22:4n6),5282844|5497181,C16527,HMDB02226,CHEBI:53487
alanine,59|507|311|724|5950|7311724,C00041,HMDB00161,CHEBI:16977|CHEBI:57972
alanylleucine,259583,NA,NA,NA
alanylphenylalanine,2080,NA,NA,NA
alanyltyrosine,5|723|194|099|800,NA,NA,NA
alanylvaline,137276,NA,NA,NA
alpha-glutamyltyrosine,351830,NA,NA,NA
alpha-glutamylvaline,433630,NA,NA,NA
alpha-hydroxyisovalerate,99823,NA,HMDB00407,CHEBI:60645
arabitol,94154|827|439255,C00474|C00532,HMDB01851|HMDB00568,CHEBI:18403
arachidonate (20:4n6),444899,C00219,HMDB01043,CHEBI:15843
arginine,5|246|487|232|28782|6322,C00062,HMDB00517,CHEBI:16467
ascorbate (Vitamin C),NA,C00072,HMDB00044,CHEBI:29073
asparagine,62|676|992|089|6267|6992089,C00152,HMDB00168,CHEBI:17196|CHEBI:58048
aspartate,5960|44367445,C00049,HMDB00191,CHEBI:17053
aspartylleucine,332962,NA,NA,NA
aspartylphenylalanine,93078,NA,HMDB00706,NA
azelate (nonanedioate),2266|19347555,C08261,HMDB00784,CHEBI:48131
beta-alanine,2|394|755|801|239|4755801,C00099,HMDB00056,CHEBI:16958|CHEBI:57966
betaine,247,C00719,HMDB00043,CHEBI:17750
"bilirubin (E,E)*",5315454,NA,NA,NA
biliverdin,5353439,C00500,HMDB01008,CHEBI:17033
butyrylcarnitine,213144,NA,NA,NA
C-glycosyltryptophan*,NA,NA,NA,NA
caffeine,2519,C07481,HMDB01847,CHEBI:27732
caprate (10:0),2969,C01571,HMDB00511,CHEBI:30813
caproate (6:0),8892,C01585,HMDB00535,CHEBI:30776
caprylate (8:0),379,C06423,HMDB00482,CHEBI:28837
carnitine,10917,NA,NA,NA
catechol sulfate,3083879|289,C00090|C01785|C15571,HMDB00957,CHEBI:18135
cholesterol,6432564|5997|11025495,C00187,HMDB00067,CHEBI:16113
choline,170746,NA,NA,NA
choline phosphate,135437,NA,NA,NA
cis-vaccenate (18:1n7),5282761|5281127,C08367,NA,CHEBI:28727|CHEBI:36023
citrate,311|19782904,C00158,HMDB00094,CHEBI:30769
citrulline,833|6992098|9750,C00327,HMDB00904,CHEBI:16349|CHEBI:57743
cortisol,5754|657311,C00735,HMDB00063,CHEBI:17650
creatine,586,C00300,HMDB00064,CHEBI:16919|CHEBI:57947
creatinine,588,C00791,HMDB00562,CHEBI:16737
cysteine,58|626|419|722|5862|6419722,C00097,HMDB00574,CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:61894
cysteine-glutathione disulfide,4247235|53477713,NA,HMDB00656,NA
cystine,595|67678|6992103,C00491,HMDB00192,CHEBI:16283|CHEBI:35491
cytidine,6175,C00475,HMDB00089,CHEBI:17562
cytidine 5'-diphosphocholine,NA,NA,NA,NA
cytidine 5'-monophosphate (5'-CMP),7058165|6131,C00055,HMDB00095,CHEBI:17361
cytidine-3'-monophosphate (3'-CMP),256622|66535,C05822,NA,CHEBI:53013
decanoylcarnitine,10245190,NA,HMDB00651,CHEBI:68830
deoxycarnitine,725|134,C01181,HMDB01161,CHEBI:1941
dexpanthenol,4678,C03726,HMDB04231,NA
dihomo-linoleate (20:2n6),6439848|4248452,C16525,HMDB05060,NA
dihomo-linolenate (20:3n3 or n6),5312529|5280581,C03242,HMDB02925,CHEBI:53486
dimethylarginine (SDMA + ADMA),123831|169148|51351707,C03626,HMDB01539|HMDB03334,CHEBI:17929|CHEBI:25682|CHEBI:61914
dimethylglycine,6|971|056|673|6971056,C01026,HMDB00092,CHEBI:17724|CHEBI:58251
docosadienoate (22:2n6),5282807|5312554,C16533,NA,NA
docosahexaenoate (DHA; 22:6n3),445580,C06429,HMDB02183,CHEBI:28125
docosapentaenoate (n3 DPA; 22:5n3),5497182|6441454,C16513,HMDB01976|HMDB06528|HMDB13123,CHEBI:53488|CHEBI:65136
docosatrienoate (22:3n3),5312556|5312557,C16534,HMDB02823,NA
eicosapentaenoate (EPA; 20:5n3),446284,C06428,HMDB01999,CHEBI:28364
eicosenoate (20:1n9 or 11),5282768,C16526,HMDB02231,CHEBI:32425
ergothioneine,3032311|3037043|5351619|57509571,C05570,HMDB03045,CHEBI:4828
erythritol,222285,C00503,HMDB02994,CHEBI:17113
erythronate*,2781043,NA,HMDB00613,CHEBI:37655
ethanolamine,700,C00189,HMDB00149,CHEBI:16000
flavin adenine dinucleotide (FAD),643975,C00016,HMDB01248,CHEBI:16238
fructose,5984|439163|439709,C00095|C02336,HMDB00660,CHEBI:37721|CHEBI:28645
fructose-6-phosphate,440641|69507,C05345,HMDB00124|HMDB03971,CHEBI:16084|CHEBI:15946
fucose,3034656|17106,C00382|C01019,HMDB00174,CHEBI:2181
fumarate,21883788|444972,C00122,HMDB00134,CHEBI:18012|CHEBI:22958
gamma-aminobutyrate (GABA),6|992|099|119|6992099,C00334,HMDB00112,CHEBI:16865|CHEBI:59888
gamma-glutamylglutamate,92865,NA,NA,NA
gamma-glutamylleucine,151023|4524287,NA,HMDB11171,NA
gamma-glutamylphenylalanine,111299,NA,HMDB00594,NA
gamma-glutamylthreonine*,NA,NA,NA,NA
gamma-glutamyltyrosine,94340,NA,NA,NA
glucarate (saccharate),33037,C00818,HMDB00663,CHEBI:16002
gluconate,10690,C00257,HMDB00625,CHEBI:33198
glucose,79025|5793,C00031,HMDB00122,CHEBI:4167
glucose-6-phosphate (G6P),439284|5958,C00668|C00092,HMDB01401,CHEBI:17665|CHEBI:4170
glutamate,611|33032|44272391|23327,C00025|C00217,HMDB03339|HMDB00148,CHEBI:16015|CHEBI:15966
glutamine,69|920|865|961|5961|6992086,C00064,HMDB00641,CHEBI:18050|CHEBI:58359
"glutathione, oxidized (GSSG)",6|535|911|215|652|11215652|65359|5255796|975,C00127,HMDB03337,CHEBI:17858
"glutathione, reduced (GSH)",124886|25246407,C00051|C02471,HMDB00125,CHEBI:16856|CHEBI:60836
glycerate,752|439194,C00258,HMDB00139,CHEBI:32398
glycerol,753,C00116,HMDB00131,CHEBI:15850|CHEBI:17522|CHEBI:17754
glycerol 2-phosphate,2526,C02979|D01488,HMDB02520,CHEBI:17270
glycerol 3-phosphate (G3P),754|439162,C00093,HMDB00126,CHEBI:15978|CHEBI:17106
glycerophosphorylcholine (GPC),657272|439285|58381695|71920,C00670,HMDB00086,CHEBI:16870
glycine,5|257|127|750|5257127,C00037,HMDB00123,CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
glycochenodeoxycholate,12544|22833540,C05466,HMDB00637,CHEBI:36274
glycocholate,10140|23617285,C01921,HMDB00138,CHEBI:17687
glycocholenate sulfate*,NA,NA,NA,NA
glycodeoxycholate,3035026|22833539,C05464,HMDB00631,CHEBI:27471
glycolithocholate sulfate*,72222|443113|53477756,C11301,HMDB02639,NA
glycoursodeoxycholate,12310288,NA,HMDB00708,NA
glycylglycine,154|889|711|163|11163|1548897,C02037,HMDB11733,CHEBI:16670|CHEBI:17201|CHEBI:356445
glycylisoleucine,NA,NA,NA,NA
glycylleucine,928|431|548|899|1548899|92843,C02155,HMDB00759,NA
glycylproline,30|136|256|993|386|44369312|79101,NA,HMDB00721,NA
glycylvaline,27|248|076|994|979,NA,NA,NA
guanidinoacetate,76|339|468|484|547|000|3946848|4546993|763,C00581,HMDB00128,CHEBI:16344|CHEBI:57742
guanine,764,C00242,HMDB00132,CHEBI:16235
guanosine,6802,C00387,HMDB00133,CHEBI:16750
guanosine 3'-monophosphate (3'-GMP),3522,NA,NA,NA
guanosine 5'- monophosphate (5'-GMP),761,NA,NA,NA
heme*,NA,NA,NA,NA
heptanoate (7:0),8094,C17714,HMDB00666,CHEBI:45571
hexadecanedioate,10459,C19615,HMDB00672,NA
hexanoylcarnitine,6426853|8892,C01585,HMDB00705|HMDB00535,CHEBI:30776|CHEBI:70749
hippurate,464,C01586,HMDB00714,CHEBI:18089
histamine,774|156615,C00388,HMDB00870,CHEBI:18295
histidine,7|733|651|426|6274|6971009,C00135,HMDB00177,CHEBI:15971|CHEBI:57595
histidylleucine,1|890|086|992|010,NA,NA,NA
homocysteine,778|6971015|91552|49791978,C00155|C05330,HMDB00742,CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
hypotaurine,107812|25244088,C00519,HMDB00965,CHEBI:16668|CHEBI:57853
hypoxanthine,790,C00262,HMDB00157,CHEBI:17368
inosine,NA,NA,NA,NA
inositol 1-phosphate (I1P),NA,C04006,HMDB00213,CHEBI:18169
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,NA,NA,NA
isobutyrylcarnitine,NA,NA,NA,NA
isoleucine,791|6306|7043901,C00407,HMDB00172,CHEBI:17191|CHEBI:58045
isoleucylalanine,52|460|095|246|010,NA,NA,NA
isoleucylglutamate,NA,NA,NA,NA
isoleucylglutamine,NA,NA,NA,NA
isoleucylglycine,342532,NA,NA,NA
isoleucylisoleucine,NA,NA,NA,NA
isoleucylleucine,11644431,NA,NA,NA
isoleucylmethionine,NA,NA,NA,NA
isoleucylphenylalanine,435728,NA,NA,NA
isoleucylserine,NA,NA,NA,NA
isoleucyltyrosine,342468,NA,NA,NA
isovalerylcarnitine,6426851,NA,HMDB00688,NA
isovalerylglycine,546304,NA,HMDB00678,CHEBI:70984
ketamine,3821,C07525,NA,CHEBI:6121
kynurenine,1|611|666|971|029|161166|6971029,C00328,HMDB00684,CHEBI:16946|CHEBI:57959
lactate,612|107689,C00186,HMDB00190,CHEBI:422
laurate (12:0),3893,C02679,HMDB00638,CHEBI:30805
leucine,70|457|986|106|6106|7045798,C00123,HMDB00687,CHEBI:15603|CHEBI:57427
leucylalanine,259321,NA,NA,NA
leucylglutamate,52|595|895|259|590,NA,NA,NA
leucylglycine,79070,NA,NA,NA
leucylleucine,768|076|992|072|94244,C11332,NA,NA
leucylmethionine,118276,NA,NA,NA
leucylphenylalanine,259325,NA,NA,NA
leucylserine,3621685,NA,NA,NA
lidocaine,3676,D00358,NA,NA
linoleate (18:2n6),5280450,C01595,HMDB00673,CHEBI:17351
linolenate [alpha or gamma; (18:3n3 or 6)],5280934,C06427,HMDB01388,CHEBI:27432
lysine,5962,C00047,HMDB00182,CHEBI:18019
malate,525|222656,C00149,HMDB00156,CHEBI:30797
maltose,439341|439186|10991489,C00208,HMDB00163,CHEBI:17306|CHEBI:47937
maltotetraose,446495|439639,C02052,HMDB01296,NA
maltotriose,439586,C01835,HMDB01262,NA
mannitol,6251|453,C00392,HMDB00765,CHEBI:16899
mannose,161658|18950,C00159,HMDB00169,CHEBI:4208
mannose-6-phosphate,65127|439198,C00275,HMDB01078,CHEBI:48066|CHEBI:49728
margarate (17:0),10465,NA,HMDB02259,CHEBI:32365
methionine,69|920|876|137|6137|6992087,C00073,HMDB00696,CHEBI:16643|CHEBI:57844
methionine sulfoxide,1|589|801|548|907|1548907|158980|25244659|847,C02989,HMDB02005,CHEBI:17016|CHEBI:49033
methionylleucine,3425788,NA,NA,NA
methyl stearate,8201,NA,NA,NA
methylglutaroylcarnitine,128145,NA,HMDB00552,CHEBI:70857
metoprolol,4171,C07202|D02358,HMDB01932,CHEBI:6904
metoprolol acid metabolite*,62936,NA,NA,NA
myo-inositol,NA,C00137,HMDB00211,CHEBI:17268
myristate (14:0),11005,C06424,HMDB00806,CHEBI:28875
myristoleate (14:1n5),5281119,C08322,HMDB02000,CHEBI:27781
N-acetyl-aspartyl-glutamate (NAAG),5255|71120,C12270,HMDB01067,NA
N-acetylalanine,88064,C02847,HMDB00766,CHEBI:40992
N-acetylaspartate (NAA),65065,C01042,HMDB00812,CHEBI:21547
N-acetylglucosamine,24139|439174|11861101,C00140|C02711,HMDB00215,CHEBI:28401|CHEBI:506227
N-acetylglucosamine 6-phosphate,10040501|440996|439219,C00357,HMDB02817|HMDB01062,CHEBI:15784
N-acetylglycine,10972,NA,HMDB00532,CHEBI:21501|CHEBI:40410
N-acetylmethionine,448580|6180,C02712,HMDB11745,CHEBI:21557
N-acetylneuraminate,439197|445063,C00270|C19910,HMDB00230,CHEBI:17012|CHEBI:45744
N-acetylserine,65249,NA,HMDB02931,NA
N-acetylthreonine,4651717|439406,NA,NA,CHEBI:16160
N-ethylglycinexylidide*,24415,C16561,NA,CHEBI:222828
N1-methyladenosine,5460178|27476,C02494,HMDB03331,CHEBI:16020
N1-methylguanosine,96373,NA,HMDB01563,CHEBI:19062
"N2,N2-dimethylguanosine",92919,NA,HMDB04824,CHEBI:19289
N6-acetyllysine,699|197|892|832|6991978|92832,C02727,HMDB00206,CHEBI:17752|CHEBI:58260
nicotinamide,936,C00153,HMDB01406,CHEBI:17154
nicotinamide adenine dinucleotide (NAD+),1|089|765|158|925|290|000|5893,C00003,HMDB00902,CHEBI:15846
nicotinamide ribonucleotide (NMN),14180,C00455,HMDB00229,CHEBI:16171
nonadecanoate (19:0),12591,C16535,HMDB00772,CHEBI:39246
octanoylcarnitine,123701,NA,NA,NA
oleate (18:1n9),445639,C00712,HMDB00207|HMDB00573,CHEBI:16196
oleoylcarnitine,53477789,NA,HMDB05065,NA
ophthalmate,9817431|7018721,NA,HMDB05765,NA
ornithine,6262|71082,C00077|C00515,HMDB03374|HMDB00214,CHEBI:15729|CHEBI:16176
p-cresol sulfate,4615422|2879,C01468,HMDB01858,CHEBI:17847
palmitate (16:0),985,C00249,HMDB00220,CHEBI:15756
"palmitate, methyl ester",8181,C16995,NA,CHEBI:69187
palmitoleate (16:1n7),445638,C08362,HMDB03229,CHEBI:28716
palmitoyl sphingomyelin,9939941,NA,NA,NA
palmitoylcarnitine,461,NA,NA,NA
pantothenate,6613|988,C00864,HMDB00210,CHEBI:46905|CHEBI:7916
paraxanthine,4687,C13747,HMDB01860,CHEBI:25858
pelargonate (9:0),5461016|8158,C01601,HMDB00847,CHEBI:29019
phenol sulfate,74426,C02180|C00850,NA,CHEBI:27905
phenylacetylglutamine,306137|92258,C05597|C04148,HMDB06344,CHEBI:17884
phenylalanine,69|256|656|140|6140|6925665,C00079,HMDB00159,CHEBI:17295|CHEBI:58095
phenylalanylleucine*,4078229,NA,NA,NA
phenylalanylphenylalanine,69|930|906|993|089,NA,NA,NA
phenylalanylserine,9859812,NA,NA,NA
phosphate,1061|1004|22486802|11128397,C00009,HMDB01429|HMDB02142,CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367
phosphoethanolamine,52|323|241|015|1015|5232324,C00346,HMDB00224,CHEBI:17553
pipecolate,849|439227|6931663|25200477,C00408,HMDB00070|HMDB00716,CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
pregnen-diol disulfate*,219833|3032822,C05484,HMDB04025,NA
pro-hydroxy-pro,11673055|11902892|11902893,NA,HMDB06695,NA
proline,1|457|426|971|047|145742|6971047,C00148,HMDB00162,CHEBI:17203|CHEBI:60039
prolylglycine,74|080|766|426|709,NA,NA,NA
propionylcarnitine,107738,C03017,HMDB00824,CHEBI:28867
prostaglandin A2,5280880|22833602,C05953,HMDB02752,CHEBI:27820
prostaglandin D2,448457,C00696,HMDB01403,CHEBI:15555
prostaglandin E2,5280360,C00584,HMDB01220,CHEBI:15551
