,PubChem CID,KEGG,Human Metabolome Database,ChEBI
"1,5-ANHYDROGLUCITOL (1,5-AG)",64960,C07326,HMDB02712,CHEBI:16070
1-METHYLADENOSINE (1MA),,,,
2-AMINOADIPATE,92136|59066632|59366488|469,C00956,HMDB00510,CHEBI:37023|CHEBI:37024
2'-DEOXYURIDINE-5'-TRIPHOSPHATE (DUTP),,,,
2-HYDROXYBUTYRATE (AHB),440864|11266,C05984,HMDB00008,CHEBI:50613|CHEBI:1148
2-HYDROXYBUTYRATE (AHB),,,,
"3,4-DIHYDROXYPHENYLETHYLENEGLYCOL (DOPEG)",,,,
3-METHYL-2-OXOPENTANOATE,,,,
3-METHYLHISTIDINE (1-METHYLHISTIDINE),6971061|64969|92105|7020397,C01152,HMDB00479|HMDB00001,CHEBI:27596|CHEBI:50599
3-PHOSPHOGLYCERATE,724,C00597,HMDB00807,CHEBI:17050
4-ACETAMIDOBUTANOATE,,,,
4-GUANIDINOBUTANOATE,25200642|500,C01035,HMDB03464,CHEBI:15728|CHEBI:57486
4-METHYL-2-OXOPENTANOATE,70,C00233,HMDB00695,CHEBI:48430
"5,6-DIHYDROTHYMINE",,,,
"5,6-DIHYDROURACIL",649,C00429,HMDB00076,CHEBI:15901
5-HYDROXYINDOLEACETATE (5-HIA),,,,
5-HYDROXYTRYPTOPHAN,,,,
5-METHYLTHIOADENOSINE (MTA),439176,C00170,HMDB01173,CHEBI:17509
5-SULFOSALICYLATE,,,,
6-PHOSPHOGLUCONATE,91493,C00345,HMDB01316,CHEBI:48928
ACETYLCARNITINE (ALC; C2 AC),,,,
ACONITATE,643757,C00417,HMDB00072,CHEBI:32805
ADENINE,190,C00147|D00034,HMDB00034,CHEBI:16708
ADENOSINE,60961|32326,C00212|D00045|C07195|D00406,HMDB00050,CHEBI:16335
A-KETOGLUTARATE,51,C00026,HMDB00208,CHEBI:30915
ALANINE,7311724|5950,C00041|D00012,HMDB00161,CHEBI:16977|CHEBI:57972
ALANYLALANINE,20112020|6992112|5460362,C00993,HMDB03459,CHEBI:16576|CHEBI:57822
ARACHIDONATE (20:4N6),444899,C00219,HMDB01043,CHEBI:15843
ARGININOSUCCINATE,16950,C03406,HMDB00052,
ASCORBATE (VITAMIN C),54670067,C00072|D00018,HMDB00044,CHEBI:29073
ASPARAGINE,6992089|6267,C00152,HMDB00168,CHEBI:17196|CHEBI:58048
ASPARTATE,44367445|5960,C00049|D00013,HMDB00191,CHEBI:17053
ASSYMETRIC DIMETHYLARGININE (ADMA),123831|51351707|169148,C03626,HMDB01539|HMDB03334,CHEBI:17929|CHEBI:25682|CHEBI:61914
A-TOCOPHEROL,14985,C02477,HMDB01893,CHEBI:18145
AZELATE (NONANEDIOATE),2266|19347555,C08261|D03034,HMDB00784,CHEBI:48131
B-ALANINE,4755801|239,C00099|D07561,HMDB00056,CHEBI:16958|CHEBI:57966
B-AMINOISOBUTYRATE,,,,
B-HYDROXYBUTYRATE (BHBA),,,,
BICINE,,,,
BILIVERDIN,,,,
BIOTIN,,,,
BRADYKININ,,,,
BRADYKININ HYDROXYPROLINE,,,,
CADAVERINE,,,,
CAFFEINE,,,,
CARNITINE,10917,C00318|D02176,,CHEBI:16347
CATECHOL,3083879|289,C00090|C01785|C15571,HMDB00957,CHEBI:68505|CHEBI:18135
CHOLESTEROL,5997|11025495,C00187|D00040,HMDB00067,CHEBI:16113
CILIATINE (2-AMINOETHYLPHOSPHONATE),,,,
CITRATE,311|19782904,C00158|D00037,HMDB00094,CHEBI:30769
CITRULLINE,9750|6992098,C00327|D07706,HMDB00904,CHEBI:16349|CHEBI:57743
CREATININE,588,C00791|D03600,HMDB00562,CHEBI:16737
CYSTATHIONINE,25243997|439258,C02291,HMDB00099,CHEBI:17482|CHEBI:58161
CYSTEINE,5862|6419722,C00097|D00026,HMDB00574,CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
CYTIDINE,6175,C00475|D07769,HMDB00089,CHEBI:17562
CYTIDINE MONOPHOSPHATE (CMP),7058165|6131,C00055,HMDB00095,CHEBI:60377|CHEBI:17361
DEHYDROEPIANDROSTERONE SULFATE (DHEA-S),,,,
DEOXYURIDINE,,,,
DIHYDROXYACETONEPHOSPHATE (DHAP),,,,
DIMETHYLBENZIMIDAZOLE,,,,
ERYTHRITOL,222285,C00503|D08915,HMDB02994,CHEBI:17113
ETHYLMALONATE,,,,
FRUCTOSE,439163|439709,C00095|C02336,HMDB00660,CHEBI:37721|CHEBI:28645
FRUCTOSE-6-PHOSPHATE,440641|69507,C05345,HMDB00124|HMDB03971,CHEBI:16084|CHEBI:15946
FUMARATE (TRANS-BUTENEDIOATE),444972|21883788,C00122|D02308,HMDB00134,CHEBI:18012|CHEBI:22958
G-GLUTAMYLCYSTEINE,123938,C00669,HMDB01049,CHEBI:17515
G-GLUTAMYLGLUTAMINE,150914,C05283,HMDB11738,CHEBI:73707
GLUCOSE,5793,C00293|C00031|D00009,HMDB00122,CHEBI:4167|CHEBI:75792
GLUTAMATE,44272391|33032|23327,C00025|D00007|C00217,HMDB03339|HMDB00148,CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
GLUTAMINE,6992086|5961,C00064|D00015,HMDB00641,CHEBI:18050|CHEBI:58359
GLUTARATE (PENTANEDIOATE),4418048|23322899|743,C00489,HMDB00661,CHEBI:30921|CHEBI:17859
GLUTATHIONE REDUCED (GSH),124886|25246407,C00051|C02471|D00014,HMDB00125,CHEBI:16856|CHEBI:60836
GLYCERATE,439194,C00258,HMDB00139,CHEBI:32398
GLYCEROL,753,C00116|D00028|D05073,HMDB00131,CHEBI:15850|CHEBI:17522|CHEBI:17754
GLYCEROL-3-PHOSPHATE (G3P),439162,C00093,HMDB00126,CHEBI:15978|CHEBI:17106
