Biochemical,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
"1,5-anhydroglucitol (1,5-AG)",1176776.453,619230.797,578389.5707,844540.7652,921001.7354,861669.427,1646263.978,1075645.092,1004473.203,1445369.913,1083053.324,639956.9004,1265295.692,878591.3228,710693.6466,1171981.392,865676.5459,1368714.01,443551.934,1076201.465,780485.6747,1384430.513,1289830.294,1259326.493,704292.0294,1013673.233,1402374.583,1233659.878,1003798.626,381620,576586.3964,877262.9044,477236,378536,351486,343740,779243.2827,894033.7367,1664830.533,,,312041,3136513.935,4728675.989,6902382.094,6934892.975,4239640.986,6406285.25,6230213.874,6348744.433,6392625.247,6442318.113
1-Methyladenosine (1mA),,,,,112088.7126,,109506.5621,122771.167,,105807.0976,77607.8556,,,163724.7006,,,156038.4453,,,,,,,191352.8476,430437.5689,107697.2429,84350.8716,246975.0837,352863.6142,345860.4093,408029.9499,740536.0784,,612132.3074,574150.2222,349753.4306,1027686.83,465355.3015,1231628.258,293742.6895,452371.3613,219428.5015,,,,,,,,,,
2-Aminoadipate,560323.7902,310702,468454.4538,131935,628066.2641,491382.3062,1122687.26,300723,420277.4482,581212.6465,507637.8564,160087,1231225.703,962767.697,552973.3121,383700.0275,983190.2772,1530972.319,203262,553990.282,902916.9951,800432.7336,1309664.169,1477335.651,570812.3172,1547399.736,711719.552,1671783.333,912329.2638,236107,126111,2091638.96,2956152.366,816239,2147963.443,102068,240610,5239835.058,1377163.076,182868,100422,126701,,,,,,,,,,
2'-Deoxyuridine-5'-triphosphate (dUTP),40416.0759,24110.0885,,23156.2315,23275.1094,41118.9938,17051.3678,,27143.7101,,68089.701,19998.1216,41597.369,20876.1938,57704.7814,41832.3146,,,19335.591,24769.759,,,,,,31722.9753,44498.5423,58300.0467,,,,,23159.5992,,19893.6123,35798.6911,28791.8516,,78058.8847,,,,,,,,,,,,,
2-Hydroxybutyrate (AHB),709989,528912,366639,567873,528012,357474,1021941,391348,,1258197,,390909,643589,838442,447536,468231,1272083,1013114,289988,643359,,1002261,625024,863214,739558,759019,887495,1219233,858549,793743,5168028.099,1345635,1651107,2856267,2312349,1881200,2121428,2692725,5253151,2663982,2899381,739820,1082057.644,2540971.721,2737614.586,2874845.416,3090093.539,2857369.87,2703871.623,2585257.938,2642672.353,2741504.446
2-Hydroxybutyrate (AHB),58599.4512,44581.4358,29869.9424,54979.215,51755.1134,,34529.7126,35864.0707,27693.7128,23596.9416,68943.9153,47428.3895,47420.7713,97477.1925,75578.3419,61955.6005,43212.0557,71139.4541,42480.46,63561.815,,,30870.8761,32017.4209,40775.8559,94306.3268,61642.3669,48604.7874,63962.7921,37105.1329,315364.9193,140254.2986,162502.7807,332098.6365,158907.5126,251127.8919,265467.1047,455608.1698,662841.7395,443617.206,387352.2379,74918.5744,114401.9608,79580.8248,268377.5806,118613.2786,203812.9189,262994.7193,155431.0978,156691.9443,217858.9577,167821.7688
"3,4-Dihydroxyphenylethyleneglycol (DOPEG)",32692,,39631,,,,,,41183,,,,,,,45557,,,,45769,,,,,,,,,692342.4979,,,,,,,,,,,,,,,,,,,,,,,
3-Methyl-2-oxopentanoate,81746.385,49070.9898,517739.5788,52195.9397,17009,33693.4507,20375,23290,36699.3688,38418.4513,41212.182,56400.6516,43886.5737,57119.7459,78268.3665,127918.0132,378458.6123,25768.3332,41032.6214,143298.8386,27124.5196,50316.9973,26739,52982.642,144793.6672,44399.2059,143364.2254,71810.5247,688964.9934,174927.3782,75294.1237,240067.6623,609604.8265,1069688.352,21771.4667,28051.5655,44030.5133,151420.3721,279649.1499,352830.3229,32370.1864,29259.0685,908392.0987,274547.249,790021.8622,304656.8712,209525.4392,342234.3712,233439.7397,332424.1227,355575.6898,308711.3708
3-Methylhistidine (1-Methylhistidine),653323.4047,616944.273,521945.0767,1331777.362,508298.2308,944717.3336,556482.7177,414941.4887,533115.4401,483455.6051,588446.7524,909213.7428,752683.3958,443205.1741,677222.0913,1507408.76,754832.4742,719367.7502,849086.9768,798082.4461,788468.6629,1137342.912,523870.1416,1044941.769,972757.9842,1248120.946,905819.3182,711823.7825,594984.0615,1089319.045,1399824.399,1694202.939,1271161.377,2017280.829,1324537.968,1005131.472,1460798.609,1755320.795,2279252.205,833446.6343,1067329.903,510319.8593,971705.5169,713090.3593,829936.025,650600.3765,718613.1444,759341.1897,758885.3397,700544.7438,691199.7474,782570.9761
3-Phosphoglycerate,555408.7245,897607.5456,258685.7586,169031.3284,81428.0059,487947.5273,108772.7597,186607.6538,1476624.03,95429,901654.3647,509741.7746,380053.9875,116792.1835,690921.5686,1046187.992,1956353.556,1113686.974,173934.5448,355947.6304,183188.9229,710702.6006,76994.4737,155290.1176,931557.3931,861122.5449,3201635.369,377410.0122,365744.0481,127157.9847,384273.57,274432.3444,797997.7692,391629.2811,509557.4345,169976.819,587307.7507,328532.8165,935273.1084,455172.1515,724715.3286,,,,,,,,,,,
4-Acetamidobutanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47246,112756.1201,197089,40433,303438,345799,,54621,377544.295,,213417.8026,87491,98498,,,,,,,,,,,
