PubChem CID	Super Pathway	Sub Pathway	KEGG	Human Metabolome Database	ChEBI	
1-arachidonoylglycerophosphoethanolamine*			42607465	NA	HMDB11517	CHEBI:64395
1-arachidonoylglycerophosphoinositol*			NA	NA	NA	NA
1-arachidonylglycerol			5282281|53480981	C13857	HMDB11572	CHEBI:75572|CHEBI:75612
1-eicosadienoylglycerophosphocholine*			NA	NA	NA	NA
1-heptadecanoylglycerophosphoethanolamine*			NA	NA	NA	NA
1-linoleoylglycerol (1-monolinolein)			NA	NA	NA	NA
1-linoleoylglycerophosphocholine			5280646	C04100	NA	NA
1-linoleoylglycerophosphoethanolamine*			52925130	NA	HMDB11507	NA
1-myristoylglycerophosphocholine			460604	NA	HMDB10379	NA
1-oleoylglycerophosphocholine			5280634|16081932	C03916	HMDB02815	CHEBI:74342
1-oleoylglycerophosphoethanolamine			58177709|9547071	NA	HMDB11506	CHEBI:74971|CHEBI:75168
1-oleoylglycerophosphoinositol*			NA	NA	NA	NA
1-oleoylglycerophosphoserine			NA	NA	NA	NA
1-palmitoylglycerol (1-monopalmitin)			NA	NA	NA	NA
1-palmitoylglycerophosphocholine			86555	C04102	NA	NA
1-palmitoylglycerophosphoethanolamine			58177710|9547069	NA	HMDB11503	CHEBI:73004|CHEBI:73134
1-palmitoylglycerophosphoinositol*			NA	NA	NA	NA
1-stearoylglycerol (1-monostearin)			NA	D01947	NA	NA
1-stearoylglycerophosphocholine			NA	NA	NA	NA
1-stearoylglycerophosphoethanolamine			9547068|46891690	NA	HMDB11130	CHEBI:75036
1-stearoylglycerophosphoinositol			NA	NA	NA	NA
"1,5-anhydroglucitol (1,5-AG)"			64960	C07326	HMDB02712	CHEBI:16070
"1,7-dimethylurate"			91611	C16356	HMDB11103	CHEBI:68449
10-heptadecenoate (17:1n7)			NA	NA	NA	NA
10-nonadecenoate (19:1n9)			NA	NA	NA	NA
13-HODE + 9-HODE			NA	NA	NA	NA
2'-deoxyinosine			65058	C05512	HMDB00071	CHEBI:28997
2-aminoadipate			59066632|92136|469|59366488	C00956	HMDB00510	CHEBI:37023|CHEBI:37024
2-aminobutyrate			439691|6971251	C02261	HMDB00650	CHEBI:28797
2-arachidonoylglycerophosphocholine*			NA	NA	NA	NA
2-arachidonoylglycerophosphoethanolamine*			NA	NA	NA	NA
2-docosahexaenoylglycerophosphoethanolamine*			NA	NA	NA	NA
2-docosapentaenoylglycerophosphoethanolamine*			NA	NA	NA	NA
2-ethylhexanoate			NA	NA	NA	NA
2-hydroxyacetaminophen sulfate*			NA	NA	NA	NA
2-hydroxybutyrate (AHB)			440864|11266	C05984	HMDB00008	CHEBI:50613|CHEBI:1148
2-hydroxyglutarate			43|439391	C02630|C01087	HMDB00606	CHEBI:17084|CHEBI:32796
2-hydroxyhippurate (salicylurate)			10253	C07588	HMDB00840	CHEBI:9008
2-hydroxypalmitate			NA	NA	NA	NA
2-hydroxystearate			439887	C03045	NA	CHEBI:18129
2-linoleoylglycerophosphocholine*			NA	NA	NA	NA
2-methoxyacetaminophen sulfate*			NA	NA	NA	NA
2-methylbutyroylcarnitine			6426901	NA	HMDB00378	CHEBI:73026
2-oleoylglycerophosphocholine*			NA	NA	NA	NA
2-oleoylglycerophosphoethanolamine*			NA	NA	NA	NA
2-palmitoylglycerol (2-monopalmitin)			NA	NA	NA	NA
2-palmitoylglycerophosphocholine*			NA	NA	NA	NA
2-palmitoylglycerophosphoethanolamine*			NA	NA	NA	NA
3'-dephosphocoenzyme A			444485|439335	C00882	HMDB01373	CHEBI:15468
3-(4-hydroxyphenyl)lactate			9378	C03672	HMDB00755	CHEBI:17385
3-(cystein-S-yl)acetaminophen*			NA	NA	NA	NA
3-aminoisobutyrate			64956|25201103	C05145	HMDB03911	CHEBI:27389
