Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",0.68826212716637525,0.86595901876181791,1.0
"1,5-anhydroglucitol (1,5-AG)",0.138275048750619,0.74761931246663982,1.0
"1,7-dimethylurate",-1.2509119086203782,0.038739645658657715,0.090458892632040835
1-arachidonoylglycerophosphocholine (20:4n6)*,1.185468200108438,0.62491576133026117,0.47374546832664255
1-arachidonoylglycerophosphoethanolamine*,0.48274620722898931,0.046242259585722638,0.12351741955482493
1-arachidonoylglycerophosphoinositol*,0.65321487267982037,0.19017041064040213,0.52273900553888553
1-arachidoylglycerophosphocholine (20:0),3.2907126794973589,0.024930788145801856,0.1254456947236032
1-dihomo-linoleoylglycerophosphocholine (20:2n6)*,3.4409012809876036,0.0069218085751577528,0.0849634733175577
1-eicosatrienoylglycerophosphocholine (20:3)*,1.4882959678784071,0.47039356783635378,0.64530117188898806
1-eicosenoylglycerophosphocholine (20:1n9)*,4.2342208151259495,0.0034318378703366284,0.23378193949484363
1-eicosenoylglycerophosphoethanolamine (20:1n9)*,3.5238393830480614,0.0097394309654826195,0.093647406374321035
1-linoleoylglycerophosphocholine (18:2n6),1.8291003836684538,0.34547155827633963,0.4303131445963731
1-linoleoylglycerophosphoethanolamine*,0.40348332026758865,0.99367297820426337,1.0
1-margaroylglycerophosphocholine (17:0),2.4031765720664375,0.012793660614401875,0.064642481810103347
1-margaroylglycerophosphoethanolamine*,1.0599315212036329,0.068435631542632921,0.11279332615719127
1-myristoylglycerophosphocholine (14:0),2.4463332896703411,0.070738708349417201,0.61509152113263921
1-nonadecanoylglycerophosphocholine(19:0)*,1.2925454532751388,0.25501121852434083,0.43400264256791932
1-oleoylglycerophosphocholine (18:1),1.874137840468912,0.15265827981862046,0.19208171754902292
1-oleoylglycerophosphoethanolamine,0.23217228221192387,0.78322133365566105,1.0
1-oleoylglycerophosphoglycerol*,1.2604568402883729,0.0038432901560780321,0.0067329353217947504
1-oleoylglycerophosphoinositol*,1.3589674193142214,0.016678020298657229,0.093647406374321035
1-oleoylglycerophosphoserine,0.51597420186593035,0.046242259585722638,0.41217416925108075
1-oleoylplasmenylethanolamine*,1.6294616352213531,0.012112539089259532,0.012437955632065685
1-palmitoleoylglycerophosphocholine (16:1)*,1.1942610277698311,0.63407423418578612,0.47374546832664255
1-palmitoylglycerol (1-monopalmitin),0.28421100709027214,0.28793785389617194,0.8260769109576086
1-palmitoylglycerophosphocholine (16:0),1.1065441929068913,0.17183740145116616,0.11279332615719127
1-palmitoylglycerophosphoethanolamine,-0.13397942390791695,0.86595901876181791,1.0
1-palmitoylglycerophosphoglycerol*,2.2890492144165862,0.0038432901560780321,0.012437955632065685
1-palmitoylglycerophosphoinositol*,1.408847360770763,0.035929694870646664,0.14830502522671601
1-palmitoylplasmenylethanolamine*,1.3153363035337848,0.035929694870646664,0.030179014190842301
1-stearoylglycerophosphocholine (18:0),1.8952201290432535,0.12105688243236572,0.11120615524678827
1-stearoylglycerophosphoethanolamine,0.33335446279714331,0.91352841612260982,1.0
1-stearoylglycerophosphoglycerol,2.7766537190199791,0.0021345298155879804,0.0014239836201040421
1-stearoylglycerophosphoinositol,0.79841858006632316,0.17183740145116616,0.24186234894768019
1-stearoylglycerophosphoserine*,-0.56177635699441208,0.51735376932500265,0.8428820136245605
10-heptadecenoate (17:1n7),0.20968709688437395,0.74761931246663982,0.93667386581998235
10-nonadecenoate (19:1n9),1.4729791468254068,0.068435631542632921,0.22733894200111379
15-methylpalmitate (isobar with 2-methylpalmitate),-0.33176450248281286,0.3165221038371816,0.51085097473370245
2-aminoadipate,-1.0513690830127096,0.016678020298657229,0.28644163616281243
2-aminobutyrate,0.2144990054921565,0.6032411848734448,1.0
2-arachidonoylglycerophosphocholine*,0.20292344875102097,0.95817413247067507,1.0
2-arachidonoylglycerophosphoethanolamine*,-0.17510401998666472,0.82844494337849039,1.0
2-docosahexaenoylglycerophosphocholine*,0.24540507164809489,0.65595912329525674,1.0
2-docosahexaenoylglycerophosphoethanolamine*,0.50349597340128416,0.86595901876181791,0.98706598481054286
