Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",-0.20282950659626592,0.086602740216380175,0.21061230973357467
"1,3-dihydroxyacetone",0.451218286319166,0.077447576847540139,0.10212778765550241
"1,5-anhydroglucitol (1,5-AG)",-0.030685629010486812,0.97597014081837419,1.0
10-heptadecenoate (17:1n7),0.71828661224098855,1.0783747981174422e-15,1.8137273352407352e-16
10-nonadecenoate (19:1n9),1.181873996841446,2.5495058974706441e-22,6.8217818434832996e-22
13-HODE + 9-HODE,0.21834744296515743,0.95876861245793488,0.45698424535625504
15-methylpalmitate (isobar with 2-methylpalmitate),0.44894638628879652,1.1069145203237615e-13,5.0003444589602729e-15
16-hydroxypalmitate,-0.43074273392568241,0.0074972801955225021,0.083086005281533482
1-arachidonoylglycerophosphocholine*,-0.38930811980477181,0.014550367801788852,0.063348399041175743
1-arachidonoylglycerophosphoethanolamine*,-1.2357418954591455,4.602024168246181e-30,1.7695538234437611e-30
1-arachidonoylglycerophosphoinositol*,-0.87064749758614901,7.7377278994125229e-22,2.0213195313834642e-21
1-arachidonylglycerol,-0.43610290933877321,0.061679346106362047,0.01490476227090025
1-docosahexaenoylglycerophosphocholine*,-0.93189451393034861,4.0381507718917861e-09,7.9665732180044636e-08
1-heptadecanoylglycerophosphocholine,-1.9861129447891963,1.8964346884709261e-16,1.9518760338088176e-09
1-heptadecanoylglycerophosphoethanolamine*,-4.5397910061573521,4.0338901387843399e-40,1.421732441677994e-23
1-linoleoylglycerol (1-monolinolein),0.77135035079515424,0.00087700643707371115,6.7763507875068723e-05
1-linoleoylglycerophosphocholine,-0.69195244333247619,0.0034653837529358511,0.00053533384348950842
1-linoleoylglycerophosphoethanolamine*,-2.9839879258258493,4.3852378562943701e-36,5.7375166614307089e-31
1-methylimidazoleacetate,-0.77095322508448405,8.9595318928809287e-14,7.415951224150746e-11
1-myristoylglycerophosphocholine,-1.4056443815074986,7.1725110577577119e-13,5.7258669482904535e-08
1-myristoylglycerophosphoethanolamine,-2.7224200462215689,3.9637196624170886e-27,3.6349475565141418e-13
1-oleoylglycerol (1-monoolein),0.75419746126564946,0.00013653749985640765,5.0077940901006313e-05
1-oleoylglycerophosphocholine,-1.8095815304340752,6.7603653733673956e-17,2.6980889198289348e-11
1-oleoylglycerophosphoethanolamine,-4.2889991363359483,1.0019003687510897e-40,8.3357543996012373e-35
1-oleoylglycerophosphoinositol*,-1.5362198502181037,8.225961983602922e-34,1.6097488612587772e-34
1-oleoylglycerophosphoserine,-1.1263298258371977,1.088149896314339e-23,3.5487292398231619e-20
1-palmitoleoylglycerophosphocholine*,-1.2781806958737894,9.5357869788709919e-10,2.4899925337710649e-06
1-palmitoleoylglycerophosphoethanolamine*,-3.6444845327391775,2.256267771453857e-33,5.139547635201016e-12
1-palmitoylglycerol (1-monopalmitin),-0.33757533906341403,0.0065635428957851339,0.014539321872659477
1-palmitoylglycerophosphocholine,-1.5446667792454143,3.4764633673031922e-16,8.7668772335131956e-13
1-palmitoylglycerophosphoethanolamine,-5.1404131870844241,3.0304857868248894e-41,8.85093772098357e-29
