Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-dipalmitoylglycerol",-0.11262050254625128,0.95845619991377773,1.0
"1,2-propanediol",2.3657383496129949,0.59321546788708934,0.81294060723029293
"1,5-anhydroglucitol (1,5-AG)",0.75778904065999519,0.068268808607839154,0.16706596680125682
1-arachidonoylglycerophosphoethanolamine*,-0.53600351011913538,0.11040556148406754,0.28328906088880362
1-arachidonoylglycerophosphoinositol*,1.0150012718867774,0.34059794164566359,1.0
1-linoleoylglycerophosphocholine,0.59133497339113239,1.0,1.0
1-methylimidazoleacetate,-1.8632942213768775,0.018175534694844148,0.083631213990614045
1-myristoylglycerophosphocholine,0.26337569997811155,0.6501857676277637,1.0
1-octadecanol,0.35172545201123329,0.27639831044410879,0.63662038218884376
1-oleoylglycerol (1-monoolein),0.30157641400922319,0.32499489367553031,1.0
1-oleoylglycerophosphocholine,-0.054552559818649163,0.95845619991377773,1.0
1-oleoylglycerophosphoethanolamine,-0.24391858214128517,0.75987275557129963,1.0
1-palmitoleoylglycerophosphocholine*,0.29570614398989975,0.9791737067997357,1.0
1-palmitoylglycerol (1-monopalmitin),-0.54829277706847379,0.8613839537569018,1.0
1-palmitoylglycerophosphocholine,-0.38076010004650784,0.58529525572573615,1.0
1-palmitoylglycerophosphoethanolamine,-0.10802010733301019,0.73965329070679442,1.0
1-palmitoylglycerophosphoinositol*,1.5359986088440574,0.6689396163803949,0.63093037496737925
1-stearoylglycerol (1-monostearin),0.77273393176249072,0.20614198318927232,0.54074570320097881
1-stearoylglycerophosphocholine,0.13873966365624243,0.9791737067997357,1.0
1-stearoylglycerophosphoethanolamine,0.53594403479179398,0.37170678252414413,0.8620275489819359
1-stearoylglycerophosphoinositol,1.1959899384844166,0.54560007390019105,0.74676341284667247
10-heptadecenoate (17:1n7),-0.10601773108178802,0.73965329070679442,1.0
10-nonadecenoate (19:1n9),0.18198940901650099,0.42098621542647346,1.0
13-HODE + 9-HODE,0.13484491850603522,0.20614198318927232,1.0
2'-deoxyguanosine,0.73127624864608476,0.8613839537569018,0.98883613418007477
2'-deoxyinosine,1.17043427485087,0.11805126024903219,0.54074570320097881
2-aminoadipate,0.33288086809035805,0.8613839537569018,1.0
2-aminobutyrate,0.75938514914618438,0.11040556148406754,0.352339514036694
2-arachidonoylglycerophosphocholine*,-0.32001136244768341,0.75361405118771729,1.0
2-arachidonoylglycerophosphoethanolamine*,-0.61154867956652459,0.27639831044410879,0.63662038218884376
2-docosahexaenoylglycerophosphoethanolamine*,0.35681430174928724,0.79841521611199229,1.0
