Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",1.0155002308263326,0.0017661673683991778,0.009401205389936565
"1,3-dihydroxyacetone",0.0079012948440883822,0.23409508795747982,1.0
"1,5-anhydroglucitol (1,5-AG)",0.018865149848938067,0.79985874912699662,1.0
1-arachidonoylglycerophosphoethanolamine*,-1.0277898923197781,0.50702278686163638,0.50717697236204762
1-arachidonoylglycerophosphoinositol*,-2.4687998763618575,0.070175034504292688,0.012726625563380263
1-docosahexaenoylglycerol (1-monodocosahexaenoin),-3.1970992210703524,5.4954859941500539e-05,0.00013065045354577944
1-heptadecanoylglycerophosphocholine,-1.586411071855454,0.29566436181434064,0.54466080250912663
1-heptadecanoylglycerophosphoethanolamine*,-1.1000653011907504,0.067691003809468145,0.062727649375117003
1-linoleoylglycerophosphocholine,-2.2558357287781039,0.12001409852183645,0.29472212711934748
1-methylhistamine,-0.71164795816290294,0.26386566529327093,0.13675752776769576
1-myristoylglycerol (1-monomyristin),-3.1718617713501018,0.00033479186009561303,0.0033421209098899035
1-myristoylglycerophosphocholine,-0.93511938438376618,0.32976286952409983,0.82532295164087366
1-oleoylglycerophosphocholine,-1.1034482694668746,0.34826380462158019,0.50717697236204762
1-oleoylglycerophosphoethanolamine,-1.1324962779364163,0.021424350457819222,0.026512505328715366
1-oleoylglycerophosphoinositol*,-4.465918823099762,0.00077483933757341728,0.0022601360793810046
1-palmitoleoylglycerophosphocholine*,-1.0984253492370017,0.33156393959582847,0.50717697236204762
1-palmitoylglycerol (1-monopalmitin),-2.819806435410952,0.00066806344934050208,0.0022601360793810046
1-palmitoylglycerophosphocholine,-1.7609813574543063,0.10438155241977894,0.21008449175367705
1-palmitoylglycerophosphoethanolamine,-1.5097718345688538,0.011023229435055532,0.0065904938360716132
1-palmitoylglycerophosphoinositol*,-4.5206453245690588,0.011482186973381782,0.0033164633773572387
1-palmitoylplasmenylethanolamine*,-1.6116346630740246,0.016349480177008796,0.0056424276045615269
1-pentadecanoylglycerol (1-monopentadecanoin),-2.5456573627414851,0.0020737477795415046,0.02145744223684808
1-pentadecanoylglycerophosphocholine*,-1.4158312782287379,0.28587421325497453,0.36112214512490609
1-stearoylglycerol (1-monostearin),-2.3975416264453173,0.0013846688637939232,0.0065904938360716132
1-stearoylglycerophosphocholine,-1.4300547304899109,0.2445286244583845,0.37960565439700772
1-stearoylglycerophosphoethanolamine,-1.4690220150374407,0.022120473644353319,0.019409760499147576
1-stearoylglycerophosphoglycerol,-4.0680425822886841,0.012348018694897977,0.011518540974994161
1-stearoylglycerophosphoinositol,-2.382900457796763,0.016349480177008796,0.0098453719679829493
10-heptadecenoate (17:1n7),-0.98633619713882204,0.0024059766633557555,0.0022601360793810046
10-nonadecenoate (19:1n9),-1.9463591960888469,0.00096201076161055122,0.00014386574204448507
13-HODE + 9-HODE,-1.4278580202651163,0.0010956199219989192,0.00092847701560628746
15-methylpalmitate (isobar with 2-methylpalmitate),-1.2361659193325543,0.0010956199219989192,0.00040809565376653898
17-methylstearate,-1.9367386800962048,0.00077483933757341728,0.0002392891086393756
2'-deoxyguanosine,-1.044827927969447,0.1941094116796809,0.14090020449311516
2'-deoxyinosine,0.1353070196229503,0.91551551892799821,1.0
2-aminoadipate,0.0012419250301076259,0.94851307031399479,1.0
2-aminobutyrate,-0.69533560790442372,0.14481078747079437,0.068002635344185311
2-arachidonoylglycerophosphocholine*,-0.15125736664983902,0.36900918072446232,1.0
2-arachidonoylglycerophosphoethanolamine*,2.2330844349348555,0.050070857506304599,0.32971714239039884
2-docosapentaenoylglycerophosphoethanolamine*,1.6548493548225569,0.24482480696899128,0.41302681621685294
2-ethylhexanoate (isobar with 2-propylpentanoate),0.12653228037818873,0.86817551317867447,1.0
2-hydroxybutyrate (AHB),0.5975831405209211,0.04877530731540871,0.072537833540210081
2-hydroxypalmitate,-0.2603481448813737,0.72062839391722444,1.0
2-linoleoylglycerol (2-monolinolein),-3.4919778365966776,0.0012182885631051577,0.013268392348081488
2-linoleoylglycerophosphocholine*,-1.0998408315058832,0.62129740686717416,0.51171521672559128
2-linoleoylglycerophosphoethanolamine*,0.78297282593307671,0.43958755281135686,0.71487721934006143
2-methylbutyroylcarnitine,1.5939903119807635,0.027483078358705108,0.32867349673049423
2-myristoylglycerol (2-monomyristin),-4.2047222136778597,2.0082225454604596e-05,0.0094121265056274512
2-oleoylglycerol (2-monoolein),-0.76941202208090387,0.028880932107674329,0.099135276683015569
2-oleoylglycerophosphocholine*,0.36435176728153368,0.61481406926045945,1.0
2-oleoylglycerophosphoethanolamine*,-1.4933010309883201,0.028014111835851861,0.007850949907436516
2-palmitoleoylglycerophosphoethanolamine*,0.93636381275480884,1.0,0.93942231799529852
2-palmitoylglycerol (2-monopalmitin),-3.4955141521639459,0.00021044805909166048,0.00066279974847595271
2-palmitoylglycerophosphocholine*,-1.3268242076029506,0.16471701548349443,0.5412258705568842
2-palmitoylglycerophosphoethanolamine*,-2.0385251093440764,0.0059238431089524649,0.0040677678614512783
2-stearoylglycerophosphocholine*,-1.7566952735926642,0.16520579285152348,0.51971333334618097
3'-dephosphocoenzyme A,-1.068046779150162,0.050070857506304599,0.47621987969769008
3-(4-hydroxyphenyl)lactate,1.0733387683350066,0.00096201076161055122,0.007850949907436516
3-aminoisobutyrate,0.25868475686946829,0.94886591568307521,1.0
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.44815590563284041,0.68959803216705873,0.85369294006776009
3-dehydrocarnitine*,-0.22331644684355725,0.39721224781425529,0.93460309631951488
3-hydroxybutyrate (BHBA),0.43233200774876795,0.19320443085679451,0.36982462638196023
3-indoxyl sulfate,1.2980011038651094,0.014832457665780325,0.088884125400304548
3-methyl-2-oxovalerate,0.13712744069856589,0.41615313841082696,1.0
3-methylhistidine,-0.70001108737391793,0.022120473644353319,0.05041547556783417
3-phosphoglycerate,0.10493131819227963,0.85895904579379656,1.0
"4-androsten-3beta,17beta-diol disulfate 1*",0.47755391774411421,0.64484419014947292,1.0
4-hydroxybutyrate (GHB),1.0916227304548438,0.024763091499739556,0.051270317633428451
4-hydroxyphenylpyruvate,0.60710246595014672,0.83300430256805935,0.48759597807796651
4-methyl-2-oxopentanoate,-0.059860838129679628,0.78540652645470754,1.0
"5,6-dihydrouracil",0.3775734349596836,0.3263822082484451,0.47374768418937063
5-methylthioadenosine (MTA),-0.63238278724035613,0.0086095922622893058,0.95409306564745633
5-oxoproline,-0.52772099386998306,0.12313009253273904,0.079352164715766949
6-keto prostaglandin F1alpha,0.43383324452144517,0.53551335493255392,0.83820021516389109
6-phosphogluconate,-0.17710513272647097,0.31204522244541544,1.0
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),2.2075232044308546,0.00018702345827854351,0.024145009836198057
