Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
1-Methyladenosine,0.19959989551389207,0.77410094627056225,1.0
2-Aminooctanoic acid,0.37691812181302831,0.92559558643477213,1.0
2-dehydro-D-gluconate,0.12586030060518341,0.62512358019715031,1.0
3-phosphoglycerate,0.35579370834556645,0.43249793847312445,0.64745719550718561
4-aminobutyrate,0.16911342950676692,0.4252620306006436,1.0
6-phospho-D-gluconate,0.27167264756579795,0.92337015139847667,1.0
a-ketoglutarate,0.11433793768404783,0.84965975054462384,1.0
acetyl-CoA,0.26260257439935086,0.845616157260353,1.0
Acetylcarnitine DL,0.027251471575785356,0.9447367444875604,1.0
Acetyllysine,0.19109525009531714,0.63571313264916751,1.0
aconitate,-0.22676562649835821,0.92559558643477213,1.0
adenosine,0.60884470485234177,0.15844480448932299,0.31253983196992663
adenosine 5'-phosphosulfate,0.2813411555600947,0.94285444190469869,1.0
ADP,0.076544794631010271,0.9447367444875604,1.0
ADP-D-glucose,-0.552264992566038,0.845616157260353,0.62445243973294695
alanine,-0.46500244216167036,0.26889933738133026,0.63756512039332092
allantoin,0.20086107768402295,0.9447367444875604,1.0
Aminoadipic acid,0.059101042783845294,0.84965975054462384,1.0
anthranilate,-0.14585584294750822,0.9447367444875604,1.0
arginine,0.0038241801422958608,0.86583874811728612,1.0
Ascorbic acid,0.12721196661348266,0.71465274283605507,1.0
asparagine,-0.52372043514158217,0.016020873982321465,0.011461097183295075
aspartate,-0.15807273538645553,0.8477737815653007,1.0
ATP,-0.32481169384075881,0.9447367444875604,1.0
carnitine,0.31009493395220156,0.53752017364428806,0.82181936567234459
CDP,-0.12439811152606121,0.92568860911953621,1.0
CDP-choline,0.53018472584027998,0.19574690865940744,0.22397100245651955
CDP-ethanolamine,0.03522719487511785,0.084556823659332064,1.0
cholesteryl sulfate,-0.23974501908110563,0.9447367444875604,1.0
choline,-0.30563001051759076,0.69182781409345395,0.97040416693703757
citrate,-0.37183316234771968,0.80811306262063276,1.0
citrulline,-0.25234583165072938,0.68355402940981858,1.0
CMP,-0.026810025987425701,0.92559558643477213,1.0
Creatine,-0.25019049920653647,0.62512358019715031,0.82181936567234459
Creatine phosphate,-0.33942814547448458,0.10066280608683112,1.0
cyclic-AMP,0.38588624100577779,0.92559558643477213,1.0
cystathionine,-2.5076793602245386,0.017537493222586562,0.035093614015753116
cysteine,-0.093305819274632634,0.21373939159149691,1.0
cytidine,-1.322496454812087,0.00090268409634927898,0.0011698608379837369
cytidine_act,-0.38141220902235085,0.9447367444875604,1.0
D-gluconate,0.0889312063818673,0.71905397936445492,1.0
D-glucono-delta-lactone-6-phosphate,0.17284667351840458,0.92559558643477213,1.0
D-glucuronic acid-potential,0.21197821418192991,0.46595335052180969,1.0
D-glyceraldehdye-3-phosphate,0.33136791252115577,0.92559558643477213,1.0
D-Mannose/L-Sorbose-potential-1,-0.67122389886850631,0.00090268409634927898,0.00058101595853693607
D-sedoheptulose-1/7-phosphate,-1.0063667855884868,0.011109338989357368,0.013130330913706908
dGDP,0.12019189399968415,0.9447367444875604,1.0
dGTP,-0.37143501218413594,0.9447367444875604,1.0
dihydroxyacetone phosphate,0.91757703005120761,0.049674801295474892,0.017186202687291756
dimethylglycine,-0.5276113720839305,0.53752017364428806,0.85083141736412371
dTMP,0.6680630266684543,0.53752017364428806,0.62445243973294695
FAD,0.12990438415208833,0.69182781409345395,1.0
"fructose-1,6-bisphosphate",0.44423033806524181,0.9447367444875604,1.0
fructose-6-phosphate,-0.51738258768435164,0.61682421470737425,0.50173411919302557
fumarate,-0.53481660489234373,0.26345011090295034,0.63756512039332092
GDP,0.4775123867690545,0.9447367444875604,1.0
glucose-1-phosphate,0.11989124528880962,0.9447367444875604,1.0
glucose-6-phosphate,-0.60713127492950247,0.55478981435814179,0.33344951473783974
glutamate,0.16372056943327817,0.62512358019715031,1.0
glutamine,-0.59885641893819486,0.0042298187362840838,0.0025581162782123482
glutathione,-0.071820082445801167,0.67246496248030529,1.0
glutathione disulfide,0.39834673562269535,0.10066280608683112,0.27249311065465082
glycerate,-0.26700317527779605,0.80811306262063276,1.0
Glycerophosphocholine,-0.86373521395689812,0.013066089795624455,0.012480001446730201
glycine,-0.2318529981720111,0.845616157260353,1.0
glycine betaine,-0.43995169713805166,0.62512358019715031,0.82181936567234459
GMP,0.072109547955623396,0.86583874811728612,1.0
Guanidoacetic acid,-1.4460235109819344,0.0080234833367655387,0.012480001446730201
guanine,-1.2671664638518398,0.075541313967415341,0.82181936567234459
guanosine,0.13585260318729961,0.9447367444875604,1.0
Hippuric acid,0.43628829184534995,0.92559558643477213,1.0
histidine,-0.18969177199762446,0.28891103596254053,0.62445243973294695
homocysteine,-0.64258894122609145,0.92559558643477213,0.63756512039332092
hydroxyproline,0.19456154933193429,0.27877786718466269,0.91487316234720684
hypoxanthine,0.0064639235076591438,0.92337015139847667,1.0
IDP,-0.1221717994118964,0.76063430772991902,1.0
IMP,-0.33528602586645262,0.049674801295474892,1.0
indole,0.86407899987650494,0.23486834386018415,0.1106964872030108
inosine,0.25873925151480132,0.47547504304173538,0.68306331859022684
isocitrate,-0.15824546704935635,0.99375199236162071,1.0
Kynurenine,1.1093642341351866,0.00090268409634927898,0.0053173425768164046
lactate,0.31854017531335493,0.18019041626130936,0.42187085234422411
leucine/isoleucine,0.54997840550351496,0.00055073119748133396,0.0004247947370686961
lysine,-0.1162639894515385,0.92559558643477213,1.0
malate,-0.66425432115118099,0.26345011090295034,0.3923772056159146
methionine,0.55950311448730106,0.0012190182892858321,0.0054796162125244526
Methylcysteine,-0.83441342682421427,0.62512358019715031,0.36664036872241984
methylnicotinamide,0.24766203691627861,0.49621362057037238,1.0
N-acetyl-glucosamine-1-phosphate,0.99235183884873879,0.17895807829937593,0.27235362691344689
N-acetyl-glutamate,-0.27451464734622005,0.38393193401516157,1.0
N-Acetyl-L-alanine,0.42889886762442075,0.058355186308784397,0.090837453932256035
N-acetyl-L-ornithine,0.39163911728398998,0.47547504304173538,0.82181936567234459
NAD+,-0.20851535246603325,0.43249793847312445,0.71029590960222522
NADH,-0.76481124065091233,0.63571313264916751,0.29523879524679469
NADP+,-0.33330153202328727,0.77410094627056225,1.0
nicotinamide,0.42266098273380448,0.2565000231884465,0.62445243973294695
ornithine,-0.77688057991393711,0.10066280608683112,0.10217015582015292
pantothenate,-0.68056547075272045,0.18019041626130936,0.20801245944226288
phenylalanine,0.31142043679322767,0.15844480448932299,0.53092617064233272
phosphoenolpyruvate,0.34435245224974481,0.30545300568504252,1.0
proline,0.18346502615226357,0.39025170637244483,0.63756512039332092
pyruvate,-0.43267422739833372,0.9447367444875604,0.82181936567234459
S-adenosyl-L-homocysteine,0.031919446346632366,0.82087029105638243,1.0
S-adenosyl-L-methionine,0.16551062926150614,0.845616157260353,1.0
serine,-0.5154018792133428,0.011109338989357368,0.013803517765208405
shikimate-3-phosphate,-1.8709857105335506,0.9447367444875604,1.0
sn-glycerol-3-phosphate,-0.81990576551711192,0.013066089795624455,0.0088103111137214727
succinate,-0.34784782130120712,0.80811306262063276,0.7934373327224884
taurine,0.54733670087641761,0.00063967267742386829,0.0021083950424985892
threonine,-0.089139475532053147,0.82174981548357995,1.0
thymine,1.1601117924287851,0.52450344076591826,0.12934421073683391
trehalose/sucrose,-0.92713237866361586,0.10066280608683112,0.20016876736226388
tryptophan,0.43585858676211897,0.0020311401834221692,0.0038258550866152093
tyrosine,0.53083280421541412,0.081481873597593568,0.066623000129548346
UDP,0.13722523359341468,0.94285444190469869,1.0
UDP-D-glucose,-0.3680952327261065,0.69182781409345395,0.68306331859022684
UDP-D-glucuronate,-0.90979855584734204,0.47547504304173538,1.0
UDP-N-acetyl-glucosamine,-0.32472596535034581,0.58986694683020902,0.62445243973294695
UMP,0.0049794562021503765,0.9447367444875604,1.0
uracil,0.26142442506574443,0.51185907080211823,0.95767852851079249
Urea,0.014861200603757913,0.9447367444875604,1.0
Uric acid,0.54603404226349961,0.013066089795624455,0.44728817749651673
uridine,-0.1926106979099512,0.9447367444875604,1.0
UTP,-0.20888704385801216,0.9447367444875604,1.0
valine,0.46673468067052926,0.00055073119748133396,0.00058101595853693607
xanthine,0.51437913718512684,0.049674801295474892,0.06473041544612676
xanthosine,1.3551841602181147,0.0020311401834221692,0.016617492797572603
