Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
1-arachidonoylglycerophosphoethanolamine,-0.01862891684386889,0.15557859130472396,1.0
1-arachidonoylglycerophosphoinositol,-0.057750840343759283,0.48169239968216665,1.0
1-arachidonylglycerol,0.11855647525433496,0.39103697318511177,1.0
1-eicosadienoylglycerophosphocholine,0.60629708963809681,0.21127918013934627,1.0
1-heptadecanoylglycerophosphoethanolamine,0.56538721510041168,0.077391126513224745,0.23308218941887299
1-linoleoylglycerol,0.69600149774900244,0.21306579803977674,0.68397369371748296
1-linoleoylglycerophosphocholine,0.86887552212564334,0.28237684329594237,0.44126898999968001
1-linoleoylglycerophosphoethanolamine,0.50078743257434111,0.014272389355433223,0.75813714362381546
1-myristoylglycerophosphocholine,0.78653601776617932,0.036562766522192293,0.383891483944241
1-oleoylglycerophosphocholine,0.9917712363338258,0.13506553801110757,0.46277807720265079
1-oleoylglycerophosphoethanolamine,0.2394956875961036,0.44155602219887929,1.0
1-oleoylglycerophosphoinositol,0.64904879295513673,0.088156247436327745,0.24616963676398687
1-oleoylglycerophosphoserine,0.68192606391130683,0.024740500054743136,0.30816694412624068
1-palmitoylglycerol,0.13417499951805584,0.67123949283522855,1.0
1-palmitoylglycerophosphocholine,0.34533838607799061,0.38264302885789958,1.0
1-palmitoylglycerophosphoethanolamine,-0.14445603174038321,0.96183415848584641,1.0
1-palmitoylglycerophosphoinositol,0.50118860616655614,0.10765499457334717,0.34982682408001575
1-stearoylglycerol,-0.012450087890635498,0.96183415848584641,1.0
1-stearoylglycerophosphocholine,0.16146726654183807,0.53181027525342728,1.0
1-stearoylglycerophosphoethanolamine,0.0085882942587459671,0.72574578099197973,1.0
1-stearoylglycerophosphoinositol,0.42381556967318351,0.032617587156982368,0.37976193497859118
"1,5-anhydroglucitol",-0.40668094386326359,0.10747340345316422,0.23308218941887299
"1,7-dimethylurate",-0.35701873593077493,0.0011340268789355897,0.023318582820577909
10-heptadecenoate,0.18701212599881378,0.18837919418533575,0.66086269973404399
10-nonadecenoate,1.3582833106797969,0.00028073211805206,0.023318582820577909
13-HODE_9-HODE,0.30956700665274439,0.69827444470894329,1.0
2-aminoadipate,0.48761141774807709,0.023687385918698289,0.23308218941887299
2-aminobutyrate,-0.040970333053295567,0.69827444470894329,1.0
2-arachidonoylglycerophosphocholine,0.14760402999467787,0.89083377614527581,1.0
2-arachidonoylglycerophosphoethanolamine,-0.022377348276146142,0.8077197181397362,1.0
2-docosahexaenoylglycerophosphoethanolamine,-0.14716064034288057,0.92241781232747144,1.0
2-docosapentaenoylglycerophosphoethanolamine,-0.013391915614504174,0.97421297643304927,1.0
2-ethylhexanoate,-0.35058054339407929,0.00040026405149307353,0.023318582820577909
2-hydroxyacetaminophen_sulfate,-0.71773250611477668,0.08449352968888256,0.23308218941887299
