Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
2-aminobutylate,0.74826824323170749,0.062373399056766907,0.19324390316698459
2-oxoglutarate(2OG),-0.22298968693839119,0.6479666775309183,1.0
2-oxoisopentanoate,nan,1.0,1.0
"2,3-diphosphoglycerate",-0.38560802241620301,0.6479666775309183,1.0
3-phosphoglycerate(3PG),0.054530113182719664,1.0,1.0
"3,4-dihydroxyphenylalanine(DOPA)",1.2223924213364481,1.0,1.0
4-aminobutylate,1.2356467530053357,0.025595208649015301,0.056584100258294877
6-phosphogluconate(6PG),0.58406334516641056,0.93506742929810338,1.0
acetylCoA,0.43797431055600305,1.0,1.0
adenine,0.2104737313556824,0.50492126542688431,0.9425858630542201
adenosine,0.64498306475934486,0.12758703453365522,0.20077883523651086
ADP,-0.17798923067784006,0.54000461792921395,1.0
alanine,0.67097519752868451,0.037798500144966656,0.079802935330665223
AMP,0.40781298592477133,0.13915977984419595,0.55495793744333943
anthranilate,0.0,1.0,1.0
arginine,0.75186795694809516,0.062772584384246988,0.10983481115395714
asparagine,1.0917848395214724,0.011001060759663259,0.02650068893647697
aspartate,1.0727346699111442,0.12171537145122853,0.67982177980993064
ATP,-0.37298168368396201,0.60820487379052612,1.0
cAMP,nan,1.0,1.0
carnosine,-0.75207248655641423,0.062772584384246988,0.1484361911677699
CDP,-0.4079953403261915,0.42719094438446237,1.0
cGMP,nan,1.0,1.0
cis-aconitate,-0.19264507794239571,0.98765840632663526,1.0
citrate,-0.33477957763069838,0.43130482367012196,0.64953988512476957
citrulline,1.4792174607433104,0.60820487379052612,0.9063437731816727
CMP,0.11617501430942237,1.0,1.0
CoA,0.54135664702538544,0.83761297414855307,1.0
creatine,-0.13142342205395513,0.97125809438585831,1.0
CTP,-0.48245330595964692,0.54000461792921395,1.0
cystathionine,1.0825773132463414,0.067722973867395411,0.59041861137158325
cysteine,2.5121183430907803,0.23800104917118403,0.49338281902876935
