"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.143534628567322,1,1,1,1,1,1,1,0.00413622509288454,1,1,1
"2",0.128360940409923,0.406601830566498,1,1,1,1,1,0.764784154653093,0.597689586274417,1,1,1
"3",1,2.92290577762527e-05,1,0.527036955207235,1,0.141776662576404,1,1,1,1,0.336073183436605,1
"4",1.78728901322769e-15,1.75578929497098e-08,1,1,1,1,1,0.22488137341683,0.0037883101171984,1,0.589068489960659,1
"5",4.22552890485141e-22,5.06038425234651e-10,1,0.125300636022166,1,1,1,0.119661909726326,0.00120792995820328,1,0.000877859391954328,1
"6",1,1,1,1,1,0.525566079274519,1,0.0749869742851499,0.0013641367193186,1,1,1
"7",1.83459050064096e-13,1,1,1,1,1,1,1,0.0013641367193186,1,1,1
"8",0.0124259270023182,1,1,1,1,1,1,1,1,1,1,1
"9",0.0241156530697475,1,1,0.513861430961328,1,1,1,1,1,1,1,1
"10",7.62735483884988e-30,0.0741283178898627,1,0.0928922685901339,1,0.263679618901207,1,0.166730845267788,1,1,0.486499829487085,1
"11",1.2824442935896e-21,0.000681307611317611,1,0.0103735117906115,1,0.898354033569069,1,1,0.179170300862024,1,1,1
"12",0.102226811894544,1,1,1,1,1,1,1,1,1,1,1
"13",6.69279597497894e-09,1,1,1,1,1,1,1,1,1,1,1
"14",3.14313436193531e-16,1,1,1,1,1,1,1,0.754887732291934,1,1,1
"15",6.68573443871561e-40,1,1,1,1,1,1,1,0.172828094832685,1,0.242004825578814,1
"16",0.00145354284266304,1,1,0.33067047756454,1,1,1,1,1,1,0.666264384749791,1
"17",0.00574349689834411,0.00960915143758795,1,0.440078435768091,1,1,1,1,0.30641897494937,1,0.883002506723469,1
"18",7.26805509051921e-36,1,1,0.185002847234723,1,1,1,1,1,1,0.0446302729029834,1
"19",1.48494502502879e-13,1,1,1,1,0.0400503833805683,1,0.542613222869682,1,1,1,1
"20",1.18876574574663e-12,8.88818124091025e-07,1,1,1,1,1,1,0.842912949092201,1,0.114333080981448,1
"21",6.56943450136262e-27,1,1,1,1,1,1,1,1,1,1,1
"22",0.000226296064979403,1.74247118816536e-07,1,0.203696543968265,1,0.855068972580521,1,0.129812812837961,1,1,1,1
"23",1.12045707840333e-16,2.72012370327949e-08,1,1,1,1,1,1,0.889184182012546,1,0.422354776842551,1
"24",1.66054095899095e-40,0.000387611662965565,1,0.00135971900089841,1,1,1,1,0.0484240733586817,1,1,1
"25",1.36336378615193e-33,1,1,1,1,1,1,0.514523544409392,0.00120792995820328,1,0.275667744426302,1
"26",1.80349017597838e-23,1,1,1,1,1,1,1,1,1,0.0773644301386105,1
"27",1.5804530418894e-09,1,1,1,1,1,1,0.701807369134647,0.847469026998539,1,1,1
"28",3.73951858468796e-33,1,1,1,1,1,1,1,1,1,1,1
"29",0.0108783589211882,9.85970243263528e-07,1,0.192589907372346,1,1,1,1,0.00108544158113351,1,1,1
"30",5.7618601548521e-16,1.36786981920072e-08,1,1,1,1,1,0.978052575822014,0.266506091284542,1,1,1
"31",5.02270079103335e-41,1,1,0.000394204248159623,1,1,1,0.622343238264494,0.0223653248496851,1,1,1
"32",2.88204746966038e-39,1,1,0.000394204248159623,1,1,1,0.407580232715275,0.028949769283952,1,0.33664102537594,1
"33",4.09614608723693e-37,1,1,0.000570338061167115,1,1,1,0.930914030799933,0.0365393247645383,1,1,1
"34",4.82702675507684e-16,1,1,1,1,1,1,0.764784154653093,0.730175892968283,1,1,1
"35",1.0598627866482e-10,1.43417273280857e-07,1,0.239717446660836,1,0.525566079274519,1,0.0749869742851499,0.00325622017241573,1,1,1
"36",1.57725387319032e-08,7.60090434870257e-10,1,1,1,1,1,1,0.624328402872471,1,1,1
"37",2.18544169680598e-32,2.59865417315666e-11,1,0.000394204248159623,1,0.978961003998021,1,1,0.0502418469595289,1,1,1
"38",1.68402011692784e-35,2.19019945286514e-06,1,0.000570338061167115,1,1,1,0.659968059825642,0.0404162874905709,1,0.101996363748219,1
"39",1.07662266498858e-10,5.54353597135041e-07,1,0.00214447110998835,1,1,1,1,1,0.232021459642943,0.074071304501467,1
"40",2.41736828676521e-05,4.61195482749684e-10,1,0.00462720700815939,0.0528812667340367,0.263679618901207,1,0.605988282819878,0.369372255963979,1,1,0.515891694751052
"41",0.721578902509797,6.94138659044093e-08,1,0.73057063873728,1,1,1,1,0.942151099722031,1,1,1
"42",0.00253719491085501,1.36574780633695e-08,1,0.0103735117906115,1,0.72217461474791,1,1,0.127840487250139,1,1,1
"43",0.139049558554193,1,1,1,1,1,1,1,1,1,1,1
"44",0.616346733351202,1,1,1,1,1,1,1,1,1,1,1
"45",0.67851959471884,1.20697491798358e-07,1,0.232574958095771,1,1,1,0.17906747498499,0.495598497905568,1,1,1
"46",0.122077640032107,0.0107782132308921,1,0.0187394581003411,1,0.297763842684545,1,0.17906747498499,1,1,0.00125164003072753,1
"47",0.0843004094318179,1,1,1,1,1,1,1,1,1,1,1
"48",1,4.40017596202969e-07,1,1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1,1,1
"50",0.00507003080434056,4.90518757099617e-10,1,1,1,1,1,1,0.629311718409382,1,1,1
"51",1,1,1,1,1,1,1,1,1,1,1,1
"52",1.09013594942331e-05,1,1,0.0812628973548514,1,1,1,1,1,1,0.00125164003072753,1
"53",0.0550688217022024,0.722357553687822,1,0.74307981639626,1,1,1,1,1,1,0.264214294792597,1
"54",0.999972216794658,1.71245199266757e-05,1,1,1,0.078811811215677,1,1,0.124532699528703,1,0.424075127019027,1
"55",1.25847053743572e-23,1.51425098422154e-09,1,0.00135971900089841,1,0.0254949788399782,1,1,1,1,0.517795277015976,1
"56",0.003750567144298,0.310530078857294,1,1,1,1,1,1,1,1,0.050488204410673,1
"57",3.36006288078283e-26,1,1,1,1,1,1,1,1,1,1,1
"58",2.2994100675698e-08,8.16855005560577e-12,1,0.33067047756454,1,0.0619282660866061,1,1,1,1,0.808042780339728,1
"59",4.41520811679089e-08,1,1,1,1,1,1,1,1,1,1,1
"60",0.000448779158467074,1,1,1,1,1,1,0.17906747498499,0.00290895991797223,1,1,1
"61",1,3.51945349944363e-05,1,1,1,1,1,1,1,1,0.777958761081079,1
