,0,"1,2-dipalmitoylglycerol"
C00583,0,"1,2-propanediol"
C07326,0,"1,5-anhydroglucitol (1,5-AG)"
C04100,0,1-linoleoylglycerophosphocholine
C05828,-1.8632942213768775,1-methylimidazoleacetate
D01947,0,1-stearoylglycerol (1-monostearin)
C00330,0,2'-deoxyguanosine
C05512,0,2'-deoxyinosine
C00956,0,2-aminoadipate
C02261,0,2-aminobutyrate
C05984,1.2321514834209699,2-hydroxybutyrate (AHB)
C02630,4.0660015344346752,2-hydroxyglutarate
C03045,0.77326676552106655,2-hydroxystearate
C00631,0,2-phosphoglycerate
C03672,2.3359521767356672,3-(4-hydroxyphenyl)lactate
C05145,0,3-aminoisobutyrate
C01089,2.240233646912634,3-hydroxybutyrate (BHBA)
C00671,0,3-methyl-2-oxovalerate
C00197,0,3-phosphoglycerate
C06804,0,4-acetamidophenol
C04295,0,"4-androsten-3beta,17beta-diol disulfate 1*"
C01035,1.1660772443712866,4-guanidinobutanoate
C00989,0,4-hydroxybutyrate (GHB)
C00642,0,4-hydroxyphenylacetate
C01179,4.886618231783797,4-hydroxyphenylpyruvate
C00233,0,4-methyl-2-oxopentanoate
C00429,0,"5,6-dihydrouracil"
C00431,0,5-aminovalerate
C01879,0,5-oxoproline
C00345,0,6-phosphogluconate
C17337,0,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)
C03594,0,7-alpha-hydroxycholesterol
C02571,1.5736106704583206,acetylcarnitine
C00147,0,adenine
C00212,0,adenosine
C00946,0,adenosine 2'-monophosphate (2'-AMP)
C01367,0,adenosine 3'-monophosphate (3'-AMP)
C00020,2.7309226651567329,adenosine 5'-monophosphate (AMP)
C16527,0,adrenate (22:4n6)
C00041,0,alanine
C00993,0,alanylalanine
C00026,0,alpha-ketoglutarate
C02477,0,alpha-tocopherol
C00523,0,androsterone sulfate
C00474,0,arabitol
C00878,0,arabonate
C06425,0,arachidate (20:0)
C00219,0,arachidonate (20:4n6)
C00062,0,arginine
C03406,0,argininosuccinate
C00072,0,ascorbate (Vitamin C)
C00152,0,asparagine
C00049,0,aspartate
C08261,0,azelate (nonanedioate)
C08281,0,behenate (22:0)
C00099,1.2733154799725082,beta-alanine
C00719,2.0215614106022106,betaine
C00486,0,"bilirubin (Z,Z)"
C01571,0,caprate (10:0)
C01585,0,caproate (6:0)
C06423,0,caprylate (8:0)
C00318,1.3348188188878214,carnitine
C00090,0,catechol sulfate
C00695,0,cholate
C00187,0,cholesterol
C00114,0,choline
C00588,0,choline phosphate
C08367,0,cis-vaccenate (18:1n7)
C00158,0,citrate
C00327,0,citrulline
C00735,0,cortisol
C00762,0,cortisone
C00300,0,creatine
C00791,0,creatinine
C00097,0,cysteine
C01419,0,cysteinylglycine
C00491,0,cystine
C00475,0,cytidine
C00307,3.6723105572587147,cytidine 5'-diphosphocholine
C00055,0,cytidine 5'-monophosphate (5'-CMP)
C05822,0,cytidine-3'-monophosphate (3'-CMP)
C01181,1.6492321411639643,deoxycarnitine
C16525,0,dihomo-linoleate (20:2n6)
C03242,0,dihomo-linolenate (20:3n3 or n6)
C03626,0,dimethylarginine (SDMA + ADMA)
C01026,0,dimethylglycine
C16533,0,docosadienoate (22:2n6)
C06429,0,docosahexaenoate (DHA; 22:6n3)
C16513,0,docosapentaenoate (n3 DPA; 22:5n3)
C16534,0,docosatrienoate (22:3n3)
C02678,0,dodecanedioate
C06428,0,eicosapentaenoate (EPA; 20:5n3)
C16526,0,eicosenoate (20:1n9 or 11)
C05570,0,ergothioneine
C00503,0,erythritol
C00189,0,ethanolamine
C00016,0,flavin adenine dinucleotide (FAD)
C00095,0,fructose
C05345,0,fructose-6-phosphate
C02095,1.923124621790417,fucose
C00122,0,fumarate
C01582,0,galactose
C00334,0,gamma-aminobutyrate (GABA)
C05282,0,gamma-glutamylglutamate
C05283,0,gamma-glutamylglutamine
C02483,0,gamma-tocopherol
C00818,0,glucarate (saccharate)
C00257,0,gluconate
C00031,0,glucose
C00103,0,glucose 1-phosphate
