Normal Sample,Tumor Sample,Study
4,3,KIRC
6,5,KIRC
8,7,KIRC
10,9,KIRC
24,23,KIRC
28,27,KIRC
30,29,KIRC
32,31,KIRC
34,33,KIRC
38,37,KIRC
46,45,KIRC
54,53,KIRC
56,55,KIRC
58,57,KIRC
60,59,KIRC
62,61,KIRC
64,63,KIRC
66,65,KIRC
70,69,KIRC
72,71,KIRC
74,73,KIRC
76,75,KIRC
80,79,KIRC
82,81,KIRC
84,83,KIRC
86,85,KIRC
88,87,KIRC
92,91,KIRC
94,93,KIRC
96,95,KIRC
98,97,KIRC
106,105,KIRC
110,109,KIRC
114,113,KIRC
124,123,KIRC
134,133,KIRC
138,137,KIRC
144,143,KIRC
148,147,KIRC
156,155,KIRC
162,161,KIRC
166,165,KIRC
172,171,KIRC
176,175,KIRC
182,181,KIRC
184,183,KIRC
186,185,KIRC
188,187,KIRC
190,189,KIRC
194,193,KIRC
219,218,KIRC
221,220,KIRC
223,222,KIRC
225,224,KIRC
229,228,KIRC
231,230,KIRC
233,232,KIRC
235,234,KIRC
237,236,KIRC
239,238,KIRC
241,240,KIRC
243,242,KIRC
245,244,KIRC
247,246,KIRC
249,248,KIRC
251,250,KIRC
253,252,KIRC
255,254,KIRC
257,256,KIRC
259,258,KIRC
261,260,KIRC
263,262,KIRC
267,266,KIRC
269,268,KIRC
271,270,KIRC
273,272,KIRC
275,274,KIRC
277,276,KIRC
279,278,KIRC
281,280,KIRC
283,282,KIRC
287,286,KIRC
289,288,KIRC
291,290,KIRC
293,292,KIRC
295,294,KIRC
297,296,KIRC
299,298,KIRC
301,300,KIRC
303,302,KIRC
305,304,KIRC
307,306,KIRC
309,308,KIRC
311,310,KIRC
313,312,KIRC
317,316,KIRC
319,318,KIRC
321,320,KIRC
325,324,KIRC
327,326,KIRC
329,328,KIRC
331,330,KIRC
333,332,KIRC
335,334,KIRC
337,336,KIRC
339,338,KIRC
341,340,KIRC
343,342,KIRC
345,344,KIRC
347,346,KIRC
349,348,KIRC
351,350,KIRC
353,352,KIRC
355,354,KIRC
357,356,KIRC
359,358,KIRC
361,360,KIRC
363,362,KIRC
365,364,KIRC
367,366,KIRC
371,370,KIRC
373,372,KIRC
375,374,KIRC
377,376,KIRC
379,378,KIRC
381,380,KIRC
383,382,KIRC
385,384,KIRC
387,386,KIRC
389,388,KIRC
391,390,KIRC
393,392,KIRC
395,394,KIRC
399,398,KIRC
401,400,KIRC
403,402,KIRC
405,404,KIRC
407,406,KIRC
N1,T1,PRAD
N1,T9,PRAD
N2,T2,PRAD
N3,T3,PRAD
N4,T4,PRAD
N5,T5,PRAD
N6,T6,PRAD
N7,T7,PRAD
N8,T8,PRAD
499527,499657,BRCAneg
499529,499659,BRCAneg
499531,499661,BRCAneg
499535,499663,BRCApos
499533,499665,BRCApos
499537,499667,BRCAneg
499539,499669,BRCApos
499541,499671,BRCApos
499543,499673,BRCAneg
499545,499675,BRCAneg
499547,499677,BRCAneg
499549,499679,BRCApos
499551,499681,BRCAneg
499603,499683,BRCAneg
499553,499685,BRCApos
499555,499687,BRCAneg
499557,499691,BRCAneg
499559,499693,BRCAneg
499561,499695,BRCAneg
499563,499697,BRCApos
499565,499699,BRCApos
499567,499701,BRCApos
499569,499703,BRCApos
499571,499705,BRCApos
499573,499707,BRCApos
499575,499709,BRCApos
499577,499711,BRCApos
499579,499713,BRCAneg
499581,499715,BRCAneg
499583,499717,BRCApos
499585,499719,BRCApos
499587,499721,BRCAneg
499589,499723,BRCAneg
499591,499725,BRCAneg
499595,499727,BRCAneg
499593,499729,BRCApos
499597,499731,BRCApos
499599,499733,BRCApos
499601,499735,BRCAneg
499605,499737,BRCAneg
499607,499739,BRCAneg
499609,499743,BRCAneg
499611,499745,BRCApos
499613,499747,BRCApos
499615,499749,BRCApos
499617,499751,BRCApos
499623,499753,BRCApos
499619,499755,BRCAneg
499621,499757,BRCApos
499625,499759,BRCApos
499653,499761,BRCAneg
499627,499763,BRCAneg
499629,499765,BRCAneg
499631,499767,BRCAneg
499633,499769,BRCApos
499635,499771,BRCAneg
499637,499773,BRCApos
499639,499775,BRCApos
499641,499777,BRCAneg
499643,499779,BRCApos
499645,499781,BRCApos
499647,499783,BRCApos
499649,499785,BRCAneg
499651,499787,BRCAneg
499655,499789,BRCApos
1,1,COAD
2,2,COAD
3,3,COAD
4,4,COAD
5,5,COAD
6,6,COAD
7,7,COAD
8,8,COAD
9,9,COAD
10,10,COAD
11,11,COAD
12,12,COAD
13,13,COAD
14,14,COAD
15,15,COAD
16,16,COAD
1,1,STAD
2,2,STAD
3,3,STAD
4,4,STAD
5,5,STAD
6,6,STAD
7,7,STAD
8,8,STAD
9,9,STAD
10,10,STAD
11,11,STAD
12,12,STAD
P1N.EU,P1T.EU,BLCA
P2N.EU,P2T.EU,BLCA
P3N.EU,P3T.EU,BLCA
P4N.EU,P4T.EU,BLCA
P5N.EU,P5T.EU,BLCA
P6N.EU,P6T.EU,BLCA
P7N.EU,P7T.EU,BLCA
P8N.EU,P8T.EU,BLCA
P9N.EU,P9T.EU,BLCA
P10N.EU,P10T.EU,BLCA
P11N.EU,P11T.EU,BLCA
P12N.EU,P12T.EU,BLCA
P13N.EU,P13T.EU,BLCA
P14N.EU,P14T.EU,BLCA
P15N.EU,P15T.EU,BLCA
P3N.MCG,P7T.MCG,BLCA
P4N.MCG,P9T.MCG,BLCA
P5N.MCG,P10T.MCG,BLCA
P6N.MCG,P11T.MCG,BLCA
P8N.MCG,P13T.MCG,BLCA
P1N.MCG,P1T.MCG,BLCA
P2N.MCG,P2T.MCG,BLCA
P11N.MCG,P8T.MCG,BLCA
P7N.MCG,P12T.MCG,BLCA
P10N.MCG,P15T.MCG,BLCA
cp19,cp11,PRADLODA
cp26,cp25,PRADLODA
cp29,cp36,PRADLODA
cp32,cp44,PRADLODA
cp35,cp43,PRADLODA
cp58,cp49,PRADLODA
cp17,cp16,PRADLODA
cp21,cp10,PRADLODA
cp27,cp24,PRADLODA
cp30,cp37,PRADLODA
cp33,cp41,PRADLODA
cp55,cp47,PRADLODA
cp73,cp70,PRADLODA
cp18,cp14,PRADLODA
cp22,cp12,PRADLODA
cp28,cp23,PRADLODA
cp31,cp38,PRADLODA
cp34,cp42,PRADLODA
cp57,cp52,PRADLODA
cp72,cp67,PRADLODA
499527,499657,BRCA
499529,499659,BRCA
499531,499661,BRCA
499535,499663,BRCA
499533,499665,BRCA
499537,499667,BRCA
499539,499669,BRCA
499541,499671,BRCA
499543,499673,BRCA
499545,499675,BRCA
499547,499677,BRCA
499549,499679,BRCA
499551,499681,BRCA
499603,499683,BRCA
499553,499685,BRCA
499555,499687,BRCA
499557,499691,BRCA
499559,499693,BRCA
499561,499695,BRCA
499563,499697,BRCA
499565,499699,BRCA
499567,499701,BRCA
499569,499703,BRCA
499571,499705,BRCA
499573,499707,BRCA
499575,499709,BRCA
499577,499711,BRCA
499579,499713,BRCA
499581,499715,BRCA
499583,499717,BRCA
499585,499719,BRCA
499587,499721,BRCA
499589,499723,BRCA
499591,499725,BRCA
499595,499727,BRCA
499593,499729,BRCA
499597,499731,BRCA
499599,499733,BRCA
499601,499735,BRCA
499605,499737,BRCA
499607,499739,BRCA
499609,499743,BRCA
499611,499745,BRCA
499613,499747,BRCA
499615,499749,BRCA
499617,499751,BRCA
499623,499753,BRCA
499619,499755,BRCA
499621,499757,BRCA
499625,499759,BRCA
499653,499761,BRCA
499627,499763,BRCA
499629,499765,BRCA
499631,499767,BRCA
499633,499769,BRCA
499635,499771,BRCA
499637,499773,BRCA
499639,499775,BRCA
499641,499777,BRCA
499643,499779,BRCA
499645,499781,BRCA
499647,499783,BRCA
499649,499785,BRCA
499651,499787,BRCA
499655,499789,BRCA
RCC2,RCC1,KICH
RCC4,RCC3,KICH
RCC6,RCC5,KICH
RCC8,RCC7,KICH
RCC10,RCC9,KICH
RCC12,RCC11,KICH
RCC14,RCC13,KICH
RCC16,RCC15,KICH
RCC18,RCC17,KICH
RCC20,RCC19,KICH
RCC22,RCC21,KICH
22210-0003Normal,22210-0003Tumor,PAAD
22210-0002Normal,22210-0002Tumor,PAAD
22210-0007Normal,22210-0007Tumor,PAAD
22210-0008Normal,22210-0008Tumor,PAAD
22210-0012Normal,22210-0012Tumor,PAAD
22210-0011Normal,22210-0011Tumor,PAAD
22210-0013Normal,22210-0013Tumor,PAAD
22210-0014Normal,22210-0014Tumor,PAAD
22210-0015Normal,22210-0015Tumor,PAAD
22210-0016Normal,22210-0016Tumor,PAAD
22210-0021Normal,22210-0021Tumor,PAAD
22210-0020Normal,22210-0020Tumor,PAAD
22210-0022Normal,22210-0022Tumor,PAAD
22210-0023Normal,22210-0023Tumor,PAAD
22210-0024Normal,22210-0024Tumor,PAAD
22210-0028Normal,22210-0028Tumor,PAAD
22210-0029Normal,22210-0029Tumor,PAAD
22210-0030Normal,22210-0030Tumor,PAAD
22210-0034Normal,22210-0034Tumor,PAAD
22210-0035Normal,22210-0035Tumor,PAAD
22210-0038Normal,22210-0038Tumor,PAAD
22210-0039Normal,22210-0039Tumor,PAAD
22210-0040Normal,22210-0040Tumor,PAAD
22210-0042Normal,22210-0042Tumor,PAAD
22210-0044Normal,22210-0044Tumor,PAAD
22210-0047Normal,22210-0047Tumor,PAAD
22210-0054Normal,22210-0054Tumor,PAAD
22210-0056Normal,22210-0056Tumor,PAAD
22210-0057Normal,22210-0057Tumor,PAAD
22210-0061Normal,22210-0061Tumor,PAAD
22210-0062Normal,22210-0062Tumor,PAAD
22210-0063Normal,22210-0063Tumor,PAAD
22210-0064Normal,22210-0064Tumor,PAAD
22210-0065Normal,22210-0065Tumor,PAAD
22210-0066Normal,22210-0066Tumor,PAAD
22210-0067Normal,22210-0067Tumor,PAAD
22210-0068Normal,22210-0068Tumor,PAAD
22210-0072Normal,22210-0072Tumor,PAAD
22210-0074Normal,22210-0074Tumor,PAAD
22210-0075Normal,22210-0075Tumor,PAAD
22210-0077Normal,22210-0077Tumor,PAAD
22210-0078Normal,22210-0078Tumor,PAAD
