KIRC:3:Tumor,KIRC:4:Normal
KIRC:5:Tumor,KIRC:6:Normal
KIRC:7:Tumor,KIRC:8:Normal
KIRC:9:Tumor,KIRC:10:Normal
KIRC:23:Tumor,KIRC:24:Normal
KIRC:27:Tumor,KIRC:28:Normal
KIRC:29:Tumor,KIRC:30:Normal
KIRC:31:Tumor,KIRC:32:Normal
KIRC:33:Tumor,KIRC:34:Normal
KIRC:37:Tumor,KIRC:38:Normal
KIRC:45:Tumor,KIRC:46:Normal
KIRC:53:Tumor,KIRC:54:Normal
KIRC:55:Tumor,KIRC:56:Normal
KIRC:57:Tumor,KIRC:58:Normal
KIRC:59:Tumor,KIRC:60:Normal
KIRC:61:Tumor,KIRC:62:Normal
KIRC:63:Tumor,KIRC:64:Normal
KIRC:65:Tumor,KIRC:66:Normal
KIRC:69:Tumor,KIRC:70:Normal
KIRC:71:Tumor,KIRC:72:Normal
KIRC:73:Tumor,KIRC:74:Normal
KIRC:75:Tumor,KIRC:76:Normal
KIRC:79:Tumor,KIRC:80:Normal
KIRC:81:Tumor,KIRC:82:Normal
KIRC:83:Tumor,KIRC:84:Normal
KIRC:85:Tumor,KIRC:86:Normal
KIRC:87:Tumor,KIRC:88:Normal
KIRC:91:Tumor,KIRC:92:Normal
KIRC:93:Tumor,KIRC:94:Normal
KIRC:95:Tumor,KIRC:96:Normal
KIRC:97:Tumor,KIRC:98:Normal
KIRC:105:Tumor,KIRC:106:Normal
KIRC:109:Tumor,KIRC:110:Normal
KIRC:113:Tumor,KIRC:114:Normal
KIRC:123:Tumor,KIRC:124:Normal
KIRC:133:Tumor,KIRC:134:Normal
KIRC:137:Tumor,KIRC:138:Normal
KIRC:143:Tumor,KIRC:144:Normal
KIRC:147:Tumor,KIRC:148:Normal
KIRC:155:Tumor,KIRC:156:Normal
KIRC:161:Tumor,KIRC:162:Normal
KIRC:165:Tumor,KIRC:166:Normal
KIRC:171:Tumor,KIRC:172:Normal
KIRC:175:Tumor,KIRC:176:Normal
KIRC:181:Tumor,KIRC:182:Normal
KIRC:183:Tumor,KIRC:184:Normal
KIRC:185:Tumor,KIRC:186:Normal
KIRC:187:Tumor,KIRC:188:Normal
KIRC:189:Tumor,KIRC:190:Normal
KIRC:193:Tumor,KIRC:194:Normal
KIRC:218:Tumor,KIRC:219:Normal
KIRC:220:Tumor,KIRC:221:Normal
KIRC:222:Tumor,KIRC:223:Normal
KIRC:224:Tumor,KIRC:225:Normal
KIRC:228:Tumor,KIRC:229:Normal
KIRC:230:Tumor,KIRC:231:Normal
