Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",1.3589408141310215,0.47675747351317027,0.88928545475402954
"1,5-anhydroglucitol (1,5-AG)",-0.41669578232588567,0.21335417479780969,0.55287073176355306
1-arachidonoylglycerophosphocholine*,-0.92644609951534029,0.21335417479780969,0.16032487075645313
1-arachidonoylglycerophosphoethanolamine*,0.95682817189468883,0.044554004156931601,0.37766948393831767
1-arachidonoylglycerophosphoinositol*,1.703515473496241,0.0090414944326974028,0.17097899267216926
1-eicosatrienoylglycerophosphocholine*,-0.55494462148050394,0.40987976278926225,0.67760062919023523
1-heptadecanoylglycerophosphocholine,0.060783148354799775,0.58975877513158514,1.0
1-linoleoylglycerol (1-monolinolein),1.2854958889278802,0.13687896141940772,0.49545110991391034
1-linoleoylglycerophosphocholine,-1.3805190111509338,0.17923243014211768,0.061946581415787488
1-linoleoylglycerophosphoethanolamine*,1.0718334940358198,0.080504849274144738,0.54364205808815946
1-myristoylglycerophosphocholine,0.68528685195806482,0.75149625837550282,1.0
1-octadecanol,1.2461003212046624,0.17923243014211768,0.37766948393831767
1-oleoylglycerol (1-monoolein),1.9513064885958349,0.085104629364751716,0.95225021221288542
1-oleoylglycerophosphocholine,-0.01103232026817549,0.81771496628658236,1.0
1-oleoylglycerophosphoethanolamine,2.6770565675451246,0.0041354872568609147,0.14317641481992249
1-palmitoleoylglycerophosphocholine*,0.61982451988343523,0.54283044550637394,1.0
1-palmitoylglycerol (1-monopalmitin),1.3161652830705786,0.080504849274144738,0.3193757288360376
1-palmitoylglycerophosphocholine,-0.40227963528783789,0.75149625837550282,0.97849656655042205
1-palmitoylglycerophosphoethanolamine,2.8469935879359705,0.0041354872568609147,0.14789115256045077
1-palmitoylglycerophosphoinositol*,2.6545197061483305,0.0041354872568609147,0.13541196793329205
1-palmitoylplasmenylethanolamine*,2.5586329383428246,0.0041354872568609147,0.16665497472081117
1-stearoylglycerol (1-monostearin),0.63530998668859806,0.1001542002279303,0.36554516773390855
1-stearoylglycerophosphocholine,0.13733092859815207,0.78155427100134922,1.0
1-stearoylglycerophosphoethanolamine,2.723652225408475,0.0041354872568609147,0.12513900945661027
1-stearoylglycerophosphoinositol,2.5572125647751713,0.0041354872568609147,0.050445912786993487
10-heptadecenoate (17:1n7),0.38501945767132933,0.57983953456541459,1.0
10-nonadecenoate (19:1n9),1.2315151240062334,0.057051773242551458,0.60586892042431884
13-HODE + 9-HODE,-0.50241269350367479,0.75149625837550282,0.79350229410431816
13-methylmyristic acid,-0.20715641977937505,0.080504849274144738,0.40546450816564472
15-methylpalmitate (isobar with 2-methylpalmitate),0.26385592082041603,0.64586387190760108,1.0
2'-deoxyguanosine,0.65292386577396733,0.097170061026400481,0.65594453121587948
2'-deoxyinosine,2.2484633482004437,0.0081635454394596765,0.23441596849488547
2-aminoadipate,1.3155854474862292,0.0043688220981228957,0.032724724658656522
2-aminobutyrate,1.9982801698898409,0.0054526058719089922,0.042512871474649876
2-arachidonoylglycerophosphocholine*,0.35714696471555685,0.30433907371344809,1.0
2-arachidonoylglycerophosphoethanolamine*,1.5008227043782436,0.0090414944326974028,0.13549241734954182
2-arachidonoylglycerophosphoinositol*,2.5058922615899948,0.0053104343742180621,0.15315140668850147
2-docosahexaenoylglycerophosphoethanolamine*,-0.24654398179572015,0.54283044550637394,1.0
2-ethylhexanoate,-1.6406054955723071,0.039746827245960327,0.054184624835278181
2-hydroxyacetaminophen sulfate*,1.66687570661135,0.30948933936757989,1.0
2-hydroxybutyrate (AHB),0.17781751898743375,0.71730681912456029,1.0
2-hydroxyglutarate,6.4865807148228383,0.0041354872568609147,1.0
2-hydroxyhippurate (salicylurate),-0.084115887367605238,0.70296853589320585,1.0
2-hydroxypalmitate,1.2082034803917872,0.13687896141940772,0.36554516773390855
2-hydroxystearate,0.88536431165977414,0.25815750581066871,0.77504721657844433
2-linoleoylglycerophosphocholine*,0.50652814623288411,0.59695948020556111,1.0
2-linoleoylglycerophosphoethanolamine*,1.2631940205802754,0.044554004156931601,0.37067547919168409
2-methoxyacetaminophen sulfate*,0.46210842162005911,0.95568948923196162,1.0
2-methylbutyroylcarnitine,3.0229352570386383,0.015874950586951087,0.51062979194706704
2-methylmalonyl carnitine,1.0335767390268578,0.044554004156931601,0.61225061139622627
2-myristoylglycerophosphocholine*,0.31200794525117898,0.62570327187014041,1.0
2-oleoylglycerophosphocholine*,0.92620476607365654,0.35647695229014381,0.55820941197461016
2-oleoylglycerophosphoethanolamine*,3.1016515608385999,0.0041354872568609147,0.061946581415787488
2-oleoylglycerophosphoinositol*,1.5464960239271095,0.020424590899162178,0.46498985049145475
2-palmitoleoylglycerophosphocholine*,1.8298376154482197,0.34387264188176009,0.6702878681313631
2-palmitoylglycerol (2-monopalmitin),0.77654246476398536,0.060770488810284629,0.36684140997911829
2-palmitoylglycerophosphocholine*,-0.37424968634182337,0.57983953456541459,1.0
2-palmitoylglycerophosphoethanolamine*,1.6402786378617413,0.040248317378315426,0.24424912275744803
2-stearoylglycerophosphocholine*,0.050759454084240041,0.64586387190760108,1.0
3'-dephosphocoenzyme A,1.8165990792747644,0.077625357680477319,0.65318876333108922
3-(4-hydroxyphenyl)lactate,-0.40695324696020241,0.19609940396742898,1.0
3-(cystein-S-yl)acetaminophen*,0.31747039796618293,0.8672984067259254,1.0
3-aminoisobutyrate,2.4765514764644565,0.0081635454394596765,0.63011222850131388
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.27857776172058724,0.87302834806661567,1.0
3-dehydrocarnitine*,2.3936301986185615,0.0041354872568609147,0.021272348261537535
3-hydroxybutyrate (BHBA),1.4614648730586177,0.039746827245960327,0.36684140997911829
3-hydroxyhippurate,0.15210551427013885,0.87302834806661567,1.0
3-indoxyl sulfate,-1.1458105264180354,0.011828144918655498,0.076946789392336443
3-methyl-2-oxovalerate,-3.4382545801257236,0.0041354872568609147,0.00036463729986079934
3-methylhistidine,0.3056676852654967,0.81771496628658236,1.0
3-phosphoglycerate (isobar with 2-phosphoglycerate),3.0570020428804443,0.0065681196824008406,0.079572078084573547
4-acetamidobutanoate,0.94999224837438145,0.072331996343767815,0.69417099869105925
4-acetamidophenol,0.32664450141211415,0.36946869886687966,1.0
4-acetaminophen sulfate,2.1049248698183916,0.54283044550637394,1.0
"4-androsten-3beta,17beta-diol disulfate 1*",-0.93983017534328106,0.35647695229014381,0.36385072831621063
4-ethylphenylsulfate,-3.402907074517918,0.0041354872568609147,0.076946789392336443
4-hydroxybutyrate (GHB),1.2090920106701926,0.030379872069044696,0.3193757288360376
4-hydroxyphenylpyruvate,0.14694503459818126,0.81771496628658236,1.0
4-methyl-2-oxopentanoate,-3.0488070122591786,0.0041354872568609147,0.00036463729986079934
4-nitrophenol,0.1142687306864431,0.70296853589320585,1.0
"5,6-dihydrouracil",1.9062714889654124,0.016957362897702454,0.16892692121683323
5-methyltetrahydrofolate (5MeTHF),1.0161650562777638,0.020424590899162178,0.47041013956225453
5-methylthioadenosine (MTA),3.1553925060096408,0.0041354872568609147,0.044877994548257062
5-methyluridine (ribothymidine),0.42686629699253908,0.83814452707125942,1.0
5-oxoproline,1.8919722218583015,0.0046830394028195069,0.093386717734713007
6'-sialyllactose,2.6238695329645894,0.027662180882836177,1.0
6-phosphogluconate,3.2453440541868082,0.0041354872568609147,0.22020034300203406
