Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
1-arachidonoylglycerophosphoethanolamine*,0.63974726060376896,0.026066240609634948,0.018736542445333671
1-arachidonoylglycerophosphoinositol*,1.4387819501726342,0.00023957279257525279,0.0028193492364456878
1-linoleoylglycerophosphocholine,1.4100164274254205,0.0033789307589406374,0.023764744529887263
1-methylimidazoleacetate,0.19588709689241926,0.53656084346547039,0.48097190901929715
1-methylnicotinamide,1.7755713790904606,1.2498101978874389e-13,8.0859960650671263e-09
1-myristoylglycerophosphocholine,1.6471656973059816,3.1254111438469937e-07,0.0012959979986080688
1-oleoylglycerol (1-monoolein),4.2849761501077523,6.1271690143512774e-08,0.0015109392336315932
1-oleoylglycerophosphocholine,3.1102453568705872,9.5649545215635236e-09,0.00041953101161757746
1-oleoylglycerophosphoethanolamine,2.6608903748018098,0.00013629850450637109,0.008955700312543691
1-palmitoylglycerol (1-monopalmitin),4.1654428986518024,3.4670336959530528e-07,0.00086119296388497985
1-palmitoylglycerophosphocholine,3.2821456520719852,4.8099329439687382e-09,0.00022158932578130014
1-stearoylglycerol (1-monostearin),2.461364787093371,5.0430783529593682e-08,4.8449377414502766e-07
1-stearoylglycerophosphocholine,3.4101652066766635,2.6727572841794649e-10,0.00080531576105370283
1-stearoylglycerophosphoethanolamine,2.6120649726426541,9.1378230164853482e-12,1.6044861501733392e-06
1-stearoylglycerophosphoinositol,2.398550511644971,7.7015461225352548e-07,7.5934304295388348e-05
"1,3-dihydroxyacetone",0.59046277581423467,0.142976145278399,0.23149685558927888
"1,5-anhydroglucitol (1,5-AG)",0.57512509188331662,1.0278010812557674e-05,0.0023911325209298481
10-heptadecenoate (17:1n7),1.1538564012849857,6.1740003719676164e-09,6.8173389487755768e-07
10-nonadecenoate (19:1n9),1.9958498648153167,1.7794170602232043e-10,2.2591464481019464e-05
2'-deoxyguanosine,1.8449717690918528,4.2441673462358296e-08,0.044581201786455554
2'-deoxyinosine,0.3445371504916831,0.0037900158457096836,0.030106359338766615
2'-O-methylguanosine,0.019511286942029422,0.03462197243482136,0.096032113436464797
2-aminoadipate,0.8695937850552734,1.9493109593027285e-07,5.9791147569064753e-05
2-aminobutyrate,1.0526770556965601,1.6217327957301498e-10,8.7066316337292452e-08
2-arachidonoylglycerophosphocholine*,2.0785432372005812,2.4408466046640267e-08,0.0089816220175533163
2-arachidonoylglycerophosphoethanolamine*,1.9119130303899001,4.8024711669504141e-09,3.7680404226938989e-05
2-docosahexaenoylglycerophosphoethanolamine*,2.4940057597829344,1.5472635642617457e-07,3.4598546628734792e-06
2-docosapentaenoylglycerophosphoethanolamine*,2.946293539065759,1.7248442039511267e-10,1.7417293572132627e-05
2-hydroxyacetaminophen sulfate*,0.052665610378171766,0.25400746080046949,0.61937368219943467
2-hydroxybutyrate (AHB),1.1535826404121061,6.0216104916398946e-06,9.9187566269315399e-05
2-hydroxyglutarate,4.223293203195829,5.3246629117821822e-10,0.13857941461618958
2-hydroxyhippurate (salicylurate),0.079166638979807122,0.10919378696882659,0.26983095287113473
2-hydroxypalmitate,1.4628382220045415,2.8723623743576674e-12,9.1054338818833074e-07
2-hydroxystearate,0.92444039420068924,9.1870191656471471e-09,3.9174925961367472e-05
2-linoleoylglycerophosphocholine*,1.6526440258623283,1.2375691819585307e-05,0.053886607356150577
2-linoleoylglycerophosphoethanolamine*,1.5233523045507755,0.0001773701105428937,0.0089948404055263578
2-methoxyacetaminophen sulfate*,-0.012572313723695798,1.0,1.0
2-methylbutyroylcarnitine,1.7396453117827235,6.9131634785586284e-06,9.7753642305216132e-05
2-methylmalonyl carnitine,0.0,1.0,1.0
2-myristoylglycerophosphocholine*,1.5210366329599272,7.9969440737447467e-06,0.003234927039811332
2-oleoylglycerol (2-monoolein),0.16386369387590749,0.061577359453964017,0.12302877095261386
2-oleoylglycerophosphocholine*,2.7475260789919003,1.9493109593027285e-07,0.00073733749768741268
2-oleoylglycerophosphoethanolamine*,2.5876810160331698,3.8386849150155917e-07,0.00086903704900973444
2-palmitoleoylglycerophosphocholine*,2.8685875246459949,1.4213418278162299e-05,0.0019563374204636338
2-palmitoleoylglycerophosphoethanolamine*,2.5240387598058915,2.2410268169832529e-06,0.018806493677100515
2-palmitoylglycerol (2-monopalmitin),2.021568310994633,1.6380186493453871e-05,0.0029844811647500311
2-palmitoylglycerophosphocholine*,2.2186932471889,5.3926665066772024e-09,0.008718568854894344
3-(4-hydroxyphenyl)lactate,2.0437103359534756,9.1281938517018848e-12,0.0017475318291840047
3-aminoisobutyrate,1.0793041921937481,0.00071473271804558733,0.18097592197433737
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.094247943809776677,0.39423270990685216,1.0
3-dehydrocarnitine*,1.4557545112724208,9.4737724373860271e-09,8.506326839964885e-08
3-hydroxybutyrate (BHBA),0.73198760777771432,1.8552957548251287e-05,0.096032113436464797
3-hydroxydecanoate,-0.0028025647239041961,1.0,1.0
3-methyl-2-oxobutyrate,0.32073999988995727,0.0026325052506164046,0.004207100526038449
3-methyl-2-oxovalerate,0.86031018192857489,0.003427709796969288,0.0010426095213557883
3-methylhistidine,0.23518975252311625,0.010857452264850491,0.050822912212309168
3-phenylpropionate (hydrocinnamate),0.0,1.0,1.0
3-phosphoglycerate,1.4944544709295129,6.9924322964145352e-07,1.6742551490898033e-05
4-acetaminophen sulfate,0.44392491491418684,0.44609508647273505,0.45558936826657009
"4-androsten-3beta,17beta-diol disulfate 1*",-0.073095587464957756,0.71340012198620839,1.0
4-hydroxybutyrate (GHB),2.0168533320410473,5.4115823821750631e-05,0.00060663596841983337
4-hydroxyphenylpyruvate,1.4781721088742261,1.9828172914000562e-07,1.7417293572132627e-05
