Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
2-aminobutylate,0.73200361149012994,0.0061143964661229894,0.03009185417485603
2-oxoglutarate(2OG),nan,1.0,1.0
2-oxoisopentanoate,-0.026644772217911214,0.57736803041015539,1.0
23-diphosphoglycerate,0.40674135772375192,0.74927990695225333,0.92825240301197265
3-phosphoglycerate(3PG),0.15369798071634172,1.0,1.0
34-dihydroxyphenylalanine(DOPA),nan,1.0,1.0
4-aminobutylate,1.2294260131909747,0.0086894213352403608,0.04338474566862302
6-phosphogluconate(6PG),0.52976619793087887,0.98809017742335248,0.91367340623707982
acetylCoA,-0.1793236994445622,1.0,1.0
adenine,0.71511889186795707,0.018773957290022524,0.015419166318346176
adenosine,0.16341784332314954,0.41983799815542172,1.0
ADP,0.23662088404874107,1.0,1.0
alanine,0.77413240112709436,3.6034995162018988e-05,4.1354780352525485e-06
AMP,0.40832403730543693,0.17810781865224759,0.41754437275651374
anthranilate,nan,1.0,1.0
arginine,0.92460255139078473,4.4194902736247311e-05,2.7159927207295811e-05
asparagine,1.0942532203880408,7.807339871929606e-05,2.6473940173895732e-05
aspartate,0.71600369431748068,0.0042714627753931032,0.0068707591076083933
ATP,-0.70125991280827205,0.84761284872804976,0.70220520049950985
cAMP,0.32750193971195468,0.28877089273663836,0.44350438461680208
carnosine,0.74484919324203935,1.0,1.0
CDP,-0.28010791919273575,0.66584907370965773,1.0
cGMP,0.45600263195558738,0.0087523986895843078,0.029450458734831323
cis-aconitate,-0.18982455888001731,0.30842993830988663,0.56012265398859518
citrate,-0.64916903800937975,0.038549576079206657,0.036614044732927217
citrulline,1.3801427088326577,0.0094493961480095149,0.014802322164212142
CMP,0.035437719494818193,1.0,1.0
CoA,0.012939055707498013,1.0,1.0
creatine,-0.0232323062377176,1.0,1.0
CTP,-0.88230495733024605,0.59127198530586067,0.44350438461680208
cystathionine,0.99819550315325178,0.0024333473019278458,0.037848376899210723
cysteine,2.9691794247287993,0.00023493546006619597,0.016580106182446971
cysteinesulfinate,0.037089318735220186,0.57736803041015539,1.0
cytidine,nan,1.0,1.0
cytosine,nan,1.0,1.0
