Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",nan,0.0,nan
dihydroxyacetone,nan,0.0,nan
"1,5-anhydroglucitol (1,5-AG)",nan,0.0,nan
10-heptadecenoate (17:1n7),nan,0.0,nan
10-nonadecenoate (19:1n9),nan,0.0,nan
13-HODE + 9-HODE,nan,0.0,nan
13-methylmyristic acid,nan,0.0,nan
1-arachidonoyl-GPC* (20:4)*,nan,0.0,nan
1-arachidonoyl-GPE* (20:4)*,nan,0.0,nan
1-arachidonoyl-GPI* (20:4)*,nan,0.0,nan
1-myristoyl-GPC (14:0),nan,0.0,nan
1-oleoylglycerol (18:1),nan,0.0,nan
1-oleoyl-GPC (18:1),nan,0.0,nan
1-oleoyl-GPE (18:1),nan,0.0,nan
1-palmitoleoyl-GPC* (16:1)*,nan,0.0,nan
1-palmitoylglycerol (16:0),nan,0.0,nan
1-palmitoyl-GPC (16:0),nan,0.0,nan
1-palmitoyl-GPE (16:0),nan,0.0,nan
1-palmitoyl-GPI* (16:0)*,nan,0.0,nan
1-palmitoylplasmenylethanolamine*,nan,0.0,nan
1-stearoylglycerol (18:0),nan,0.0,nan
1-stearoyl-GPC (18:0),nan,0.0,nan
1-stearoyl-GPE (18:0),nan,0.0,nan
1-stearoyl-GPI (18:0),nan,0.0,nan
2-aminoadipate,nan,0.0,nan
2-aminobutyrate,nan,0.0,nan
2-arachidonoyl-GPC* (20:4)*,nan,0.0,nan
2-arachidonoyl-GPE* (20:4)*,nan,0.0,nan
2'-deoxyguanosine,nan,0.0,nan
2'-deoxyinosine,nan,0.0,nan
2-docosahexaenoyl-GPC* (22:6)*,nan,0.0,nan
2-docosahexaenoylglycerophosphoethanolamine*,nan,0.0,nan
2-docosapentaenoylglycerophosphoethanolamine*,nan,0.0,nan
2-hydroxyacetaminophen sulfate*,nan,1.0,nan
2-hydroxybutyrate (AHB),nan,0.0,nan
2-hydroxyglutarate,nan,0.0,nan
2-hydroxypalmitate,nan,0.0,nan
2-linoleoyl-GPC* (18:2)*,nan,0.0,nan
2-methylbutyroylcarnitine (C5),nan,0.0,nan
2-myristoyl-GPC* (14:0)*,nan,0.0,nan
2-myristoylglycerophosphoethanolamine*,nan,0.0,nan
2-oleoyl-GPC* (18:1)*,nan,0.0,nan
2-oleoyl-GPE* (18:1)*,nan,0.0,nan
