Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,5-anhydroglucitol (1,5-AG)",0.10257706646740868,0.61073462622765839,1.0
1-Methyladenosine (1mA),0.61219959106760213,0.42307694022639675,0.47648464642344551
2-Aminoadipate,0.89151155691516804,0.062000221461167078,0.092288151326253925
2'-Deoxyuridine-5'-triphosphate (dUTP),-0.32448217275041075,0.3576812995277468,0.91199454726613838
2-Hydroxybutyrate (AHB),-0.029997216434170953,0.93523864838787019,1.0
"3,4-Dihydroxyphenylethyleneglycol (DOPEG)",-0.028696951551290234,0.73367530810659309,1.0
3-Methyl-2-oxopentanoate,0.2662365530008784,0.61073462622765839,1.0
3-Methylhistidine (1-Methylhistidine),0.28467552438156424,0.13087384291337228,0.60131770077803981
3-Phosphoglycerate,0.75771716127609934,0.63615926321892191,0.71203826182521657
4-Acetamidobutanoate,0.0,1.0,1.0
4-Guanidinobutanoate,0.025464100627402838,0.85500123159538732,1.0
4-Methyl-2-oxopentanoate,1.2201254791655924,0.43683047371069994,0.32900310609411637
"5,6-Dihydrothymine",-1.6017132519074588e-16,1.0,1.0
"5,6-Dihydrouracil",0.65273159422314042,0.36609012963208826,0.5420628339434489
5-Hydroxyindoleacetate (5-HIA),1.5106218595943615,0.948773244041349,0.62454276634270045
5-Hydroxytryptophan,-0.16673236879084824,0.62178646793683101,1.0
5-Methylthioadenosine (MTA),0.31027733839547722,0.95514742294942867,0.94971862473603297
5-Sulfosalicylate,-0.16368480763274623,0.42278317798503384,1.0
6-Phosphogluconate,-0.11901917983679715,0.70263783998969054,1.0
Acetylcarnitine (ALC; C2 AC),-0.064669854690679068,0.91588906407491932,1.0
Aconitate,-0.91584473226254681,0.36974584111001108,0.87755094983203907
Adenine,0.67275605798840232,0.17146633402035044,0.33390999265470722
Adenosine,-0.32078830097535516,0.3993806253244877,0.94971862473603297
a-Ketoglutarate,-0.088196445364089965,0.43683047371069994,1.0
Alanine,0.21245318857907269,0.43683047371069994,0.94971862473603297
Alanylalanine,0.15580765841121388,0.9069977649775276,1.0
Arachidonate (20:4n6),0.4982593455963506,0.23904704974040497,0.51021106321375953
Argininosuccinate,0.95240921635622167,0.12111443453284568,0.14443391452405396
Ascorbate (Vitamin C),0.15048120009870281,0.8652601101083045,1.0
Asparagine,0.78647066710586577,0.082355254592167276,0.099596387458023128
Aspartate,0.68944032901361485,0.096412874751183861,0.13065107228328809
Assymetric Dimethylarginine (ADMA),1.0347064373493819,0.17146633402035044,0.39051810339325338
a-Tocopherol,0.65782761054726735,0.36609012963208826,0.5420628339434489
Azelate (Nonanedioate),0.45164625750667536,0.39309060038845228,0.84821066446226967
b-Alanine,-0.2736163654690153,0.49075200715306533,1.0
b-aminoisobutyrate,-0.56904152533472052,0.4719135175967259,0.73617899105457307
b-Hydroxybutyrate (BHBA),-0.40788861526578246,0.48138568431276002,1.0
