Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
"1,2-propanediol",-0.4575184834399712,0.21456041089711561,0.88922042271574075
"1,3-dihydroxyacetone",0.60148548595256823,1.0,0.93152924609075327
"1,5-anhydroglucitol (1,5-AG)",0.60158881930856523,0.2286575985471663,0.53598366648390605
1-arachidonoylglycerophosphocholine (20:4n6)*,-2.5116848935049316,0.0027264777079080045,0.001326229526561061
1-arachidonoylglycerophosphoethanolamine*,-3.0338634518662841,0.0026571525667735221,0.0081765048381547845
1-arachidonoylglycerophosphoinositol*,-2.8743616105543497,0.0026571525667735221,0.0001679027503513194
1-arachidonylglycerol,-2.436351590924247,0.0030327880717475842,0.022290861128130411
1-dihomo-linoleoylglycerophosphocholine (20:2n6)*,-1.3852626652448099,0.21043583775769376,0.30765053976094875
1-eicosatrienoylglycerophosphocholine (20:3)*,-3.973933895619925,0.0026571525667735221,0.012327025510183786
1-eicosenoylglycerophosphoethanolamine (20:1n9)*,-6.1333991254171982,0.0026571525667735221,0.026414229868304929
1-linoleoylglycerol (1-monolinolein),-2.8672759690498331,0.0094122479208966648,0.14458012055870886
1-linoleoylglycerophosphocholine (18:2n6),-2.9927945086764831,0.019735603685797819,0.036786318131994122
1-linoleoylglycerophosphoethanolamine*,-4.835971430851103,0.0026571525667735221,0.0064467476405769041
1-linoleoylglycerophosphoserine*,-4.4291376963236972,1.0,1.0
1-margaroylglycerophosphocholine (17:0),-2.3822719938272563,0.06796371319306832,0.22896596378587494
1-margaroylglycerophosphoethanolamine*,-6.3464355149953819,0.0026571525667735221,0.052122217069865528
1-myristoylglycerophosphocholine (14:0),-2.1214479283340824,0.01910103674955007,0.21258865931422308
1-myristoylglycerophosphoethanolamine,-1.3344190390705593,1.0,1.0
1-oleoylglycerol (1-monoolein),-2.6288167903105832,0.0033551794234251671,0.024385880868467453
1-oleoylglycerophosphocholine (18:1),-3.2972501211717069,0.0026571525667735221,0.0077419819279789135
1-oleoylglycerophosphoethanolamine,-6.2806137529744337,0.0026571525667735221,0.012559559358306466
1-oleoylglycerophosphoinositol*,-3.4699815379782075,0.0027264777079080045,0.002325791897209576
1-oleoylglycerophosphoserine,-4.6230111085703358,0.0026571525667735221,0.011944382177691353
1-oleoylplasmenylethanolamine*,-4.3547646768959076,0.0026571525667735221,0.024385880868467453
1-palmitoleoylglycerophosphocholine (16:1)*,-2.7520942872717882,0.012039756552636869,0.088081362354779202
1-palmitoylglycerol (1-monopalmitin),-3.1705990005393123,0.0026571525667735221,0.0047559799111344088
1-palmitoylglycerophosphocholine (16:0),-3.147271299998756,0.0026571525667735221,0.038521705861819154
1-palmitoylglycerophosphoethanolamine,-6.2945488767296451,0.0035006558145641415,0.028363105730814808
1-palmitoylglycerophosphoinositol*,-3.4978753123933632,0.0027264777079080045,0.012515263354379321
1-palmitoylplasmenylethanolamine*,-4.9210068041850095,0.0026571525667735221,0.031359681585348367
1-stearoylglycerol (1-monostearin),-2.8721478060060202,0.010198672409756148,0.0088820613678977939
1-stearoylglycerophosphocholine (18:0),-2.4323120233563857,0.085238151763625272,0.15135932460614035
1-stearoylglycerophosphoethanolamine,-6.5150098601144855,0.0026571525667735221,0.021218900523171252
1-stearoylglycerophosphoglycerol,-4.3690331985215609,0.0026571525667735221,0.045071024248784557
1-stearoylglycerophosphoinositol,-4.0838487004629354,0.0026571525667735221,0.006525866794843932
1-stearoylplasmenylethanolamine*,-5.1635139223039994,0.005939737819646229,0.1127763086130498
10-heptadecenoate (17:1n7),-2.9319327662842953,0.0026571525667735221,0.15923276428315727
10-nonadecenoate (19:1n9),-2.8360503550580693,0.0035006558145641415,0.22725596745882926
13-HODE + 9-HODE,-2.513524888579775,0.0035006558145641415,0.051464809637712175
15-methylpalmitate (isobar with 2-methylpalmitate),-2.0907093122709939,0.0027264777079080045,0.12935785632246716
16-hydroxypalmitate,-0.14486307924459443,0.95561239447984203,1.0
17-methylstearate,-2.044748546344854,0.0041375197322189765,0.069211155729916068
2'-deoxyguanosine,-2.1517776547320531,1.0,1.0
