"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"1,7-dimethylxanthine","","","",""
"1-methyl-l-tryptophan","","","",""
"2-hydroxy caprylic acid","","","",""
"2-hydroxybutyric acid sodium salt","440864|11266","C05984","HMDB00008","CHEBI:50613|CHEBI:1148"
"3-deoxyguanosine","","","",""
"3-hydroxy-2-methylvalerate","","","",""
"3-hydroxy-3-methyl-glutaric acid","","","",""
"3-hydroxykynurenine","","","",""
"4-hydroxy phenyllacticacid","","","",""
"5-hydroxyindoleaceticacid","","","",""
"5-hydroxytryptophan","","","",""
"adenosine","60961|32326","C00212|D00045|C07195|D00406","HMDB00050","CHEBI:16335"
"alanine","7311724|5950","C00041|D00012","HMDB00161","CHEBI:16977|CHEBI:57972"
"allose","","","",""
"alpha-hydroxyisobutyric acid","","","",""
"aminobutyric acid","","","",""
"arginine","6322|28782","C00062|D02982","HMDB00517","CHEBI:16467"
"asparagine","6992089|6267","C00152","HMDB00168","CHEBI:17196|CHEBI:58048"
"aspartic acid","5960|44367445","C00049|D00013","HMDB00191","CHEBI:17053"
"benzoic acid","20144841|243","C00180|C00539|D00038","HMDB01870","CHEBI:30746"
"betaine","247","C00719|D07523","HMDB00043","CHEBI:17750"
"b-hydroxyisovaleric acid","","","",""
"caffeine","","","",""
"carnitine","10917","C00318|D02176",NA,"CHEBI:16347"
"cinnamic acid","","","",""
"citramalic acid","","","",""
"citrulline","9750|6992098","C00327|D07706","HMDB00904","CHEBI:16349|CHEBI:57743"
"cortisol","5754|657311","C00735|D00088","HMDB00063","CHEBI:17650"
"coumarin","","","",""
"creatine","59098743|586","C00300","HMDB00064","CHEBI:16919|CHEBI:57947"
"cytidine monophosphate (cmp)","7058165|6131","C00055","HMDB00095","CHEBI:60377|CHEBI:17361"
"dimethylglycine","6971056|673","C01026","HMDB00092","CHEBI:17724|CHEBI:58251"
"dl-3-phenyllactic acid","","","",""
"dl-indole-3-lactic acid (3-indolelactic acid)","","","",""
"glutamine or lysine or glutamic acid","","","",""
"glyceraldehyde-3-phosphate","729","C00661","","CHEBI:17138"
"guanine","764","C00242","HMDB00132","CHEBI:16235"
"hippuric acid","464","C01586","HMDB00714","CHEBI:18089"
"histamine","774|156615","C00388|D08040","HMDB00870","CHEBI:18295|CHEBI:73337"
"histidine","6274|6971009","C00135|D00032","HMDB00177","CHEBI:15971|CHEBI:57595"
"homocysteine","6971015|91552|49791978|778","C00155|C05330","HMDB00742","CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065"
"homoserine","6971022|12647","C00263","HMDB00719","CHEBI:15699|CHEBI:57476"
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"isobutyryl carnitine","","","",""
"ketoleucine","","","",""
"kynurenic acid","","","",""
"kynurenine","161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lauric acid","3893","C02679","HMDB00638","CHEBI:30805"
"leucine","6106|7045798","C00123|D00030","HMDB00687","CHEBI:15603|CHEBI:57427"
"lysine","5962","C00047|D02304","HMDB00182","CHEBI:18019"
"methionine","6137|6992087","C00073|D00019","HMDB00696","CHEBI:16643|CHEBI:57844"
"n12-acetylthermospermidine","","","",""
"n1-acetylspermine","","","",""
"n-acetyl valine","66789|227752",NA,"HMDB11757",NA
"nonanedioic acid","","","",""
"norepinephrine (noradrenaline)","","","",""
"oleic acid","445639","C00712|D02315","HMDB00207|HMDB00573","CHEBI:16196"
"o-succinyl-l-homoserine","","","",""
"palmitic acid","985","C00249|D05341","HMDB00220","CHEBI:15756"
"pantothenic acid","6613|988","C00864|D07413","HMDB00210","CHEBI:46905|CHEBI:7916"
"phenylalanine","6925665|6140","C00079|D00021","HMDB00159","CHEBI:17295|CHEBI:58095"
"phthalic acid mono-2-ethylhexyl ester","","","",""
"pipecolic acid","439227|6931663|25200477|849","C00408","HMDB00070|HMDB00716","CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964"
"proline","145742|6971047","C00148|D00035","HMDB00162","CHEBI:17203|CHEBI:60039"
"pyroglutamic acid","","","",""
"s-adenosylmethionine","34755","C00019",NA,"CHEBI:67040"
"sarcosine","7311726|1088","C00213","HMDB00271","CHEBI:15611|CHEBI:57433"
"serine","5951|6857581|6857549|71077","C00065|D00016|C00740","HMDB03406|HMDB00187","CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247"
"spermidine","1102","C00315","HMDB01257","CHEBI:16610"
"spermine","1103","C00750","HMDB01256","CHEBI:15746"
"suberic acid","","","",""
"taurine","1123|4068592","C00245|D00047","HMDB00251","CHEBI:15891|CHEBI:507393"
"theophylline","","","",""
"threonine","6971019|6288","C00188|D00041","HMDB00167","CHEBI:16857|CHEBI:57926"
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"trans-4 hydroxytamoxifen","","","",""
"tryptophan","6923516|6305","C00078|D00020","HMDB00929","CHEBI:16828|CHEBI:57912"
"tyrosine","6057|6942100","C00082|D00022","HMDB00158","CHEBI:17895|CHEBI:58315"
"uracil","1174","C00106|D00027","HMDB00300","CHEBI:17568"
"urocanic acid","","","",""
"valine","6971018|6287","C00183|D00039","HMDB00883","CHEBI:16414|CHEBI:57762"
"vidarabine","","","",""
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
