"","B6-A0RD","B6-A0RG","B6-A0RH","B6-A0IB","B6-A0RM","N1","N2","B6-A0X7","B6-A0RP","N3","B6-A0X1","B6-A0IF","B6-A0IH","N4","N5","B6-A0WS","B6-A0IQ","B6-A0IM","B6-A0IN","B6-A0IP","B6-A0X5","B6-A0WX","B6-A0WY","B6-A0I1","B6-A1KF","B6-A0RT","B6-A0WV","B6-A0WW","B6-A0RU","B6-A0RV"
"","tumor","tumor","tumor","tumor","tumor","normal","normal","tumor","tumor","normal","tumor","tumor","tumor","normal","normal","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"1,2-propanediol","0.167622","1.912189","13.231302","1.341375","0.80346","0.676371","1.015534","0.306308","10.53158","0.442275","0.304666","0.179174","2.47988","2.156088","0.264085","0.652034","1.203187","1.768661","0.476924","6.064738","1.392761","0.984466","0.464615","4.497257","3.138197","0.589645","0.407604","3.175182","1.888172","0.447849"
"1,5-anhydroglucitol (1,5-ag)","0.580245","1.448388","1.037888","1.130509","1.533784","0.997349","1.718128","1.002651","0.802792","0.850508","2.150472","0.475253","0.157402","1.55834","1.25436","0.55377","1.348969","0.453808","0.853866","0.794981","1.276594","0.358083","0.836822","0.136809","0.867698","1.029032","0.915671","1.014295","1.649497","1.483311"
"1-arachidonoylglycerophosphocholine*","0.826635","2.718529","0.301892","0.58405","0.492418","0.702516","3.935416","1.269045","0.589356","0.805232","0.598703","1.188519","1.362009","2.776506","1.125878","1.774194","1","0.557492","0.276997","0.473656","1.031468","0.727131","2.052272","1.264477","0.690591","0.720266","1.011732","1.285526","0.276997","1.511979"
"1-arachidonoylglycerophosphoethanolamine*","2.319804","1.027377","4.281229","1.034957","1.997503","0.535859","0.56556","0.619358","1.826769","0.866767","0.972623","0.534025","0.568917","0.763041","0.695572","1.22323","1.635343","0.401436","1.119379","0.792538","1.044876","2.276577","1.090776","0.884105","2.032959","1.440525","1.861112","0.706615","0.689125","0.876573"
"1-arachidonoylglycerophosphoinositol*","2.028047","0.953558","3.296994","1.613545","1.217103","0.343393","0.475194","0.409077","0.964386","0.475131","1.012191","0.483582","0.419184","0.395595","0.521044","4.28742","2.39958","1.047425","0.895985","0.667084","0.404035","2.556589","1.159118","1.006478","1.868894","2.192908","2.163983","0.895914","0.993522","1.058357"
"1-eicosatrienoylglycerophosphocholine*","1.344913","2.743464","0.249896","0.645466","0.513533","0.779771","3.156009","0.741554","1.066827","1.154345","0.626951","1.0731","0.732649","3.124784","0.53685","2.386387","0.468754","1","0.818645","0.898465","3.832847","0.70706","2.078296","2.60983","1.368076","0.249896","1.437964","1.082893","0.322665","0.785745"
"1-heptadecanoylglycerophosphocholine","0.571791","2.057312","0.380876","1.07784","0.380876","0.857529","1.528707","0.380876","0.648307","0.380876","0.380876","2.891194","1.236756","1.39944","0.727591","0.847179","0.380876","2.739338","0.523866","0.380876","3.905569","0.380876","1.360405","1","0.72976","0.380876","0.422581","0.901754","0.380876","1.182198"
"1-linoleoylglycerol (1-monolinolein)","4.334186","1.248176","5.173958","2.284956","1.57767","1.057853","0.189081","0.832693","1.996459","0.516045","1.66952","0.659075","1.284657","0.727598","0.946379","1.053621","2.890126","0.830367","0.34068","0.647483","0.371502","0.714152","0.78914","1.256039","5.698267","2.64883","0.751434","0.878755","1.465867","0.493008"
"1-linoleoylglycerophosphocholine","1.108272","2.655799","0.115612","0.664796","1.021176","0.93323","6.075455","2.504537","0.978824","0.625692","0.867089","2.160413","1.391762","5.850895","2.181308","1.541496","0.488293","1.235276","0.545694","0.495497","2.405004","0.330053","3.15368","0.769784","0.291804","0.415999","0.627696","1.600608","0.125941","2.591042"
"1-linoleoylglycerophosphoethanolamine*","4.823515","0.971255","1.321017","1.394372","4.149695","0.254459","0.646337","1.024749","2.80689","0.471691","1.177385","0.969916","0.708137","0.975251","0.852918","0.483771","0.438402","0.778651","1.487896","0.511662","0.578562","1.132749","1.086014","0.315254","1.593807","1.10358","1.837173","1.289227","0.277969","1.378898"
"1-myristoylglycerophosphocholine","2.146267","7.627837","0.24867","0.665541","0.920975","1.082505","1.096904","0.453983","0.42972","0.24867","0.599391","1.743527","0.413223","1.545763","0.439626","0.934985","0.582294","1.065015","2.559434","0.779227","0.418407","1.318046","3.711076","1.920716","1.872398","0.257867","1.320993","2.836512","0.24867","0.409987"
