"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"1-arachidonoylglycerophosphoethanolamine*",NA,NA,NA,NA
"1-arachidonoylglycerophosphoinositol*",NA,"C03819",NA,NA
"1-linoleoylglycerophosphocholine","5280646","C04100",NA,NA
"1-methylimidazoleacetate","75810","C05828","HMDB02820","CHEBI:1606"
"1-methylnicotinamide","457","C02918","HMDB00699","CHEBI:16797"
"1-myristoylglycerophosphocholine",NA,NA,NA,NA
"1-oleoylglycerol (1-monoolein)",NA,"C01885",NA,NA
"1-oleoylglycerophosphocholine","5280634|16081932","C03916","HMDB02815","CHEBI:74342"
"1-oleoylglycerophosphoethanolamine",NA,NA,NA,NA
"1-palmitoylglycerol (1-monopalmitin)",NA,"C01885",NA,NA
"1-palmitoylglycerophosphocholine","86555","C04102",NA,NA
"1-stearoylglycerol (1-monostearin)",NA,"C01885",NA,NA
"1-stearoylglycerophosphocholine",NA,NA,NA,NA
"1-stearoylglycerophosphoethanolamine",NA,NA,NA,NA
"1-stearoylglycerophosphoinositol",NA,"C03819",NA,NA
"1,3-dihydroxyacetone","670","C00184|D07841","HMDB01882","CHEBI:16016|CHEBI:17567"
"1,5-anhydroglucitol (1,5-ag)","64960","C07326","HMDB02712","CHEBI:16070"
"10-heptadecenoate (17:1n7)",NA,NA,NA,NA
"10-nonadecenoate (19:1n9)",NA,NA,NA,NA
"2'-deoxyguanosine","187790","C00330","HMDB00085","CHEBI:17172"
"2'-deoxyinosine","65058","C05512","HMDB00071","CHEBI:28997"
"2'-o-methylguanosine",NA,"C04545",NA,NA
"2-aminoadipate","92136|59066632|59366488|469","C00956","HMDB00510","CHEBI:37023|CHEBI:37024"
"2-aminobutyrate","6971251|439691","C02261","HMDB00650","CHEBI:28797"
"2-arachidonoylglycerophosphocholine*",NA,NA,NA,NA
"2-arachidonoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-docosahexaenoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-docosapentaenoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-hydroxyacetaminophen sulfate*",NA,NA,NA,NA
"2-hydroxybutyrate (ahb)","440864|11266","C05984","HMDB00008","CHEBI:50613|CHEBI:1148"
"2-hydroxyglutarate","43|439391","C02630|C01087","HMDB00606","CHEBI:17084|CHEBI:32796"
"2-hydroxyhippurate (salicylurate)","10253","C07588","HMDB00840","CHEBI:9008"
"2-hydroxypalmitate",NA,NA,NA,NA
"2-hydroxystearate","439887","C03045",NA,"CHEBI:18129"
"2-linoleoylglycerophosphocholine*",NA,NA,NA,NA
"2-linoleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-methoxyacetaminophen sulfate*",NA,NA,NA,NA
"2-methylbutyroylcarnitine","6426901",NA,"HMDB00378","CHEBI:73026"
"2-methylmalonyl carnitine",NA,NA,NA,NA
"2-myristoylglycerophosphocholine*",NA,NA,NA,NA
"2-oleoylglycerol (2-monoolein)",NA,NA,NA,NA
"2-oleoylglycerophosphocholine*",NA,NA,NA,NA
"2-oleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-palmitoleoylglycerophosphocholine*",NA,NA,NA,NA
"2-palmitoleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)",NA,NA,NA,NA
"2-palmitoylglycerophosphocholine*",NA,NA,NA,NA
"3-(4-hydroxyphenyl)lactate","9378","C03672","HMDB00755","CHEBI:17385"
"3-aminoisobutyrate","64956|25201103|439434|6971062","C05145|C03284","HMDB03911|HMDB02166","CHEBI:27389|CHEBI:33094|CHEBI:58655"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)",NA,NA,NA,NA
"3-dehydrocarnitine*","439773","C02636",NA,"CHEBI:16758"
"3-hydroxybutyrate (bhba)","92135|441","C01089","HMDB00357|HMDB00011","CHEBI:17066|CHEBI:20067"
"3-hydroxydecanoate","26612",NA,"HMDB02203",NA
"3-methyl-2-oxobutyrate","49","C00141","HMDB00019","CHEBI:16530"
"3-methyl-2-oxovalerate","439286","C00671","HMDB03736","CHEBI:15614"
"3-methylhistidine","6971061|64969|92105|7020397","C01152","HMDB00479|HMDB00001","CHEBI:27596|CHEBI:50599"
"3-phenylpropionate (hydrocinnamate)","107","C05629","HMDB00764","CHEBI:28631"
"3-phosphoglycerate","724","C00597","HMDB00807","CHEBI:17050"
"4-acetaminophen sulfate",NA,NA,NA,NA
"4-androsten-3beta,17beta-diol disulfate 1*",NA,NA,NA,NA
"4-hydroxybutyrate (ghb)","3037032|10413","C00989|C01991","HMDB00710","CHEBI:16724|CHEBI:30830"
"4-hydroxyphenylpyruvate","979","C01179","HMDB00707","CHEBI:15999"
"4-methyl-2-oxopentanoate","70","C00233","HMDB00695","CHEBI:48430"
"4-octenedioate","11805205",NA,"HMDB04982",NA
"5-aminovalerate","6992101|138","C00431","HMDB03355","CHEBI:15887|CHEBI:356010"
"5-methylthioadenosine (mta)","439176","C00170","HMDB01173","CHEBI:17509"
"5-oxoproline","7405","C01879","HMDB00267","CHEBI:18183"
"5,6-dihydrouracil","649","C00429","HMDB00076","CHEBI:15901"
"5alpha-pregnan-3beta,20alpha-diol disulfate",NA,NA,NA,NA
"6-phosphogluconate","91493","C00345","HMDB01316","CHEBI:48928"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)","3081085","C17337",NA,NA
"7-beta-hydroxycholesterol","107722|473141","C03594","HMDB06119","CHEBI:17500|CHEBI:42989"
"acetylcarnitine",NA,NA,NA,NA
"adenine","190","C00147|D00034","HMDB00034","CHEBI:16708"
"adenosine","60961|32326","C00212|C07195|D00045|D00406","HMDB00050","CHEBI:16335"
"adenosine 2'-monophosphate (2'-amp)","94136|53481006","C00946","HMDB11617","CHEBI:28223"
"adenosine 3'-monophosphate (3'-amp)","41211","C01367","HMDB03540","CHEBI:28931"
"adenosine 5'-monophosphate (amp)","6083","C00020|D02769","HMDB00045","CHEBI:16027"
"adenosine 5'diphosphoribose","445794|192","C00301","HMDB01178",NA
"adrenate (22:4n6)","5497181","C16527","HMDB02226","CHEBI:53487"
"adsgegdfxaegggvr*",NA,NA,NA,NA
"alanine","7311724|5950","C00041|D00012","HMDB00161","CHEBI:16977|CHEBI:57972"
"alanylhistidine",NA,NA,NA,NA
"alanylleucine",NA,NA,NA,NA
"allo-threonine","99289|6995276|6971019|6288","C05519|C00188|D00041","HMDB04041|HMDB00167","CHEBI:28718|CHEBI:58585|CHEBI:16857|CHEBI:57926"
"alpha-ketoglutarate","51","C00026","HMDB00208","CHEBI:30915"
"alpha-tocopherol","14985","C02477","HMDB01893","CHEBI:18145"
"andro steroid monosulfate 1*",NA,NA,NA,NA
"andro steroid monosulfate 2*",NA,NA,NA,NA
"androsterone sulfate","5879|159663","C00523","HMDB02759","CHEBI:16032"
"arachidonate (20:4n6)","444899","C00219","HMDB01043","CHEBI:15843"
"arginine","6322|28782|71070","C00062|D02982|C00792","HMDB03416|HMDB00517","CHEBI:16467|CHEBI:15816"
