"","X","ID","Source","FinalName"
"1","CHEBI:16997","Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,LGG:1,2-propanediol,OV:1,2-propanediol,PAADHussain2:1,2-propanediol","1,2-propanediol"
"2","CHEBI:16016","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,LGG:dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"3","CHEBI:17567","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,LGG:dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"4","CHEBI:16070","Metabolite 3","KIRC 1,5-anhydroglucitol (1,5-ag) :,BRCA:1,5-anhydroglucitol (1,5-ag),BRCATang:1,5-anhydroglucitol (1,5-ag),LGG:1,5-anhydroglucitol (1,5-ag),OV:1,5-anhydroglucitol (1,5-ag),PAADHussain1:1,5-anhydroglucitol (1,5-ag),PAADHussain2:1,5-anhydroglucitol (1,5-ag),PRAD:1,5-anhydroglucitol (1,5-ag),PRADLODA:1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag)"
"5","CHEBI:75094","Metabolite 4","KIRC 10-heptadecenoate (17:1n7) :,OV:10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)"
"6","CHEBI:55328","Metabolite 8","KIRC 16-hydroxypalmitate :","16-hydroxypalmitate"
"7","CHEBI:64395","Metabolite 10","KIRC 1-arachidonoylglycerophosphoethanolamine* :,BRCATang:1-arachidonoylglycerophosphoethanolamine*,LGG:1-arachidonoyl-gpe* (20:4)*,OV:1-arachidonoylglycerophosphoethanolamine*,PAADHussain1:1-arachidonoylglycerophosphoethanolamine*,PAADHussain2:1-arachidonoylglycerophosphoethanolamine*,PRADLODA:1-arachidonoylglycerophosphoethanolamine*","1-arachidonoylglycerophosphoethanolamine*"
"8","CHEBI:75572","Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"9","CHEBI:75612","Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"10","CHEBI:74340","Metabolite 14","KIRC 1-heptadecanoylglycerophosphocholine :,BRCATang:1-heptadecanoylglycerophosphocholine","1-heptadecanoylglycerophosphocholine"
"11","CHEBI:75565","Metabolite 16","KIRC 1-linoleoylglycerol (1-monolinolein) :","1-linoleoylglycerol (1-monolinolein)"
"12","CHEBI:75568","Metabolite 16","KIRC 1-linoleoylglycerol (1-monolinolein) :","1-linoleoylglycerol (1-monolinolein)"
"13","CHEBI:1606","Metabolite 19","KIRC 1-methylimidazoleacetate :,BRCA:1-methylimidazoleacetate,OV:1-methylimidazoleacetate,PAADHussain1:1-methylimidazoleacetate","1-methylimidazoleacetate"
