"","rowname"
"Metabolite 1","1,2-propanediol"
"Metabolite 2","1,3-dihydroxyacetone"
"Metabolite 3","1,5-anhydroglucitol (1,5-ag)"
"Metabolite 4","10-heptadecenoate (17:1n7)"
"Metabolite 5","10-nonadecenoate (19:1n9)"
"Metabolite 6","13-hode + 9-hode"
"Metabolite 7","15-methylpalmitate (isobar with 2-methylpalmitate)"
"Metabolite 8","16-hydroxypalmitate"
"Metabolite 9","1-arachidonoylglycerophosphocholine*"
"Metabolite 10","1-arachidonoylglycerophosphoethanolamine*"
"Metabolite 11","1-arachidonoylglycerophosphoinositol*"
"Metabolite 12","1-arachidonylglycerol"
"Metabolite 13","1-docosahexaenoylglycerophosphocholine*"
"Metabolite 14","1-heptadecanoylglycerophosphocholine"
"Metabolite 15","1-heptadecanoylglycerophosphoethanolamine*"
"Metabolite 16","1-linoleoylglycerol (1-monolinolein)"
"Metabolite 17","1-linoleoylglycerophosphocholine"
"Metabolite 18","1-linoleoylglycerophosphoethanolamine*"
"Metabolite 19","1-methylimidazoleacetate"
"Metabolite 20","1-myristoylglycerophosphocholine"
"Metabolite 21","1-myristoylglycerophosphoethanolamine"
"Metabolite 22","1-oleoylglycerol (1-monoolein)"
"Metabolite 23","1-oleoylglycerophosphocholine"
"Metabolite 24","1-oleoylglycerophosphoethanolamine"
"Metabolite 25","1-oleoylglycerophosphoinositol*"
"Metabolite 26","1-oleoylglycerophosphoserine"
"Metabolite 27","1-palmitoleoylglycerophosphocholine*"
"Metabolite 28","1-palmitoleoylglycerophosphoethanolamine*"
"Metabolite 29","1-palmitoylglycerol (1-monopalmitin)"
"Metabolite 30","1-palmitoylglycerophosphocholine"
"Metabolite 31","1-palmitoylglycerophosphoethanolamine"
"Metabolite 32","1-palmitoylglycerophosphoinositol*"
"Metabolite 33","1-palmitoylplasmenylethanolamine*"
"Metabolite 34","1-pentadecanoylglycerophosphocholine*"
"Metabolite 35","1-stearoylglycerol (1-monostearin)"
"Metabolite 36","1-stearoylglycerophosphocholine"
"Metabolite 37","1-stearoylglycerophosphoethanolamine"
"Metabolite 38","1-stearoylglycerophosphoinositol"
"Metabolite 39","2-aminoadipate"
"Metabolite 40","2-aminobutyrate"
"Metabolite 41","2-arachidonoylglycerophosphocholine*"
"Metabolite 42","2-arachidonoylglycerophosphoethanolamine*"
"Metabolite 43","2'-deoxyadenosine 3'-monophosphate"
"Metabolite 44","2'-deoxycytidine 3'-monophosphate"
"Metabolite 45","2'-deoxyguanosine"
"Metabolite 46","2'-deoxyinosine"
"Metabolite 47","2-docosahexaenoylglycerophosphocholine*"
"Metabolite 48","2-docosahexaenoylglycerophosphoethanolamine*"
"Metabolite 49","2-docosapentaenoylglycerophosphocholine*"
"Metabolite 50","2-docosapentaenoylglycerophosphoethanolamine*"
"Metabolite 51","2-eicosatrienoylglycerophosphocholine*"
"Metabolite 52","2-ethylhexanoate"
"Metabolite 53","2-hydroxyacetaminophen sulfate*"
"Metabolite 54","2-hydroxybutyrate (ahb)"
"Metabolite 55","2-hydroxyglutarate"
"Metabolite 56","2-hydroxyhippurate (salicylurate)"
"Metabolite 57","2-hydroxyisobutyrate"
"Metabolite 58","2-hydroxypalmitate"
"Metabolite 59","2-isopropylmalate"
"Metabolite 60","2-linoleoylglycerol (2-monolinolein)"
"Metabolite 61","2-linoleoylglycerophosphocholine*"
"Metabolite 62","2-linoleoylglycerophosphoethanolamine*"
"Metabolite 63","2-methoxyacetaminophen sulfate*"
"Metabolite 64","2-methylbutyroylcarnitine"
"Metabolite 65","2-myristoylglycerophosphocholine*"
"Metabolite 66","2-oleoylglycerol (2-monoolein)"
"Metabolite 67","2-oleoylglycerophosphocholine*"
"Metabolite 68","2-oleoylglycerophosphoethanolamine*"
"Metabolite 69","2-oleoylglycerophosphoserine*"
"Metabolite 70","2-palmitoleoylglycerophosphocholine*"
"Metabolite 71","2-palmitoylglycerol (2-monopalmitin)"
"Metabolite 72","2-palmitoylglycerophosphocholine*"
"Metabolite 73","2-palmitoylglycerophosphoethanolamine*"
"Metabolite 74","2-phosphoglycerate"
"Metabolite 75","2-stearoylglycerophosphocholine*"
"Metabolite 76","2-stearoylglycerophosphoethanolamine*"
"Metabolite 77","3-(4-hydroxyphenyl)lactate"
"Metabolite 78","3-(cystein-s-yl)acetaminophen*"
"Metabolite 79","3-(n-acetyl-l-cystein-s-yl) acetaminophen*"
"Metabolite 80","3,4-dihydroxyphenethyleneglycol"
"Metabolite 81","3-aminoisobutyrate"
"Metabolite 82","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)"
"Metabolite 83","3-dehydrocarnitine*"
"Metabolite 84","3'-dephosphocoenzyme a"
"Metabolite 85","3-hydroxybutyrate (bhba)"
"Metabolite 86","3-hydroxydecanoate"
"Metabolite 87","3-hydroxyhippurate"
"Metabolite 88","3-hydroxyoctanoate"
"Metabolite 89","3-indoxyl sulfate"
"Metabolite 90","3-methyl-2-oxovalerate"
"Metabolite 91","3-methylhistidine"
"Metabolite 92","3-phosphoglycerate"
"Metabolite 93","3-ureidopropionate"
"Metabolite 94","4-acetamidophenol"
"Metabolite 95","4-acetaminophen sulfate"
"Metabolite 96","4-androsten-3beta,17beta-diol disulfate 1*"
"Metabolite 97","4-guanidinobutanoate"
"Metabolite 98","4-hydroxybutyrate (ghb)"
"Metabolite 99","4-hydroxyglutamate"
"Metabolite 100","4-hydroxyhippurate"
"Metabolite 101","4-hydroxyphenylacetate"
"Metabolite 102","4-methyl-2-oxopentanoate"
"Metabolite 103","5,6-dihydrouracil"
"Metabolite 104","5-aminovalerate"
"Metabolite 105","5-hete"
"Metabolite 106","5-methyltetrahydrofolate (5methf)"
"Metabolite 107","5-methylthioadenosine (mta)"
"Metabolite 108","5-methyluridine (ribothymidine)"
"Metabolite 109","5-oxoete"
"Metabolite 110","5-oxoproline"
"Metabolite 111","6-keto prostaglandin f1alpha"
"Metabolite 112","6-phosphogluconate"
"Metabolite 113","6'-sialyllactose"
"Metabolite 114","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)"
"Metabolite 115","7-alpha-hydroxycholesterol"
"Metabolite 116","7-beta-hydroxycholesterol"
"Metabolite 117","acetylcarnitine"
"Metabolite 118","ac-ser-asp-lys-pro-oh"
"Metabolite 119","adenine"
"Metabolite 120","adenosine"
"Metabolite 121","adenosine 2'-monophosphate (2'-amp)"
"Metabolite 122","adenosine 3'-monophosphate (3'-amp)"
"Metabolite 123","adenosine 5'-monophosphate (amp)"
"Metabolite 124","adenylosuccinate"
"Metabolite 125","adipate"
"Metabolite 126","adrenate (22:4n6)"
"Metabolite 127","agmatine"
"Metabolite 128","alanine"
"Metabolite 129","alanylalanine"
"Metabolite 130","alanylglutamate"
"Metabolite 131","alanylglycine"
"Metabolite 132","alanylisoleucine"
"Metabolite 133","alanylleucine"
"Metabolite 134","alanylmethionine"
"Metabolite 135","alanylphenylalanine"
"Metabolite 136","alanylthreonine"
"Metabolite 137","alanyltryptophan"
"Metabolite 138","alanyltyrosine"
"Metabolite 139","alanylvaline"
"Metabolite 140","allo-threonine"
"Metabolite 141","alpha-glutamylglutamate"
"Metabolite 142","alpha-glutamyltryptophan"
"Metabolite 143","alpha-glutamyltyrosine"
"Metabolite 144","alpha-hydroxyisovalerate"
"Metabolite 145","alpha-tocopherol"
"Metabolite 146","androsterone sulfate"
"Metabolite 147","anserine"
"Metabolite 148","arabitol"
"Metabolite 149","arabonate"
"Metabolite 150","arachidate (20:0)"
"Metabolite 151","arachidonate (20:4n6)"
"Metabolite 152","arginine"
"Metabolite 153","argininosuccinate"
"Metabolite 154","arginylleucine"
"Metabolite 155","arginylmethionine"
"Metabolite 156","arginylphenylalanine"
"Metabolite 157","arginyltyrosine"
"Metabolite 158","arginylvaline"
"Metabolite 159","ascorbate (vitamin c)"
"Metabolite 160","asparagine"
"Metabolite 161","aspartate"
"Metabolite 162","aspartate-glutamate"
"Metabolite 163","aspartylleucine"
"Metabolite 164","aspartylphenylalanine"
"Metabolite 165","aspartyltryptophan"
"Metabolite 166","aspartylvaline"
"Metabolite 167","atenolol"
"Metabolite 168","azelate (nonanedioate)"
"Metabolite 169","benzoate"
"Metabolite 170","beta-alanine"
"Metabolite 171","beta-hydroxypyruvate"
"Metabolite 172","betaine"
"Metabolite 173","beta-tocopherol"
"Metabolite 174","bilirubin (e,e)*"
"Metabolite 175","bilirubin (z,z)"
"Metabolite 176","butyrylcarnitine"
"Metabolite 177","caprate (10:0)"
"Metabolite 178","caproate (6:0)"
"Metabolite 179","caprylate (8:0)"
"Metabolite 180","carnitine"
"Metabolite 181","catechol sulfate"
"Metabolite 182","celecoxib"
"Metabolite 183","c-glycosyltryptophan*"
"Metabolite 184","chiro-inositol"
"Metabolite 185","cholate"
"Metabolite 186","cholesterol"
"Metabolite 187","choline"
"Metabolite 188","choline phosphate"
"Metabolite 189","cinnamoylglycine"
"Metabolite 190","cis-aconitate"
"Metabolite 191","cis-vaccenate (18:1n7)"
"Metabolite 192","citalopram"
"Metabolite 193","citramalate"
"Metabolite 194","citrate"
"Metabolite 195","citrulline"
"Metabolite 196","codeine"
"Metabolite 197","cortisol"
"Metabolite 198","cortisone"
"Metabolite 199","creatine"
"Metabolite 200","creatinine"
"Metabolite 201","cysteine"
"Metabolite 202","cysteine-glutathione disulfide"
"Metabolite 203","cysteinylglycine"
"Metabolite 204","cystine"
"Metabolite 205","cytidine"
"Metabolite 206","cytidine 5'-diphosphocholine"
"Metabolite 207","cytidine 5'-monophosphate (5'-cmp)"
"Metabolite 208","cytidine-3'-monophosphate (3'-cmp)"
"Metabolite 209","cytosine-2',3'-cyclic monophosphate"
"Metabolite 210","deoxycarnitine"
"Metabolite 211","dihomo-linoleate (20:2n6)"
"Metabolite 212","dihomo-linolenate (20:3n3 or n6)"
"Metabolite 213","dihydrocholesterol"
"Metabolite 214","dimethylarginine (sdma + adma)"
"Metabolite 215","dimethylglycine"
"Metabolite 216","docosadienoate (22:2n6)"
"Metabolite 217","docosahexaenoate (dha; 22:6n3)"
"Metabolite 218","docosapentaenoate (n3 dpa; 22:5n3)"
"Metabolite 219","docosapentaenoate (n6 dpa; 22:5n6)"
"Metabolite 220","docosatrienoate (22:3n3)"
"Metabolite 221","dodecanedioate"
"Metabolite 222","eicosapentaenoate (epa; 20:5n3)"
"Metabolite 223","eicosenoate (20:1n9 or 11)"
"Metabolite 224","epinephrine"
"Metabolite 225","ergothioneine"
"Metabolite 226","erucate (22:1n9)"
"Metabolite 227","erythritol"
"Metabolite 228","erythronate*"
"Metabolite 229","ethanolamine"
"Metabolite 230","flavin adenine dinucleotide (fad)"
"Metabolite 231","fructose"
"Metabolite 232","fructose 1-phosphate"
"Metabolite 233","fructose-6-phosphate"
"Metabolite 234","fucose"
"Metabolite 235","fumarate"
"Metabolite 236","gabapentin"
"Metabolite 237","galactose"
"Metabolite 238","gamma-aminobutyrate (gaba)"
"Metabolite 239","gamma-glutamylcysteine"
"Metabolite 240","gamma-glutamylglutamate"
"Metabolite 241","gamma-glutamylglutamine"
"Metabolite 242","gamma-glutamylisoleucine*"
"Metabolite 243","gamma-glutamylleucine"
"Metabolite 244","gamma-glutamylphenylalanine"
"Metabolite 245","gamma-glutamylvaline"
"Metabolite 246","gamma-tocopherol"
"Metabolite 247","glucarate (saccharate)"
"Metabolite 248","gluconate"
"Metabolite 249","glucose"
"Metabolite 250","glucose 1-phosphate"
"Metabolite 251","glucose-6-phosphate (g6p)"
"Metabolite 252","glucuronate"
"Metabolite 253","glutamate"
"Metabolite 254","glutamate, gamma-methyl ester"
"Metabolite 255","glutamine"
"Metabolite 256","glutarate (pentanedioate)"
"Metabolite 257","glutarylcarnitine (c5)"
"Metabolite 258","glutathione, oxidized (gssg)"
"Metabolite 259","glutathione, reduced (gsh)"
"Metabolite 260","glycerate"
"Metabolite 261","glycerol"
"Metabolite 262","glycerol 2-phosphate"
"Metabolite 263","glycerol 3-phosphate (g3p)"
"Metabolite 264","glycerophosphoethanolamine"
"Metabolite 265","glycerophosphorylcholine (gpc)"
"Metabolite 266","glycine"
"Metabolite 267","glycocholenate sulfate*"
"Metabolite 268","glycolate (hydroxyacetate)"
"Metabolite 269","glycolithocholate sulfate*"
"Metabolite 270","glycylglycine"
"Metabolite 271","glycylisoleucine"
"Metabolite 272","glycylleucine"
"Metabolite 273","glycyllysine"
"Metabolite 274","glycylmethionine"
"Metabolite 275","glycylphenylalanine"
"Metabolite 276","glycylproline"
"Metabolite 277","glycylthreonine"
"Metabolite 278","glycyltryptophan"
"Metabolite 279","glycyltyrosine"
"Metabolite 280","glycylvaline"
"Metabolite 281","guanidinoacetate"
"Metabolite 282","guanine"
"Metabolite 283","guanosine"
"Metabolite 284","guanosine 5'- monophosphate (5'-gmp)"
"Metabolite 285","gulono-1,4-lactone"
"Metabolite 286","heme*"
"Metabolite 287","hexanoylcarnitine"
"Metabolite 288","hippurate"
"Metabolite 289","histamine"
"Metabolite 290","histidine"
"Metabolite 291","histidylleucine"
"Metabolite 292","histidylmethionine"
"Metabolite 293","histidylphenylalanine"
"Metabolite 294","histidyltryptophan"
"Metabolite 295","histidyltyrosine"
"Metabolite 296","homocysteine"
"Metabolite 297","homoserine"
"Metabolite 298","homostachydrine*"
"Metabolite 299","hydantoin-5-propionic acid"
"Metabolite 300","hydrochlorothiazide"
"Metabolite 301","hypotaurine"
"Metabolite 302","hypoxanthine"
"Metabolite 303","imidazole propionate"
"Metabolite 304","indoleacetate"
"Metabolite 305","indolelactate"
"Metabolite 306","inosine"
"Metabolite 307","inositol 1-phosphate (i1p)"
"Metabolite 308","isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate"
"Metabolite 309","isobar: ribulose 5-phosphate, xylulose 5-phosphate"
"Metabolite 310","isobutyrylcarnitine"
"Metabolite 311","isoleucine"
"Metabolite 312","isoleucylalanine"
"Metabolite 313","isoleucylarginine"
"Metabolite 314","isoleucylglutamate"
"Metabolite 315","isoleucylglycine"
"Metabolite 316","isoleucylhistidine"
"Metabolite 317","isoleucylisoleucine"
"Metabolite 318","isoleucylmethionine"
"Metabolite 319","isoleucylphenylalanine"
"Metabolite 320","isoleucylserine"
"Metabolite 321","isoleucyltryptophan"
"Metabolite 322","isoleucyltyrosine"
"Metabolite 323","isoleucylvaline"
"Metabolite 324","isovalerylcarnitine"
