"","X","ID","Source","FinalName"
"1","HMDB01881","Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,LGG:1,2-propanediol,OV:1,2-propanediol,PAADHussain2:1,2-propanediol","1,2-propanediol"
"2","HMDB01882","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,LGG:dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"3","HMDB02712","Metabolite 3","KIRC 1,5-anhydroglucitol (1,5-ag) :,BRCA:1,5-anhydroglucitol (1,5-ag),BRCATang:1,5-anhydroglucitol (1,5-ag),LGG:1,5-anhydroglucitol (1,5-ag),OV:1,5-anhydroglucitol (1,5-ag),PAADHussain1:1,5-anhydroglucitol (1,5-ag),PAADHussain2:1,5-anhydroglucitol (1,5-ag),PRAD:1,5-anhydroglucitol (1,5-ag),PRADLODA:1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag)"
"4","HMDB13622","Metabolite 5","KIRC 10-nonadecenoate (19:1n9) :,BRCATang:10-nonadecenoate (19:1n9),OV:10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)"
"5","HMDB11517","Metabolite 10","KIRC 1-arachidonoylglycerophosphoethanolamine* :,BRCATang:1-arachidonoylglycerophosphoethanolamine*,LGG:1-arachidonoyl-gpe* (20:4)*,OV:1-arachidonoylglycerophosphoethanolamine*,PAADHussain1:1-arachidonoylglycerophosphoethanolamine*,PAADHussain2:1-arachidonoylglycerophosphoethanolamine*,PRADLODA:1-arachidonoylglycerophosphoethanolamine*","1-arachidonoylglycerophosphoethanolamine*"
"6","HMDB11572","Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"7","HMDB12108","Metabolite 14","KIRC 1-heptadecanoylglycerophosphocholine :,BRCATang:1-heptadecanoylglycerophosphocholine,PAADHussain1:1-heptadecanoylglycerophosphocholine,PAADHussain2:1-heptadecanoylglycerophosphocholine","1-heptadecanoylglycerophosphocholine"
"8","HMDB11507","Metabolite 18","KIRC 1-linoleoylglycerophosphoethanolamine* :,BRCATang:1-linoleoylglycerophosphoethanolamine*,PRADLODA:1-linoleoylglycerophosphoethanolamine*","1-linoleoylglycerophosphoethanolamine*"
"9","HMDB02820","Metabolite 19","KIRC 1-methylimidazoleacetate :,BRCA:1-methylimidazoleacetate,OV:1-methylimidazoleacetate,PAADHussain1:1-methylimidazoleacetate","1-methylimidazoleacetate"
"10","HMDB10379","Metabolite 20","KIRC 1-myristoylglycerophosphocholine :,BRCATang:1-myristoylglycerophosphocholine,LGG:1-myristoyl-gpc (14:0),OV:1-myristoylglycerophosphocholine,PAADHussain1:1-myristoylglycerophosphocholine,PAADHussain2:1-myristoylglycerophosphocholine,PRADLODA:1-myristoylglycerophosphocholine","1-myristoylglycerophosphocholine"
"11","HMDB11500","Metabolite 21","KIRC 1-myristoylglycerophosphoethanolamine :","1-myristoylglycerophosphoethanolamine"
"12","HMDB11567","Metabolite 22","KIRC 1-oleoylglycerol (1-monoolein) :,BRCATang:1-oleoylglycerol (1-monoolein),LGG:1-oleoylglycerol (18:1),OV:1-oleoylglycerol (1-monoolein),PAADHussain1:1-oleoylglycerol (1-monoolein)","1-oleoylglycerol (1-monoolein)"
"13","HMDB02815","Metabolite 23","KIRC 1-oleoylglycerophosphocholine :,BRCA:1-oleoylglycerophosphocholine,BRCATang:1-oleoylglycerophosphocholine,OV:1-oleoylglycerophosphocholine,PRADLODA:1-oleoylglycerophosphocholine","1-oleoylglycerophosphocholine"
