"","X","ID","Source","FinalName"
"1","C00583","Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,LGG:1,2-propanediol,OV:1,2-propanediol,PAADHussain2:1,2-propanediol","1,2-propanediol"
"2","D00078","Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,OV:1,2-propanediol","1,2-propanediol"
"3","C00184","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,LGG:dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"4","D07841","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"5","C07326","Metabolite 3","KIRC 1,5-anhydroglucitol (1,5-ag) :,BRCA:1,5-anhydroglucitol (1,5-ag),BRCATang:1,5-anhydroglucitol (1,5-ag),LGG:1,5-anhydroglucitol (1,5-ag),OV:1,5-anhydroglucitol (1,5-ag),PAADHussain1:1,5-anhydroglucitol (1,5-ag),PAADHussain2:1,5-anhydroglucitol (1,5-ag),PRAD:1,5-anhydroglucitol (1,5-ag),PRADLODA:1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag)"
"6","C18218","Metabolite 8","KIRC 16-hydroxypalmitate :","16-hydroxypalmitate"
"7","C05208","Metabolite 9","KIRC 1-arachidonoylglycerophosphocholine* :,BRCATang:1-arachidonoylglycerophosphocholine*,LGG:1-arachidonoyl-gpc* (20:4)*,PAADHussain1:1-arachidonoylglycerophosphocholine*","1-arachidonoylglycerophosphocholine*"
"8","C13857","Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"9","C04100","Metabolite 17","KIRC 1-linoleoylglycerophosphocholine :,BRCA:1-linoleoylglycerophosphocholine,BRCATang:1-linoleoylglycerophosphocholine,OV:1-linoleoylglycerophosphocholine,PAADHussain1:1-linoleoylglycerophosphocholine,PAADHussain2:1-linoleoylglycerophosphocholine,PRADLODA:1-linoleoylglycerophosphocholine","1-linoleoylglycerophosphocholine"
"10","C05828","Metabolite 19","KIRC 1-methylimidazoleacetate :,BRCA:1-methylimidazoleacetate,OV:1-methylimidazoleacetate,PAADHussain1:1-methylimidazoleacetate","1-methylimidazoleacetate"
"11","D01947","Metabolite 35","KIRC 1-stearoylglycerol (1-monostearin) :,BRCATang:1-stearoylglycerol (1-monostearin),LGG:1-stearoylglycerol (18:0),OV:1-stearoylglycerol (1-monostearin),PAADHussain1:1-stearoylglycerol (1-monostearin),PAADHussain2:1-stearoylglycerol (1-monostearin),PRADLODA:1-stearoylglycerol (1-monostearin)","1-stearoylglycerol (1-monostearin)"
"12","C00956","Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAAD:aminoadipic acid,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"13","C02261","Metabolite 40","KIRC 2-aminobutyrate :,BRCA:2-aminobutyrate,BRCATang:2-aminobutyrate,LGG:2-aminobutyrate,OV:2-aminobutyrate,PAADHussain1:2-aminobutyrate,PAADHussain2:2-aminobutyrate,PRADLODA:2-aminobutyrate","2-aminobutyrate"
