"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"1,2-propanediol","1030","C00583|D00078","HMDB01881","CHEBI:16997"
"1,3-dihydroxyacetone","670","C00184|D07841","HMDB01882","CHEBI:16016|CHEBI:17567"
"1,5-anhydroglucitol (1,5-ag)","64960","C07326","HMDB02712","CHEBI:16070"
"10-heptadecenoate (17:1n7)","5312435",NA,NA,"CHEBI:75094"
"10-nonadecenoate (19:1n9)","5312513",NA,"HMDB13622",NA
"13-hode + 9-hode",NA,NA,NA,NA
"15-methylpalmitate (isobar with 2-methylpalmitate)",NA,NA,NA,NA
"16-hydroxypalmitate","10466","C18218",NA,"CHEBI:55328"
"1-arachidonoylglycerophosphocholine*",NA,"C05208",NA,NA
"1-arachidonoylglycerophosphoethanolamine*","42607465",NA,"HMDB11517","CHEBI:64395"
"1-arachidonoylglycerophosphoinositol*",NA,NA,NA,NA
"1-arachidonylglycerol","5282281|53480981","C13857","HMDB11572","CHEBI:75572|CHEBI:75612"
"1-docosahexaenoylglycerophosphocholine*",NA,NA,NA,NA
"1-heptadecanoylglycerophosphocholine","24779463",NA,"HMDB12108","CHEBI:74340"
"1-heptadecanoylglycerophosphoethanolamine*",NA,NA,NA,NA
"1-linoleoylglycerol (1-monolinolein)","5283469",NA,NA,"CHEBI:75565|CHEBI:75568"
"1-linoleoylglycerophosphocholine","11988421|5280646","C04100",NA,NA
"1-linoleoylglycerophosphoethanolamine*","52925130",NA,"HMDB11507",NA
"1-methylimidazoleacetate","75810","C05828","HMDB02820","CHEBI:1606"
"1-myristoylglycerophosphocholine","460604",NA,"HMDB10379",NA
"1-myristoylglycerophosphoethanolamine","9547070",NA,"HMDB11500",NA
"1-oleoylglycerol (1-monoolein)","5283468|12178130",NA,"HMDB11567","CHEBI:75342|CHEBI:75757"
"1-oleoylglycerophosphocholine","16081932",NA,"HMDB02815","CHEBI:74342"
"1-oleoylglycerophosphoethanolamine","9547071|58177709",NA,"HMDB11506","CHEBI:74971|CHEBI:75168"
"1-oleoylglycerophosphoinositol*",NA,NA,NA,NA
"1-oleoylglycerophosphoserine","9547099",NA,NA,"CHEBI:52649"
"1-palmitoleoylglycerophosphocholine*",NA,NA,NA,NA
"1-palmitoleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"1-palmitoylglycerol (1-monopalmitin)","14900",NA,NA,"CHEBI:69081|CHEBI:75811"
"1-palmitoylglycerophosphocholine","86554",NA,NA,NA
"1-palmitoylglycerophosphoethanolamine","9547069|58177710",NA,"HMDB11503","CHEBI:73004|CHEBI:73134"
"1-palmitoylglycerophosphoinositol*",NA,NA,NA,NA
"1-palmitoylplasmenylethanolamine*",NA,NA,NA,NA
"1-pentadecanoylglycerophosphocholine*",NA,NA,NA,NA
"1-stearoylglycerol (1-monostearin)","24699","D01947",NA,"CHEBI:75555|CHEBI:75557"
"1-stearoylglycerophosphocholine","497299",NA,"HMDB10384","CHEBI:73858"
"1-stearoylglycerophosphoethanolamine","9547068|46891690",NA,"HMDB11130","CHEBI:75036"
"1-stearoylglycerophosphoinositol",NA,NA,NA,NA
"2-aminoadipate","92136|59066632|59366488|469","C00956","HMDB00510","CHEBI:37023|CHEBI:37024"
"2-aminobutyrate","6971251|439691","C02261","HMDB00650","CHEBI:28797"
"2-arachidonoylglycerophosphocholine*",NA,NA,NA,NA
"2-arachidonoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2'-deoxyadenosine 3'-monophosphate","1467",NA,NA,NA
"2'-deoxycytidine 3'-monophosphate","3274948",NA,NA,NA
"2'-deoxyguanosine","187790","C00330","HMDB00085","CHEBI:17172"
"2'-deoxyinosine","65058","C05512","HMDB00071","CHEBI:28997"
"2-docosahexaenoylglycerophosphocholine*",NA,NA,NA,NA
"2-docosahexaenoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-docosapentaenoylglycerophosphocholine*",NA,NA,NA,NA
"2-docosapentaenoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-eicosatrienoylglycerophosphocholine*",NA,NA,NA,NA
"2-ethylhexanoate","8697",NA,NA,NA
"2-hydroxyacetaminophen sulfate*",NA,NA,NA,NA
"2-hydroxybutyrate (ahb)","440864|11266","C05984","HMDB00008","CHEBI:50613|CHEBI:1148"
"2-hydroxyglutarate","43|439391","C02630|C01087","HMDB00606","CHEBI:17084|CHEBI:32796"
"2-hydroxyhippurate (salicylurate)","10253","C07588","HMDB00840","CHEBI:9008"
"2-hydroxyisobutyrate","11671",NA,"HMDB00729","CHEBI:50129"
"2-hydroxypalmitate","92836",NA,NA,"CHEBI:65101"
"2-isopropylmalate","77|5280523","C02504","HMDB00402","CHEBI:28635|CHEBI:35128"
"2-linoleoylglycerol (2-monolinolein)","5365676",NA,"HMDB11538","CHEBI:75457"
"2-linoleoylglycerophosphocholine*",NA,NA,NA,NA
"2-linoleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-methoxyacetaminophen sulfate*",NA,NA,NA,NA
"2-methylbutyrylcarnitine (c5)","6426901",NA,"HMDB00378","CHEBI:73026"
"2-myristoylglycerophosphocholine*",NA,NA,NA,NA
"2-oleoylglycerol (2-monoolein)","5319879",NA,"HMDB11537","CHEBI:73990"
"2-oleoylglycerophosphocholine*",NA,NA,NA,NA
"2-oleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-oleoylglycerophosphoserine*",NA,NA,NA,NA
"2-palmitoleoylglycerophosphocholine*",NA,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)","123409",NA,"HMDB11533","CHEBI:75455"
"2-palmitoylglycerophosphocholine*",NA,NA,NA,NA
"2-palmitoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-phosphoglycerate","439278","C00631","HMDB03391","CHEBI:17835"
"2-stearoylglycerophosphocholine*","10208382",NA,NA,NA
"2-stearoylglycerophosphoethanolamine*",NA,NA,NA,NA
"3-(4-hydroxyphenyl)lactate","9378","C03672","HMDB00755","CHEBI:17385"
"3-(cystein-s-yl)acetaminophen*","5233914",NA,NA,NA
"3-(n-acetyl-l-cystein-s-yl) acetaminophen*","83967",NA,NA,NA
"3,4-dihydroxyphenethyleneglycol","91528","C05576","HMDB00318","CHEBI:1387"
"3-aminoisobutyrate","64956|25201103","C05145","HMDB03911","CHEBI:27389"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","123979",NA,NA,NA
"3-dehydrocarnitine*","6991982",NA,"HMDB12154","CHEBI:57885"
"3'-dephosphocoenzyme a","444485|439335","C00882","HMDB01373","CHEBI:15468"
"3-hydroxybutyrate (bhba)","92135|441","C01089","HMDB00357|HMDB00011","CHEBI:17066|CHEBI:20067"
"3-hydroxydecanoate","26612",NA,"HMDB02203",NA
"3-hydroxyhippurate","450268",NA,"HMDB06116","CHEBI:70824"
"3-hydroxyoctanoate","26613",NA,"HMDB01954","CHEBI:37098"
"3-indoxyl sulfate","10258",NA,"HMDB00682","CHEBI:43355"
"3-methyl-2-oxovalerate","47|439286","C00671|C03465","HMDB03736|HMDB00491","CHEBI:35932|CHEBI:15614"
"3-methylhistidine","6971061|64969","C01152","HMDB00479","CHEBI:27596"
"3-phosphoglycerate","724","C00197","HMDB00807","CHEBI:17050"
