"","MCCR-00039-01","MCCR-00040-01","MCCR-00041-01","MCCR-00042-01","MCCR-00043-01","MCCR-00044-01","MCCR-00045-01","MCCR-00046-01","MCCR-00047-01","MCCR-00048-01","MCCR-00049-01","MCCR-00050-01","MCCR-00051-01","MCCR-00052-01","MCCR-00053-01","MCCR-00054-01","MCCR-00055-01","MCCR-00056-01","MCCR-00057-01","MCCR-00058-01","MCCR-00059-01","MCCR-00060-01","MCCR-00061-01","MCCR-00062-01","MCCR-00063-01","MCCR-00064-01","MCCR-00065-01","MCCR-00066-01","MCCR-00067-01","MCCR-00068-01","MCCR-00069-01","MCCR-00070-01","MCCR-00071-01","MCCR-00072-01","MCCR-00073-01","MCCR-00074-01","MCCR-00075-01","MCCR-00076-01","MCCR-00078-01","MCCR-00079-01","MCCR-00080-01","MCCR-00081-01","MCCR-00082-01","MCCR-00083-01","MCCR-00084-01","MCCR-00085-01","MCCR-00086-01","MCCR-00087-01","MCCR-00088-01","MCCR-00089-01","MCCR-00090-01","MCCR-00091-01","MCCR-00092-01","MCCR-00093-01","MCCR-00094-01","MCCR-00095-01","MCCR-00096-01","MCCR-00097-01","MCCR-00098-01","MCCR-00099-01","MCCR-00100-01","MCCR-00101-01","MCCR-00102-01","MCCR-00103-01","MCCR-00104-01","MCCR-00105-01","MCCR-00106-01","MCCR-00107-01"
"","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"1,2-propanediol","0.754591","70.662605","1.149948","0.647386","0.970823","1.940402","1.208724","0.705122","0.811871","0.821384","0.880079","0.353035","0.796464","0.897623","0.674276","1.030542","1.216218","0.343009","16.680046","1.515197","0.606449","0.959078","0.974140","1.000000","0.443586","1.077021","0.761463","2.001384","0.343009","6.278276","0.741317","0.596411","5.084198","1.000000","1.336066","0.893803","1.475166","0.473979","3.674078","2.470982","1.472806","1.480762","0.617948","0.804693","1.292067","1.501124","3.700427","4.861660","1.114148","21.296799","0.980815","1.025860","0.343009","1.109560","0.920495","1.209205","0.607226","11.420506","0.870867","0.784959","0.861115","0.877866","6.837523","0.904093","0.343009","0.597275","33.534023","14.578205"
"dihydroxyacetone","1.271282","1.058739","0.658311","1.171487","0.820982","2.903349","3.712660","1.432083","2.302596","1.802255","2.778761","0.661281","3.023981","1.020279","1.377521","1.627898","0.979721","0.816292","0.831190","0.596322","1.369851","1.402779","0.743703","0.691181","1.152748","1.944467","0.942854","1.142910","1.157713","1.293860","0.396545","1.526065","0.669434","1.090085","1.048623","0.215420","0.690262","0.577199","1.590365","0.860112","0.215420","0.601567","0.430356","1.000000","0.909915","0.764129","1.358065","0.646156","0.215420","2.733255","0.215420","0.712338","0.619775","0.609030","0.526963","0.684717","0.215420","0.722104","0.529542","0.397078","3.677192","1.035849","0.237641","1.662405","1.245541","0.491666","1.085126","0.740383"
"1,5-anhydroglucitol (1,5-ag)","0.776014","0.407874","0.448728","1.433033","0.797051","1.548506","0.956073","0.876512","1.833872","0.610582","1.013083","0.703392","0.658494","1.722243","1.803530","1.929650","1.074126","0.338408","0.093856","1.000000","1.307770","0.729439","1.157919","1.680632","2.623212","1.158097","0.980045","1.574049","0.702364","1.565323","1.056874","1.197661","0.864069","1.196096","0.987690","1.943136","1.000000","0.946530","0.709429","0.752069","0.882995","1.427894","1.611550","0.521377","1.711671","2.325412","1.000000","0.708378","1.138240","0.385847","0.964995","0.262933","1.040183","1.324596","0.423278","0.692136","0.346316","1.277661","1.039964","1.251107","1.794172","0.765034","2.154494","0.376880","0.317336","0.891733","0.617989","1.362726"
"10-heptadecenoate (17:1n7)","2.053545","0.952433","1.642515","1.178867","1.492696","0.749396","2.404504","1.520108","0.913439","0.845838","1.341443","1.054114","1.034494","0.728648","0.632464","1.000000","1.438315","1.010998","0.516396","1.000000","3.241529","0.482291","1.225950","0.392722","0.684212","0.619229","0.288845","0.335470","1.555623","0.505124","0.552412","1.089343","0.971076","1.149273","1.430353","2.509290","0.467103","0.661067","2.182652","1.585748","0.490804","1.059021","0.600628","1.058676","0.738935","0.488387","0.458642","1.558183","0.925355","0.678283","0.307421","0.278827","2.831880","0.503760","0.725187","0.917508","0.371251","1.520416","1.000000","3.072776","0.914743","1.551635","1.277767","1.197315","1.062077","1.005224","0.956476","2.049934"
"10-nonadecenoate (19:1n9)","2.501082","0.693846","1.341550","1.110216","0.804058","0.566141","2.607034","1.000000","0.538137","0.800440","1.312646","0.909972","1.047649","0.689559","0.349931","0.815012","0.776048","1.000000","0.749668","0.605487","2.881037","0.600357","1.737984","0.429731","1.133514","0.562913","0.260898","0.578277","1.131266","0.371236","0.693557","1.686193","0.583688","0.732215","1.618166","3.779115","0.882095","0.664903","2.198699","1.633160","0.660527","2.710742","0.864358","1.730714","1.426276","0.664750","0.767870","1.508109","1.159075","0.850802","0.385620","0.368879","4.306451","0.914681","0.945746","1.454226","0.351754","1.833878","1.049953","7.153028","1.323904","1.301484","1.927651","3.155775","1.303636","1.000000","1.275455","4.722226"
"13-hode + 9-hode","0.478311","0.333522","3.949485","2.553296","0.762108","0.546809","0.333522","1.733034","4.324172","2.092877","1.892132","0.333522","3.632406","1.863837","0.772353","1.574064","0.333522","1.721949","0.338938","0.333522","0.947253","0.635415","0.975002","0.333522","1.017535","0.333522","0.746388","0.333522","0.916029","2.451547","0.555327","0.333522","0.333522","1.008293","0.538281","1.000000","0.991707","0.333522","0.828046","0.691912","0.333522","2.839853","0.333522","1.796461","0.965511","1.026314","0.333522","6.777909","2.605729","0.333522","0.460403","0.333522","0.412164","0.333522","0.333522","0.770594","0.333522","1.024998","1.557267","1.315590","1.278370","0.656241","1.613856","0.900315","0.560337","0.897929","0.510951","1.190163"
"13-methylmyristic acid","0.878975","1.092565","1.125491","1.026520","1.086922","1.158768","1.333496","0.765744","0.837890","1.097977","0.963577","0.853289","1.000000","0.953403","0.898730","0.918394","1.124302","0.965798","0.791714","1.017072","1.249241","1.063930","1.190313","0.945055","1.020134","0.847349","0.743145","0.778078","1.387026","0.864549","1.231621","1.195909","0.758816","0.983173","1.257459","1.067876","0.971812","0.900177","1.100211","1.129332","1.016114","1.164846","0.727416","1.003859","1.179532","0.838054","0.897107","0.782576","0.878025","0.614616","0.875704","0.910706","1.000000","0.770513","0.864337","1.092650","0.869728","1.544061","1.195265","0.804371","1.118981","1.210673","1.098096","0.871552","0.887297","1.011600","1.000000","1.047240"
"1-arachidonoyl-gpc* (20:4)*","1.000000","1.124958","1.064086","0.473692","0.716937","0.473692","1.357207","0.545824","0.473692","0.877840","0.473692","0.473692","0.473692","0.473692","0.473692","0.473692","0.969397","1.119214","0.473692","0.473692","1.506615","0.473692","1.829783","0.473692","0.473692","0.473692","0.473692","0.473692","1.030603","0.473692","0.473692","1.761455","0.473692","1.138384","0.473692","0.473692","0.473692","0.473692","0.473692","1.173962","0.473692","0.473692","1.239141","1.248974","0.473692","0.473692","1.740642","0.473692","0.482672","0.473692","0.981536","0.473692","0.473692","0.473692","0.638192","0.853337","0.473692","0.473692","0.785742","0.473692","0.473692","0.473692","0.473692","0.473692","0.935914","0.473692","0.473692","0.742729"
"1-arachidonoyl-gpe* (20:4)*","0.991293","1.251320","1.153413","1.306093","0.904542","0.927514","1.746603","0.829600","1.874782","1.757818","1.149683","0.559265","1.587058","1.173061","1.671684","1.026488","1.968438","1.457277","0.700702","0.621570","2.484881","1.250114","0.897009","0.770523","0.888080","1.326111","0.473746","0.835680","1.948882","1.569170","0.798544","0.771061","1.081975","1.789126","0.946550","1.061530","0.972578","0.980404","1.046929","1.028633","0.556549","1.181079","0.631933","0.705057","1.095119","1.000000","1.230611","0.954877","1.099473","1.000000","1.000000","1.787875","1.713938","0.504185","0.745500","0.763746","0.838221","1.570797","0.911194","0.951251","0.883746","1.090205","1.584495","0.959785","0.823766","0.787662","1.067808","0.906699"
