"","X","ID","Source","FinalName"
"1","1,2-propanediol","Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,LGG:1,2-propanediol,OV:1,2-propanediol,PAADHussain2:1,2-propanediol","1,2-propanediol"
"2","1,3-dihydroxyacetone","Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"3","1,5-anhydroglucitol (1,5-ag)","Metabolite 3","KIRC 1,5-anhydroglucitol (1,5-ag) :,BRCA:1,5-anhydroglucitol (1,5-ag),BRCATang:1,5-anhydroglucitol (1,5-ag),LGG:1,5-anhydroglucitol (1,5-ag),OV:1,5-anhydroglucitol (1,5-ag),PAADHussain1:1,5-anhydroglucitol (1,5-ag),PAADHussain2:1,5-anhydroglucitol (1,5-ag),PRAD:1,5-anhydroglucitol (1,5-ag),PRADLODA:1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag)"
"4","10-heptadecenoate (17:1n7)","Metabolite 4","KIRC 10-heptadecenoate (17:1n7) :,BRCA:10-heptadecenoate (17:1n7),BRCATang:10-heptadecenoate (17:1n7),LGG:10-heptadecenoate (17:1n7),OV:10-heptadecenoate (17:1n7),PAADHussain1:10-heptadecenoate (17:1n7),PAADHussain2:10-heptadecenoate (17:1n7),PRADLODA:10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)"
"5","10-nonadecenoate (19:1n9)","Metabolite 5","KIRC 10-nonadecenoate (19:1n9) :,BRCA:10-nonadecenoate (19:1n9),BRCATang:10-nonadecenoate (19:1n9),LGG:10-nonadecenoate (19:1n9),OV:10-nonadecenoate (19:1n9),PAADHussain1:10-nonadecenoate (19:1n9),PAADHussain2:10-nonadecenoate (19:1n9),PRADLODA:10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)"
"6","13-hode + 9-hode","Metabolite 6","KIRC 13-hode + 9-hode :,BRCATang:13-hode + 9-hode,LGG:13-hode + 9-hode,OV:13-hode + 9-hode,PAADHussain1:13-hode + 9-hode,PAADHussain2:13-hode + 9-hode,PRADLODA:13-hode + 9-hode","13-hode + 9-hode"
"7","15-methylpalmitate (isobar with 2-methylpalmitate)","Metabolite 7","KIRC 15-methylpalmitate (isobar with 2-methylpalmitate) :,BRCATang:15-methylpalmitate (isobar with 2-methylpalmitate),PAADHussain2:15-methylpalmitate (isobar with 2-methylpalmitate)","15-methylpalmitate (isobar with 2-methylpalmitate)"
"8","16-hydroxypalmitate","Metabolite 8","KIRC 16-hydroxypalmitate :","16-hydroxypalmitate"
"9","1-arachidonoylglycerophosphocholine*","Metabolite 9","KIRC 1-arachidonoylglycerophosphocholine* :,BRCATang:1-arachidonoylglycerophosphocholine*,PAADHussain1:1-arachidonoylglycerophosphocholine*","1-arachidonoylglycerophosphocholine*"
"10","1-arachidonoylglycerophosphoethanolamine*","Metabolite 10","KIRC 1-arachidonoylglycerophosphoethanolamine* :,BRCA:1-arachidonoylglycerophosphoethanolamine*,BRCATang:1-arachidonoylglycerophosphoethanolamine*,OV:1-arachidonoylglycerophosphoethanolamine*,PAADHussain1:1-arachidonoylglycerophosphoethanolamine*,PAADHussain2:1-arachidonoylglycerophosphoethanolamine*,PRADLODA:1-arachidonoylglycerophosphoethanolamine*","1-arachidonoylglycerophosphoethanolamine*"
