"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"1,2-dipalmitoylglycerol","99931|644078",NA,"HMDB07098",NA
"1,3-dihydroxyacetone","670","C00184","HMDB01882","CHEBI:16016|CHEBI:17567"
"1,5-anhydroglucitol (1,5-ag)","64960","C07326","HMDB02712","CHEBI:16070"
"1-arachidonoylglycerophosphocholine*",NA,"C05208",NA,NA
"1-arachidonoylglycerophosphoethanolamine*","42607465",NA,"HMDB11517","CHEBI:64395"
"1-heptadecanoylglycerol (1-monoheptadecanoin)","107036",NA,NA,NA
"1-heptadecanoylglycerophosphocholine","24779463",NA,"HMDB12108",NA
"1-linoleoylglycerophosphocholine","11988421|5280646","C04100",NA,NA
"1-methylimidazoleacetate","75810","C05828","HMDB02820","CHEBI:1606"
"1-myristoylglycerol (1-monomyristin)","79050|10957631",NA,"HMDB11561",NA
"1-myristoylglycerophosphocholine","460604",NA,"HMDB10379",NA
"1-oleoylglycerol (1-monoolein)","5283468|12178130",NA,"HMDB11567",NA
"1-oleoylglycerophosphocholine","16081932",NA,NA,NA
"1-oleoylglycerophosphoethanolamine","9547071|58177709",NA,"HMDB11506",NA
"1-oleoylglycerophosphoinositol*",NA,NA,NA,NA
"1-palmitoleoylglycerophosphocholine*",NA,NA,NA,NA
"1-palmitoylglycerophosphocholine","86554",NA,NA,NA
"1-palmitoylglycerophosphoethanolamine","9547069|58177710",NA,"HMDB11503",NA
"1-palmitoylglycerophosphoinositol*",NA,NA,NA,NA
"1-palmitoylplasmenylethanolamine*",NA,NA,NA,NA
"1-pentadecanoylglycerol (1-monopentadecanoin)","190750",NA,NA,NA
"1-pentadecanoylglycerophosphocholine*",NA,NA,NA,NA
"1-stearoylglycerol (1-monostearin)","24699","D01947",NA,NA
"1-stearoylglycerophosphocholine","497299",NA,NA,NA
"1-stearoylglycerophosphoethanolamine","9547068|46891690",NA,"HMDB11130",NA
"1-stearoylglycerophosphoinositol",NA,NA,NA,NA
"10-heptadecenoate (17:1n7)","5312435",NA,NA,NA
"10-nonadecenoate (19:1n9)","5312513",NA,NA,NA
"13-hode + 9-hode",NA,NA,NA,NA
"17-methylstearate","3083779",NA,NA,NA
"2'-deoxycytidine","13711","C00881","HMDB00014","CHEBI:15698"
"2'-deoxycytidine 5'-monophosphate","7058169|13945","C00239","HMDB01202","CHEBI:15918"
"2'-deoxyguanosine","187790","C00330","HMDB00085","CHEBI:17172"
"2'-deoxyinosine","65058","C05512","HMDB00071","CHEBI:28997"
"2'-o-methylguanosine",NA,"C04545",NA,NA
"2-aminoadipate","469|59066632|92136|59366488","C00956","HMDB00510","CHEBI:37023|CHEBI:37024"
"2-aminobutyrate","4|396|916|971|251|439691|6971251","C02261","HMDB00650","CHEBI:28797"
"2-arachidonoylglycerophosphocholine*",NA,NA,NA,NA
"2-arachidonoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-hydroxyacetaminophen sulfate*",NA,NA,NA,NA
"2-hydroxybutyrate (ahb)","440864|11266","C05984","HMDB00008","CHEBI:50613|CHEBI:1148"
"2-hydroxypalmitate","92836",NA,NA,NA
"2-linoleoylglycerol (2-monolinolein)","5365676",NA,"HMDB11538",NA
"2-linoleoylglycerophosphocholine*",NA,NA,NA,NA
"2-methoxyacetaminophen sulfate*",NA,NA,NA,NA
