"","NCIA-01751","NCIA-01752","NCIA-01753","NCIA-01754","NCIA-01755","NCIA-01756","NCIA-01757","NCIA-01758","NCIA-01759","NCIA-01760","NCIA-01761","NCIA-01762","NCIA-01763","NCIA-01764","NCIA-01765","NCIA-01766","NCIA-01767","NCIA-01768","NCIA-01769","NCIA-01770","NCIA-01771","NCIA-01772","NCIA-01773","NCIA-01774","NCIA-01775","NCIA-01776","NCIA-01777","NCIA-01778","NCIA-01779","NCIA-01780","NCIA-01781","NCIA-01782","NCIA-01783","NCIA-01784","NCIA-01785","NCIA-01786","NCIA-01787","NCIA-01788","NCIA-01789","NCIA-01790","NCIA-01791","NCIA-01792","NCIA-01793","NCIA-01794","NCIA-01795","NCIA-01796","NCIA-01797","NCIA-01798","NCIA-01799","NCIA-01800","NCIA-01801","NCIA-01802","NCIA-01803","NCIA-01804","NCIA-01805","NCIA-01806","NCIA-01807","NCIA-01808","NCIA-01809"
"BIOCHEMICAL","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","donor","donor","donor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"1,2-dipalmitoylglycerol","2.854179","0.027153","0.536680","0.027153","1.007565","0.910596","1.926815","4.006820","3.078982","1.307406","1.000000","0.186599","1.696572","0.794291","1.853913","0.027153","0.027153","0.027153","0.027153","0.027153","0.624165","0.075612","0.656342","0.027153","1.136454","0.027153","0.715855","0.916994","0.027153","1.000000","1.264415","0.217842","0.111790","0.027153","5.179044","0.027153","0.027153","0.027153","4.241344","0.444730","0.027153","0.027153","2.392233","4.633017","0.043110","0.027153","2.100509","0.520383","0.027153","0.027153","0.027153","0.311689","2.573405","0.027153","0.027153","0.027153","0.354272","1.053768","0.027153"
"1,3-dihydroxyacetone","1.145536","1.138973","0.390546","0.390546","0.671001","2.240770","0.769540","0.390546","0.390546","1.645069","2.019961","4.931733","0.390546","0.390546","0.390546","0.498427","0.886144","1.949359","0.390546","0.738337","0.795486","1.137479","0.390546","1.040596","0.390546","0.481706","0.974590","0.811965","0.729965","1.814327","0.669051","1.907112","6.732566","2.113497","0.390546","1.439703","0.980386","0.748638","0.390546","0.390546","2.023113","0.832481","0.390546","1.025410","0.445149","4.020758","0.390546","0.390546","0.390546","1.270689","0.390546","0.963171","0.390546","1.019614","0.390546","0.669835","0.390546","0.411670","0.390546"
"1,5-anhydroglucitol (1,5-ag)","0.937115","1.252045","1.004591","0.530176","0.183629","1.255470","1.187711","0.122890","3.294487","0.697215","0.122890","0.122890","0.506620","0.857825","0.995409","0.423469","0.358785","1.062884","2.136053","1.483926","1.740871","1.732629","0.122890","0.122890","0.122890","0.298836","0.544359","1.149321","0.122890","0.122890","0.605523","1.401051","1.317059","1.813667","1.148355","0.613792","0.454149","0.122890","1.452399","1.328786","0.122890","0.441047","0.122890","0.657550","3.072539","2.726866","1.346026","0.122890","0.531578","0.122890","0.122890","1.858776","0.122890","0.894101","0.260105","0.623190","0.227930","0.122890","1.550526"
"1-arachidonoylglycerophosphocholine*","0.160380","1.000000","0.451566","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","2.038358","0.160380","5.031548","0.691723","0.160380","0.893202","0.160380","0.386658","2.427258","1.000000","1.569667","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","0.530203","0.160380","0.160380","0.160380","0.160380","0.160380","0.160380","3.111384","0.160380","0.160380","0.160380","1.391650","0.160380","2.338697","0.160380","0.160380","4.868539","3.685616","0.160380","0.160380","0.160380","0.160380","0.160380","0.753169","0.160380","0.354983","0.324324","0.160380"
"1-arachidonoylglycerophosphoethanolamine*","0.044487","1.226219","0.044487","3.335685","0.044487","0.044487","0.044487","0.044487","0.044487","0.044487","0.044487","0.044487","0.044487","0.044487","4.950553","1.000000","0.044487","1.000000","0.044487","0.767025","0.044487","0.666855","0.044487","0.044487","0.044487","0.177778","0.903963","0.044487","0.044487","0.044487","0.593199","0.709043","3.010428","1.744994","0.044487","3.247034","0.195150","0.044487","0.044487","2.381902","1.176056","1.548021","0.044487","0.044487","0.044487","0.306190","0.044487","0.578241","0.800165","0.896054","1.698823","0.333060","0.044487","1.063607","0.804169","1.738077","1.253618","0.044487","2.575028"
"1-heptadecanoylglycerol (1-monoheptadecanoin)","2.352935","0.316379","0.316379","0.316379","0.316379","0.351118","0.872530","1.127470","3.568588","0.316379","1.340830","0.514683","1.173797","0.420935","1.206065","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.457680","0.426609","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","0.316379","1.721851","0.316379","0.316379","0.316379","1.337210","0.316379","0.316379","0.316379","0.693275","3.300591","0.316379","0.316379","1.835030","0.316379","0.316379","0.316379","0.316379","0.316379","0.566651","0.316379","0.316379","0.316379","0.316379","0.826203","0.316379"
"1-heptadecanoylglycerophosphocholine","0.062904","1.502185","0.767368","0.062904","0.062904","0.062904","1.000000","0.481710","0.229772","0.062904","0.062904","0.141457","0.062904","2.207451","0.062904","2.949353","16.496756","0.062904","10.572445","0.883933","0.062904","1.335843","1.855854","6.530433","0.062904","1.000000","0.560947","0.062904","1.227965","0.167140","0.062904","0.327157","0.481006","0.062904","0.062904","0.062904","0.519230","1.504652","5.040842","0.062904","0.062904","0.062904","0.357744","0.062904","20.825571","0.259842","0.062904","4.362562","9.984215","0.137161","0.062904","0.203425","0.062904","0.062904","1.257746","0.062904","0.062904","0.062904","0.062904"
"1-linoleoylglycerophosphocholine","0.052707","0.982831","0.889850","0.052707","0.052707","0.052707","0.052707","0.366141","0.052707","0.052707","0.052707","0.052707","0.052707","3.776115","0.325514","5.846894","3.592343","0.052707","5.239058","0.819039","0.191340","1.804465","1.000000","7.132321","0.052707","1.017169","1.938480","0.052707","0.052707","0.143102","0.052707","0.620227","1.389940","0.052707","0.052707","0.052707","0.281230","0.441486","5.871169","0.052707","0.052707","0.052707","0.510666","0.052707","1.573353","0.052707","0.052707","8.967603","9.834734","0.052707","0.052707","0.510567","0.052707","0.052707","1.693582","0.052707","0.229890","0.052707","0.052707"
"1-methylimidazoleacetate","0.553073","0.553073","0.666814","4.686690","0.553073","0.553073","0.553073","0.553073","0.553073","1.322740","0.553073","0.912539","0.553073","0.573832","0.553073","0.553073","0.553073","0.715135","0.553073","0.553073","1.553911","2.140640","0.553073","0.621995","6.281896","6.911367","0.553073","0.553073","1.149168","0.968802","0.553073","0.553073","0.553073","0.966884","0.553073","1.008606","1.318314","1.342587","0.553073","0.991394","0.779071","0.553073","0.553073","0.553073","1.031198","0.839238","0.733447","0.553073","0.553073","0.553073","0.553073","0.858787","1.519590","0.553073","1.608081","0.553073","0.553073","0.807007","2.799631"
