"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"1-methyladenosine",NA,NA,NA,NA
"2-aminooctanoic acid","25200752|69522",NA,"HMDB00991",NA
"2-dehydro-d-gluconate","6602434","C01218",NA,"CHEBI:2229"
"3-phosphoglycerate","724","C00597","HMDB00807","CHEBI:17050"
"4-aminobutyrate","119|6992099|6992099|119|119|6992099","C00334|D00058|C00334|D00058|C00334","HMDB00112","CHEBI:16865|CHEBI:59888"
"6-phospho-d-gluconate","91493","C00345","HMDB01316","CHEBI:48928"
"a-ketoglutarate","51","C00026","HMDB00208","CHEBI:30915"
"acetyl-coa","6302","C00024",NA,NA
"acetylcarnitine dl","439756","C02571",NA,"CHEBI:15960"
"acetyllysine","6991978|92832","C02727","HMDB00206","CHEBI:17752|CHEBI:58260"
"aconitate","643757","C00417","HMDB00072","CHEBI:32805"
"adenosine","60961|32326|60961","C00212|D00045|C07195|D00406|C00212","HMDB00050","CHEBI:16335"
"adenosine 5'-phosphosulfate",NA,NA,NA,NA
"adp","6022","C00008","HMDB01341","CHEBI:16761"
"adp-d-glucose","16500","C00498","HMDB06557","CHEBI:15751"
"alanine","7311724|5950|5950|7311724","C00041|D00012|C00041","HMDB00161","CHEBI:16977|CHEBI:57972"
"allantoin","439714","C02350",NA,"CHEBI:15678"
"aminoadipic acid","59066632|92136","C00956",NA,"CHEBI:37023"
"anthranilate","227|3734162","C00108","HMDB01123","CHEBI:30754"
"arginine","6322|28782|28782|6322","C00062|D02982|C00062","HMDB00517","CHEBI:16467"
"ascorbic acid",NA,"C00072",NA,"CHEBI:29073"
"asparagine","6992089|6267|6267|6992089","C00152","HMDB00168","CHEBI:17196|CHEBI:58048"
"aspartate","44367445|5960|44367445|5960","C00049|D00013|C00049","HMDB00191","CHEBI:17053"
"atp","5957","C00002|D08646|C00002","HMDB00538","CHEBI:15422"
"carnitine","10917","C00318|D02176",NA,NA
"cdp","6132","C00112","HMDB01546","CHEBI:17239"
"cdp-choline","11583971|13804","C00307","HMDB01413","CHEBI:16436"
"cdp-ethanolamine","123727","C00570","HMDB01564","CHEBI:16732"
"cholesteryl sulfate","65076","C18043","HMDB00653","CHEBI:41321"
"choline","305","C00114|D07690|C00114","HMDB00097","CHEBI:15354"
"citrate","311|19782904|19782904|311","C00158|D00037|C00158","HMDB00094","CHEBI:30769"
"citrulline","9750|6992098|6992098|9750","C00327|D07706|C00327","HMDB00904","CHEBI:16349|CHEBI:57743"
"cmp","7058165|6131|6131|6131","C00055","HMDB00095","CHEBI:17361"
"creatine","59098743|586|586","C00300","HMDB00064","CHEBI:16919|CHEBI:57947"
"creatine phosphate","5359254|587|9548602","C02305","HMDB01511","CHEBI:17287"
"cyclic-amp","6076","C00575","HMDB00058","CHEBI:17489"
"cystathionine","25243997|439258|25243997|439258","C02291","HMDB00099","CHEBI:17482|CHEBI:58161"
"cysteine","5862|6419722|5862|6419722","C00097|D00026|C00097","HMDB00574","CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:61894"
"cytidine","6175","C00475|D07769|C00475","HMDB00089","CHEBI:17562"
"cytidine_act",NA,NA,NA,NA
"d-gluconate","10690","C00257","HMDB00625","CHEBI:33198"
"d-glucono-delta-lactone-6-phosphate","439452","C01236","HMDB01127","CHEBI:16938"
"d-glucuronic acid-potential",NA,NA,NA,NA
"d-glyceraldehdye-3-phosphate",NA,NA,NA,NA
"d-mannose/l-sorbose-potential-1",NA,NA,NA,NA
"d-sedoheptulose-1/7-phosphate",NA,NA,NA,NA
"dgdp",NA,NA,NA,NA
"dgtp","65103","C00286","HMDB01440","CHEBI:16497"
"dihydroxyacetone phosphate","668","C00111","HMDB01473","CHEBI:16108|CHEBI:17197"
"dimethylglycine","6971056|673|673|6971056","C01026","HMDB00092","CHEBI:17724|CHEBI:58251"
"dtmp","9700","C00364","HMDB01227","CHEBI:17013"
"fad","643975","C00016|D00005|C00016|D00005|C00016","HMDB01248","CHEBI:16238"
"fructose-1,6-bisphosphate","172313","C00354",NA,"CHEBI:37736"
"fructose-6-phosphate","440641|69507|440641","C05345","HMDB00124|HMDB03971|HMDB03971","CHEBI:16084"
"fumarate","444972|21883788|21883788|444972","C00122|D02308|C00122","HMDB00134","CHEBI:18012|CHEBI:22958"
"gdp","8977","C00035","HMDB01201","CHEBI:17552"
"glucose-1-phosphate","65533","C00103",NA,"CHEBI:29042"
"glucose-6-phosphate","5958","C00092","HMDB01401","CHEBI:4170"
"glutamate","44272391|33032|23327","C00025|D00007|C00217","HMDB03339|HMDB00148",NA
"glutamine","6992086|5961|5961|6992086","C00064|D00015|C00064","HMDB00641","CHEBI:18050|CHEBI:58359"
"glutathione","124886|25246407","C00051|C02471","HMDB00125","CHEBI:16856|CHEBI:60836"
"glutathione disulfide","11215652|65359","C00127",NA,"CHEBI:17858"
"glycerate","439194","C00258","HMDB00139","CHEBI:32398"
"glycerophosphocholine","439285|58381695","C00670",NA,"CHEBI:16870"
"glycine","750|5257127|5257127|750","C00037|D00011|C00037","HMDB00123","CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933"
"glycine betaine","247","C00719","HMDB00043","CHEBI:17750"
"gmp","6804","C00144","HMDB01397","CHEBI:17345"
"guanidoacetic acid","3946848|4546993|763","C00581","HMDB00128","CHEBI:16344|CHEBI:57742"
"guanine","764","C00242","HMDB00132","CHEBI:16235"
"guanosine","6802","C00387","HMDB00133","CHEBI:16750"
"hippuric acid","464","C01586","HMDB00714","CHEBI:18089"
"histidine","6274|6971009|6274|6971009","C00135|D00032|C00135","HMDB00177","CHEBI:15971|CHEBI:57595"
"homocysteine","6971015|91552|49791978|778|49791978|778","C00155|C05330|C05330","HMDB00742","CHEBI:17230|CHEBI:58065"
"hydroxyproline","6971053|5810|5810|6971053","C01157","HMDB00725","CHEBI:18095|CHEBI:58375"
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"idp","6831","C00104",NA,"CHEBI:17808"
"imp","8582","C00130","HMDB00175","CHEBI:17202"
"indole","798","C00463","HMDB00738","CHEBI:16881"
"inosine","6021","C00294|D00054|C00294","HMDB00195","CHEBI:17596"
"isocitrate","1198|5318532","C00311|C00451","HMDB00193|HMDB01874",NA
"kynurenine","161166|6971029|161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lactate","107689","C00186","HMDB00190","CHEBI:422"
"leucine/isoleucine",NA,NA,NA,NA
"lysine","5962","C00047|D02304|C00047","HMDB00182","CHEBI:18019"
"malate","222656","C00149","HMDB00156","CHEBI:30797"
"methionine","6137|6992087|6137|6992087","C00073|D00019|C00073","HMDB00696","CHEBI:16643|CHEBI:57844"
"methylcysteine","24417|7058174",NA,"HMDB02108",NA
"methylnicotinamide","457","C02918","HMDB00699","CHEBI:16797"
"n-acetyl-glucosamine-1-phosphate","440364","C04501",NA,"CHEBI:16446"
"n-acetyl-glutamate","70914","C00624",NA,"CHEBI:17533"
"n-acetyl-l-alanine","88064",NA,"HMDB00766","CHEBI:40992"
"n-acetyl-l-ornithine","439232|6992102","C00437","HMDB03357","CHEBI:16543|CHEBI:57805"
"nad+","5893","C00003|D00002|C00003|D00002|C00003","HMDB00902","CHEBI:15846"
"nadh","439153|928|439153|928|439153|24720907|928","C00004","HMDB01487","CHEBI:16908"
"nadp+","5886|21488","C00006","HMDB00217","CHEBI:18009"
