"","22210-0003Normal","22210-0003Tumor","22210-0002Normal","22210-0002Tumor","22210-0007Normal","22210-0007Tumor","22210-0008Normal","22210-0008Tumor","22210-0012Normal","22210-0012Tumor","22210-0011Normal","22210-0011Tumor","22210-0013Normal","22210-0013Tumor","22210-0014Normal","22210-0014Tumor","22210-0015Normal","22210-0015Tumor","22210-0016Normal","22210-0016Tumor","22210-0021Normal","22210-0021Tumor","22210-0020Normal","22210-0020Tumor","22210-0022Normal","22210-0022Tumor","22210-0023Normal","22210-0023Tumor","22210-0024Normal","22210-0024Tumor","22210-0028Normal","22210-0028Tumor","22210-0029Normal","22210-0029Tumor","22210-0030Normal","22210-0030Tumor","22210-0034Normal","22210-0034Tumor","22210-0035Normal","22210-0035Tumor","22210-0038Normal","22210-0038Tumor","22210-0039Normal","22210-0039Tumor","22210-0040Normal","22210-0040Tumor","22210-0042Normal","22210-0042Tumor","22210-0044Normal","22210-0044Tumor","22210-0047Normal","22210-0047Tumor","22210-0054Normal","22210-0054Tumor","22210-0056Normal","22210-0056Tumor","22210-0057Normal","22210-0057Tumor","22210-0061Normal","22210-0061Tumor","22210-0062Normal","22210-0062Tumor","22210-0063Normal","22210-0063Tumor","22210-0064Normal","22210-0064Tumor","22210-0065Normal","22210-0065Tumor","22210-0066Normal","22210-0066Tumor","22210-0067Normal","22210-0067Tumor","22210-0068Normal","22210-0068Tumor","22210-0072Normal","22210-0072Tumor","22210-0074Normal","22210-0074Tumor","22210-0075Normal","22210-0075Tumor","22210-0077Normal","22210-0077Tumor","22210-0078Normal","22210-0078Tumor","22210-0080Normal","22210-0080Tumor","22210-0081Normal","22210-0081Tumor","22210-0082Normal","22210-0082Tumor","22210-0085Normal","22210-0085Tumor","22210-0086Normal","22210-0086Tumor","22210-0090Normal","22210-0090Tumor","22210-0091Normal","22210-0091Tumor"
"PAADtissue","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor","normal","tumor"
"1-methyladenosine","0.528363518607241","0.406235320433924","0.380721603343946","0.589717581789456","0.385015183388407","0.715743890635906","0.0365433893395491","0.712509819643679","0.964149516922764","1.84891679883895","0.666012151151499","1.89724791163815","1.38652706610446","1.68223481213894","4.11866275769186","4.40683965618839","6.41111939659259","4.92789211688235","0.335735858752118","0.334348520433629","0.141962243673956","0.122350941150334","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0395237430864489","0.0365433893395491","0.114828352145675","0.0625738755109393","1.56209183384732","1.58060281327513","1.58661333845153","1.9723773278405","0.523054645690633","2.39571046964534","1.01275855924963","1.09580160838276","2.72675936663615","1.64030289206839","5.5880982145618","8.02309126373526","3.69210998409443","4.95438494147951","2.18315744228291","2.17011093362615","1.0009903232126","1.4969348393105","1.37113189086068","0.808151509437054","1.69294990136568","1.43925413565226","1.17025633331651","1.4387841584868","0.0833290848491995","1.99897809198777","2.03303806004145","1.86172528869306","1.93838723681329","1.65387888080955","2.0936150906587","1.81545231544547","1.72926795354759","2.09625016347869","0.532781888804454","2.19210810569719","0.740875285779678","1.19892582107064","1.5915033455364","0.617885513303744","1.32529402412163","1.24350837706424","0.781463830790061","0.449439035887211","2.11791577711154","0.666783414574094","1.01364530790706","0.79176230622466","1.24487529508686","1.80599089648635","0.76374855728128","1.05974601772772","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491","0.0365433893395491"
"2-aminooctanoic acid","0.821590449559797","0.527442521254289","1.25153675086648","1.66429594727044","1.07867387020301","0.524877216961431","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.432780669538686","1.79146310649342","1.27204906536314","1.54426846374864","1.0667866760171","1.37534647093636","0.0938137735755112","0.0938137735755112","1.30766425346056","2.06454368178882","0.814458349658273","0.847084265528654","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","1.14313669775912","1.06312924796267","1.19604619006498","2.31446635777194","0.361133935199649","0.957713999282184","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","2.46733517915099","2.38843082199437","2.6644047215415","6.381002455105","1.58529135085856","1.77412137725587","2.6857172455916","2.86145519742748","0.457847864167874","0.759717247000379","0.36736573081448","0.344562300209719","0.323610288202498","0.0938137735755112","0.625210683542217","1.15821956283793","0.213036375388892","0.329860615440442","0.401796411491644","0.377156633984929","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.0938137735755112","0.422617281379583","0.550020752602951","2.28171702132575","3.03623812550026","1.62535423052805","1.3588372659389","0.676077920648547","2.28626236935248","1.62256994443749","0.572480593705775","1.0864076679611","0.953865622200726"
"2-dehydro-d-gluconate","0.88379826412386","1.62054528846096","1.14352530079017","1.15765134085307","1.2176283584692","0.886109631162775","1.22318005286088","0.725724904768524","1.37493292925671","0.716048154533114","1.09891641651242","1.28796980697274","2.45276818457719","1.5734430248704","0.599563949153361","1.78166096558885","1.96133566721442","1.58111157917796","0.442457773252138","1.06949794149989","1.28140985752147","1.49214123722686","0.902089845787987","1.3185141944467","1.37985646563751","1.0963946868006","0.28767190411293","0.960410232386486","1.26101156588819","0.56711981824812","1.0091451782249","2.61122321026672","0.190137487296521","0.639855792294541","0.0537420934503772","0.0537420934503772","0.804590534957819","1.25364706329101","1.65976549450781","2.74808194634918","3.69455899011775","3.17413805680582","0.445979940256737","0.976129053871994","0.361530637823427","0.879685647820858","1.30698062370613","0.581489128907791","0.565432781258899","0.985900073025271","0.992217091228705","0.740397025862721","1.02448501094981","0.463878267810891","1.59400354673698","5.00969551146872","1.25444067835967","1.64134456346466","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.0537420934503772","0.101511320243715","0.597605728076574","0.565558825363639","0.579552542150695","0.436476737977102","0.719162312641814","0.336658828104217","3.29832947543229","0.6236788469992","5.23058938531727","0.3548545693745","0.564281610754765","1.27447909098488","4.79180032841446","14.75162452672","2.79634425787661","2.25447326489478","0.517975473993614","0.405707516257599","0.0537420934503772","1.1106850318883","0.889722795725714","0.965957798104465","0.820390316079359","0.334463480093178","0.872153721671104","1.35689075469886","1.27139920232653"
"3-phosphoglycerate","1.97427230885377","2.83829723113994","1.71575676185227","1.93428194834849","1.65455536046576","1.99047427323541","0.262709864118066","0.260640146338205","1.26451385317708","1.33870236117601","1.69879632791515","3.37122728884297","0.712168015283414","3.02203978806966","1.98571558739841","2.49469575243325","3.81093640796398","1.95356446012094","0.280475696754213","0.92209786255453","0.57648307142603","0.742917737543699","2.15519997055154","1.78260421970798","0.345839487852634","2.07635943044578","0.671813607505901","1.93339388570837","1.90987820225915","1.59795533825262","2.24977433346393","4.10807550091889","0.0907221622337321","0.0907221622337321","0.669390580208015","0.145661291699119","0.0907221622337321","0.0907221622337321","0.0907221622337321","0.0907221622337321","1.05590908439753","0.919802273064549","0.76236476828998","1.50180636890819","0.0907221622337321","0.704006218995995","0.0907221622337321","0.494580629751125","0.170344589374084","0.349003499791136","1.84331167279634","1.0295879519383","2.25864053268664","1.9257871640908","2.28649013089601","3.79426872791439","2.79580473380728","3.35926693672186","0.535152933394993","1.30503915407317","1.21349672707672","1.41610835573396","1.00726420715195","0.863697077330879","0.869794369833197","0.857200582979544","0.56686362223968","1.61898782025754","0.542671812513163","1.90515083368783","0.578883557972668","0.932221354599196","0.604028571324966","0.378698599740949","2.10666997221947","1.38234252497535","0.546385197909398","0.70501737560207","0.212416199010419","0.308193701571774","1.81101147979976","0.400975578713839","0.153739458430939","0.45366256391671","0.896143578438419","0.486725168518483","1.31565308313181","0.86233464778811","0.955222646196801","0.4165535336743","3.02641099616672","2.839422093237","0.573798966298601","2.27453339906068","0.409267325623197","2.04189926925256","0.187660981397528","0.378233403384339"
"4-aminobutyrate","0.478249471830399","0.542440485628518","0.48804924465086","1.15330135863251","1.06165198554596","1.12563863072366","0.967991192992873","1.080899283145","0.89429193496684","1.67786607347998","1.41716093190371","2.18888816543697","0.856348941791969","0.431010298382567","0.900195687848379","1.01063049763285","2.79100328780238","1.82746053673113","1.0142664352689","2.71777570216619","0.541343171861783","2.08247779466108","0.846238199819398","1.12007886722408","0.834817524904622","1.42517728572839","1.13357585374097","0.868282635406611","1.35591644669471","1.22196333825841","0.593644762922328","0.804561206011449","1.38518836234352","1.54795223920669","1.06399919748836","1.38288307572218","1.9071961284649","1.43199741967162","0.844259250699849","2.5156905361623","1.17516558877749","1.16176894724633","1.57353572876569","1.39613720686456","1.22325762005636","1.27639226017528","0.995218742462935","1.83117973130212","1.62629288025616","1.70286647890869","0.826484144479521","1.60507301995844","1.58046261613439","2.41269086847608","1.59398881070155","1.35141786238421","1.71173487234259","1.47504075109299","0.113882264471348","0.244481917556322","0.122385030119518","0.110385300469985","0.184894995222041","0.100238991231255","0.150652940742576","0.119129366835256","0.225923516788076","0.261203073777642","0.197736980065699","0.115960542666952","1.36074842923048","1.40429716464098","2.54770471920754","2.7144969545898","1.7783269844392","1.39436851371885","1.49209936732056","0.872640457898197","1.31941798010577","1.79201944835263","2.52282676037686","1.85344684538427","1.61488588859323","1.37167624945507","1.08139539530586","1.29615141946118","2.23716650410773","1.21633947708739","0.789995255068378","1.22239656886247","2.42224562187271","1.12405928382014","1.25324678193664","1.76944253796387","1.66147574575235","1.55739095496268","1.01834198381724","2.05277063990363"
"6-phospho-d-gluconate","6.23516657823264","3.713200055134","0.889901786705431","0.98595580654032","2.60622478432304","3.73186670950886","0.169064312167185","0.426698478449327","1.53147687819566","1.22487270473393","0.0842484295138032","1.42227772627245","0.371400365175144","1.77497577617668","1.79854826527165","1.05284042451938","3.36495792925523","4.85801226114931","0.503173384750605","0.36241905516588","0.270172151752938","0.814848848168374","1.72457643985003","1.77407607492905","1.06237764314632","1.51064212288572","2.59393356353095","1.92051654812504","2.25977040298788","1.06116308059774","2.44515996935699","3.15464331847348","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.0842484295138032","0.54312960402782","0.674506997998474","1.40696195611155","1.39838663263301","1.11570723451741","0.0842484295138032","0.0842484295138032","3.32085470497976","0.405509499823886","0.859659367099729","1.85991122702723","1.77397509616521","6.44369453752227","3.71070829238377","3.24773243423991","9.14963197345836","2.455052095774","3.10402260033288","0.435993065490193","0.222422091800504","0.939977770328025","0.653504723318887","0.842937205792621","0.29065802038545","1.37972916704694","0.37184331386163","0.355067793119908","0.263566125877505","0.0842484295138032","0.690438496195623","0.429636310933154","0.312422538147398","0.363446073623364","0.240825672467463","0.882170890138882","0.333859569485306","0.691026211636312","0.375516230962096","0.365254989107125","0.517256987984303","0.78781795521255","0.343596396769975","1.66645490625172","1.54199359358577","0.116395324015545","0.347600492847391","0.67385438959553","1.35900476608088","0.715810423559403","0.43174056436645","1.69687692315975","8.90210379413426","0.0842484295138032","1.55326057838684","3.50643704324989","0.781246255890689","0.543197271762471","1.5582278750817"
"a-ketoglutarate","0.38014527244997","0.489237313070192","0.583188343361883","0.839715315684376","0.750409503928915","0.680190536894768","0.95490285378794","1.00922605640241","1.56636130986936","0.528572004670056","4.26335473557198","1.58866583394697","1.2933540354278","0.691954209935413","0.834529317669977","2.03049424956194","0.72827351890327","0.219785895725202","0.349491455115416","0.587843092963137","0.412547307772692","0.0985079147014204","0.902721854974454","1.08431904579447","1.33642946571131","1.4935464475738","0.893299721765871","0.271315879884435","0.999420365408513","0.925875220060964","6.99692937366215","13.4684650428958","0.0985079147014204","0.0985079147014204","0.81134607314231","1.28799375912387","0.836341276028291","0.104129433393454","1.12029701927592","1.17671430621746","2.19898146300551","0.800994077616949","1.12900108955468","1.26320837366129","0.566674114933013","0.407646792677476","1.30313945286971","0.799407028219499","0.799113027552037","1.1810050929446","2.73876348251372","1.83404578471024","0.0985079147014204","0.0985079147014204","0.0985079147014204","0.0985079147014204","0.0985079147014204","0.0985079147014204","6.87994670433298","3.75260558881285","2.68233448482006","3.59951603148202","2.15042332023512","3.0303149505334","2.07861378353404","2.66232837207825","2.45186894753761","2.44423789039143","7.82029430386347","3.8334364789349","0.369267288668092","0.702852472923641","1.37284776900184","1.9036342128275","0.855638913937009","0.54979364625081","0.470625293787884","10.7619223804388","0.685856842100709","0.444103506092528","1.30634043819424","1.63518947645011","0.543572018913669","0.606333765014614","0.719248916322505","0.596070811827502","0.521370784072172","0.261662896574086","0.352982401049247","0.170556877290606","0.377171120609848","0.229809439723383","0.737959201717007","0.516608304844553","0.236477521954143","0.551632355680781","0.555602850636792","0.436197196463845"
"acetyl-coa","1.00655236224405","0.311372596308012","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.680380955314153","0.127072412468595","0.352822085477857","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","1.82513296099332","0.250362316875657","1.4357588687037","0.921615695052289","2.86601129301874","2.96273743824554","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","0.127072412468595","1.24544781399019","0.188895593097731","0.127072412468595","0.330719142540341","1.36196531152215","0.209752865438357","0.164262103623384","0.127072412468595","0.150782580058385","0.599863150578688","0.127072412468595","0.127072412468595","0.127072412468595","2.78563464588139","0.401906944953402","0.144128987927841","4.92898942481816","11.4431055226054","9.63759795016872","14.1467916419424","3.64774428471847","2.60347348154007","0.127072412468595","0.658167856418777","3.6940191936545","1.58457513139177","1.04383739580265","1.30181170127844"
"acetylcarnitine dl","2.07295864265259","1.8962449357357","1.83670843719309","4.75520904804077","7.49124897709222","2.61871689531265","1.16918827369165","1.17187813435952","3.30653101109561","4.92202008251114","3.49168249774945","4.34172172162686","5.12502163965519","5.17819945196325","5.33516320572649","6.66578611984139","5.72230262236436","6.37859477489252","3.40630825690673","3.7760298397032","2.0705204425264","1.98699697949907","0.298565263922332","0.314472025555102","0.194671524559529","0.298705273047976","0.272885042853685","0.202271236166595","0.376708075103774","0.263159780132423","0.670781403539059","0.600182143495485","1.0072990325308","1.01674176212414","0.797278697365452","0.913153005855695","2.71875151259184","1.21455348753606","2.9448291093386","4.14432338841677","0.202266069640746","0.426348430527984","0.713778937275588","0.520100859537951","1.00185763309095","0.53760657481753","0.846866886243771","1.99342337556386","1.15416028435297","1.13364435743715","0.864739128222279","0.418153300507725","4.4743648194042","1.99775672893856","1.34048584313031","1.46975882457135","1.7072462566224","1.73102653940961","0.152466279603078","0.406786623537616","0.671355693354928","0.82811610103821","0.75957056771968","0.347978731597735","0.685170375014195","1.26667826146552","0.612060778669776","0.52830301788636","0.454545128687609","0.811498681028703","0.566865337180564","0.536881158521543","0.472246617022938","0.324541102380368","0.921312926849902","0.390820617849109","0.402933655442659","0.0827988392344716","0.467563531354802","0.468939079892224","0.132984796056305","1.13882883767707","0.805531910342297","0.741165737589129","0.513834564970535","0.560072829330075","1.01703876276538","0.763309466904267","1.27180377288925","1.12529555133934","0.980120858882968","1.46643979738191","1.32372397456642","2.66180730450724","1.35480214302459","0.76911343409669","1.33396813728063","0.887035354579704"
