"","cp2","cp7","cp19","cp26","cp29","cp32","cp35","cp58","cp5","cp17","cp21","cp27","cp30","cp33","cp55","cp59","cp73","cp6","cp18","cp22","cp31","cp34","cp57","cp72","cp28","cp14","cp36","cp45","cp56","cp65","cp71","cp79","cp12","cp15","cp40","cp50","cp60","cp80","cp89","cp10","cp48","cp61","cp64","cp67","cp75","cp84","cp23","cp39","cp3","cp9","cp24","cp4","cp13","cp38","cp87","cp49","cp52","cp62","cp68","cp76","cp82","cp85","cp88","cp8","cp47","cp53","cp63","cp66","cp69","cp83","cp86","cp16","cp25","cp41","cp51","cp54","cp70","cp78","cp81","cp37","cp43","cp77","cp44","cp11","cp42"
"","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"1-arachidonoylglycerophosphoethanolamine*","0.910570317","1.134238816","1.247343909","0.672432283","1.022300298","1.429387048","0.899182185","1.908897432","2.065066855","0.97560277","1.195764937","0.892310507","1.707138169","1.516252112","1.47899","1.230224877","0.8092103","2.556148431","0.481432715","1.163351108","1.73303167","0.718778911","0.903740202","1.970970016","0.858941911","0.86594387","0.783148333","0.610381706","1.157607066","0.869794705","0.604676813","1.069127623","1.267978579","1.230224877","1.109875982","1.069127623","0.614559916","1.390624521","0.884922122","0.614559916","1.908897432","1.803750127","1.208674935","1.372041211","1.878442811","1.141185792","0.570609257","1.680070961","0.610381706","1.109875982","0.97560277","1.122421979","1.080521918","2.501525867","0.619583466","0.486197643","1.282155354","1.063722373","0.834173818","1.05347607","13.7480964","0.558279342","1.216754948","1.830207757","0.984980617","0.730745872","0.995110181","1.163351108","0.69440178","1.230224877","1.256947636","1.152254428","0.844913497","0.506697543","1.098770737","1.152254428","0.404158968","0.8092103","1.128662724","0.685652749","0.715299125","0.698522085","0.751035112","1.189167506","0.594233773"
"1-arachidonoylglycerophosphoinositol*","0.766876681","1.754512808","0.774867859","0.851338236","1.087341853","0.899182185","0.486197643","0.722855136","1.058424545","0.8092103","1.230224877","1.282155354","0.722855136","1.087341853","3.874368584","0.88885539","0.667402791","3.076642129","1.09193874","0.837760473","0.941542973","0.751035112","0.672432283","1.080521918","0.946536727","0.702740558","0.738936494","0.930021087","1.23967318","1.202023538","0.970456967","0.604676813","1.247343909","0.990522559","0.990522559","1.116956904","0.874100965","0.884922122","0.75488007","0.839525163","2.255543259","1.282155354","1.087341853","1.182504686","1.47899","0.895625347","1.032528194","1.027198046","1.080521918","1.23967318","1.09193874","1.256947636","0.907338792","1.003391003","1.058424545","0.681444988","0.80191678","1.038921162","0.722855136","1.012919742","2.397366827","1.038921162","1.202023538","1.448826162","3.364703363","1.146905126","0.707620093","1.069127623","1.405101791","0.702740558","1.73303167","0.779587514","0.783148333","1.462942838","0.646874023","0.990522559","0.97560277","0.690220885","1.290534719","0.79071797","0.636907533","0.813715974","1.23967318","0.922546536","0.933959296"
"1-arachidonylglycerol","1.462942838","1.341813135","0.930021087","0.475425973","1.558076554","0.558279342","0.707620093","1.043201055","1.405101791","0.766876681","0.834173818","0.656920806","0.652096715","0.410384636","0.783148333","0.531433206","0.527236188","0.8484615","0.470521606","0.895625347","0.738936494","0.558279342","0.570609257","1.098770737","0.75488007","0.930021087","0.899182185","0.481432715","0.747036889","0.614559916","0.747036889","1.134238816","0.531433206","0.633267321","0.747036889","0.335322216","0.385137977","0.881215537","0.594233773","0.43366653","0.722855136","0.496948717","0.779587514","0.984980617","0.734088935","2.095130951","0.5848787","0.7595317","1.429387048","0.656920806","0.501945238","0.690220885","0.8484615","1.128662724","1.267978579","0.570609257","0.450191388","0.819598216","0.517574962","1.529812126","7.126671438","0.677203554","1.803750127","0.747036889","0.636907533","0.628359773","0.496948717","0.422395571","0.341259234","1.878442811","1.853970478","1.23967318","0.702740558","0.43366653","0.496948717","0.445164555","0.39727062","2.038585704","0.536673047","0.470521606","0.427881695","0.501945238","0.481432715","0.35385246","0.821018435"
"1-eicosadienoylglycerophosphocholine*","2.13148688","0.965858865","0.147757463","0.086037426","0.197157784","3.874368584","0.156465537","0.16343495","0.184441421","0.279720806","0.310754543","0.133634275","0.147757463","0.210630698","0.303862104","0.184441421","0.190646564","1.038921162","0.147757463","0.261296876","2.789750019","0.190646564","0.190646564","0.177395935","0.177395935","0.133634275","0.197157784","0.184441421","0.133634275","0.197157784","0.226857427","7.126671438","0.139993281","0.177395935","0.210630698","0.156465537","0.197157784","1.429387048","0.184441421","0.210630698","0.231766423","1.015342615","0.221361447","0.197157784","0.347706156","3.52870641","0.210630698","1.032528194","1.152254428","2.866690393","0.216264163","0.711545436","0.249623257","0.16343495","1.063722373","0.707620093","0.170356755","0.274471734","0.16343495","4.650852022","0.681444988","2.501525867","0.204492145","0.266944413","0.297653682","0.184441421","0.177395935","1.803750127","0.347706156","4.650852022","0.685652749","0.16343495","0.184441421","2.967279119","0.190646564","0.285482572","0.147757463","0.210630698","4.258539203","0.231766423","0.122802557","1.058424545","0.957045537","0.122802557","0.71342228"
"1-heptadecanoylglycerophosphoethanolamine*","0.589738164","1.641592154","0.574689907","1.908897432","0.39727062","1.341813135","2.556148431","0.231766423","0.9996059","0.290821319","0.335322216","1.022300298","0.43366653","0.341259234","0.633267321","0.854814804","0.818177998","0.858941911","0.427881695","0.285482572","0.774867859","0.899182185","0.960635742","0.730745872","2.065066855","1.830207757","0.797631062","1.048623943","1.352843309","0.734088935","1.323169871","0.79071797","0.8092103","0.359405854","0.698522085","0.995110181","1.380166917","0.475425973","1.418012814","2.212870481","0.7595317","1.274968008","0.652096715","4.038477654","0.35385246","2.443329034","0.486197643","2.038585704","1.502561359","1.182504686","2.300952971","1.380166917","1.202023538","0.594233773","2.967279119","0.685652749","2.638350059","4.258539203","0.297653682","1.462942838","1.23967318","0.427881695","0.210630698","0.279720806","1.157607066","0.578835767","0.922546536","0.512115104","1.502561359","1.803750127","2.967279119","2.556148431","1.332550168","0.884922122","1.09193874","1.30492924","0.690220885","0.837760473","2.443329034","0.903740202","0.373043243","2.13148688","1.008213998","0.558279342","1.575063986"
"1-linoleoylglycerol (1-monolinolein)","0.5848787","2.789750019","0.75488007","0.734088935","1.680070961","0.122802557","0.16343495","1.003391003","6.181169234","0.285482572","0.32922525","0.813715974","0.558279342","0.690220885","0.82433606","0.190646564","0.197157784","0.285482572","0.527236188","0.279720806","0.751035112","0.933959296","0.316501615","0.496948717","1.372041211","1.418012814","1.043201055","0.410384636","0.771060121","0.297653682","0.379074812","2.638350059","0.147757463","0.184441421","0.646874023","0.707620093","0.794312408","6.181169234","8.75834082","0.139993281","0.604676813","0.156465537","0.837760473","0.553269473","0.82433606","4.038477654","0.62434003","1.069127623","7.126671438","1.017765487","0.221361447","1.47899","0.25503965","0.170356755","3.241215792","0.711545436","0.779587514","0.919191739","0.226857427","2.443329034","2.501525867","1.216754948","1.462942838","0.274471734","0.831234162","0.5848787","0.766876681","0.133634275","0.475425973","8.75834082","2.638350059","3.52870641","1.012919742","1.853970478","1.558076554","0.177395935","0.677203554","1.908897432","1.529812126","1.098770737","0.133634275","1.502561359","0.122802557","1.30492924","1.032528194"
"1-linoleoylglycerophosphocholine","1.323169871","1.372041211","0.249623257","0.594233773","0.170356755","5.115045188","0.517574962","0.139993281","0.147757463","0.642103074","0.970456967","0.112156906","0.672432283","1.405101791","0.249623257","0.156465537","0.170356755","1.109875982","0.216264163","0.197157784","2.13148688","0.170356755","0.156465537","0.139993281","0.133634275","2.255543259","0.16343495","0.147757463","0.100347565","0.147757463","0.086037426","5.631657184","0.359405854","2.789750019","3.241215792","0.303862104","0.170356755","3.364703363","0.147757463","0.100347565","0.190646564","1.47899","0.177395935","0.335322216","0.285482572","4.258539203","0.156465537","0.80191678","3.662174292","4.650852022","0.279720806","1.141185792","0.279720806","0.521829364","1.032528194","0.512115104","0.133634275","0.285482572","1.938356796","5.115045188","0.914812389","2.708213621","1.529812126","1.113416443","0.226857427","0.156465537","0.139993281","3.662174292","0.984980617","7.126671438","1.282155354","0.100347565","0.16343495","2.638350059","0.39727062","0.391565688","0.100347565","0.177395935","3.662174292","0.197157784","0.184441421","0.8273207","2.501525867","2.170042065","0.445164555"
"1-linoleoylglycerophosphoethanolamine*","0.743141922","8.75834082","0.512115104","0.226857427","0.261296876","0.862444169","1.087341853","0.39727062","1.192466222","0.359405854","0.440233865","0.594233773","0.221361447","0.16343495","0.743141922","0.450191388","0.646874023","1.429387048","0.93568342","0.604676813","0.491740176","0.373043243","0.690220885","0.646874023","1.157607066","1.182504686","0.470521606","0.486197643","0.867869288","1.189167506","0.32922525","1.908897432","2.13148688","0.619583466","0.465046839","0.690220885","0.903740202","1.438346518","0.813715974","1.545446975","0.92598105","1.208674935","0.69440178","1.448826162","0.589738164","2.708213621","1.176953785","1.223609843","5.115045188","1.274968008","5.631657184","2.007269843","2.13148688","0.707620093","3.52870641","0.170356755","1.529812126","1.202023538","0.204492145","2.255543259","2.038585704","1.754512808","0.39727062","0.562898305","1.116956904","0.261296876","1.032528194","0.661712967","0.730745872","2.443329034","1.610189793","2.638350059","0.69440178","0.5848787","4.258539203","0.702740558","0.628359773","1.152254428","3.076642129","0.813715974","0.570609257","1.104883885","1.152254428","0.422395571","0.279720806"
"1-myristoylglycerophosphocholine","0.869794705","0.470521606","0.226857427","0.16343495","0.303862104","3.364703363","0.279720806","0.261296876","0.32922525","0.854814804","0.82433606","0.316501615","0.25503965","3.874368584","1.003391003","0.274471734","0.279720806","0.677203554","0.774867859","0.445164555","2.967279119","0.290821319","0.35385246","0.310754543","0.385137977","1.502561359","0.266944413","0.266944413","0.231766423","0.335322216","0.614559916","3.874368584","0.237988096","1.144045459","0.619583466","0.715299125","0.249623257","1.195764937","0.297653682","0.35385246","0.322545129","1.448826162","0.322545129","0.416049119","0.470521606","3.874368584","0.899182185","1.008213998","5.631657184","6.181169234","0.290821319","1.087341853","0.422395571","0.841289854","1.502561359","0.547717532","2.095130951","0.54179508","0.895625347","3.52870641","0.844913497","1.23967318","0.910570317","0.43366653","0.385137977","1.610189793","0.261296876","3.241215792","1.063722373","3.241215792","1.372041211","0.547717532","0.88885539","5.631657184","0.9996059","1.660358595","0.226857427","0.341259234","4.650852022","0.512115104","1.610189793","2.065066855","3.52870641","1.641592154","0.303862104"
"1-oleoylglycerophosphocholine","2.397366827","1.109875982","0.086037426","0.521829364","0.204492145","4.650852022","0.341259234","0.067279026","0.190646564","0.147757463","1.429387048","0.984980617","0.112156906","2.212870481","0.16343495","0.086037426","0.086037426","5.115045188","0.93568342","0.100347565","6.181169234","0.100347565","0.310754543","0.881215537","0.481432715","2.708213621","0.139993281","0.379074812","0.156465537","0.067279026","0.674817918","13.7480964","0.274471734","0.707620093","2.13148688","0.450191388","0.086037426","3.241215792","0.100347565","0.531433206","0.112156906","2.708213621","0.210630698","0.633267321","0.170356755","7.126671438","0.646874023","2.344069936","8.75834082","8.75834082","0.100347565","1.545446975","0.316501615","2.300952971","2.443329034","1.438346518","0.62434003","0.310754543","1.438346518","7.126671438","0.422395571","3.241215792","1.332550168","0.766876681","0.139993281","0.100347565","0.385137977","5.631657184","2.967279119","13.7480964","1.176953785","0.72617986","0.086037426","8.75834082","0.249623257","2.638350059","0.486197643","0.422395571","5.631657184","0.100347565","0.59962962","2.443329034","8.75834082","1.680070961","0.919191739"
"1-oleoylglycerophosphoethanolamine","0.652096715","2.170042065","0.919191739","2.397366827","0.454675009","2.638350059","4.038477654","0.316501615","2.038585704","0.100347565","0.122802557","1.247343909","0.72617986","1.116956904","1.008213998","0.837760473","1.516252112","0.831234162","0.54179508","0.184441421","0.874100965","1.012919742","0.980864617","1.074982299","1.558076554","0.636907533","0.702740558","0.715299125","1.803750127","1.380166917","1.341813135","2.170042065","1.390624521","0.204492145","0.416049119","1.043201055","2.065066855","0.910570317","1.157607066","1.803750127","0.652096715","0.715299125","0.980864617","1.012919742","0.197157784","1.754512808","1.080521918","3.662174292","4.258539203","1.878442811","1.830207757","1.267978579","3.364703363","1.128662724","2.212870481","0.54179508","5.631657184","1.558076554","0.427881695","1.47899","1.390624521","0.984980617","0.221361447","0.147757463","0.869794705","0.450191388","2.501525867","0.82433606","1.680070961","2.038585704","1.290534719","2.065066855","0.459472132","1.223609843","3.364703363","0.718778911","0.646874023","1.47899","1.332550168","0.667402791","0.531433206","1.625992846","1.429387048","1.152254428","0.71342228"
"1-oleoylglycerophosphoinositol*","0.7595317","3.241215792","0.914812389","0.216264163","0.491740176","0.7595317","1.223609843","0.226857427","1.361670643","0.373043243","0.450191388","0.995110181","0.707620093","0.62434003","1.73303167","0.766876681","0.88885539","0.919191739","0.589738164","0.373043243","0.459472132","0.470521606","0.25503965","0.628359773","1.290534719","0.884922122","0.558279342","0.491740176","0.82433606","1.152254428","0.718778911","2.038585704","0.527236188","0.385137977","0.54179508","0.877216385","1.641592154","0.718778911","0.851338236","2.556148431","0.667402791","0.821018435","1.380166917","1.803750127","0.416049119","0.285482572","2.866690393","5.115045188","4.650852022","1.853970478","3.076642129","0.316501615","1.027198046","1.660358595","4.038477654","0.521829364","1.516252112","0.881215537","0.210630698","0.404158968","1.970970016","0.481432715","0.698522085","0.379074812","1.830207757","0.527236188","2.038585704","0.730745872","0.422395571","1.545446975","2.065066855","1.938356796","0.39727062","0.642103074","1.323169871","1.516252112","0.738936494","1.189167506","1.208674935","1.405101791","0.589738164","1.163351108","2.095130951","1.323169871","1.47899"
