"","X","ID","Source","FinalName"
"1",1030,"Metabolite 1","KIRC 1,2-propanediol :,BRCATang:1,2-propanediol,LGG:1,2-propanediol,OV:1,2-propanediol,PAADHussain2:1,2-propanediol","1,2-propanediol"
"2",670,"Metabolite 2","KIRC 1,3-dihydroxyacetone :,BRCA:1,3-dihydroxyacetone,LGG:dihydroxyacetone,PAADHussain1:1,3-dihydroxyacetone,PAADHussain2:1,3-dihydroxyacetone","1,3-dihydroxyacetone"
"3",64960,"Metabolite 3","KIRC 1,5-anhydroglucitol (1,5-ag) :,BRCA:1,5-anhydroglucitol (1,5-ag),BRCATang:1,5-anhydroglucitol (1,5-ag),LGG:1,5-anhydroglucitol (1,5-ag),OV:1,5-anhydroglucitol (1,5-ag),PAADHussain1:1,5-anhydroglucitol (1,5-ag),PAADHussain2:1,5-anhydroglucitol (1,5-ag),PRAD:1,5-anhydroglucitol (1,5-ag),PRADLODA:1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag)"
"4",5312435,"Metabolite 4","KIRC 10-heptadecenoate (17:1n7) :,BRCATang:10-heptadecenoate (17:1n7),LGG:10-heptadecenoate (17:1n7),OV:10-heptadecenoate (17:1n7),PAADHussain1:10-heptadecenoate (17:1n7),PAADHussain2:10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)"
"5",5312513,"Metabolite 5","KIRC 10-nonadecenoate (19:1n9) :,BRCATang:10-nonadecenoate (19:1n9),LGG:10-nonadecenoate (19:1n9),OV:10-nonadecenoate (19:1n9),PAADHussain1:10-nonadecenoate (19:1n9),PAADHussain2:10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)"
"6",10466,"Metabolite 8","KIRC 16-hydroxypalmitate :","16-hydroxypalmitate"
"7",42607465,"Metabolite 10","KIRC 1-arachidonoylglycerophosphoethanolamine* :,BRCATang:1-arachidonoylglycerophosphoethanolamine*,LGG:1-arachidonoyl-gpe* (20:4)*,OV:1-arachidonoylglycerophosphoethanolamine*,PAADHussain1:1-arachidonoylglycerophosphoethanolamine*,PAADHussain2:1-arachidonoylglycerophosphoethanolamine*,PRADLODA:1-arachidonoylglycerophosphoethanolamine*","1-arachidonoylglycerophosphoethanolamine*"
"8",5282281,"Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"9",53480981,"Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"10",24779463,"Metabolite 14","KIRC 1-heptadecanoylglycerophosphocholine :,BRCATang:1-heptadecanoylglycerophosphocholine,PAADHussain1:1-heptadecanoylglycerophosphocholine,PAADHussain2:1-heptadecanoylglycerophosphocholine","1-heptadecanoylglycerophosphocholine"
