"Pathway","Study","DifferentialAbundance","PathwaySize","KEGGID"
"Alanine, aspartate and glutamate metabolism","PAADHussain1",0,15,"hsa00250"
"Alanine, aspartate and glutamate metabolism","PAADHussain2",-0.5,12,"hsa00250"
"Alanine, aspartate and glutamate metabolism","OV",0.428571428571429,14,"hsa00250"
"Alanine, aspartate and glutamate metabolism","PAAD",-0.181818181818182,11,"hsa00250"
"Alanine, aspartate and glutamate metabolism","BRCATang",0.833333333333333,12,"hsa00250"
"Alanine, aspartate and glutamate metabolism","PRAD",0.363636363636364,11,"hsa00250"
"Alanine, aspartate and glutamate metabolism","BLCA",0.333333333333333,3,"hsa00250"
"Alanine, aspartate and glutamate metabolism","PRADLODA",-0.153846153846154,13,"hsa00250"
"Alanine, aspartate and glutamate metabolism","BRCA",0.769230769230769,13,"hsa00250"
"Alanine, aspartate and glutamate metabolism","KIRC",-0.307692307692308,13,"hsa00250"
"Amino sugar and nucleotide sugar metabolism","BLCA",NA,0,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","KIRC",0.5,14,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAADHussain1",0,9,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","PRAD",0,7,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAADHussain2",-0.0833333333333333,12,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAAD",0,8,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","OV",0,12,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","BRCATang",0.7,10,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","BRCA",0.923076923076923,13,"hsa00520"
"Amino sugar and nucleotide sugar metabolism","PRADLODA",0.181818181818182,11,"hsa00520"
"Aminoacyl-tRNA biosynthesis","BRCA",0.9,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","PRAD",0.842105263157895,19,"hsa00970"
"Aminoacyl-tRNA biosynthesis","PAAD",0,18,"hsa00970"
"Aminoacyl-tRNA biosynthesis","PAADHussain2",-0.2,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","PAADHussain1",-0.15,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","KIRC",-0.75,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","BRCATang",0.95,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","OV",0.05,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","PRADLODA",-0.05,20,"hsa00970"
"Aminoacyl-tRNA biosynthesis","BLCA",0.0666666666666667,15,"hsa00970"
"Arginine and proline metabolism","PAADHussain1",-0.0555555555555556,18,"hsa00330"
"Arginine and proline metabolism","KIRC",0,18,"hsa00330"
"Arginine and proline metabolism","BRCA",0.705882352941177,17,"hsa00330"
"Arginine and proline metabolism","OV",0.117647058823529,17,"hsa00330"
"Arginine and proline metabolism","PRAD",0.384615384615385,13,"hsa00330"
"Arginine and proline metabolism","BLCA",0.571428571428571,7,"hsa00330"
"Arginine and proline metabolism","PAAD",-0.0833333333333333,12,"hsa00330"
"Arginine and proline metabolism","BRCATang",0.75,12,"hsa00330"
"Arginine and proline metabolism","PAADHussain2",-0.0769230769230769,13,"hsa00330"
"Arginine and proline metabolism","PRADLODA",-0.176470588235294,17,"hsa00330"
"Arginine biosynthesis","PAADHussain1",-0.3,10,"hsa00220"
"Arginine biosynthesis","PRADLODA",-0.222222222222222,9,"hsa00220"
"Arginine biosynthesis","BLCA",1,3,"hsa00220"
"Arginine biosynthesis","KIRC",-0.1,10,"hsa00220"
"Arginine biosynthesis","PAADHussain2",-0.125,8,"hsa00220"
"Arginine biosynthesis","BRCA",0.8,10,"hsa00220"
"Arginine biosynthesis","PAAD",-0.0909090909090909,11,"hsa00220"
"Arginine biosynthesis","OV",0.272727272727273,11,"hsa00220"
"Arginine biosynthesis","PRAD",0.444444444444444,9,"hsa00220"
"Arginine biosynthesis","BRCATang",0.555555555555556,9,"hsa00220"
"beta-Alanine metabolism","KIRC",-0.0833333333333333,12,"hsa00410"
"beta-Alanine metabolism","OV",0.3,10,"hsa00410"
"beta-Alanine metabolism","PAADHussain2",-0.222222222222222,9,"hsa00410"
"beta-Alanine metabolism","PAADHussain1",-0.111111111111111,9,"hsa00410"
"beta-Alanine metabolism","BRCA",0.818181818181818,11,"hsa00410"
"beta-Alanine metabolism","BLCA",0.5,6,"hsa00410"
"beta-Alanine metabolism","PRADLODA",0,12,"hsa00410"
"beta-Alanine metabolism","PRAD",0.444444444444444,9,"hsa00410"
"beta-Alanine metabolism","BRCATang",0.9,10,"hsa00410"
"beta-Alanine metabolism","PAAD",0,6,"hsa00410"
"Biosynthesis of unsaturated fatty acids","BRCA",1,14,"hsa01040"
"Biosynthesis of unsaturated fatty acids","OV",0.125,16,"hsa01040"
"Biosynthesis of unsaturated fatty acids","PRAD",1,4,"hsa01040"
"Biosynthesis of unsaturated fatty acids","BLCA",0.5,2,"hsa01040"
"Biosynthesis of unsaturated fatty acids","KIRC",0.470588235294118,17,"hsa01040"
"Biosynthesis of unsaturated fatty acids","BRCATang",0.642857142857143,14,"hsa01040"
"Biosynthesis of unsaturated fatty acids","PAAD",NA,0,"hsa01040"
"Biosynthesis of unsaturated fatty acids","PAADHussain2",-1,13,"hsa01040"
"Biosynthesis of unsaturated fatty acids","PAADHussain1",-0.384615384615385,13,"hsa01040"
"Biosynthesis of unsaturated fatty acids","PRADLODA",0.5,14,"hsa01040"
"Butanoate metabolism","KIRC",0.285714285714286,7,"hsa00650"
"Butanoate metabolism","PRAD",0.5,4,"hsa00650"
"Butanoate metabolism","BRCA",0.777777777777778,9,"hsa00650"
"Butanoate metabolism","BLCA",NA,0,"hsa00650"
