"","SigStudies","SigTissues","NumUp","PctUp","NumDown","PctDown","PctUpFC","PctDownFC","TotalDiff","TotalDiffFC","notNA","FC KIRC","FC BLCA","FC BRCA","FC BRCATang","FC OV","FC PAAD","FC PAADHussain1","FC PAADHussain2","FC PRAD","FC PRADLODA","Padj KIRC","Padj BLCA","Padj BRCA","Padj BRCATang","Padj OV","Padj PAAD","Padj PAADHussain1","Padj PAADHussain2","Padj PRAD","Padj PRADLODA"
"1,2-propanediol","PAADHussain2","Pancreas",1,0.25,0,0,0.25,0,1,1,4,-0.202829506596266,NA,NA,1.35894081413102,1.80571316414988,NA,NA,1.01550023082633,NA,NA,0.0855102950007796,NA,NA,0.48299923572022,0.534233365030241,NA,NA,0.00162002149471311,NA,NA
"1,3-dihydroxyacetone","","",0,0,0,0,0,0,0,0,4,0.451218286319167,NA,0.590462775814235,NA,NA,NA,0.233268545630678,0.00790129484408806,NA,NA,0.0764691183790779,NA,0.137394493961224,NA,NA,NA,0.280287386522076,0.23409508795748,NA,NA
"1,5-anhydroglucitol (1,5-ag)","BRCA;OV","Breast;Ovary",2,0.25,0,0,0,0,2,0,8,-0.0306856290104866,NA,0.575125091883317,-0.416695782325886,0.807051857673728,NA,-0.244833729591735,0.0188651498489387,-0.268101034193125,-0.406680943863263,0.964076748629071,NA,9.87676714720261e-06,0.217437235970315,0.00926582322873651,NA,0.890178199789304,0.802678306476238,0.237936709914948,0.107473403453164
"10-heptadecenoate (17:1n7)","KIRC;BRCA;PAADHussain2","Kidney;Breast;Pancreas",2,0.285714285714286,1,0.142857142857143,0.142857142857143,0,3,1,7,0.718286612240989,NA,1.15385640128499,0.385019457671329,-0.00250167073659099,NA,-0.4349034205266,-0.986336197138822,NA,0.187012125998814,1.05976272813854e-15,NA,5.93297333041935e-09,0.584118740876569,0.922225553889722,NA,0.0824172572731838,0.00148375479590271,NA,0.188379194185336
"10-nonadecenoate (19:1n9)","KIRC;BRCA;PAADHussain1;PAADHussain2;PRADLODA","Kidney;Breast;Pancreas;Prostate",3,0.428571428571429,2,0.285714285714286,0.428571428571429,0.142857142857143,5,4,7,1.18187399684145,NA,1.99584986481532,1.23151512400623,0.187042639224747,NA,-0.70473383107153,-1.94635919608885,NA,1.3582833106798,2.49910139203258e-22,NA,1.70995032814243e-10,0.0516947126625481,0.482884883139825,NA,0.0438551501614807,0.000473105900296284,NA,0.000280732118052061
"13-hode + 9-hode","OV;PAADHussain1;PAADHussain2","Ovary;Pancreas",1,0.166666666666667,2,0.333333333333333,0,0.166666666666667,3,1,6,0.218347442965158,NA,NA,-0.502412693503675,0.792858664206207,NA,-0.782988506131136,-1.42785802026512,NA,0.309567006652745,0.947069848860583,NA,NA,0.751381847933572,0.033782523942707,NA,0.027482137172568,0.000534286881733117,NA,0.698274444708943
"15-methylpalmitate (isobar with 2-methylpalmitate)","KIRC;PAADHussain2","Kidney;Pancreas",1,0.333333333333333,1,0.333333333333333,0,0.333333333333333,2,1,3,0.448946386288797,NA,NA,0.263855920820416,NA,NA,NA,-1.23616591933255,NA,NA,1.08868505849914e-13,NA,NA,0.649812218826031,NA,NA,NA,0.000534286881733117,NA,NA
"16-hydroxypalmitate","KIRC","Kidney",0,0,1,1,0,0,1,0,1,-0.430742733925683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074005923639722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-arachidonoylglycerophosphocholine*","KIRC","Kidney",0,0,1,0.333333333333333,0,0,1,0,3,-0.389308119804772,NA,NA,-0.92644609951534,NA,NA,-0.0240785389191265,NA,NA,NA,0.0143633336278129,NA,NA,0.212001469946349,NA,NA,0.694655075934733,NA,NA,NA
"1-arachidonoylglycerophosphoethanolamine*","KIRC;BRCA;BRCATang;OV","Kidney;Breast;Ovary",2,0.285714285714286,2,0.285714285714286,0,0.142857142857143,4,1,7,-1.23574189545914,NA,0.639747260603769,0.956828171894689,-0.736096628851057,NA,0.803233977053227,-1.02778989231978,NA,-0.0186289168438687,4.55400304649064e-30,NA,0.0250486396248744,0.0383241401303799,0.0156435902421342,NA,0.0611055453861004,0.507022786861636,NA,0.155578591304724
