hmdbId,kingdom,superClass,class,subClass
HMDB01881,Organic compounds,Organooxygen compounds,Alcohols and polyols,Polyols
HMDB01882,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB02712,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB13622,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB11517,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB11572,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols
HMDB12108,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB11507,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB02820,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB10379,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB11500,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB11567,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols
HMDB02815,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB11506,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB11503,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB10384,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB11130,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
HMDB00510,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00650,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00085,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,Purine 3'-deoxyribonucleosides
HMDB00071,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,Purine 3'-deoxyribonucleosides
HMDB00008,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00606,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00840,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzamides
HMDB00729,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB00402,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB11538,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB00378,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB11537,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols
HMDB11533,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols
