"KEGG_CHEBI","GENE","DRUGBANK_CHEBI","KEGG_NAME","DRUGBANK_NAME","DRUGBANK_CATEGORY","DRUGBANK_GROUPS","DRUGBANK_ID","KEGG_PATHWAY_NAMES"
"CHEBI:1387","COMT","CHEBI:4798","3,4-dihydroxyphenylethyleneglycol","entacapone","Anti-Dyskinesia Agents;Anti-Parkinson Drugs;Catechol O-Methyltransferase Inhibitors;Central Nervous System Agents;Central Nervous System Depressants;Chemical Actions and Uses;COMT Inhibitors;CYP2D6 Inhibitors (Weak);Dopamine Agents;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action;Nervous System;Pharmacologic Actions;Therapeutic Uses","approved;investigational","DB00494","Tyrosine metabolism"
"CHEBI:15346","PLA2G2A","CHEBI:49662","coenzyme A","indometacin","Acetic Acid Derivatives and Related Substances;Analgesics;Analgesics, Non-Narcotic;Anti-Inflammatory Agents;Anti-Inflammatory Agents, Non-Steroidal;Antiinflammatory Agents, Non-Steroids;Antiinflammatory and Antirheumatic Products;Antiinflammatory and Antirheumatic Products, Non-Steroids;Antiinflammatory Preparations, Non-Steroids for Topical Use;Antirheumatic Agents;Cardiac Therapy;Cardiovascular Agents;Cardiovascular System;Central Nervous System Agents;Chemical Actions and Uses;Cyclooxygenase Inhibitors;Cytochrome P-450 CYP2C19 Inhibitors;Cytochrome P-450 CYP2C19 Substrates;Cytochrome P-450 CYP2C9 Substrates;Enzyme Inhibitors;Gout Suppressants;Heterocyclic Compounds;Heterocyclic Compounds, 2-Ring;Indoles;Molecular Mechanisms of Pharmacological Action;Musculo-Skeletal System;Ophthalmologicals;P-glycoprotein/ABCB1 Inhibitors;P-glycoprotein/ABCB1 Substrates;Peripheral Nervous System Agents;Pharmacologic Actions;Physiological Effects of Drugs;Reproductive Control Agents;Sensory Organs;Sensory System Agents;Therapeutic Uses;Tocolytic Agents;Topical Products for Joint and Muscular Pain;UGT1A1 Inhibitors","approved;investigational","DB00328","Ether lipid metabolism"
"CHEBI:15346","OGDH","CHEBI:39867","coenzyme A","valproic acid","Acids, Acyclic;Anticonvulsants;Antimanic Agents;Carboxylic Acids;Central Nervous System Agents;Central Nervous System Depressants;Chemical Actions and Uses;Cytochrome P-450 CYP1A2 Inhibitors;Cytochrome P-450 CYP2A6 Inducers;Cytochrome P-450 CYP2A6 Substrates;Cytochrome P-450 CYP2B6 Substrates;Cytochrome P-450 CYP2C19 Inhibitors;Cytochrome P-450 CYP2C19 Substrates;Cytochrome P-450 CYP2C8 Inhibitors;Cytochrome P-450 CYP2C9 Inhibitors;Cytochrome P-450 CYP2C9 Inhibitors (moderate);Cytochrome P-450 CYP2C9 Substrates;Cytochrome P-450 CYP3A Inhibitors;Enzyme Inhibitors;Fatty Acid Derivatives;Fatty Acids;Fatty Acids, Volatile;GABA Agents;Lipids;Molecular Mechanisms of Pharmacological Action;Nervous System;Neurotransmitter Agents;Organic Chemicals;Pentanoic Acids;Pharmacologic Actions;Physiological Effects of Drugs;Psychotropic Drugs;Therapeutic Uses;Tranquilizing Agents;Valerates","approved;investigational","DB00313","Citrate cycle (TCA cycle);Tryptophan metabolism"
"CHEBI:15346","SOAT1","CHEBI:49040","coenzyme A","ezetimibe","Anticholesteremic Agents;Antimetabolites;Azetidines;Azetines;BCRP/ABCG2 Substrates;Cardiovascular System;Chemical Actions and Uses;Cytochrome P-450 CYP3A Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 1-Ring;Hypolipidemic Agents;Lipid Modifying Agents;Lipid Modifying Agents, Plain;Lipid Regulating Agents;Molecular Mechanisms of Pharmacological Action;Noxae;OATP1B1/SLCO1B1 Substrates;P-glycoprotein/ABCB1 Substrates;Pharmacologic Actions;Therapeutic Uses;Toxic Actions","approved","DB00973","Steroid biosynthesis"
"CHEBI:15346","PLA2G6","CHEBI:8711","coenzyme A","quinacrine","Acridines;Aminoacridines;Anthelmintics;Anti-Infective Agents;Anticestodal Agents;Antimalarials;Antinematodal Agents;Antineoplastic Agents;Antiparasitic Agents;Antiparasitic Products, Insecticides and Repellents;Antiplatyhelmintic Agents;Antiprotozoals;Chemical Actions and Uses;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 3-Ring;Molecular Mechanisms of Pharmacological Action;P-glycoprotein/ABCB1 Inhibitors;Pharmacologic Actions;Therapeutic Uses","approved","DB01103","Ether lipid metabolism"
"CHEBI:15346","PLA2G4A","CHEBI:8711","coenzyme A","quinacrine","Acridines;Aminoacridines;Anthelmintics;Anti-Infective Agents;Anticestodal Agents;Antimalarials;Antinematodal Agents;Antineoplastic Agents;Antiparasitic Agents;Antiparasitic Products, Insecticides and Repellents;Antiplatyhelmintic Agents;Antiprotozoals;Chemical Actions and Uses;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 3-Ring;Molecular Mechanisms of Pharmacological Action;P-glycoprotein/ABCB1 Inhibitors;Pharmacologic Actions;Therapeutic Uses","approved","DB01103","Ether lipid metabolism"
"CHEBI:15346","PLA2G2A","CHEBI:47381","coenzyme A","Diclofenac;diclofenac","Acetic Acid Derivatives and Related Substances;Acids, Carbocyclic;Analgesics;Analgesics, Non-Narcotic;Anti-Inflammatory Agents;Anti-Inflammatory Agents, Non-Steroidal;Antiinflammatory Agents, Non-Steroids;Antiinflammatory and Antirheumatic Products;Antiinflammatory and Antirheumatic Products, Non-Steroids;Antiinflammatory Preparations, Non-Steroids for Topical Use;Antirheumatic Agents;Carboxylic Acids;Central Nervous System Agents;Chemical Actions and Uses;Cyclooxygenase Inhibitors;Cytochrome P-450 CYP1A2 Inhibitors;Cytochrome P-450 CYP1A2 Substrates;Cytochrome P-450 CYP2B6 Substrates;Cytochrome P-450 CYP2C19 Substrates;Cytochrome P-450 CYP2C8 Substrates;Cytochrome P-450 CYP2C9 Inhibitors;Cytochrome P-450 CYP2C9 Substrates;Cytochrome P-450 CYP2E1 Inhibitors;Cytochrome P-450 CYP3A4 Substrates;Dermatologicals;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action;Musculo-Skeletal System;Ophthalmologicals;Organic Chemicals;P-glycoprotein/ABCB1 Inhibitors;Peripheral Nervous System Agents;Pharmacologic Actions;Phenylacetates;Physiological Effects of Drugs;Sensory Organs;Sensory System Agents;Therapeutic Uses;Topical Products for Joint and Muscular Pain","approved;vet_approved","DB00586","Ether lipid metabolism"
"CHEBI:15355","ACHE","CHEBI:78330","acetylcholine","huperzine A","Central Nervous System Agents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action;Neuroprotective Agents;Neurotransmitter Agents;Pharmacologic Actions;Physiological Effects of Drugs;Protective Agents;Specialty Uses of Chemicals;Therapeutic Uses","investigational","DB04864","Glycerophospholipid metabolism"
"CHEBI:15355","BCHE","CHEBI:42944","acetylcholine","galanthamine","Alkaloids;Amaryllidaceae Alkaloids;Anti-Dementia Drugs;Autonomic Agents;Benzazepines;Bradycardia-Causing Agents;Central Nervous System Agents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Cytochrome P-450 CYP2D6 Substrates;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 2-Ring;Molecular Mechanisms of Pharmacological Action;Nervous System;Neurotransmitter Agents;Nootropic Agents;Parasympathomimetics;Peripheral Nervous System Agents;Pharmacologic Actions;Physiological Effects of Drugs;Psychoanaleptics;QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying);Therapeutic Uses","approved","DB00674","Glycerophospholipid metabolism"
"CHEBI:15355","BCHE","CHEBI:4391","acetylcholine","demecarium bromide","Antiglaucoma Preparations and Miotics;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action;Neurotransmitter Agents;Ophthalmologicals;Parasympathomimetics;Pharmacologic Actions;Physiological Effects of Drugs;Sensory Organs","approved","DB00944","Glycerophospholipid metabolism"
"CHEBI:15355","ACHE","CHEBI:4391","acetylcholine","demecarium bromide","Antiglaucoma Preparations and Miotics;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action;Neurotransmitter Agents;Ophthalmologicals;Parasympathomimetics;Pharmacologic Actions;Physiological Effects of Drugs;Sensory Organs","approved","DB00944","Glycerophospholipid metabolism"
"CHEBI:15355","ACHE","CHEBI:27953","acetylcholine","physostigmine","Acids, Acyclic;Alkaloids;Antidotes;Antiglaucoma Preparations and Miotics;Autonomic Agents;Carbamates;Carboxylic Acids;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 2-Ring;Indole Alkaloids;Indoles;Miotics;Molecular Mechanisms of Pharmacological Action;Neurotransmitter Agents;Ophthalmologicals;Organic Chemicals;Parasympathomimetics;Peripheral Nervous System Agents;Pharmacologic Actions;Phenylcarbamates;Physiological Effects of Drugs;Sensory Organs","approved","DB00981","Glycerophospholipid metabolism"
"CHEBI:15355","BCHE","CHEBI:6651","acetylcholine","malathion","Agrochemicals;Antiparasitic Products, Insecticides and Repellents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Cytochrome P-450 CYP1A2 Substrates;Cytochrome P-450 CYP2B6 Substrates;Ectoparasiticides, Incl. Scabicides;Ectoparasiticides, Incl. Scabicides, Insecticides and Repellents;Enzyme Inhibitors;Inorganic Chemicals;Insecticides;Molecular Mechanisms of Pharmacological Action;Neurotransmitter Agents;Organic Chemicals;Organophosphates;Organophosphorus Compounds;Organothiophosphates;Organothiophosphorus Compounds;Pesticides;Pharmacologic Actions;Physiological Effects of Drugs;Specialty Uses of Chemicals;Sulfur Compounds;Toxic Actions","approved;investigational","DB00772","Glycerophospholipid metabolism"
"CHEBI:15355","ACHE","CHEBI:42944","acetylcholine","galanthamine","Alkaloids;Amaryllidaceae Alkaloids;Anti-Dementia Drugs;Autonomic Agents;Benzazepines;Bradycardia-Causing Agents;Central Nervous System Agents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Cytochrome P-450 CYP2D6 Substrates;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 2-Ring;Molecular Mechanisms of Pharmacological Action;Nervous System;Neurotransmitter Agents;Nootropic Agents;Parasympathomimetics;Peripheral Nervous System Agents;Pharmacologic Actions;Physiological Effects of Drugs;Psychoanaleptics;QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying);Therapeutic Uses","approved","DB00674","Glycerophospholipid metabolism"
"CHEBI:15355","ACHE","CHEBI:7514","acetylcholine","neostigmine","Amines;Ammonium Compounds;Antiglaucoma Preparations and Miotics;Autonomic Agents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Inorganic Chemicals;Molecular Mechanisms of Pharmacological Action;Nervous System;Neurotransmitter Agents;Nitrogen Compounds;Onium Compounds;Ophthalmologicals;Organic Chemicals;P-glycoprotein/ABCB1 Inhibitors;Parasympathomimetics;Peripheral Nervous System Agents;Pharmacologic Actions;Phenylammonium Compounds;Physiological Effects of Drugs;Quaternary Ammonium Compounds;Sensory Organs","approved;vet_approved","DB01400","Glycerophospholipid metabolism"
"CHEBI:15355","BCHE","CHEBI:59849","acetylcholine","Echothiophate;ecothiopate iodide","Autonomic Agents;Chemical Actions and Uses;Cholinergic Agents;Cholinesterase Inhibitors;Enzyme Inhibitors;Inorganic Chemicals;Miotics;Molecular Mechanisms of Pharmacological Action;Neurotransmitter Agents;Organic Chemicals;Organophosphates;Organophosphorus Compounds;Organothiophosphates;Organothiophosphorus Compounds;Parasympathomimetics;Peripheral Nervous System Agents;Pharmacologic Actions;Physiological Effects of Drugs;Sulfur Compounds","approved","DB01057","Glycerophospholipid metabolism"
"CHEBI:15468","ENPP1","CHEBI:63580","3'-dephospho-CoA","ribavirin","Anti-Infective Agents;Antiinfectives for Systemic Use;Antimetabolites;Antiviral Agents;Antivirals for Systemic Use;Carbohydrates;Chemical Actions and Uses;Direct Acting Antivirals;Glycosides;Molecular Mechanisms of Pharmacological Action;Noxae;Nucleic Acids, Nucleotides, and Nucleosides;Nucleosides;Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors;Pharmacologic Actions;Ribonucleosides;Therapeutic Uses;Toxic Actions","approved","DB00811","Pantothenate and CoA biosynthesis"
"CHEBI:15694","GLO1","CHEBI:49662","(R)-S-lactoylglutathione","indometacin","Acetic Acid Derivatives and Related Substances;Analgesics;Analgesics, Non-Narcotic;Anti-Inflammatory Agents;Anti-Inflammatory Agents, Non-Steroidal;Antiinflammatory Agents, Non-Steroids;Antiinflammatory and Antirheumatic Products;Antiinflammatory and Antirheumatic Products, Non-Steroids;Antiinflammatory Preparations, Non-Steroids for Topical Use;Antirheumatic Agents;Cardiac Therapy;Cardiovascular Agents;Cardiovascular System;Central Nervous System Agents;Chemical Actions and Uses;Cyclooxygenase Inhibitors;Cytochrome P-450 CYP2C19 Inhibitors;Cytochrome P-450 CYP2C19 Substrates;Cytochrome P-450 CYP2C9 Substrates;Enzyme Inhibitors;Gout Suppressants;Heterocyclic Compounds;Heterocyclic Compounds, 2-Ring;Indoles;Molecular Mechanisms of Pharmacological Action;Musculo-Skeletal System;Ophthalmologicals;P-glycoprotein/ABCB1 Inhibitors;P-glycoprotein/ABCB1 Substrates;Peripheral Nervous System Agents;Pharmacologic Actions;Physiological Effects of Drugs;Reproductive Control Agents;Sensory Organs;Sensory System Agents;Therapeutic Uses;Tocolytic Agents;Topical Products for Joint and Muscular Pain;UGT1A1 Inhibitors","approved;investigational","DB00328","Pyruvate metabolism"
"CHEBI:15698","DCK","CHEBI:63599","2'-deoxycytidine","fludarabine phosphate","Antimetabolites;Antimetabolites, Antineoplastic;Antineoplastic Agents;Antineoplastic and Immunomodulating Agents;Chemical Actions and Uses;DNA (Cytosine-5-)-Methyltransferase, antagonists & inhibitors;Enzyme Inhibitors;Immunologic Factors;Immunosuppressive Agents;Molecular Mechanisms of Pharmacological Action;Myeloablative Agonists;Myelosuppressive Agents;Noxae;Pharmacologic Actions;Physiological Effects of Drugs;Purine Analogues;Therapeutic Uses;Toxic Actions","approved","DB01073","Pyrimidine metabolism"
"CHEBI:15741","DHODH","CHEBI:575568","succinic acid","atovaquone","Anti-Infective Agents;Antimalarials;Antiparasitic Agents;Antiparasitic Products, Insecticides and Repellents;Antiprotozoals;Chemical Actions and Uses;Cytochrome P-450 CYP2C9 Inhibitors;Enzyme Inhibitors;Hydrocarbons;Hydrocarbons, Aromatic;Hydrocarbons, Cyclic;Molecular Mechanisms of Pharmacological Action;Naphthalenes;Naphthoquinones;Organic Chemicals;Pharmacologic Actions;Polycyclic Compounds;Polycyclic Hydrocarbons, Aromatic;Quinones;Therapeutic Uses","approved","DB01117",""
"CHEBI:15741","DHODH","CHEBI:6402","succinic acid","leflunomide","Adjuvants;Adjuvants, Immunologic;Anti-Inflammatory Agents, Non-Steroidal;Antineoplastic Agents;Antineoplastic and Immunomodulating Agents;Antirheumatic Agents;Antiviral Agents;BCRP/ABCG2 Substrates;Chemical Actions and Uses;Cytochrome P-450 CYP1A2 Substrates;Cytochrome P-450 CYP2C9 Inhibitors;Cytochrome P-450 CYP2C9 Inhibitors (moderate);Cytochrome P-450 CYP2C9 Substrates;Enzyme Inhibitors;Immunologic Factors;Immunosuppressive Agents;Molecular Mechanisms of Pharmacological Action;Pharmacologic Actions;Physiological Effects of Drugs;Selective Immunosuppressants;Therapeutic Uses","approved;investigational","DB01097",""
"CHEBI:15741","ALDH5A1","CHEBI:39867","succinic acid","valproic acid","Acids, Acyclic;Anticonvulsants;Antimanic Agents;Carboxylic Acids;Central Nervous System Agents;Central Nervous System Depressants;Chemical Actions and Uses;Cytochrome P-450 CYP1A2 Inhibitors;Cytochrome P-450 CYP2A6 Inducers;Cytochrome P-450 CYP2A6 Substrates;Cytochrome P-450 CYP2B6 Substrates;Cytochrome P-450 CYP2C19 Inhibitors;Cytochrome P-450 CYP2C19 Substrates;Cytochrome P-450 CYP2C8 Inhibitors;Cytochrome P-450 CYP2C9 Inhibitors;Cytochrome P-450 CYP2C9 Inhibitors (moderate);Cytochrome P-450 CYP2C9 Substrates;Cytochrome P-450 CYP3A Inhibitors;Enzyme Inhibitors;Fatty Acid Derivatives;Fatty Acids;Fatty Acids, Volatile;GABA Agents;Lipids;Molecular Mechanisms of Pharmacological Action;Nervous System;Neurotransmitter Agents;Organic Chemicals;Pentanoic Acids;Pharmacologic Actions;Physiological Effects of Drugs;Psychotropic Drugs;Therapeutic Uses;Tranquilizing Agents;Valerates","approved;investigational","DB00313","Alanine, aspartate and glutamate metabolism;Butanoate metabolism"
"CHEBI:15843","PLA2G4A","CHEBI:8711","arachidonic acid","quinacrine","Acridines;Aminoacridines;Anthelmintics;Anti-Infective Agents;Anticestodal Agents;Antimalarials;Antinematodal Agents;Antineoplastic Agents;Antiparasitic Agents;Antiparasitic Products, Insecticides and Repellents;Antiplatyhelmintic Agents;Antiprotozoals;Chemical Actions and Uses;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 3-Ring;Molecular Mechanisms of Pharmacological Action;P-glycoprotein/ABCB1 Inhibitors;Pharmacologic Actions;Therapeutic Uses","approved","DB01103","Arachidonic acid metabolism"
"CHEBI:15843","PLA2G6","CHEBI:8711","arachidonic acid","quinacrine","Acridines;Aminoacridines;Anthelmintics;Anti-Infective Agents;Anticestodal Agents;Antimalarials;Antinematodal Agents;Antineoplastic Agents;Antiparasitic Agents;Antiparasitic Products, Insecticides and Repellents;Antiplatyhelmintic Agents;Antiprotozoals;Chemical Actions and Uses;Cytochrome P-450 CYP3A4 Substrates;Enzyme Inhibitors;Heterocyclic Compounds;Heterocyclic Compounds, 3-Ring;Molecular Mechanisms of Pharmacological Action;P-glycoprotein/ABCB1 Inhibitors;Pharmacologic Actions;Therapeutic Uses","approved","DB01103","Arachidonic acid metabolism"
