"","NumStudies","NumPositiveCor","NumNegativeCor","NumTotalCor"
"1,5-anhydroglucitol (1,5-ag)",6,5,0,5
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)",5,5,0,5
"3-hydroxybutyrate (bhba)",5,5,0,5
"hippurate",8,5,0,5
"p-cresol sulfate",5,5,0,5
"tryptophan betaine",5,5,0,5
"uracil",8,5,0,5
"urea",7,5,0,5
"gluconate",6,4,0,4
"leucine",7,4,0,4
"lidocaine",5,4,0,4
"phenol sulfate",5,4,0,4
"phenylacetylglutamine",5,4,0,4
"phenylalanine",8,4,0,4
"pipecolate",7,4,0,4
"pyroglutamine*",5,4,0,4
"threonine",8,4,0,4
"trans-4-hydroxyproline",7,4,0,4
"urate",7,4,0,4
"2-hydroxybutyrate (ahb)",7,3,0,3
"alanine",8,3,0,3
"catechol sulfate",5,3,0,3
"cortisol",5,3,0,3
"eicosapentaenoate (epa; 20:5n3)",5,3,0,3
"guanosine",7,3,0,3
"histidine",8,3,0,3
"laurate (12:0)",6,3,0,3
"pseudouridine",5,3,0,3
"scyllo-inositol",5,3,0,3
"serine",8,3,0,3
"tyrosine",8,3,0,3
"valine",8,3,0,3
"1-stearoylglycerophosphoethanolamine",5,1,1,2
"2'-deoxyinosine",5,2,0,2
"3-dehydrocarnitine*",5,2,0,2
"3-phosphoglycerate",7,2,0,2
"4-androsten-3beta,17beta-diol disulfate 1*",5,2,0,2
"4-hydroxybutyrate (ghb)",5,2,0,2
"5,6-dihydrouracil",6,2,0,2
"5-oxoproline",5,2,0,2
"acetylcarnitine",6,2,0,2
"adenosine",8,2,0,2
"adenosine 5'-monophosphate (amp)",5,2,0,2
"adrenate (22:4n6)",5,2,0,2
"arginine",7,2,0,2
"asparagine",8,2,0,2
"aspartylphenylalanine",5,2,0,2
"choline",5,2,0,2
"citrulline",8,2,0,2
"creatine",7,2,0,2
"creatinine",6,2,0,2
"docosapentaenoate (n3 dpa; 22:5n3)",5,2,0,2
"erythronate*",5,2,0,2
"fumarate",7,2,0,2
"glutamate",7,2,0,2
"glutamine",7,2,0,2
"glycerate",7,2,0,2
"glycine",7,2,0,2
"glycylproline",5,2,0,2
"guanine",7,2,0,2
"hexanoylcarnitine",6,2,0,2
"homocysteine",7,2,0,2
"inosine",7,2,0,2
"isoleucine",6,2,0,2
"lactate",7,2,0,2
"linolenate [alpha or gamma; (18:3n3 or 6)]",5,2,0,2
"lysine",8,2,0,2
"maltose",5,2,0,2
"methionine",8,2,0,2
"n-acetylalanine",6,2,0,2
"ornithine",7,2,0,2
"pantothenate",8,2,0,2
"putrescine",6,2,0,2
"spermidine",7,2,0,2
