"","FC KIRC","FC BRCA","FC BLCA","FC BRCATang","FC COAD","FC OV","FC PAAD","FC PAADHussain1","FC PAADHussain2","FC PRAD","FC PRADLODA","FC STAD","Padj KIRC","Padj BRCA","Padj BLCA","Padj BRCATang","Padj COAD","Padj OV","Padj PAAD","Padj PAADHussain1","Padj PAADHussain2","Padj PRAD","Padj PRADLODA","Padj STAD","NumUp","PctUp","NumDown","PctDown","TotalDiff","notNA"
"1,2-Propanediol",-0.202829506596266,NA,NA,1.35894081413102,NA,2.36573834961299,NA,NA,1.01550023082633,NA,NA,NA,0.143534628567322,1,1,1,1,1,1,1,0.00413622509288454,1,1,1,1,0.25,0,0,1,4
"1,3-Dihydroxyacetone",0.451218286319167,0.590462775814235,NA,NA,NA,NA,NA,0.233268545630678,0.00790129484408806,NA,NA,NA,0.128360940409923,0.406601830566498,1,1,1,1,1,0.764784154653093,0.597689586274417,1,1,1,0,0,0,0,0,4
"1,5-Anhydroglucitol",-0.0306856290104866,0.575125091883317,NA,-0.416695782325886,NA,0.757789040659995,NA,-0.244833729591735,0.0188651498489387,0.102577066467409,-0.406680943863263,NA,1,2.92290577762527e-05,1,0.527036955207235,1,0.141776662576404,1,1,1,1,0.336073183436605,1,1,0.125,0,0,1,8
"10-Heptadecenoate",0.718286612240989,1.15385640128499,NA,0.385019457671329,NA,-0.106017731081788,NA,-0.4349034205266,-0.986336197138822,NA,0.187012125998814,NA,1.78728901322769e-15,1.75578929497098e-08,1,1,1,1,1,0.22488137341683,0.0037883101171984,1,0.589068489960659,1,2,0.285714285714286,1,0.142857142857143,3,7
"10-Nonadecenoate",1.18187399684145,1.99584986481532,NA,1.23151512400623,NA,0.1819894090165,NA,-0.70473383107153,-1.94635919608885,NA,1.3582833106798,NA,4.22552890485141e-22,5.06038425234651e-10,1,0.125300636022166,1,1,1,0.119661909726326,0.00120792995820328,1,0.000877859391954328,1,3,0.428571428571429,1,0.142857142857143,4,7
"13-Hode + 9-Hode",0.218347442965158,NA,NA,-0.502412693503675,NA,0.134844918506036,NA,-0.782988506131136,-1.42785802026512,NA,0.309567006652745,NA,1,1,1,1,1,0.525566079274519,1,0.0749869742851499,0.0013641367193186,1,1,1,0,0,1,0.166666666666667,1,6
"15-Methylpalmitate (Isobar With 2-Methylpalmitate)",0.448946386288797,NA,NA,0.263855920820416,NA,NA,NA,NA,-1.23616591933255,NA,NA,NA,1.83459050064096e-13,1,1,1,1,1,1,1,0.0013641367193186,1,1,1,1,0.333333333333333,1,0.333333333333333,2,3
"16-Hydroxypalmitate",-0.430742733925683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124259270023182,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"1-Arachidonoyl-Gpc* (20:4)*",-0.389308119804772,NA,NA,-0.92644609951534,NA,NA,NA,-0.0240785389191265,NA,NA,NA,NA,0.0241156530697475,1,1,0.513861430961328,1,1,1,1,1,1,1,1,0,0,1,0.333333333333333,1,3
"1-Arachidonoyl-Gpe* (20:4)*",-1.23574189545914,0.639747260603769,NA,0.956828171894689,NA,-0.536003510119135,NA,0.803233977053227,-1.02778989231978,NA,-0.0186289168438687,NA,7.62735483884988e-30,0.0741283178898627,1,0.0928922685901339,1,0.263679618901207,1,0.166730845267788,1,1,0.486499829487085,1,0,0,1,0.142857142857143,1,7
"1-Arachidonoylglycerophosphoinositol",-0.87064749758615,1.43878195017264,NA,1.70351547349624,NA,1.01500127188678,NA,NA,-2.46879987636186,NA,-0.0577508403437598,NA,1.2824442935896e-21,0.000681307611317611,1,0.0103735117906115,1,0.898354033569069,1,1,0.179170300862024,1,1,1,2,0.333333333333333,1,0.166666666666667,3,6
"1-Arachidonylglycerol",-0.436102909338774,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118556475254335,NA,0.102226811894544,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2
"1-Docosahexaenoylglycerophosphocholine*",-0.931894513930347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69279597497894e-09,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"1-Heptadecanoylglycerophosphocholine",-1.98611294478919,NA,NA,0.0607831483547995,NA,NA,NA,-1.98450262345963,-1.58641107185545,NA,NA,NA,3.14313436193531e-16,1,1,1,1,1,1,1,0.754887732291934,1,1,1,0,0,1,0.25,1,4
"1-Heptadecanoylglycerophosphoethanolamine",-4.53979100615735,NA,NA,NA,NA,NA,NA,NA,-1.10006530119075,NA,0.565387215100412,NA,6.68573443871561e-40,1,1,1,1,1,1,1,0.172828094832685,1,0.242004825578814,1,0,0,1,0.333333333333333,1,3
"1-Linoleoylglycerol",0.771350350795155,NA,NA,1.28549588892788,NA,NA,NA,NA,NA,NA,0.696001497749002,NA,0.00145354284266304,1,1,0.33067047756454,1,1,1,1,1,1,0.666264384749791,1,1,0.333333333333333,0,0,1,3
"1-Linoleoylglycerophosphocholine",-0.691952443332476,1.41001642742542,NA,-1.38051901115093,NA,0.591334973391133,NA,-0.346542615492882,-2.2558357287781,NA,0.868875522125642,NA,0.00574349689834411,0.00960915143758795,1,0.440078435768091,1,1,1,1,0.30641897494937,1,0.883002506723469,1,1,0.142857142857143,1,0.142857142857143,2,7
"1-Linoleoylglycerophosphoethanolamine",-2.98398792582585,NA,NA,1.07183349403582,NA,NA,NA,NA,NA,NA,0.50078743257434,NA,7.26805509051921e-36,1,1,0.185002847234723,1,1,1,1,1,1,0.0446302729029834,1,1,0.333333333333333,1,0.333333333333333,2,3
"1-Methylimidazoleacetate",-0.770953225084485,0.195887096892419,NA,NA,NA,-1.86329422137688,NA,0.34210925818005,NA,NA,NA,NA,1.48494502502879e-13,1,1,1,1,0.0400503833805683,1,0.542613222869682,1,1,1,1,0,0,2,0.5,2,4
"1-Myristoyl-Gpc (14:0)",-1.4056443815075,1.64716569730598,NA,0.685286851958065,NA,0.263375699978112,NA,-1.7041401485572,-0.935119384383767,NA,0.78653601776618,NA,1.18876574574663e-12,8.88818124091025e-07,1,1,1,1,1,1,0.842912949092201,1,0.114333080981448,1,1,0.142857142857143,1,0.142857142857143,2,7
"1-Myristoylglycerophosphoethanolamine",-2.72242004622157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56943450136262e-27,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"1-Oleoylglycerol (1-Monoolein)",0.754197461265649,4.28497615010775,NA,1.95130648859583,NA,0.301576414009223,NA,-1.32057795972194,NA,NA,NA,NA,0.000226296064979403,1.74247118816536e-07,1,0.203696543968265,1,0.855068972580521,1,0.129812812837961,1,1,1,1,2,0.4,0,0,2,5
"1-Oleoyl-Gpc (18:1)",-1.80958153043408,3.11024535687059,NA,-0.0110323202681761,NA,-0.0545525598186492,NA,-1.29541086083916,-1.10344826946687,NA,0.991771236333825,NA,1.12045707840333e-16,2.72012370327949e-08,1,1,1,1,1,1,0.889184182012546,1,0.422354776842551,1,1,0.142857142857143,1,0.142857142857143,2,7
"1-Oleoyl-Gpe (18:1)",-4.28899913633595,2.66089037480181,NA,2.67705656754512,NA,-0.243918582141285,NA,-0.822155722396401,-1.13249627793642,NA,0.239495687596103,NA,1.66054095899095e-40,0.000387611662965565,1,0.00135971900089841,1,1,1,1,0.0484240733586817,1,1,1,2,0.285714285714286,2,0.285714285714286,4,7
"1-Oleoylglycerophosphoinositol",-1.5362198502181,NA,NA,NA,NA,NA,NA,-2.28819672890087,-4.46591882309976,NA,0.649048792955136,NA,1.36336378615193e-33,1,1,1,1,1,1,0.514523544409392,0.00120792995820328,1,0.275667744426302,1,0,0,2,0.5,2,4
"1-Oleoylglycerophosphoserine",-1.1263298258372,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681926063911307,NA,1.80349017597838e-23,1,1,1,1,1,1,1,1,1,0.0773644301386105,1,0,0,1,0.5,1,2
