,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,LGG Tumor,PRAD Normal,PRAD Tumor,PRADLODA Tumor,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
Uracil,2.00E-04,0.0736,4.00E-04,0.2362,2.00E-04,0.7542,0.2718,0.0854,1.03E-07,6.02E-05,2.40E-08,8.11E-06
Aconitate,1,0.027,NA,NA,NA,NA,NA,0.9996,0.601143457,0.715763102,1.60E-07,2.70E-05
Kynurenine,0.5222,0.1784,2.00E-04,0.5092,2.00E-04,0.471,0.0248,0.0236,3.94E-06,0.00046198,4.79E-07,5.40E-05
2-Methylbutyroylcarnitine,2.00E-04,0.4754,0.0018,0.3702,0.0016,NA,NA,0.3682,6.19E-06,0.000606049,8.96E-07,6.06E-05
Proline,2.00E-04,0.8376,0.0012,0.325,4.00E-04,0.855,0.4262,0.6216,2.44E-05,0.000956374,8.90E-07,6.06E-05
Asparagine,2.00E-04,0.4218,0.0094,0.116,2.00E-04,0.8782,0.5262,0.2904,1.27E-05,0.000809193,1.77E-06,9.15E-05
Acetyllysine,0.002,0.3184,8.00E-04,0.637,0.002,NA,NA,0.1568,1.38E-05,0.000809193,1.89E-06,9.15E-05
Dimethylarginine,2.00E-04,0.3232,0.0014,0.4176,0.028,NA,NA,0.1146,1.58E-05,0.000819026,3.14E-06,0.000132494
"5,6-Dihydrouracil",2.00E-04,0.001,0.0196,0.237,2.00E-04,0.7372,0.3154,0.678,4.23E-07,0.000124183,4.32E-06,0.0001459
7-Hoca,2.00E-04,0.024,0.215,0.708,0.001,NA,NA,0.0286,3.89E-06,0.00046198,4.11E-06,0.0001459
Leucine,2.00E-04,0.2626,8.00E-04,0.1458,0.0062,0.6706,0.5374,0.379,2.22E-05,0.000929033,5.04E-06,0.000147798
N-Acetyl-L-Alanine,2.00E-04,0.2762,0.001,NA,0.349,NA,NA,0.0234,9.79E-06,0.000718296,5.25E-06,0.000147798
Phenylalanine,2.00E-04,0.5274,0.012,0.0854,0.0094,0.7888,0.0338,0.3336,3.34E-05,0.001032602,6.10E-06,0.000158594
Adrenate,0.0048,0.955,4.00E-04,0.468,0.0118,NA,NA,0.114,9.22E-05,0.001932238,7.77E-06,0.000168501
Glycylglycine,0.0022,0.3192,0.028,NA,4.00E-04,NA,NA,NA,2.01E-05,0.000906888,8.47E-06,0.000168501
Thymine,0.01,0.3174,0.002,NA,0.001,NA,NA,NA,1.67E-05,0.000819026,7.03E-06,0.000168501
Tyrosine,2.00E-04,0.52,0.0098,0.0588,0.0048,0.6752,0.112,0.3354,2.85E-05,0.000961572,8.00E-06,0.000168501
Stearoylcarnitine,0.001,0.7808,0.001,0.156,0.019,NA,NA,0.208,4.68E-05,0.001248562,1.12E-05,0.000209995
Glycine,0.3718,0.5232,2.00E-04,0.1796,2.00E-04,0.8582,0.2244,0.172,0.00011007,0.002081883,1.19E-05,0.000212315
Methionine,2.00E-04,0.5948,0.0062,0.0738,0.0984,0.8648,0.217,0.0238,6.82E-05,0.001483248,1.29E-05,0.000217767
Valerylcarnitine,0.0018,0.4078,0.002,0.182,0.01,NA,NA,0.1924,4.93E-05,0.001257018,1.80E-05,0.000290209
2'-Amp,4.00E-04,0.9478,0.001,NA,0.1982,NA,NA,NA,0.000133396,0.00217509,2.39E-05,0.000354465
Serine,4.00E-04,0.587,0.001,0.081,0.0104,0.8598,0.3724,0.8756,0.000125358,0.002116388,2.41E-05,0.000354465
2-Arachidonoylglycerophosphocholine,0.0024,0.9396,0.001,0.042,NA,NA,NA,0.0376,5.27E-05,0.001279762,2.69E-05,0.000363031
Dihomo-Linolenate,0.0072,0.9676,2.00E-04,0.1926,0.0116,NA,NA,0.653,0.000142301,0.002257581,2.65E-05,0.000363031
1-Stearoylglycerophosphoinositol,0.0012,0.9046,2.00E-04,0.267,NA,NA,NA,0.485,0.000272901,0.003302987,3.36E-05,0.000437092
N-Acetylmethionine,0.0026,0.0204,2.00E-04,0.147,0.8646,NA,NA,0.0412,8.51E-06,0.000713972,4.14E-05,0.000518458
2-Hydroxypalmitate,0.0044,0.608,0.016,0.277,6.00E-04,NA,NA,0.702,0.000281619,0.003302987,6.15E-05,0.0006321
2-Linoleoylglycerophosphocholine,0.0062,0.9898,4.00E-04,0.202,NA,NA,NA,0.0846,0.000373215,0.004190598,5.65E-05,0.0006321
2-Oleoylglycerophosphocholine,0.005,0.9852,0.001,0.09,NA,NA,NA,0.0456,0.000210558,0.002874363,6.08E-05,0.0006321
2-Palmitoleoylglycerophosphocholine*,0.002,0.8528,0.001,0.519,NA,NA,NA,NA,0.000997263,0.008243425,5.65E-05,0.0006321
3-Aminoisobutyrate,0.9816,0.135,0.01,NA,2.00E-04,NA,NA,0.014,5.45E-05,0.001279762,5.77E-05,0.0006321
Lysine,0.0416,0.7696,0.0302,0.295,2.00E-04,0.8012,0.0234,0.7364,0.000810013,0.007204204,6.17E-05,0.0006321
2-Arachidonoylglycerophosphoethanolamine,0.0026,0.378,4.00E-04,0.495,NA,NA,NA,0.3252,0.00051377,0.005385409,8.58E-05,0.000744798
3'-Amp,6.00E-04,0.5832,0.017,NA,0.032,NA,NA,NA,0.000286972,0.003302987,8.32E-05,0.000744798
_-Alanine,0.9882,0.0328,2.00E-04,0.317,2.00E-04,0.8588,0.572,0.2478,0.000116409,0.002081883,7.59E-05,0.000744798
Deoxycarnitine,0.0502,0.2154,0.009,0.555,0.001,NA,NA,0.091,0.000278256,0.003302987,8.08E-05,0.000744798
Glycylleucine,4.00E-04,0.2018,0.007,0.155,NA,NA,NA,0.11,0.000117039,0.002081883,7.91E-05,0.000744798
S-Adenosylhomocysteine (Sah),6.00E-04,0.3816,0.0402,0.4386,0.0018,0.6166,0.5708,0.264,0.00072868,0.006898953,8.59E-05,0.000744798
N-Acetylglucosamine 6-Phosphate,0.0144,0.601,0.0432,0.525,6.00E-04,NA,NA,NA,0.000829296,0.007265625,9.36E-05,0.000790607
1-Arachidonoylglycerophosphoinositol,0.001,0.9722,0.002,0.53,NA,NA,NA,0.2052,0.001296023,0.009277629,0.000101649,0.000824494
Aspartylleucine,2.00E-04,0.0264,NA,NA,0.019,NA,NA,NA,2.95E-05,0.000961572,0.000102452,0.000824494
Fumarate (Trans-Butenedioate),0.414,0.9952,8.00E-04,0.887,0.02,0.3362,0.1074,0.0148,0.002057132,0.013211202,0.000125613,0.000987376
Docosahexaenoate,0.0086,0.9978,6.00E-04,0.219,0.0236,NA,NA,0.758,0.000797359,0.007204204,0.000158164,0.001214985
2'-Deoxyguanosine,0.0032,0.21,0.002,NA,NA,NA,NA,NA,0.000284695,0.003302987,0.000165878,0.001228161
Docosadienoate,0.2166,0.427,4.00E-04,0.3268,0.0252,NA,NA,0.0452,0.000601405,0.006193416,0.000167146,0.001228161
Fucose,2.00E-04,2.00E-04,0.025,NA,NA,NA,NA,0.1598,7.00E-07,0.000137008,0.000181532,0.001305484
Aspartylphenylalanine,4.00E-04,0.0226,0.01,NA,NA,NA,NA,0.2346,4.64E-05,0.001248562,0.000208688,0.001469513
Valine,2.00E-04,0.4572,0.0028,0.1428,0.0858,0.8852,0.522,0.8348,0.001086213,0.008498804,0.000216457,0.001493113
2'-Deoxyinosine,0.001,0.354,NA,NA,0.002,NA,NA,0.5162,0.000488552,0.005214187,0.000226669,0.001532283
1-Stearoyl-Gpe (18:0),0.0606,0.9784,4.00E-04,0.015,0.0076,NA,NA,0.9928,0.000175922,0.002711856,0.000277723,0.001805201
Tryptophan,8.00E-04,0.3278,0.0074,0.2118,0.014,0.8466,0.4234,0.803,0.001343772,0.009390406,0.000273392,0.001805201
Alanine,0.0896,0.7792,0.0042,0.2066,2.00E-04,0.8816,0.5236,0.9446,0.002912049,0.016028282,0.000339983,0.002157111
Docosatrienoate,6.00E-04,0.4486,0.001,0.027,0.7774,NA,NA,0.516,0.000187328,0.002734084,0.000347679,0.002157111
Threonine,2.00E-04,0.5496,0.0282,0.068,0.0262,0.851,0.4742,0.5534,0.001100356,0.008498804,0.000351009,0.002157111
Isoleucine,2.00E-04,0.1632,0.0318,0.048,0.0326,0.748,0.4184,0.517,0.000378367,0.004190598,0.000393181,0.002373128
Arachidonate (20:4N6),0.0342,0.9968,6.00E-04,0.485,0.1832,0.6686,0.0336,0.3888,0.005942112,0.024914427,0.000421964,0.002502172
N1-Methylguanosine,0.002,0.672,0.002,NA,NA,NA,NA,0.5472,0.00149527,0.010206084,0.000433167,0.002502463
Phosphoethanolamine,0.1928,0.0272,0.004,0.9184,0.0032,0.6124,0.6382,0.0326,0.000808529,0.007204204,0.00043682,0.002502463
Glycylvaline,6.00E-04,0.3566,0.032,NA,NA,NA,NA,NA,0.001144751,0.008579481,0.000455447,0.002565685
Linoleate (18:2N6),0.946,0.9998,0.0378,0.373,2.00E-04,0.67,0.1088,0.078,0.005771052,0.024547882,0.000497399,0.002756079
Hypoxanthine,0.0092,0.7286,8.00E-04,0.4752,0.5944,0.9472,0.4822,0.0306,0.007136047,0.028690817,0.000521735,0.002824677
Heptadecanoate (Margarate; 17:0),0.753,0.9976,0.0032,0.5354,0.0034,0.58,0.1126,0.0708,0.006934286,0.028197285,0.000526493,0.002824677
Cytidine 5'-Diphosphocholine,0.002,0.001,0.0022,0.59,NA,NA,NA,0.6638,2.93E-05,0.000961572,0.000554612,0.002929044
Alanylleucine,0.023,0.0382,0.11,NA,NA,NA,NA,0.0012,0.000190967,0.002734084,0.000573276,0.002981037
S-Adenosylmethionine,4.00E-04,0.2858,0.012,NA,NA,NA,0.702,NA,0.001066854,0.008462745,0.000626676,0.003209343
Fructose-6-Phosphate,0.0154,0.5496,4.00E-04,0.514,0.9516,0.948,0.0574,0.2662,0.007722522,0.029514212,0.000671955,0.003389863
Myristoleate (14:1N5),0.9724,0.9522,0.0028,0.7592,0.0014,NA,NA,NA,0.008622601,0.03143768,0.000696191,0.003460476
1-Linoleoylglycerophosphocholine,0.0728,0.9986,0.001,NA,NA,NA,NA,0.0542,0.003247231,0.017018971,0.000716987,0.003512197
2-Palmitoylglycerophosphocholine,0.029,0.993,0.001,0.191,NA,NA,NA,0.143,0.003465311,0.017800791,0.000748018,0.003611861
Glycylproline,2.00E-04,0.2082,0.0246,0.723,NA,NA,NA,0.8892,0.003038683,0.016215516,0.000782864,0.003726873
Propionylcarnitine,0.0268,0.7218,0.1348,0.2138,2.00E-04,NA,NA,0.9322,0.00261553,0.015025619,0.000800811,0.003759365
1-Myristoyl-Gpc (14:0),0.008,0.9468,0.001,NA,1,NA,NA,0.0934,0.003204252,0.016945006,0.000870492,0.003923018
Ergothioneine,0.0864,0.5594,NA,NA,2.00E-04,NA,NA,0.2846,0.002451654,0.01468491,0.000864751,0.003923018
Glucose 6-Phosphate,0.0064,0.221,6.00E-04,0.7662,0.9252,NA,NA,0.2094,0.002998238,0.016146476,0.000867449,0.003923018
Gamma-Glutamylleucine,0.978,0.539,2.00E-04,0.287,NA,NA,NA,0.0288,0.003737373,0.01875075,0.000970416,0.004315797
Arginine,0.002,0.1366,0.0028,0.035,0.9808,NA,NA,0.1634,0.000251128,0.003210297,0.001008315,0.004426109
Butyrylcarnitine,0.0022,0.0302,0.3248,0.5468,0.0014,NA,NA,0.9772,0.000676508,0.006510006,0.001079721,0.004678792
Ascorbate (Vitamin C),0.0052,0.2266,0.175,NA,0.0038,0.587,0.6444,0.0766,0.002744807,0.015492322,0.001101267,0.004711749
2-Linoleoylglycerophosphoethanolamine*,0.03,0.9252,0.0018,0.142,NA,NA,NA,NA,0.005120917,0.023302158,0.001169265,0.004940144
